,dialog
0,ID?
1,"I can't sell 'em to you without an ID, honey."
2,Then just the bullets.
3,Please?
4,I said 45s. Mine don't even take these cheapass nines.
5, I thought you had 9mm.
6," I'm fucking useless now, man."
7,I can't even smoke nobody!
8,"Your bitch fucked me, Jonah!"
9,See you there.
10,Why did he have to talk to me like that?
11,Let him get his own bullets.
12,Are we really doing this right now?
13,What did I tell you about the people in the house?
14,We pay them to live here.
15,"To be normal fucking people, like I did with you."
16, What's in the house?
17, I don't know.
18,Good girl. Good.
19,"And you didn't know what was in your house, right?"
20,"The problem is, not many people believe you."
21,"I swear to God, I never saw anything."
22,I never took anything.
23,I believe you.
24,"But you want my trust, no?"
25,Then... prove it like I did.
26,Okay.
27,"Grab that gun and go cover that fucking back door, okay?"
28,Come on.
29,Okay?
30,"Okay, don't blink."
31," That's right, butterfinger."
32, Come on. You...
33, You let him intercept it?
34, Yes!
35,"Man, you're really..."
36,A gun.
37, Don't do that!
38," Shoot Teddy, please. That'd be awesome!"
39,It's not here. Where the fuck is it?
40," Kids, run! Fast!"
41, Shut up!
42, Fucking daycare center out there.
43, Where the fuck's our money?
44, She's a fucking liar!
45, No! I do not...
46,See? Fucking lie to me!
47,This is what she gets for stealing.
48,Was it worth it? She cares more about money than she did about her husband.
49,"Jonah. Jonah, please don't hurt her."
50,And I can't find shit!
51,Show me I'm not wrong about you.
52,"Relax, breathe. Breathe. There you go."
53,This is how you prove it!
54,You're alive because of me!
55,No one believes you.
56,"You're already a murderer, baby."
57,Every bullet here will be traced back to that store.
58,Okay.
59,Pull the trigger.
60,Do it. Shoot.
61,Now!
62,Jonah?
63,"Let's go, let's go."
64, Happy birthday.
65," Happy birthday, man."
66,"Thanks, thanks. For those who don't know me, my name's John Link."
67," Hi, John!"
68, And I'm a real success story.
69,"Been sober two years, one inside the joint, one out here."
70,"Before that, I was never clean for very long."
71,"Except maybe in the womb, but knowing Mom, I was probably pickled there, too."
72,I did a lot of damage.
73,Lost a lot of people along the way.
74,Some of 'em stay lost.
75,"It's not like they come back and give you an ""Atta boy"" for quitting, you know?"
76,"I got a kid I can't find, except on a milk carton."
77,Ex that won't talk to me.
78,"Every skill I ever had, every friend I ever knew, is now a parole violation."
79,"But you can't be a prick all your life and then just say, ""nevermind,"" you know?"
80,I can't fix everything I broke.
81,All I can do is not drink.
82,"So, I won't do that today."
83,It's like when I was in the joint all that time.
84,Just count off every fucking day until I die.
85," Happy birthday, you grumpy old bastard."
86," Am I allowed to be in a bad mood, Kirby?"
87,"Of course. I just think we should go get some coffee, so you can calm down a bit."
88,"Nah, I got some work. Got some people coming over with some bullshit ideas."
89,"Well, they picked the right guy for that."
90,"Seems everybody's full of shit today, but you."
91,Maybe I just hate birthdays. Makes you think there's some reward for all this shit.
92,"No, there's no reward, just a reminder from why you're quitting to people you're hurt."
93,Maybe some people need hurting.
94,With a chain.
95,Look at the person that really did this. You.
96,"And if you learn some patience, there is a reward."
97,It's believing in something bigger than yourself.
98,"Kirby, how fucking patient do I have to be? I'm here, right?"
99,I'm looking at this fucking mess every day.
100,There's some people left me out there to rot.
101,"Sometimes, I just wanna find them and go say ""hello"" with a blowtorch."
102, It's a blowtorch now.
103," Yeah, they deserve it."
104,"All right, that's true, John, and it might be fitting."
105,But it wouldn't be proper. You know the difference between fitting and proper?
106,"Well, I'm not a trailer park poet like you, Kirby. You're gonna have to tell me."
107,"Well, it goes like this."
108,I could shove my thumb up your ass right now and it would probably fit.
109,But it wouldn't be proper.
110,That's sweet talk to an excon like me.
111,That coffee still on?
112, Go fuck yourself.
113," Okay, you, too."
114,"You know, we've been divorced three years?"
115,I come home from work with that man sitting at my kitchen table.
116,But...
117,I'm a single woman now and I got no intention of going back.
118,I've done my time.
119,"You done a little time, too?"
120,"Yup, just a little."
121,That's your little girl?
122,Why? You seen her?
123,No.
124,Missing Link Tattoo.
125, This is a collect call from...
126, Your fuckedup daughter.
127,"To accept the charges, say, ""yes,"" or press one now."
128, Yes. Yes.
129," Sorry, I did not understand."
130, Do you accept this call?
131," Yes, you fucking robot! Yes, yes!"
132,"Oh, fuck."
133, Dad?
134, I'm here. Where the hell are you?
135,I just...
136,"I know that it's been a really long time, I just..."
137, Fuck.
138," Well, just stay on the line."
139," Where you been, kid?"
140," I... I left home, a while ago."
141," Yeah, I know. You scared a lot of people."
142, I need cash fast. Fuck.
143,"Just enough so I can get lost, because I am fucking dead."
144,I'm like this fly that's about to get splattered on a windshield.
145, Does that make any sense?
146, No.
147,Fuck. I know this is so unbelievably rude.
148,"Normally, I would be all, ""Oh, let's catch up."" My point is, I took the bus as far as I can get tonight."
149, I figure I can get to Oregon by Monday.
150," Okay, yeah. How much do you need?"
151,"Two G's tops, if I can, you know, get settled and start working."
152, What kind of work were you looking for?
153, Fuck. Fuck. I am so sorry about this.
154,"I don't know, a nanny?"
155,"Well, I got the money right here in my hand."
156,Just stay put till I get there.
157,That is so first class.
158,"I can meet you in Santa Monica, on Third and Broadway."
159,Okay. Stay put.
160,My...
161,They can take us now!
162,I wanted to buy an eighth.
163,I hadn't seen him in so many years.
164,Lydia.
165,"Hey, kid."
166,"Come here. Come on, sit down."
167,You're okay. I got you now.
168,Thank you for coming so far.
169, Sure.
170, I'm gonna pay you back every dollar.
171,Okay.
172,"I almost didn't recognize you in this car, I was... you know..."
173,I was expecting you to be holding on to the old hog.
174,"Well, that's a parole violation now."
175,Assholes.
176,"Listen, kid."
177,Why don't you take a little nap?
178,Fuck.
179,What the fuck.
180,I don't even know where I am and there are only five channels on your TV.
181,Yeah.
182,"You swivel these ears here, and maybe get channel eleven."
183,"So, I went back in time."
184,"If I turn myself in, do I get this reward?"
185, Nope.
186, What a rip.
187," Hey, hold still."
188, Sorry.
189,Some of my best work there.
190,Don Quixote.
191, Picasso.
192, Kid's got education.
193,"Yeah. Wanted to put it in a magazine, but we couldn't find this motherfucker."
194, I ain't no male model.
195, No shit.
196,"Yeah, but, dude, I think Sancho Panza might have melanoma."
197,What?
198,Why don't you go outside and play?
199,"You really should have that looked at, Dennis."
200,I can't stay much longer.
201, Oregon.
202," No, I don't have to go to Oregon, I just have to go somewhere."
203,You pregnant?
204, No.
205, That's so medieval.
206,But I don't wanna say too much 'cause it'd put you in a bad position.
207,"You see, my boyfriend thought we could get married so that I wouldn't have to testify against him in court."
208,Pretty romantic.
209,"No, no, he was so in love with me, I swear to God."
210,I don't even think there was a word for what was wrong with him.
211,And he's worried you'll say that in court?
212,No.
213,"It's terrible, he's gone."
214, He's... dead.
215, Your boyfriend?
216, He got shot.
217, Too bad.
218, In the neck. Yeah.
219, Rough break.
220,I just feel numb. You know?
221,I don't even think it's hit me yet that all of this is happening.
222, Me neither.
223," Like, maybe I'm traumatized."
224, Could be.
225, That's why I have to keep moving.
226,"He was really well connected, so there are a lot of people looking for my white ass right now."
227,"Kid, can I say something? I know what it's like to come down this hard."
228,"For 30 years, I was drinking and drugging and fighting like everybody had it in for me."
229,"Your higher power can't do shit for me here, Dad."
230,"When I called you, you said that you had money. Now, I'm not criticizing."
231,"I'm just saying, it kind of looks like you miss the comforts of jail."
232,"I can get you money, if that's what you want, kid. But let me make a deal."
233,"Give me a week. One week, you stay clean."
234,"You got people looking for you, who's gonna find you out here? Nobody knows who I am."
235, The cops probably keep track of you.
236, It means I piss in a cup once a month.
237,"My parole officer has a caseload like, you know? Give me a week."
238,"If you're on your feet by Saturday, I'll give you everything I got in this world."
239,But you gotta stop with the drama.
240, Hello?
241, It's me.
242,"God, what now? I am done, John."
243,I can't do this every time you have some stupid new plan about Lydia.
244,I have a life. I have people over.
245," You okay in there, kid?"
246," Yeah, I'm awesome, thanks."
247, Don't take your purse in there.
248, Can I please just have one second to myself?
249,"You can live in there if you like, just leave the purse outside."
250,Fuck.
251, I don't know what it is.
252," Come on, come on. You know this. Listen."
253, You stumped me.
254, Dude! You must be tonedeaf!
255,I don't know it.
256,Fuck.
257,Where you hiding the shit?
258,Tell me right fucking now!
259,This is not cute. I worked too hard.
260,This place is clean.
261,I'm not going down for a game of fucking hideandseek!
262,Goddamn it!
263,You still got all your teeth.
264,How long you been doing this?
265, A month?
266, You telling me the truth?
267,"Yes, that's the truth."
268,And it's Hank Williams.
269,That's what I was playing for you.
270, What the fuck?
271, Hank Williams.
272,That's what I was playing for you before.
273,Mom said that you always loved him.
274,"Yeah, well, I guess I just don't recognize him anymore."
275,"Kirby. I don't know what I stepped in, man, but she's here."
276, My little girl.
277, You found her.
278,"No, she found me."
279,But she's out of her fucking mind.
280,"Well, I remember when I tried to reconnect with my sister and my exwife."
281,They were not ready to forgive me.
282,It was destructive. It was the wrong time to try to make amends.
283,"Make amends? Kirby, I'm trying to keep the kid away from the fucking floor stripper."
284,She's coming down hard off something.
285,"Well, then she needs help, John."
286,Get her into detox. Take her to the hospital.
287,"Man, I don't know. She's going on about some kind of shit, some sort of trouble she's in."
288,"I don't know what's bullshit and what's not anymore, but..."
289,"I'd just as soon find out before I start filling out intake forms, you know?"
290,"No, no, no, you're still thinking like a con."
291,Take her to the hospital.
292,"Come on, Kirby. I just met the girl for the first time in years, I just don't feel like handing her over to a bunch of strangers."
293,You're the stranger.
294,"You didn't meet her, and she didn't meet you."
295,"Right now, she's nothing but a chemistry experiment. You need help with this, John."
296,"Well, then, why ask?"
297,Cutting up the veggies here.
298,We wanna try and keep the vegetables...
299,"and make a fresh herb mixture with parsley, thyme, fennel flakes and garlic."
300," Can I help you, gentlemen?"
301, Yeah. We want tattoos.
302, I'm not open.
303, It says walkins. We're walking in.
304, Nah. Come back tomorrow.
305, I want some Nazi shit on my arm.
306,Or a bigass heart with some bitch's name on it.
307,"Yeah, on my dick. We got money, old man."
308,It's bad business turning us away.
309,"Yeah, come on, man."
310,Don't be judging us by our looks.
311,I'm not judging. I'm just going to bed.
312,What if I wanted her name on my stomach?
313, Lydia.
314, Why don't you all fuck off?
315,We just want to talk to her.
316,We ain't got no problem with you.
317,What are you? Fucking citizens' police? Get off my fucking property or I'm calling the cops.
318,"Motherfucker, you on parole."
319,Nobody calls the cops on parole!
320,"Don't you fucking turn your back on me, wood!"
321,"Straight question, kid."
322, Can the police handle this?
323," No, they'll kill me in jail! I won't make it."
324, And I don't know what to do!
325, No shit!
326, That fucking punk puts a dent in my door...
327, I really fucked up.
328,"Shit! Happy birthday, Link."
329,It's good to finally meet your friends!
330,"Yeah, Kirby, you heard right."
331,Party at my place.
332,I'm gonna get blamed for this.
333,Breaking parole. Guaranteed.
334, Dad!
335, What the fuck? Son of a bitch.
336,Shit stain! Get the fuck outta here!
337,"There it is, aggravated assault."
338,Return to custody.
339,See? I missed 'em for ya.
340,"Attempted murder, that's what they'll say."
341," Thanks for looking me up, kid."
342," Dad, these guys are fucking psychos."
343,You think so?
344,"I'll see you on the inside, you chickenshit motherfucker!"
345,"Hey, kid..."
346,they must've run out of bullets.
347,Fuck. Hang on!
348," Are you dead yet, motherfucker?"
349, You okay?
350,Do you hear me? I told you not to turn your fucking back!
351,"We coming to get you, motherfucker!"
352, Who is that?
353, It's the neighborhood watch.
354,You boys picked the wrong rednecks.
355,You go tell your boys and girls to put they hockey sticks away.
356," Tell me, is that shit still loaded?"
357," I don't know, let's find out."
358," Come on, man. Let's go."
359," You know what, I admire you all for protecting this fine trailer park community."
360,"Come on, ese, come on."
361,You know what? This one right here...
362,I'm gonna call it a tie.
363,"I'll see you, all right?"
364,John!
365, You okay?
366, Fuck!
367,"Easy, easy, easy. Are you hurt?"
368,There's glass everywhere.
369," Fuck, this place sucked before!"
370," John, what's going on?"
371, Who are those guys?
372," Yeah, who are those fucking guys?"
373,"Talk to me, buddy."
374,Tell me what's going on?
375,"Kirby, thank you!"
376, Come on.
377," Wait, you're leaving a crime scene?"
378,"Kid's up to her neck in it, I can't give her up."
379," John, you gotta wait for the cops! John..."
380, We know how that's gonna turn out.
381,"John, you've always listened to me when it counted."
382,"And I'll keep listening, but not here."
383,"I'll call you from the road, Kirby, promise."
384,Sober as the judge.
385,"John, it's really hard to be your sponsor."
386,Don't do this to me.
387,"Not now, you piece of shit."
388,Don't do this to me.
389,Come on. You damn fucking...
390," I'm sorry, Dad."
391, God.
392,I'm so sorry.
393,Yeah.
394,Fuck.
395,I knew those guys from their ink.
396,There were two sureños.
397,"And the white guy with the ""pen1,"" that's ""public enemy number one."" He's with the enforcement arm of the brotherhood."
398,"Though they're not proud, they work with Eme, but only if there's real money involved."
399,I got no idea how you pissed guys like that off.
400,"You maybe talking to the feds, or something?"
401,"No. No, no, no."
402,I'm not talking to anybody but you.
403,"Yeah, I know. You never stop, but you don't say anything."
404,"See, that was supposed to be an easy hit."
405,"Take you out in the desert, rape ya, put a bullet in your brain, have a bologna sandwich."
406,Make a real day of it.
407,What do they want from you?
408, Fuck!
409, I'm afraid of what you'll think.
410,I understand. You don't wanna spoil the good impression you made so far.
411,It's not that funny.
412,"Oh, my God!"
413,"I'm gonna pee in my pants, Dad."
414,You good?
415,You all done? All wrung out? Finished?
416, What's wrong with you?
417, It's time to cut the shit.
418,"What the fuck was so wrong at your mother's, that you had to run away with those guys?"
419,"No, God! I left home a while ago."
420,I didn't even know those guys.
421, They sure seemed to know you.
422," Yeah, they worked for my boyfriend."
423,"He was businessman, he was in real estate."
424,You trying to tell me we're being chased by realtors?
425,"No. Well, he managed properties."
426,"See, I met him at this party and we just had this connection."
427,"He was older, he was like 30 and he was really a man."
428,Fuck.
429,"I was living in a friend's walkin closet, at the time."
430,"And he wanted to help, so, he set me up in this cute little cottage in the valley."
431,And all I had to do was take care of it and look normal.
432,"Except, his people would hide stuff in the house."
433,"Like drugs, money, stuff like that."
434,"So, he made you window dressing at one of his stash houses."
435,"No, he really cared about me, Dad."
436,He didn't mean for this.
437,I am the one who fucked up.
438,"Kid, you got the mindset of a battered housewife."
439,"This one night, I had friends over at the house and things just blew up."
440,Someone broke the sliding glass door and some dick put his fist through a wall and...
441, Something goes missing.
442, That's what my boyfriend said.
443,The people he worked for were furious.
444," But I swear, I never saw anything."
445, You didn't know. Nothing?
446, That's the truth.
447, No. Yes. Then he...
448,"Then he took me to another house, where, I guess, the tenants had stolen money out of the walls, and..."
449,he wanted me to kill this woman. Maybe to show that I would do anything for him.
450,"And I had the gun in my hand, and I didn't think."
451,"I just turned, and I pulled the trigger."
452,Fuck.
453,And I...
454,I killed him.
455, You killed the boyfriend... the guy?
456, Yes.
457,Fuck.
458,And are you guys gonna need any help with any luggage tonight?
459, Nope.
460, All right. Traveling light.
461,Receipt.
462,"Hey, man, where'd you find her?"
463,In the fucking delivery room.
464,"Yeah, that's... okay."
465,"Well, got your room with two double beds."
466,Checkout's at 11:00 and complimentary breakfast served till 10:00.
467,"This part's a little tricky, so I'll show you."
468,You're just gonna loop all the way around to 216.
469,That's you.
470,I can show you if you want.
471, Yeah...
472," No, that's all right."
473,"Experts say you could be paying more at the pump, if that trend continues."
474,"In other local news, a car that caught on fire sparked a quarter of an acre..."
475, What's up?
476, Hey.
477, Did you need something?
478," No, I just wanted some air."
479,"Oh. Okay, well, we got plenty of that."
480,"Tonight, both LAPD and the county sheriff's office are asking for help in the search for a missing girl."
481,She's wanted in possible connection to multiple homicides  in the Santa Clarita area.
482, Shit!
483,A warrant has been issued for her as a material witness.
484," Oh, my God."
485," Lydia Carson, she's approximately 5'7""..."
486, I'm a fucking celebrity.
487, ...butterfly on her shoulder.
488,"She could be traveling with John Link, who last resided in Indio."
489, Authorities have provided this...
490, I should show you something.
491,...who sees the pair.
492,I'm actually supposed to call the police.
493,Did you?
494, Missing Link Tattoo.
495," Dad, Dad, you have to come downstairs."
496,"I'm in the lobby, okay? Bring everything, and I left a bunch of stuff in the bathroom."
497,Don't forget that because there's probably DNA on it.
498,DNA? What the fuck?
499,"Don't turn on the lights, we're probably being watched. And hurry."
500, What the hell is this?
501, Did you get the stuff in the bathroom?
502," Yeah, I got your shit."
503," Good, 'cause the cops are coming."
504,"Actually, they might be here already."
505," So, this cocksucker called the cops?"
506," No, God, Dad! He's helping us."
507,Somebody's nice to you and you call him a cocksucker?
508,"It's all right, I got thick skin."
509,"You know, I came on at 10:00."
510,"That was already there when I got here,  but knowing the day guy..."
511, Fuck! Get the fuck down!
512, Day guy always fucks the night guy.
513, Shut up!
514,They're everywhere.
515,We're gonna need a new ride.
516,"Okay, I really shouldn't do this, but..."
517,"room 103's open, they won't see if you take the back door. Here."
518,"I didn't see you, you didn't see me."
519,And you're the sweetest person that I never met.
520,They're gonna impound the Nova.
521, Dad.
522, Yeah.
523,What's jail like?
524, It's like summer camp.
525, I'm serious.
526,"Yeah, they got a big swimming pool."
527,"If you're good, they let you ride a pony."
528,The cocksucker told them.
529,They're gonna search every room.
530, Do they protect people?
531, They're going into that room we were in.
532,"Like if somebody was after me, would they make sure I was okay?"
533,"Like a special cage, or something?"
534,"Yeah, that's called PC."
535,It's for snitches and celebrities.
536,"Yeah, maybe you'll be both."
537,Police! Open up!
538,"I can't get caught, Dad. I won't make it."
539,"Yeah, I know. You stick with me, I'm not going back either, okay?"
540,"Who the fuck is in there? Go! Go, go, go!"
541,Who the fuck is that?
542,"Dad! Dad, Dad, Dad!"
543,I haven't done this in a long time.
544,"Oh, fuck!"
545,"Oh, my God!"
546, Dad!
547, Lower your weapon!
548,Dad! Dad!
549,"Oh, my God! Dad! Come on! Hurry!"
550,"Go, go, go!"
551,What the fuck was that?
552,"Our first family car, and now we gotta dump it."
553,That guy with the ink all over his face?
554,"That wasn't some gangbanger, baby."
555,That was a sicario.
556,Cartel soldier.
557,Used to hitting cops and judges.
558,"This boyfriend you killed? I heard the whole goddamn love story, now, what's his name?"
559,"Going on a year out of the joint, and here I am in a truck full of Mexicans."
560,Good morning. My name is Lydia.
561,"He is my father, but he doesn't like to talk."
562,He doesn't like anybody except motorcycles.
563,How do you spend your entire life in the California penal system  and not speak any Spanish?
