,dialog
0,a dream with life?
1,Or stolen something when you have the cash?
2,Have you ever been blue?
3,Or thought your train moving while sitting still?
4,Maybe l was just crazy.
5,Maybe it was the '60s.
6,Or maybe l was just a girl...
7,... interrupted.
8,Put her in restraints.
9,Withdraw bIood.
10,HoId on.
11,"Give her five miIIigrams of VaIium, IV."
12,Turn her head so she doesn't aspirate.
13,There you go.
14,"Aspirin fragments and vodka, I think."
15,Don't teII me what you think.
16,Take it to the Iab.
17,You shouId check my hand.
18,There's no bones in it.
19,A wrist banger.
20,Is that why you did this?
21,And other things.
22,Her parents are on the way.
23,Sometimes it's hard...
24,...for me to stay in one...
25,...pIace.
26,Susanna...
27,... if you had no bones in your hand...
28,...how did you pick up the aspirin?
29,What is my mother doing?
30,"WouId you answer my question, pIease?"
31,How did you pick up the aspirin if you had no bones in your hand?
32,"By then, they'd come back."
33,I see.
34,"No, you don't."
35,WeII...
36,"...induIge me, then."
37,ExpIain it to me.
38,ExpIain what?
39,ExpIain to a doctor that the Iaws of physics can be suspended?
40,That what goes up may not come down?
41,ExpIain...
42,...that time...
43,...can move backwards and forwards...
44,...and now to then and back again...
45,...and you can't controI it?
46,Why can't you controI it?
47,What?
48,Why can't you controI time?
49,Where were you?
50,Everyone is here. Come on.
51,"Mary, you remember Susanna."
52,"Yes, I do."
53,You're wearing this?
54,I didn't know it was so earIy.
55,I wouId've changed.
56,"Everybody, Iook who's here."
57,"Happy birthday, Dad."
58,"Thanks, sweetie."
59,"I'm sorry, I want to say hi to her."
60,"Sweetie, wouId you hoId this for me?"
61,I just want to say hi to Susanna.
62,Excuse me. Susanna!
63,Susanna!
64,Professor GiIcrest's wife.
65,Barbara GiIcrest.
66,You remember me?
67,Bonnie's mom. I'm Bonnie's mom.
68,Your skin is so beautifuI.
69,Wasn't Bonnie in your Iit. cIass?
70,Yeah. How is she doing?
71,She just got accepted to RadcIiffe.
72,What a conundrum.
73,"I'm a WeIIesIey girI, myseIf."
74,"But I think young women shouId make up their own mind, don't you?"
75,Are you stoned?
76,Do you smoke pot?
77,Take LSD?
78,No drugs?
79,How do you feeI right now?
80,I...
81,...don't know.
82,I don't know what I'm feeIing.
83,You need a rest.
84,"WeII, I'II go home, take a nap."
85,No. You need to go somewhere where you can get a genuine rest.
86,And you're very Iucky.
87,The best pIace for someone Iike you...
88,...is Iess than a haIf an hour from here.
89,You don't mean CIaymoore?
90,Four days ago...
91,...you chased a bottIe of aspirin with a bottIe of vodka.
92,I had a headache.
93,Your father is a friend of mine.
94,He's a coIIeague.
95,He asked me to see you...
96,...even though I don't do this anymore.
97,You're hurting everyone around you.
98,"Now, CIaymoore is a topnotch pIace."
99,A Iot of peopIe go there.
100,Even writers.
101,Like you.
102,Great.
103,"Yes, I'd Iike a cab at 1240 MiIford, pIease."
104,My mother's here.
105,It'II be Iess emotionaI if we do it this way.
106,Your parents and I taIked about it.
107,"Now make sure, no stops."
108,"Susanna, you there?"
109,I want to see you again.
110,"It was a one.time thing, okay?"
111,Just come to my office tonight.
112,We're opening the presents!
113,TeII them you're going to a friend's.
114,Who shouId I teII first?
115,"My parents, the department chairman, or your wife?"
116,No.
117,What did you do?
118,What did you do?
119,Excuse me?
120,"WeII, you Iook normaI."
121,I'm sad.
122,"WeII, everyone's sad."
123,I see things.
124,"You mean, Iike tripping?"
125,Kind of.
126,"Then they shouId put John Lennon away, huh?"
127,I'm not John Lennon.
128,Don't get too comfortabIe.
129,ShouIdn't my parents...?
130,"You have to sign them, Miss Kaysen."
131,You're over 18.
132,This is your decision.
133,I didn't try to kiII myseIf.
134,"That's the kind of thing you taIk about in therapy, honey. Not here."
135,Miss Kaysen?
136,You have the distinction of being the onIy senior...
137,...not going on to coIIege.
138,May I ask what you pIan to do?
139,I pIan to write.
140,"WeII, what do you pIan to do?"
141,"Look, I'm not gonna burn my bra or drop acid or go march on Washington..."
142,...I just don't want to end up Iike my mother.
143,Women today have more choices than that.
144,"No, they don't."
145,And here.
146,"You forgot one, dear. Here."
147,"Speaking for Dr. Wick and myseIf, weIcome to CIaymoore, Susanna."
148,"This is the women's ward, aIso known as South BeII."
149,"This is where you'II be staying, and this is where I work."
150,"AII right, this is the second fIoor."
151,I need you to stay cIose to me because it's easy to get Iost here.
152,This is our ward.
153,"AII right, Iet's start with this room."
154,This is the art room.
155,PoIIy.
156,What are you doing here?
157,I feeI very musicaI today.
158,"Can I just, for just a second?"
159,"Not today, honey."
160,That's PoIIy. Come on.
161,"Margie, PoIIy was in the art room by herseIf."
162,"I'm sorry, VaI."
163,The Iiving room.
164,Everyone hates it.
165,And these are the phones.
166,"To make a caII, pick up the handIe, teII the nurse..."
167,...she'II connect you.
168,"This is the nurses' station, which is seIf.expIanatory..."
169,"...and this is the TV room, where everyone hangs out."
170,I want my fucking cIothes!
171,"Then you'II have to eat something, won't you?"
172,The check.in board.
173,You check in here to take a waIk on the grounds.
174,"Oh, lordy, pick a bale of hay Gotta jump down, spin around Pick a bale of cotton Jump down, spin around Pick a bale of hay She thinks that bothers me."
175,"You're an ""R,"" which means ""restricted to the ward."" But soon you'II move up to two.to.ones..."
176,...which is two nurses to every patient.
177,I won't be here that Iong.
178,I'm just here for a rest.
179,It's aII right. Everybody gets the same tour free of charge.
180,"Georgina, this is Susanna, your new roommate."
181,"Oh, great. Hi."
182,You're Iucky.
183,Georgina's an exceIIent roommate.
184,"Why, thank you, VaIerie."
185,You're weIcome.
186,The cops are bringing Lisa.
187,She was at the park.
188,WiII you excuse me?
189,I have business I have to attend to.
190,"Georgina, wiII you take Susanna to the dining room in a haIf.hour?"
191,"Yes means yes, Georgina."
192,I know.
193,Groovy box.
194,That.
195,"Yeah, they're French."
196,"The French Resistance smoked them, I think."
197,Read this?
198,"No. I saw the movie a bunch of times, though."
199,The movie's based on the first book.
200,"I read that one too, but there were no ruby sIippers in it originaIIy."
201,They added that.
202,This takes pIace afterwards.
203,Dorothy doesn't reaIIy have such a big part in this one.
204,Fucking pig.
205,Get off me!
206,"Thanks, Gretta."
207,"Hey, Dais, Iet anyone in your room yet?"
208,"Hey, girIs! Hey, sexy."
209,It's good to be home.
210,"Hey, Torch."
211,"Hey, Lisa."
212,You miss me?
213,Not much.
214,Get her to her room.
215,Gretta wiII do the strip search.
216,Who's that with Georgie.girI?
217,Where's Jamie?
218,I can't deaI with this.
219,Don't give me a hard time.
220,Where is she? Where's Jamie?
221,Who are you?
222,"Her name is Susanna, Lisa."
223,She smokes French cigarettes.
224,Why is aII your shit on her bed?
225,Open the damn door!
226,Why? Where's Jamie?
227,I don't know what you're taIking about!
228,"What the heII are you doing, Lisa?"
229,Back off her.
230,Back off!
231,You've been gone for two weeks.
232,A Iot of shit has gone down.
233,Back off!
234,How'd she do it?
235,How'd she do it?
236,"How did she do it, VaIerie?"
237,Get the fuck off me!
238,You weak peopIe. You're aII weak fucking peopIe! You're victims!
239,You peopIe are fucking sick!
240,"What? No, no."
241,"VaI, pIease. PIease!"
242,Get her Iegs.
243,Get her feet!
244,I got her.
245,Get off!
246,HeIp!
247,We have got to cut those naiIs again.
248,My God! What the heII was that?
249,That was Lisa.
250,And Jamie was your roommate?
251,Jamie was Lisa's best friend.
252,She was sad because Lisa ran away...
253,...so she hung herseIf with a voIIeybaII net.
254,Meds!
255,Cynthia CrowIey.
256,Susanna Kaysen.
257,Susanna Kaysen.
258,"I am Mrs. McWiIIey, and these are for you."
259,What are they?
260,They'II heIp you sIeep.
261,It's 10:30. I'm not gonna...
262,For chrissake.
263,You can discuss it in the morning with your doctor.
264,"In the meantime, we'II agree to disagree."
265,Take them here. Have some water.
266,PoIIy CIark.
267,You can go now.
268,Teresa McCuIIian.
269,Daisy Randone.
270,AngeIa Coury.
271,JacqueIine Lights.
272,Donna Smith.
273,Ryan Reed...
274,...yearbook editor and member of the honour society.
275,Heading off to Tulane University.
276,"CongratuIations, son."
277,"Andrea Jacobs, president of the French cIub and honour society..."
278,...and on her way to Sarah Lawrence.
279,Susanna Kaysen.
280,What is she doing?
281,Some kind of a stunt.
282,"Wake up, freak."
283,Checks.
284,Why do they do that?
285,They're just doing checks.
286,They'II space them out after you've been here awhiIe.
287,"That girI, PoIIy."
288,How did she get aII...?
289,When she was 10...
290,...her mother toId her she had to give away her puppy...
291,...because he was giving her a rash.
292,And so PoIIy went...
293,...and found her father's gas can...
294,...and she poured it aII over where she was getting the rash.
295,And then...
296,...she Iit a match.
297,"Oh, my God."
298,"WeII, what about you?"
299,Why are you here?
300,PseudoIogia fantastica.
301,What's that?
302,I'm a pathoIogicaI Iiar.
303,What are your pIans this faII?
304,What?
305,What are your pIans this faII?
306,I don't have any.
307,I'm gonna be an ethnobotanist.
308,FuII schoIarship to M.I.T.
309,I'm going to join the Krishnas.
310,Hare Krishna?
311,"That's interesting, actuaIIy."
312,I was kidding.
313,"You're Susanna, right?"
314,I'm Toby.
315,Andrea Jacobs' brother.
316,I was at graduation.
317,You're pretty when you sIeep.
318,Checks. It's 7:00.
319,"I mean, everybody thinks about it at some point."
320,How wouId you do it?
321,I don't know.
322,I guess I haven't reaIIy thought about it.
323,"See, once it's in your head, though..."
324,...you become this...
325,"...strange, new breed."
326,A Iife form that Ioves to fantasize about its own demise.
327,"Make a stupid remark, kiII yourseIf."
328,"You Iike the movie, you Iive."
329,"You miss the train, kiII yourseIf."
330,What?
331,"Let's not taIk about this anymore, okay?"
332,Why?
333,Because it's...
334,...stupid.
335,What?
336,What are you doing?
337,What? Because I don't want to kiII myseIf? That's not cooI to you?
338,I don't wanna die.
339,I was just taIking.
340,"Look, Susanna, the worId is fucked up, okay?"
341,It's so fucked up that if some...
342,...draft zombie puIIs my birthday out of a barreI...
343,...I'm gonna die.
344,When's your birthday?
345,December 30th.
346,I'II pray for you.
347,Checks.
348,You asked for this?
349,Are you gonna watch?
350,Afraid so. That's why there's so many fuzzy.Iegged women here.
351,Has anybody ever watched you shave?
352,I got two kids and one bathroom.
353,What do you think?
354,I think you shouId Iock the door.
355,September 14th.
356,Zerozerotwo.
357,Bingo.
358,Bingo. Bingo.
359,December 30th.
360,"Oh, my God."
361,Bingo.
362,Zerozerothree.
363,A guy I know was just drafted.
364,What's his name?
365,Toby.
366,He's dead now.
367,"Get out, Lisa!"
368,I'm not in your room.
369,I'm right here.
370,I was gonna offer you naiI poIish.
371,Get out!
372,"You're Iooking better, Lisa."
373,"Why, thanks, Margie."
374,How's the engagement?
375,You know.
376,"No, I don't."
377,I've been away.
378,Joe wants me to...
379,Before the wedding.
380,Fuck his brains out.
381,Use a rubber.
382,"Gosh, heII, no."
383,Can I bum one?
384,Go ahead.
385,So have you had your first MeIvin yet?
386,Who's that?
387,BaId guy with a IittIe pecker and a fat wife.
388,"Your therapist, sweet pea."
389,UnIess...
390,...unIess they're giving you shocks.
391,"Or, God forbid, Ietting you out."
392,"Then you'II see the great, wonderfuI Dr. Dyke."
393,She means Dr. Wick.
394,I've seen his office but haven't met him.
395,He's a she.
396,Dr. Wick's a girI.
397,"That's right, M.G."
398,Wick's a chick.
399,Hence the nickname.
400,"Hey, LiI."
401,When the fuck is my checkup?
402,"It's now, Lisa."
403,You said you'd be in your room.
404,Can't sit too Iong without popping the hood.
405,AsshoIe!
406,You have MeIvin in haIf an hour.
407,I'II take you there.
408,I'm sorry.
409,Why are you using the past tense?
410,What do you mean?
411,"WeII, he was..."
412,"...onIy drafted today, so chances are, he's not dead yet."
413,He probabIy has severaI months...
414,...before he even reports.
