,dialog
0,Quiet.
1,"Open the door, open the door."
2,What?
3,What in the devil?
4,"Can you please stand up and take us to the cash drawer, ma'am?"
5, I will not.
6, We ain't asking.
7,There's no money in the drawers yet.
8,It's in the safe and I ain't got the code.
9,Prove it.
10,Drawer!
11,Here.
12,Open the drawer.
13, I need the keys.
14, Keys.
15,Step back.
16,Shit. Damn it!
17,"Y'all are new at this, I'm guessing."
18, Where's the money?
19," I told you, it's in the safe."
20," Well, who has the code?"
21, Mr. Clauson.
22,He'll be here soon and I suggest you fellers don't be.
23,All you're guilty of right now is being stupid.
24,Just leave and that's all it'll be.
25,Tell me I'm stupid again.
26,What time does Mr. Clauson get here?
27,"Ma'am, look at me."
28,"What time does Mr. Clauson get here, huh?"
29,We're walking.
30,And sit.
31,Where do you think you're going?
32,Sit on the floor!
33,You're stupid.
34,"This ain't about you, darling."
35,"Elsie, you all right?"
36,Good morning.
37,You didn't have to hit him.
38, Slow down.
39, I ain't speeding.
40,"See, little brother, not a worry in the world."
41,Planning this and doing it is two different things.
42,"Maybe we should get there ahead, get up to Olney."
43,Early bird gets the worm.
44, Slow down.
45, I ain't speeding.
46,I found these coins in the barn.
47,Lord knows how long they've been sitting there.
48,"I've been living off an inmate's diet, and had all these coins sitting right underneath a bunch of feed sacks."
49, This one says 1953.
50,1953?
51,I wonder if any of these is collector's items.
52,You could be sitting on a fortune here.
53,I hope so.
54,"Good morning, folks."
55,Open the drawer!
56,Open the motherfucking drawer!
57,"Ones, fives, 10s, 20s, no hundreds, no bundles."
58, You boys robbing the bank?
59, Shut up.
60,Put your hands on the counter.
61,On the counter.
62," Yes, sir."
63," That's it, come on."
64,That's crazy.
65,Y'all ain't even Mexicans.
66,"Uhuh, uhuh."
67,No bundles.
68,Just loose cash.
69,Okay You ought to be ashamed of yourselves.
70,Hands on the counter where I can see them!
71,"Yes, sir."
72,"You got a gun on you, old man?"
73,You're damn right I got a gun on me.
74, Are you gonna get his gun?
75, Yeah.
76,"Keep up with the circumstances, okay?"
77," Yeah, I got it."
78," So are y'all gonna steal my gun, too?"
79,I have my own gun.
80,We ain't stealing from you.
81,We're stealing from the bank.
82,Much obliged.
83,Let's go!
84,"Sorry about this, folks."
85,"Dirty, rotten sons of bitches."
86,"Fuck you, old man!"
87,"Go, run, go!"
88,Put the gun on the counter?
89,You trying to get us killed?
90,I ain't stealing from some old man.
91,"We're stealing from one place, that's it."
92,You're turning out to be a poorass criminal.
93,"Oh, fuck you."
94,Whoo!
95,See what the early bird gets?
96,Maybe we should hit that branch in Jayton?
97,"No, we ain't."
98,"We hit those banks first thing in the fucking morning, when they're empty."
99," When they're empty, God damn it!"
100, All right.
101,It's the last time I care to be shot at.
102,We got to be smart.
103,We're a ways from being finished.
104,"Shit, I can do this all week."
105,We're gonna.
106,"We're like the Comanches, little brother, raiding wherever we please with the whole of Texas hunting our shadow."
107,Lord of the Plains.
108, Hands off.
109, Fuck off!
110,You hear about these bank robberies?
111,Why are you always dressed like me?
112,This is our uniform.
113,We ain't got no uniform.
114,You can wear whatever color shirt you choose.
115,You just keep choosing mine.
116,"Ranger regs say white, blue, or tan dress shirts."
117,Stands to reason every once in a while we're gonna be dressed the same.
118,"Well, you know what they say about imitation, Alberto."
119,"You wanna hear about these bank robberies, or you'll just sit there and let Alzheimer's run its course?"
120,Where are they at?
121,Texas Midlands the branch in Archer City and the branch in Olney.
122,FBI want an assist?
123,Midlands ain't got any branches outside Texas.
124,"Plus, they're just hitting the drawers for a few thousand."
125,FBI don't want it.
126,You may get to have some fun before they send you off to the rocking chair yet.
127,I need you sober.
128,Who the hell gets drunk off a beer?
129,Place looks like shit.
130,You got anything else you wanna say?
131,There's not a decent steak in the whole lot of them sorry sons of bitches.
132,"Yeah, well, while you were busy in jail, I was busy looking after Mama, so you can go fuck yourself."
