,dialog
0,"(SINGING) Oh, no Oh, no Ahhh, oh, no Ahhh, oh, no Ahhh, oh, no No, she don't mess around No, she don't mess around MIKE: 100% blue agave."
1,Taste it.
2,"RANDY: Look, Mike, I like you."
3,But no one's looking for another brand of tequila.
4,They've got the three...
5,What is it?
6,"The Cuervo, the other one, and the third one."
7,And they don't need more tequila.
8,"If I can't sell it, it's not gonna sell."
9,People want the newnew.
10,"The ""newnew""?"
11,"The ""newnew."" They want that newnew."
12,No!
13,What if I could sell this tequila to a customer?
14,Would I have your order then?
15,"(LAUGHS) Yeah, sure."
16,And I'm just gonna pick a customer at random.
17,"Excuse me, sir."
18,Do you enjoy the taste of tequila?
19,"Why, yes, I do."
20,"But I only drink my particular brand, and you will not convince me otherwise."
21,It's a perfect candidate.
22,Because it's your brother!
23,I know that's your brother.
24,He dated my niece.
25,"Look, mate, I don't know your niece."
26,Okay.
27,But if I did...
28,"I'd say she was a little clingy, and she'd freak a lot of people out."
29,"We play Words With Friends together, right?"
30,"Dave, right?"
31,Name's Rick.
32,Just got in from Melbourne.
33,His name's Rick.
34,I know he's your brother.
35,"Look, look, look."
36,"You guys are funny, you're weird."
37,We do this every couple weeks...
38,"All right, I'll take 10 cases."
39,"Fuck, yes!"
40,(IN NORMAL ACCENT) Yes!
41,Yes! I knew it!
42,"We sold your ass, Randy!"
43,I don't know if that's what happened.
44,"It was the hat, right?"
45,Was it the hat?
46,I just found this over there.
47,"(SINGING) Do something crazy Live like it's Mardi Gras And go jump Make the party start Don't need no R&R To regular life, I say au revoir Yay! Living life in the fast lane Now your pain only be champagne So please come join me One thing, good vibes only Start the keg I'mma fill my cup Got fireworks, got booze Let's blow some shit up Tonight I'm going stupid Doing things I've never done We all got one thing in common We just wanna have fun Do something crazy Okay Do something crazy Do what you wanna do Do something crazy I'm about to do I'm about to do Do something crazy Do something crazy Do something wild Rolling with the homies Chicks by my side Live for the moment All of the time Turn up the music Only good vibes DAVE: Sorry to throw the accent at you, bro."
48,"MIKE: No, dude. I loved it, and it kept me in the now."
49,Do you realize that that sale puts us at number three in the office?
50,The Stangle bros are killing it right now!
51,MIKE: It's not an actual hat.
52,They just call it a jimmy hat.
53,"If you wear two, they break."
54,It's an urban legend...
55,"No, it's not."
56,"Mom, Dad?"
57,DAVE: Jeanie. Eric.
58,Don't freak out.
59,I don't want you to freak out.
60,Just come on in.
61,BURT: Why don't we all just sit down?
62,We gotta talk to you.
63,We wanna discuss Jeanie and Eric's wedding.
64,DAVE: Oh! Sweet.
65,MIKE: Okay.
66,DAVE: Are you guys thinking DJ or band?
67,"First thought, band, right?"
68,No. People want to hear the real songs.
69,You don't want to hear a guy singing Beyonc̩.
70,You just want to hear Beyonc̩.
71,Oh.
72,"Yeah, but we want to talk about..."
73,is you two.
74,"Now, over the years..."
