,dialog
0,Reynolds has made my dreams come true.
1,And I have given him what he desires most in return.
2,And what's that?
3,Every piece of me.
4,"He's a very demanding man, isn't he?"
5,Must be quite a challenge to be with him.
6,Yes.
7,Maybe he's the most demanding man.
8,"Morning, ladies."
9, Morning.
10," Morning, madam."
11,"Good morning, ladies."
12," Morning, Biddy."
13," Morning, Mr. Woodcock."
14," Morning, Nana."
15," Morning, Mr. Woodcock."
16, Pippa.
17," Morning, sir."
18,Try these.
19,Reynolds. They're delicious.
20,"Remember I told you, Johannaâ."
21,No more stodgy things?
22,I didn't know that.
23,You may have told it to someone else.
24, Morning.
25," Morning, my old soandso."
26,"Where have you gone, Reynolds?"
27,There's nothing I can say to get your attention aimed back at me.
28,Is there?
29,"I cannot begin my day with a confrontation, please."
30,I'm delivering the dress today.
31,And I can't take up space with a confrontation.
32,I simply don't have time for confrontations.
33,"Good morning, Countess."
34,"Good morning, Cyril."
35,"Good morning, Peter."
36,Who is this beautiful stranger?
37,"I need to see you far more often, Henrietta."
38, I am very excited.
39," I am, too. Come in."
40,Exquisite.
41,Yes?
42,Let's take it for a walk.
43,"Beautiful work, ladies."
44, Thank you very much.
45, Thank you.
46,"It's beautiful, Reynolds."
47,Worth everything we've been through.
48,I feel like it will give me courage.
49,"Ladies and gentlemen, take your seats, please."
50," Evening, Stephen. Is she here?"
51," Yes, sir."
52,What do you want to do about Johanna?
53,"I mean, she's lovely, but the time has come."
54,"And she's getting fat, sitting around waiting for you to fall in love with her again."
55,I'll give her the October dress.
56,If that's all right.
57,"I have an unsettled feeling, based on nothing I can put my finger on."
58,Just butterflies.
59,"Been having the strongest memories of Mama lately, coming to me in my dreams, smelling her scent."
60,The strongest sense that she's near us.
61,Reaching out towards us.
62,I very much hope that she saw the dress tonight. Don't you?
63,Yes.
64,It's comforting to think the dead are watching over the living.
65,I don't find that spooky at all.
66,Why don't you go to the country tonight?
67,I'll follow tomorrow.
68,Good idea.
69,I like that idea very much.
70,My old soandso.
71,Mr. Hansford?
72, Mr. Hansford?
73, Hello?
74, Good morning.
75, Morning.
76," Fill it up, please."
77, I will do.
78,Check the oil and the tires.
79,Lovely. Thank you.
80,It's a hard frost this morning.
81,"It's cold, isn't it?"
82,It's very bitter.
83,Ugh.
84,"Excuse me. Could we have a bit more toast, please?"
85,Yes.
86, Here you are.
87, Thank you.
88, Good morning.
89, Morning.
90,What would you like to order?
91,A Welsh rarebit...
92,"With a poached egg on top, please."
93,Not too runny.
94,"And bacon, scones, butter, cream, jam, not strawberry."
95,No.
96,Raspberry?
97,What else?
98,Coffee or tea?
99,Do you have Lapsang?
100,"I'll have a pot of Lapsang, please."
101,Good choice.
102,And some sausages.
103,And some sausages.
104,Show me.
105,Will you remember?
106,Yes.
107,I'm keeping this.
108,And now?
109,Will you have dinner with me?
110,Yes.
111,"For the hungry boy, my name is Alma."
112, Am I late?
113, No.
114,What do you think?
115,Hmm.
116,I like the sauce.
117,Custard.
118,It's quite good.
119,Mmmhmm.
120,"May I, Alma?"
121,I like to see who I'm talking to.
122,Here.
123,Mmm.
124,There you are. That's better.
125,Does your mother have brown eyes?
126,Green.
127,Do you look very much like her?
128,"I don't know, I think so."
129,Do you have a photograph?
130,Yes.
131, Would you let me see it?
132," Not here, at home."
133,Carry it with you.
134,Always carry her with you.
135,Where's yours?
136,Your mother.
137,She's here in the canvas.
138, What do you mean?
139, Hmm.
140,You can sew almost anything into the canvas of a coat.
141,"Secrets, coins, words, little messages."
142,"When I was a boy, I started to hide things in the linings of the garments, things that only I knew were there."
143,"And over my breast, I have a lock of my mother's hair, to keep her close to me always."
144,She was quite a remarkable woman.
145,She taught me my trade.
146,So I try to never be without her.
147,You must love her very much.
148,Hello.
149,This is Alma. Say hello to Alma.
150,Hello.
151,This is Alma.
152,Come say hello to Alma.
153," Come on, come on."
154, Hello.
155,"Shall we show her the house, lads?"
156,I made this dress for her when I was 16 years old.
157,It's beautiful.
158,"'Twas for her second husband, for the wedding."
159,My father had died many years before.
160,"Our nanny, the evil Miss Blackwood..."
161,"Black Death, we used to call her."
162,"Because of superstition, she refused to help me sew the dress, as she believed it would bring her bad fortune, to never be a bride."
163,Not that anyone would have had her.
164,"And she seemed ancient to us, I have no idea how old she actually was, and monstrously ugly."
165,So...
166,"I worked alone for months and months, hunched over, sewing and sweating and sewing."
167,And the Black Death never married anyway.
168,All the help I could have had from her.
169,"'Twas my sister, Cyril, came to my rescue in the end."
170,There are endless superstitions when making a wedding dress.
171,Young girls afraid they'll never marry if they touch one.
172,Or models afraid they'll marry only bald men if they put one on.
173,And where's the dress now?
174,I have no idea what happened to it.
175,No idea.
176,Most probably turned to ashes by now.
177,Fallen to pieces.
178,And your sister?
179,What?
180,Did she ever marry?
181,No.
182,"C'mon, boys, let's have a fire."
183,"If you want to have a staring contest with me, you will lose."
184,Hmm.
185,Hmm.
186,You're a very handsome man.
187,You must be around many beautiful women.
188,Yes.
189,"So, why are you not married?"
190,I make dresses.
191,You cannot be married when you make dresses?
192,I'm certain I was never meant to marry.
193,I'm a confirmed bachelor.
194,I'm incurable.
195,Hmm.
196,Marriage would make me deceitful and I don't ever want that.
197,You sound so sure about things.
198,I'm sure about that.
199,I think you're only acting strong.
200,"No, lam strong."
201,"For who? Not for me, I hope."
202,I think it's the expectations and assumptions of others that cause heartache.
203,Would you help me with something?
204, Yes.
205, Come on.
206,Good. Just jump up on the box for me.
207,I think we're going to try and pull this back for you.
208,Pretty good.
209,One moment.
210,We'll save that one for another time.
211,Quite nice.
212,"But, um..."
213,Mmm.
214,Bit serious.
215,This one.
216,Do you like it?
217, Yes.
218, It's very good.
219,That's it.
220,"Let's get that off you, and then I'd like to take your measurements."
221,Is that all right?
222,And who's this lovely creature making the house smell so nice?
223,"Hello, I'm Alma."
224,I'm Cyril.
225,Sandalwood and rose water.
226,"Mmm. Sherry, and..."
227,Lemon juice?
228,Mmm. Mmmhmm.
229,We had fish for dinner.
230,My old soandso.
231,Would you mind?
232,Can you step towards me? Ready?
233,Thirtytwo.
234,Thirty.
235,Thirtyone.
236,Thirtyfive and a half.
237,Fourteen and a half...
238,Seventeen...
239,Twenty.
240, Can you just stand normally?
241, Yes.
242, I stand normally.
243, Like before.
244, What do you mean?
245, Straight.
246, Straight.
247, Like that.
248,"Yeah, you didn't say that."
249,Sixteen and a half.
250,Eight and a half.
251,You have no breasts.
252,Twentytwo.
253," Yes, I know."
254, Thirtytwo and a half.
255,You can drop your arm now.
256, I'm sorry.
257," No, no, you're perfect."
258,"My job to give you some, if I choose to."
259,Ten.
260,Nine.
261,Six and a half.
262,Twentyfive.
263,And 45. That's it.
264, Would you try something else for me?
265, Yes.
266,You have the ideal shape.
267, I do?
268, Mmmhmm.
269,He likes a little belly.
270,I never really liked myself.
271,"I thought my shoulders were too wide, my neck was skinny like a bird, that I had no breasts."
272,"I felt my hips were larger than needed, and my arms too strong."
273,I feel as if I've been looking for you for a very long time.
274,You found me.
275,"Whatever you do, do it carefully."
276,"But in his work, I become perfect."
277,And I feel just right.
278,"Good evening, Mr. Woodcock, sir."
279,Maybe that's how all women feel in his clothes.
280,"You look beautiful, really."
281,Very beautiful.
282,You're making me extremely hungry.
283, Thank you.
284, I ordered you a steak tartare.
285,"Oh, perfect. Thank you."
286,My little carnivore.
287,I've just been on the telephone to your favorite client.
288,Mmmhmm.
289,Barbara Rose is getting married again.
290,"Oh, goody."
291,All right. Well...
292,Think I'd better have another one of these.
293,That's your room.
294,I'm right next door.
295,Get your rest.
296,We'll start early in the morning.
297,How early?
298,I'll wake you.
299,Good night.
300,Good night.
301,"Sometimes we wake up at 4:00 in the morning, after we've gone to bed at midnight."
302,And then he's ready to start again.
303,And I can stand endlessly.
304,No one can stand as long as I can.
305,"What is it, Alma?"
306,"What are you looking so forlorn about, hmm?"
307,"I don't know, I..."
308,I think I don't like the fabric so much.
309,"Well, Alma, this fabric is adored by the women who wear our design."
310,It's perfect for this dress.
311,Cyril is right.
312,Cyril is always right.
313,It's not because the fabric is adored by the clients that Cyril is right.
314,It's right because it's right.
315,Because it's beautiful.
316,"Maybe one day you'll change your taste, Alma."
317,Maybe not.
318,Maybe you have no taste.
319,Maybe I like my own taste.
320,"Yes, just enough to get you into trouble."
321, Perhaps I'm looking for trouble.
322, Stop!
323,"You know, at the big races and the Derby and, uh, thoseâ."
324, Yes?
325," Excuse me, Mr. Woodcock."
326,I would like to say that I hope one day I could wear one of your dresses.
327,"Oh, thank you."
328,"If that's your wish, I hope it comes true for you."
329,She really means it.
330,She told me she wants to be buried in a dress that you make.
331,Hmm.
332, Thank you.
333," Thank you, ladies, for your kind words."
334,Good night.
335, Thank you.
336, Thank you!
337, Good night. Thank you very much.
338, Good night.
339,"You'd dig her up and sell the dress again, wouldn't you, Nigel?"
340,"Well, otherwise it would seem to be going to a waste, but, yeah, I mean, one but can try."
341,"Nigel, why aren't you eating your profiteroles?"
342,What?
343,Have you had enough to eat?
344,You seem thirsty.
345,"Morning, Reynolds."
346,Mmmhmm.
347," Morning, Cyril."
348,"Please, don't move so much, Alma."
349,"I'm buttering my toast, I'm not moving too much."
350,"Well, it's too much."
351,"It's a distraction, it's very distracting."
352,Maybe you pay too much attention to it.
353,It's hard to ignore.
354,It's as if you just rode a horse across the room.
355,This is too much movement.
356,It is entirely too much movement at breakfast.
357,Perhaps you should take your breakfast after him.
358,Or in your room.
359,I think he's being too fussy.
360,"His routine, when he's in it, is best not shaken."
361, Well...
362," This is a quiet time, not to be misused."
363,"If breakfast isn't right, it's very hard for him to recover for the rest of the day."
364,I didn't know that.
365,"No, of course you didn't."
366,But you do now.
367,Still I think he's too fussy.
368,"Well, that's as may be."
369,This is Flemish bobbin lace from the late 1600s.
370,"It's very rare, very precious."
371,I rescued it from Antwerp during the war.
372,I've been waiting for the right moment to...
373,To make something with it.
374,Hold it.
375, That's very nice. That's beautiful.
376, That's good.
377, Best yet. Beautiful.
378, Very nice. Turn towards the light.
379,"Um, just look towards the window, please, Alma."
380,"Amber, could you just lift the bodice, a little bit?"
381,It keeps dropping down.
382,We need to get that adjusted properly.
383,It's ridiculous.
384, Just get it fixed.
385," Yes, sir."
386,"Should've been ready today, quite honestly."
387,Keep your eye on that.
388, Together.
