,dialog
0,Who has stolen the child's dream?
1,The mad genius Krank in his evil scheme.
2,To what vicious depths will he not descend?
3,Will the tale turn to tragedy...
4,or have a happy end?
5,"Step up, ladies and gentlemen!"
6,Step right up! Come closer.
7,Don't be afraid.
8,See the strongest man in the world.
9,"Look at those chains, made of the same steel..."
10,"as that used to lift Yes, my friends The true light is invisible."
11,Penetrate the corridor of shadows...
12,and you will enter the world of the chosen ones.
13,Renounce the gift of sight.
14,I know there are skeptics among you...
15,afraid to share with us the dead of night.
16,Be brave.
17,Renounce your gift of sight.
18,Pluck out your eyes.
19,Come and join us.
20,Help us build a better world.
21,The crusher Bones is going to try once more to shatter steel...
22,only using the power of his mighty arms.
23,"Please, ladies and gentlemen, I want absolute silence..."
24,during the demonstration.
25,"I must beg of you, for your own safety..."
26,not to look him in the eye...
27,because his power of concentration is so great...
28,that he might provoke a cerebral hemorrhage...
29,in the weaker ones among you.
30,"Mr. One, ready?"
31,"And now, attention!"
32,Little thief!
33,Stealing money from orphans.
34,I'll teach you!
35,Let go of that!
36,What's going on?
37,What's the matter?
38,The poor man's not well.
39,Don't move!
40,Don't move or I'll waste you!
41,Denree!
42,Kill him!
43, Who's that?
44, He's the strong man at the fun fair.
45,I don't know him.
46,What do you want?
47,I have lost little brother.
48,He didn't come all by himself.
49,"Well, well, kiddies, hard at work?"
50,It looks like you're doing really well.
51,Thanks for waiting for us.
52,Thank you.
53,"Just remember, my ears are so sharp..."
54,that I can hear you think.
55,Go buy yourself some sweets.
56,Don't overdo it.
57,Come on. Move your bum.
58,Go on. Here.
59,Move it!
60,Get the tools and let's beat it.
61,Move it!
62,Those rotten Cyclops.
63,Don't worry.
64,We know where to find them.
65,And him?
66,What about him?
67,You helped us out.
68,Here. Now we're even.
69,"Hey, girl. Cyclops."
70,You know where to find Cyclops?
71,Will you get lost?
72,Beat it!
73,"Happy birthday, Uncle dear Our wish is most sincere We hope this cake of ours will bring you happiness Good fortune and success Wait till the candles are blown out!"
74,"In fair or foul weather We'll always be together Happy birthday, Uncle Irvin."
75,A cake for me?
76,You're really too kind.
77,"Are you ready, children?"
78,Not you.
79,You've got a cold.
80,"One, two."
81,What is all this bellowing about?
82,"But, sweetheart, it's Irvin's birthday."
83,Irvin's birthday?
84,"Why, of course."
85,How could I have forgotten?
86,Let us celebrate.
87,Let us all make merry.
88,"Everyone, let's shout!"
89,Scream out!
90,"Krank, come back."
91,I had a thought last night.
92,If these children only have nightmares...
93,it's perhaps because the evil is in you.
94,Why not seek the cause of your torment...
95,in the molecular study of your own tears?
96,Who could make me cry?
97,"Well, boss..."
98,we could make you cry with laughter.
99,I am a gnome a bag of bones A man of means and full of beans The girls in Spain sing my refrains I've such a pain that it's insane You mustn't be angry.
100,Your brothers are doing their best.
101,My brothers?
102,May I give it a try?
103,"Go ahead, mollusk."
104,"Once upon a time, there was an inventor so gifted..."
105,that he could create life.
106, Truly remarkable man.
107," Ah, a fairy tale."
108,I can already feel tears in my eyes.
109,Since he had no wife or children...
110,he decided to make them in his laboratory.
111,He started with his wife and fashioned her...
112,into the most beautiful princess in the world.
113,"Alas, a wicked genetic fairy cast a spell on the inventor..."
114,so much so that the princess was only kneehigh to a grasshopper.
115,He then cloned six children in his own image.
116,"Faithful, hardworking, they were so alike..."
117,no one could tell them apart.
118,"But fate tricked him again, giving them all sleeping sickness."
119,"Craving someone to talk to, he grew in a fish tank..."
120,a poor migraineridden brain.
121,"And then, at last, he created his masterpiece..."
122,more intelligent than the most intelligent man on Earth.
123,"But, alas, the inventor made a serious mistake."
124,"While his creation was intelligent, he, too, had a defect."
125,"He never, ever had a dream."
126,You can't imagine how quickly he grew old...
127,because he was so unhappy.
128,Boss.
129,There!
130,"An eye dropper, quick!"
131,An eye dropper!
132,Then the poor masterpiece became so crazed...
133,that he believed a single teardrop could save him.
134,"And, after committing many cruel deeds..."
135,he died a horrible death...
136,never knowing what it is to dream.
137,Get out!
138,"All of you, get out!"
139,"Goodbye, Uncle. Happy birthday."
140,See you tonight.
141,Silence...
142,you glub!
143,What do you expect us to do with that?
144,I wouldn't waste a nail to hang it up.
145,"But it's pretty, isn't it?"
146,Don't get smart with us.
147,The picklock won't always be there to save your behind.
148,"All right, get lost."
149, That's all?
150, Afraid so.
151,If you keep being sassy You'll be sorry.
152,"There's no shortage of orphans, Miette."
153,"Listen carefully, Tadpole."
154,"You don't want to go to the hole, do you?"
155, It's very cold there.
156, And pitch black.
157,And full of spiders.
158,So give us all the rest.
159,The rest.
160,There's a fine lad.
161,See? When you want to.
162,"Now, the second shift."
163,"The neighborhood's calm, isolated."
164,But be careful.
165,You never know.
166,There's a backyard.
167,You'll go that way with all the stuff.
168,"On the landing, there are three doors."
169,One is locked from inside.
170,That's the one that must be forced.
171,Behind is what interests us.
172,Here's the prize.
173,It's identical to the one where he hides his loot.
174,The problem with this safe: it takes two hours to crack it.
175,Two hours?
176,We're going to get caught.
177,"We have no choice, unless you know someone capable of carrying it."
178,Somebody got in.
179, You big idiot!
180, He's right here now.
181,Do I pay you to sleepwalk?
182,Who is this guy?
183, Don't ask me.
184, I know who he is.
185,"The strong man at the fair, the one who breaks his chains."
186,Are you thinking what I'm thinking?
187,"Nice going, Mr. One."
