,dialog
0,"Subtitles by <font color""ff0000"">explosiveskull</font> Resync by <font color""00ffff"">GoldenBeard</font> You Red Welby?"
1,"Yes, ma'am."
2,How may I help you?
3,Are you in charge of renting the three billboards out on Drinkwater Road?
4,I didn't know we had any billboards on...
5,Where is Drinkwater Road?
6,Past Sizemore turnoff.
7,Nobody uses it since the freeway got put in.
8,You're right.
9,We got three billboards out there.
10,Nobody's put nothing up there since 1986.
11,That was Huggies.
12,How much to rent all three of them out for the year?
13,A year?
14,On a road that no one goes down unless they got lost or they're retards...
15,For a year?
16,"Quick, ain't you, Welby?"
17,"Well, since what I say goes these days down at the Ebbing Advertising Desk..."
18,I'm gonna strike you a real good deal.
19,What's your name?
20,What's the law on what you can and cannot say on a billboard?
21,"Nothing defamatory, and you can't say ""fuck"", ""piss"" or ""cunt"". That right?"
22,Uh...
23,Or...
24,Anus.
25,"Well, I think I'll be all right then."
26,"Here's 5,000 for the first month."
27,I assume that'll cover it.
28,And here's what they are to say.
29,Why don't you write up a contract betwixt us while you're at it.
30,Make sure nobody rents them billboards out from under me.
31,I guess you're Angela Hayes's mother.
32,That's right.
33,I'm Angela Hayes's mother.
34,Name's Mildred.
35,How long before you get them put up?
36,Shall we say by...
37,Easter Sunday?
38,That would be perfect.
39,"âª As I was walking down the streets of Laredo âª âª As I walked down to Laredo one day âª âª I spied a young cowboy all wrapped in white linen âª âª All wrapped in white linen and cold as the clay âª Hey, what the hell is this?"
40,Que?
41,"""How come, Chief Willoughby"" what?"
42, What?
43, Yeah.
44,Huh?
45,"""How come"" what?"
46," What, what?"
47, What?
48,"Listen, you fucking beaner, I'd better start getting some straight answers."
49,Put that down.
50,What the hell is this?
51,"Hey, you."
52,What the fuck is this?
53,What the fuck is what?
54,This! This.
55,"Advertising, I guess."
56,Advertising what?
57,Something obscure?
58,I'll say. Yeah.
59,Don't I know your face from some place?
60,"I don't know, do you?"
61,"Yeah. Yeah, I do."
62,I could arrest you right now...
63,For what?
64,For emptying your bucket.
65,That's being bad against the environment laws.
66,"Well, before you do that, Officer Dixon, how about you have a look at that first billboard over there?"
67,And then we can have ourself a conversation about the motherfucking environment.
68,How about that?
69,Fuck me.
70,"Don't, William."
71,"Dixon, you goddamn asshole."
72,I'm in the middle of my goddamn Easter dinner.
73,"Sorry, kids."
74,"I know, Chief, and I'm sorry for calling you at home and all, but..."
75,I think we got kind of a problem.
76,"No, no. Go back."
77,"Sorry I'm late, Denise."
78,Did you put up those billboards yet?
79,They're up.
80,"Go, girl. You go fuck those cops up."
81,"What the fuck do you think you're doing, Welby?"
82,You didn't think there would be legal ramifications?
83,"What's the legal ramifications, Cedric?"
84,Do you want me to explain?
85,Little punk like you.
86,And don't call me Cedric!
87,Ain't contravening no laws on any fucking thing.
88,I checked.
89,And where did you check all this out?
90,In a...
91,A book.
92,"Which book, genius?"
93,"Book called Suck My Ass, It's None Of Your Business."
94,Fuck.
95,"How long has this person, or persons, rented these billboards out for?"
96,"Oh, the year."
97,How long has she actually paid for?
98,The year.
99,"So it's a ""she"", is it?"
100,"I ain't at liberty to divulge that kind of information, Chief."
101,"Mildred Hayes, perhaps?"
102,"Ain't at liberty to divulge that kind of information, Chief."
103,"Do you really wanna fuck with the Ebbing Police Department, Red?"
104,Do you?
105,I guess.
106,He said what?
107,To your face?
108,No crime has been committed here.
109,Defamation of character ain't a crime?
110,Not if she's simply asking a question.
111,"What are you, an idiot?"
112,"Don't call me an idiot, Dixon!"
113,"I didn't call you an idiot, I asked if you was an idiot."
114,That was a question.
115,"He got you there, Cedric."
116,That's it.
117,Don't fly off the handle.
118,Why in the hell you keep that man on?
119,He's a good man at heart.
120,"He tortured a guy in custody, Bill."
121,There was no real evidence to support that.
122,Take them down.
123,Take that shit down.
124,What shit?
125,"Hey, boy. Think I wouldn't take you out right here on Main Street, Red?"
126,"Thought you only took out black dudes, Dixon."
127,No! No! Stop it.
128,"You ever fucking touch me, motherfucker..."
129,You drunk?
130, Are you drunk right now?
131, Get up.
132,Nobody ever goes down that road anyways.
133,Unless they got lost.
134,Or they're retards.
135,"Don't be nervous, is the main thing."
136,It will go just fine.
137,"Don't look into the camera, obviously."
138,Let's hold for this car.
139,"In three, two, one."
140,"So, Mildred Hayes, why did you put up these billboards?"
141,"My daughter, Angela, was abducted, raped and murdered seven months ago along this selfsame stretch of road."
142,"What you watching, Momma? Stupid news?"
143,Seems to me the local police department is too busy torturing black folks to be bothered doing anything about solving actual crime.
144,I thought these billboards might concentrate their minds some.
145,Fuck.
146,I don't know what the police are doing.
147,I do know that my...
148,...daughter's burnt body is lying six feet underground.
149,They're eating Krispy Kremes and busting eightyearolds for skating around parking lots.
150,"And Chief Willoughby, why single him out?"
151,He's the head of them.
152,Buck's gotta stop somewhere.
153,And the buck stops at Willoughby?
154,Yeah.
155,Dead right it does.
156,"You all right there, fella?"
157,Looks like we got a war on our hands.
158,Can we talk?
159,"I'd do anything to catch the guy who did it, Mrs. Hayes."
160,"But when the DNA don't match no one who's ever been arrested, and when the DNA don't match any other crime nationwide, and when there wasn't a single eyewitness from the time she'd left your house to the time we found her, right now there ain't too much more we can do."
161,Could pull blood from every man and boy in this town over the age of eight.
162,"There's civil rights laws prevents that, Mrs. Hayes."
163,What if he was just passing through town?
164,"Every man in the country, then."
165,What if he was just passing through the country?
166,"If it was me, I'd start up a database."
