,dialog
0,Bing!
1,Maycomb was a tired old town even in 1932 when I first knew it.
2,"Somehow, it was hotter then."
3,Men's stiff collars wilted by 9:00 in the morning.
4,"Ladies bathed before noon, after their 3:00 naps and by nightfall were like soft teacakes with frostings of sweat and sweet talcum."
5,"A day was 24 hours long, but it seemed longer."
6,"There was no hurry, for there was nowhere to go and nothing to buy and no money to buy it with."
7,Although Maycomb County had recently been told that it had nothing to fear but fear itself.
8,That summer I was 6 years old.
9,"Good morning, Mr. Cunningham."
10,"Good morning, miss."
11,My daddy's getting dressed.
12,Would you like me to call him for you?
13,"No, miss, I don't care to bother."
14,"Why, it's no bother, Mr. Cunningham."
15,He'll be happy to see you.
16,Atticus.
17,Atticus!
18,Here's Mr. Cunningham.
19,"Good morning, Walter."
20,"Good morning, Mr. Finch."
21,I didn't want to bother you none.
22,I brought you these hickory nuts as part of my entailment.
23,Thank you. The collards we had last week were delicious.
24,"Well, morning."
25,"Morning, Walter."
26,"Scout, I think maybe next time Mr. Cunningham comes, you'd better not call me."
27,I thought you'd want to thank him.
28,"Oh, I do."
29,But I think it embarrasses him to be thanked.
30,Why does he bring you all this stuff?
31,He is paying me for some legal work I did for him.
32,Why is he paying you like this?
33,That's the only way he can.
34,He has no money.
35,Is he poor?
36,Yes.
37,Are we poor?
38,"We are, indeed."
39,Are we as poor as the Cunninghams?
40,"No, not exactly."
41,"The Cunninghams are country folks, farmers."
42,The Crash hit them the hardest.
43,"Scout, call your brother."
44,"Atticus, Jem's up in the tree."
45,He says he won't come down until you agree to play football for the Methodists.
46,Jem?
47,"Son, why don't you come on down out of there now and have your breakfast?"
48,Calpurnia has a good one.
49,Hot biscuits.
50,"No, sir."
51,Not until you agree to play football for the Methodists.
52,"Son, I can't do that."
53,"I explained to you, I'm too old to get out there."
54,"After all, I'm the only father you have."
55,"You wouldn't want me to go and get my head knocked off, would you?"
56,I ain't coming down.
57,Suit yourself.
58,Morning.
59,"Good morning, Miss Maudie."
60,What's going on over there?
61,"I'm having a terrible time, Miss Maudie."
62,Jem's staying up in the tree until Atticus agrees to play football for the Methodists and Atticus says he's too old.
63,"Every time I want him to do something, he's too old."
64,He's too old for anything.
65,He can do plenty of things.
66,"You be good, children."
67,Mind Cal.
68,"Good morning, Maudie."
69,"Good morning, Atticus."
70,"He won't let me have a gun and he'll only play touch football with me, never tackle."
71,He can make somebody's will so airtight you can't break it.
72,"You count your blessings and stop complaining, both of you."
73,Thank your stars he has the sense to act his age.
74,"Jem, he is pretty old."
75,I can't help that.
76,Hey.
77,"Hey, yourself."
78,I'm Charles Baker Harris.
79,I can read.
80,"You got anything that needs reading, I can do it."
81,How old are you?
82,Fourandahalf?
83,Going on seven.
84,"No wonder, then."
85,"Scout's been reading since she was born, and she don't start school till next month."
86,You look right puny for going on seven.
87,"I'm little, but I'm old."
88,Folks call me Dill.
89,"I'm from Meridian, Mississippi and I'm spending two weeks next door with my aunt Stephanie."
90,My mama worked for a photographer in Meridian.
91,She entered my picture in the Beautiful Child contest and won $5 on it.
92,She gave the money to me and I went to the picture show 20 times with it.
93,Our mama's dead but we've got a daddy.
94,Where's your daddy?
95,I haven't got one.
96,Is he dead?
97,No.
98,Well...
99,"Well, if he's not dead, you've got one, haven't you?"
100,"Hush, Scout."
101,What did I do?
102,What did I do?
103,"Uh, Dill, this is Calpurnia."
104,"Pleased to know you, Dill."
105,Pleased to know you.
106,My daddy owns the L and N Railroad.
107,He's going to let me run the engine all the way to New Orleans.
108,Is that so?
109,He says I can invite anybody...
110,Shh.
111,There goes the meanest man that ever took a breath of life.
112,Why is he the meanest man?
113,"Well, for one thing, he has a boy named Boo that he keeps chained to a bed in the house over yonder."
114,Come on.
115,"See, he lives over there."
116,Boo only comes out at night when you're asleep and it's pitch dark.
117,"When you wake up at night, you can hear him."
118,Once I heard him scratching on our screen door but he was gone by the time Atticus got there.
119,I wonder what he does in there.
120,I wonder what he looks like.
121,"Well, ""judging from his tracks, he's about 6'6"" tall."
