,Unnamed: 0,dialog
0,0, I got here as fast as legally possible.
1,1, Do you have my will?
2,2," Yes, sir."
3,3,I think we should take him to the hospital.
4,4," No, George wants to stay at home."
5,5,Reminds him of his wife and his daughter.
6,6,Don't you think we should  The will.
7,7,I want to change it.
8,8," Stacey, could you please leave us?"
9,9,Thank you.
10,10,"I, George Woods, declare this to be my last will and testament."
11,11,I revoke all wills and codicils previously made.
12,12,"So, you want your will to be read 10 years after you're deceased?"
13,13,"That's not typically how it's done, but I don't see any reason  Do it."
14,14, Mr. Pearson What if they find Mona by then?
15,15, Then read it immediately.
16,16, And the envelopes?
17,17, Notarize them as soon as possible.
18,18," I understand, all under the 10 year term."
19,19,Stacey!
20,20, George.
21,21,George.
22,22, Hello?
23,23," Charlie Hey, Scott?"
24,24,It's Charlie.
25,25, Charlie.
26,26, What the hell do you want?
27,27," Listen, you get a letter from Uncle George's lawyer?"
28,28," Yeah, so?"
29,29," Yeah, we need to talk."
30,30, Scott About what?
31,31," Your wife, Mona."
32,32, Go ahead.
33,33," Found this old photo of Mona, thought you might wanna check, actually, you know what?"
34,34,I'll show it to you at the cabin.
35,35,Later.
36,36, Wait.
37,37,Charlie.
38,38, Hello?
39,39,No.
40,40,"Yes, I'll be home as soon as this will is read."
41,41,"Just tell Jacob, tell Jacob I'll make the game."
42,42,Yes.
43,43,I just have to take care of a few things up here first.
44,44,Love you.
45,45," Oh hey, that's Uncle Charlie."
46,46,But I guess he didn't see us.
47,47," Oh, Mr. Pearson?"
48,48, That's me.
49,49, Brenda It's good to see you.
50,50," I know, it's been quite a while."
51,51,Sorry for the intrusion but you know this was Mr. Woods' idea.
52,52," Oh, there's no need to apologize."
53,53,I completely understand.
54,54,"Besides, this was George's place anyway."
55,55,"Oh please, come in, come in."
56,56,Stacey.
57,57,It's so good to see you.
58,58," Stacey Good to see you, too, Brenda."
59,59," Oh, and who is this handsome young man?"
60,60," This is my grandson, Jeff."
61,61,"He was about, oh, this tall when last you saw him."
62,62, Right.
63,63,It's been more than 10 years since George passed.
64,64, Guess we got the whole friggin' weekend for a little dysfunctional family reunion.
