,Unnamed: 0,dialog
0,0,"That is, Alex, and my three droogs."
1,1,"That is, Pete, Georgie and Dim."
2,2,"And we sat in the Korova Milk Bar, trying to make up our rassoodocks..."
3,3,... what to do with the evening.
4,4,The Korova Milk Bar sold milk plus.
5,5,Milk plus vellocet or synthemesc or drencrom...
6,6,... which is what we were drinking.
7,7,This would sharpen you up...
8,8,...and make you ready for a bit of the old ultraviolence.
9,9,"In Dublin's fair city Where the girls are so pretty I first set my eyes On sweet Molly Malone As she wheeled her wheelbarrow Through streets broad and narrow Crying, ""Cockles and mussels ..."" One thing I could never stand ..."
10,10,"... was to see a filthy, dirty old drunkie..."
11,11,...howling away at the filthy songs of his fathers...
12,12,"...and going ""blerp blerp"" in between..."
13,13,...as it might be a filthy old orchestra in his stinking guts.
14,14,"I could never stand to see anyone like that, whatever his age."
15,15,"But more especially when he was real old, like this one was."
16,16,"Can you spare some cutter, me brothers?"
17,17,"Go on! Do me in, you bastard cowards!"
18,18,I don't want to live anyway.
19,19,Not in a stinking world like this.
20,20,And what's so stinking about it?
21,21,It's a stinking world because there's no law and order anymore!
22,22,It stinks because it lets the young get onto the old...
23,23,...like you done!
24,24,It's no world for an old man any longer.
25,25,What kind of a world is it at all?
26,26,Men on the moon.
27,27,Men spinning around the earth.
28,28,And there's not no attention paid...
29,29,...to earthly law and order no more.
30,30,"Oh, dear land I fought for thee It was at the derelict casino that we came across Billyboy..."
31,31,...and his four droogs.
32,32,They were about to perform a little of the old...
33,33,"...inout, inout on a weepy young devotchka they had there."
34,34,"Well, if it isn't fat, stinking..."
35,35,... billy goat Billyboy in poison.
36,36,How are thou...
37,37,"...thou globby bottle of cheap, stinking chipoil?"
38,38,Come and get one in the yarbles...
39,39,...if you have any yarbles...
40,40,"...you eunuch jelly, thou."
41,41,"Let's get them, boys!"
42,42,The police!
43,43,Come on. Let's go!
44,44,The Durango 95 purred away real horrorshow.
45,45,"A nice, warm vibratey feeling all through your guttiwuts."
46,46,"Soon it was trees and dark, my brothers..."
47,47,... with real country dark.
48,48,We fillied around with other travelers of the night...
49,49,...playing Hogs of the Road.
50,50,Then we headed west.
51,51,What we were after now was the old surprise visit.
52,52,That was a real kick...
53,53,...and good for laughs and lashing of the old ultraviolent.
54,54,Who on earth could that be?
55,55,I'll go and see.
56,56,"Yes, who is it?"
57,57,"Excuse me, can you please help?"
58,58,There's been a terrible accident!
59,59,My friend's bleeding to death!
60,60,Can I please use your telephone for an ambulance?
61,61,We don't have a telephone.
62,62,You'll have to go somewhere else.
63,63,"But, missus, it's a matter of life and death!"
64,64,"Who is it, dear?"
65,65,A young man.
66,66,He says there's been an accident.
67,67,He wants to use the telephone.
68,68,"Well, I suppose you better let him in."
69,69,"Wait a minute, will you?"
70,70,"I'm sorry, but we don't usually let strangers in What do you want from me?"
71,71,"Pete, check the rest of the house. Dim ..."
72,72,I'm singing in the rain Just singing in the rain What a glorious feeling I'm happy again I'm laughing at clouds So dark up above The sun's in my heart And I'm ready for love Let the stormy clouds chase Everyone from the place Come on with the rain I've a smile on my face I'll walk down the lane With a happy refrain And I'm singing Just singing...
73,73,...in the rain I'm singing in the rain Just singing in the rain What a glorious feeling I'm happy again I'm laughing at clouds So dark up above The sun's in my heart And I'm ready for love Let the stormy clouds chase Everyone from the place Come on with the rain I've a smile on my face I'll walk down the lane With a happy refrain And I'm singing Just singing...
74,74,"...in the rain Viddy well, little brother."
75,75,Viddy well.
76,76,We were all feeling a bit shagged and fagged and fashed...
77,77,"...it having been an evening of some small energy expenditure, oh my brothers."
78,78,So we got rid of the auto and stopped at the Korova for a nightcap.
79,79,"Hello, Lucy."
80,80,Had a busy night?
81,81,We've been working hard too.
82,82,"Pardon me, Luce."
83,83,There was some sophistos from the TV studios around the corner...
84,84,...laughing and govoreeting.
85,85,"The devotchka smeched away, not caring about the wicked world one bit."
86,86,Then the disk on the stereo twanged off and out.
87,87,And in the short silence before the next one came on...
88,88,...she suddenly came with a burst of singing.
89,89,"And it was like, for a moment, O my brothers..."
