,Unnamed: 0,dialog
0,0,Time travel...
1,1,Will turn your brain into spaghetti if you let it.
2,2,Best not to think about it.
3,3,"Best just to get on with the job in hand, which is destroying the enemy before they're even born and have a chance to threaten us."
4,4,We're expecting any resistance to be light as the ancestors of our enemies have yet to evolve any thumbs...
5,5,Or indeed spines.
6,6,But that does not change the fact that they may one day evolve into a species that may pose a threat to us.
7,7,And for that reason we are gonna rain down a fiery death upon them that will turn the surface of their planet into a radioactive desert!
8,8,"Because we are the planetary peace corps, and that is what we do!"
9,9,Now...
10,10,Are you nappy wearing motherfuckers ready to lock 'n' load and get it on?!
11,11,"No no no no, shh."
12,12,"Look, it's not even a real gun! Ooh ooh."
13,13,Ooh. Look at all the lights!
14,14,Shut up!
15,15,Shut up!
16,16,"Man over P.A.: Due to technical difficulties, star ride is closed until further notice."
17,17,"Due to technical difficulties, star ride is closed until further notice."
18,18,Two for one at dinoburger.
19,19,Two for one at dinoburger.
20,20,It doesn't even make any sense.
21,21,Why would we do this?
22,22,"Toby, don't start."
23,23,"Bye, love. All right, love, two for one at dinoburger."
24,24,"We're encouraging people to eat dinosaurs to eat us, you know?"
25,25,Why do we do that?
26,26,We're not real dinosaurs.
27,27,We should be dressed as cavemen.
28,28,"Tobe, why do you always do this?"
29,29,You were the same on the bloody ghost train.
30,30,That wasn't logical either.
31,31,Everyone knows werewolves and vampires are natural enemies.
32,32,There is no way they would team up to attack a train.
33,33,"Toby, stop thinking..."
34,34,Yeah ...and talking.
35,35,"Yeah, you're right, actually."
36,36,We can't think that much because a dinosaur's brain is only the size of a walnut.
37,37,"As far as talking goes, you know, it's just like Tobe, tobe, tobe, stop it."
38,38,You wanna be careful you don't get lost in the role.
39,39,I heard of this one guy over on the star ride actually thought he was a space ranger traumatized a load of kids.
40,40,They sacked him.
41,41,"Oh, hello, ray."
42,42,Didn't see you there.
43,43,"Pete, tobe."
44,44,"It was a crappy job, anyway."
45,45,Yeah.
46,46,Loser.
47,47,Says the man dressed as a dinosaur.
48,48,So what are you gonna do?
49,49,"I don't know. I was thinking about maybe moving back home, taking that job at my uncle's place."
50,50,Why would you wanna do that? We can get you another job here.
51,51,Where?
52,52,Barry burp's bubble ride.
53,53,Get you a job there easy.
54,54,High turnover 'cause of the chlorine in the eyes.
55,55,"Mmm, it is tempting, but there should be more to life than dressing up as a bubble."
56,56,Maybe it's time to get real.
57,57,So...
58,58,In an ideal world what would be your perfect job?
59,59,I don't know comics shop?
60,60,"Oh, come on."
61,61,Think bigger.
62,62,Astronaut.
63,63,"Yeah, cool, but I mean your absolute dream job."
64,64,"I mean, if there was no limit at all."
65,65,No limits?
66,66,"Well, it's obvious. It's gotta be time lord."
67,67,"Oh, come to daddy."
68,68,"Ooh, what's that, four minutes, 32?"
69,69,That's bollocks. You led him on.
70,70,What's this?
71,71,It was a bet. He reckoned you were gonna mention time travel in under five minutes.
72,72,You're making bets on me?!
73,73,The day I get fired you're making bets on me!
74,74,He did.
75,75,I didn't want to.
76,76,"I do talk about other things, you know?"
77,77,What?
78,78,Like SciFi?
79,79,Ahem.
80,80,How many times?
81,81,"It's not SciFi, Pete."
82,82,"It's science fiction, or s.F., which can also stand for speculative fiction."
83,83,Jesus. You wonder why you can't get laid.
84,84,I can.
85,85,I do.
86,86,Some girls are into science fiction.
87,87,"Yeah, you see, that's your problem, ray."
88,88,Your ideal girl is you...
89,89,With tits.
90,90,"In fact, your ideal girl is him..."
91,91,With tits.
92,92,I object to that.
93,93,Now that was a shit film.
94,94,Yeah.
95,95,"Someone should write a letter and complain, eh?"
96,96,"""Dear Hollywood, you're shit."" I mean, how hard can it be to make a film that doesn't suck?"
97,97,I've got millions of great ideas.
98,98,Like what?
99,99,What?
100,100,"Oh, come on, I wanna hear one of your great ideas."
101,101,Okay.
102,102,Right.
103,103,Prepare to be amazed.
104,104,"""Ninja yodeler."" Are you just like saying random words, tobe?"
105,105,"No yodeler by day, ninja by night, you see?"
106,106,"Oh, yeah, because the other way around would be really stupous."
107,107,Stupid.
108,108,"No, you've got ninjas who are really quiet, yeah?"
109,109,Yodelers really loud! There's the conflict for the character torn between two roles.
110,110,He's really thought about this.
111,111,"Okay, all right, cool. You know the way that sometimes you come up with a really shit idea, like, on purpose, to try and test us out?"
112,112,Yeah?
113,113,Is this one?
114,114,"Yeah, you got me."
115,115,"Nearly had you, though."
116,116,Had him.
117,117,Yeah.
118,118,"""Ninja yodeler""?"
119,119,"""Ninja yodeler."" How's your real script going?"
120,120,"Uh, I'm doing most of the work up here, really."
121,121,"Besides, every writer needs to get out in the real world, have some experiences fresh ones to enrich his work."
122,122,Really?
123,123,I thought a writer needed to stay in and write.
124,124,"Yeah, it's the eternal enigma of creativity."
125,125,We should discuss it in the pub.
126,126,Give me that.
127,127,"Oi! Oh, you thieving git!"
128,128,I said that!
129,129,"Come on, all great writers steal."
130,130,"Oh, ray said that!"
131,131,Give it to me.
132,132,Give me my book.
133,133,Come on.
134,134,You'll see.
135,135,"One day, I'll be famous and then you'll be sorry."
136,136,"""Dear Hollywood, please stop making so many crappy movies."
137,137,"Here are a few tips to help you out: One, story is king always has been, always will be."" This is eating into our drinking time."
138,138,"Okay. ""Remakes: Jude law..."
139,139,"...Han shot first, more 'firefly' and/or 'Serenity.' the end."" Well, that's Hollywood sorted."
140,140,Shall we move on to the middle east?
141,141,The pen's running out.
142,142,Oh. Always the way.
143,143,Nerds.
144,144,Hey.
145,145,Didn't we all agree to stop using the nword?
146,146,Didn't we?
147,147,I don't remember.
148,148,"""Nerd"" is the word they use to keep us down."
149,149,You should use the term...
150,150,"""Imagineer."" Yeah."
151,151,That's the nerdiest thing I've ever heard.
152,152,You are just threatened.
153,153,You're threatened because you don't understand our world.
154,154,What's there to understand?
155,155,"I saw one ""Star Trek"" film."
156,156,I hated it and never looked back.
157,157,Really? Which one?
158,158,The first one with the big gold robot and the little fat mailer.
159,159,"You mean ""star wars,"" don't you?"
160,160,Do I? Aren't they the same thing?
161,161,"No. No, they're not."
162,162,He knows.
163,163,How would I know?
164,164,I'm not a nerd or even an imagineer.
165,165,Better.
166,166,I'm glad you're happy.
167,167,Whose round is it?
168,168,Nuh uh.
169,169,I got the last round.
170,170,"Yeah, I got the biscuits from the garage."
171,171,I paid for you to get into scandals that time.
172,172,I paid for the cloakroom.
173,173,I bought tea bags around when you ran out.
174,174,I lent you my coat.
175,175,The snug's less busy.
176,176,Can you get me some crisps?
177,177,Thanks.
178,178,He could be wearing stealth lederhosen.
179,179,"Jesus, you took your time."
180,180,"Yes, I did."
181,181,I'll get the next round.
182,182,"Well done, I was impressed."
183,183,What?
184,184,It's a lot of effort to go to.
185,185,"I mean, I'm uh I'm rather touched."
186,186,What are you talking about?
187,187,Cassie...
188,188,Next door she fed me her little story.
189,189,Cassie?
190,190,The girl in the snug.
191,191,"Come on, guys fit, funny, dodgy American accent."
192,192,You set it up.
193,193,Just now?
194,194,Yeah.
195,195,"Look, whatever. I just wanna say thank you, 'cause I think I might actually be in with a little chance there."
196,196,"Ooh, I could see why you'd think it would be a wind up."
197,197,You wanna hear what happened or not?
198,198,Absolutely.
199,199,"Go on, make her double jointed."
200,200,"Ignore him. Come on, I wanna hear it."
201,201,Okay.
202,202,"Cassie: Hello, ray."
203,203,Hello.
204,204,Hi.
205,205,I I'm sorry.
206,206,Do I know you?
207,207,I'm Cassie.
208,208,Ooh.
209,209,"You don't know me, but I know you very well at least, uh, I feel like I do."
210,210,I've read all about you.
211,211,All about me?
212,212,Yeah.
