,Unnamed: 0,dialog
0,0,"the city of a thousand dangers, was lit by a beautiful moon, a mysterious Baghdadi was entering the palace."
1,1,"Intriguing music OK, the code."
2,2,"It was something in ""am""."
3,3,Uh ... Oh yes! I know.
4,4,"Instag ram, open up!"
5,5,"Princess Tamtam, open up!"
6,6,"JeanClaude Van Damme, open yourself!"
7,7,"Come on, JeanClaude!"
8,8,"Get Low  Patrols 5, 7, 13 on the hunt."
9,9,Separate yourself!
10,10," Fallen between the hands palace guards, the thief was going to be presented to Princess Shallia, that the legend wanted sensible, elegant and refined."
11,11, Are you stupid or what?
12,12, Let me explain to you.
13,13, What? This is the treasure of?
14,14, From Baghdad.
15,15, And you will be the prince of?
16,16, Sorry ?
17,17, From Baghdad. It's just...
18,18,I came out...
19,19, Ah!
20,20, It's okay...
21,21," No, it's not ok!"
22,22,Why do you see us like a vulgar ...
23,23, Robber?
24,24,"Yes, here I am, a thief."
25,25,Everyone thinks so.
26,26, Tired of going out with a kid.
27,27," Me, a kid?"
28,28,After all the efforts what have I done for us?
29,29,I even accepted the couple therapy.
30,30," Let's use therapy called ""puppetry""."
31,31,The goal is to express yourself through your puppet.
32,32,"Go ahead, hold on."
33,33,Say what you have on your heart.
34,34,It's very playful.
35,35, It's not very similar.
36,36,Are you ready ?
37,37,You are immature ...
38,38,You make fun of and ...
39,39,Impossible to have a serious conversation.
40,40," You are immature, you turn all mockery."
41,41,Impossible to have a serious conversation.
42,42, Very adult as behavior.
43,43, Very adult  as </ i> behavior.
44,44, It's always that.
45,45, It's always that!
46,46, Stopped.
47,47, Stopped.
48,48, Stopped.
49,49, Stopped.
50,50,But stop !
51,51, But stop !
52,52,Oh oh !
53,53,"It's not me, it's the sock."
54,54,She is only at her head.
55,55,You do whatever.
56,56,Do you balance me?
57,57,Do you want to be confused?
58,58,Who wears the underpants?
59,59,"It's okay, it was just for fun."
60,60," With you, everything is for fun."
61,61,Nothing is taken seriously.
62,62,"And now, are you starting to rob us?"
63,63, I do not steal.
64,64,I'm bored seriously in the palace.
65,65,I was going to give everything back.
66,66," Render what, exactly?"
67,67,Open Sesame.
68,68, Exact. Sesame. Of course.
69,69,That's all ?
70,70," Yes, finances are bad."
71,71,We are on the brink of bankruptcy.
72,72, Why did not you tell me?
73,73, I tried.
74,74,But you never listen to me.
75,75,"Aladdin, I know that the problems of the palace are of little concern to you."
76,76,But we have homework.
77,77,The people are counting on us.
78,78,"At his death, I swore to take good care of the kingdom."
79,79, Who is it?
80,80, Ben it's my father!
81,81,I painted it.
82,82, Oh yeah anyway.
83,83,"Intriguing music Despite the humiliation suffered the day before, Aladin had decided to start this day with dignity."
84,84," It's true </ i>  I stole our treasure </ i>  I know it </ i>  I still disappoint you </ i>  You do not trust me anymore </ i>  For you, I'm still in childhood </ i>  It's true, love hurts </ i> Like  in a song of Tel </ I>  I'll do everything </ i>  To be </ i>  I'll do everything </ i>  To be </ i>  A good prince </ i>  The princess asks you."
85,85, How long have you been here?
86,86, It's not my business.
87,87," Exactly, there is no business."
88,88,Why...
89,89," No, I do not judge."
90,90, There is nothing to judge.
91,91, I will not talk about it.
92,92, You can talk about it.
93,93,"Me, I fully assume."
94,94,"No, do not talk about it."
95,95,It never happened to you to want to express yourself in a musical way?
96,96, The First Lady.
97,97, Good ...
98,98,What is urgency?
99,99, We have a visit.
100,100,"bugles  Shah Zaman, the beautiful and graceful prince of the province of Zoulaoui, the one whose presence intoxicates the crowds, the one whose reputation shakes the world, who always has the last word, the inventor of ""He who said it is there,"" General of the Air Forces, of land, sea and father."
101,101,Shah Zaman!
102,102,Warrior Music  Ouch!
103,103, Ouch!
104,104, Ouch!
105,105," Welcome, dear ..."
106,106,How should I call you exactly?
107,107, Quite simply...
108,108,"Shah Zaman, the magnificent."
109,109,And glorious prince from the province of Zoulaoui.
110,110,The one who intoxicates by his presence.
111,111,"Because it's true, I'm drunk, huh?"
112,112," YES, IT'S TRUE !"
113,113, Some call me leap.
114,114,"Others the versatile, because I versatile."
115,115,"Others call me jovial, others the modest ..."
116,116,"I am also the inventor of ""Whoever says who is there""."
117,117, We're going on Shah Zaman?
118,118,It's the most userfriendly.
119,119,"So, dear Shah Zaman, I wish you welcome in my humble country."
120,120,"Now that we are done the presentations, tell us the purpose of your visit, Sham Sheitan."
121,121, Shah Zaman.
122,122,"Prince Shah Zaman, general of the armies of air, of land, father and mother."
123,123, He said my mother?
124,124," I came, in 1, to take Baghdad, in 2, marry your wife."
125,125," Repeat, Rastaman."
126,126,Aladin hallucinist.
127,127,He does not believe his ears.
128,128,"Shah Zaman comes to steal his girlfriend, in front of everybody."
129,129,Do you believe it?
130,130, You drunk me with your story.
131,131, I tell you more adventures of Aladdin.
132,132, I'm always next to a rehearsal!
133,133," It's you, the lover."
134,134, What?
135,135, Nothing.
136,136,"It's not that I'm afraid by plane, but that does not reassure me."
137,137,It makes me feel good to talk.
138,138," Jester, we did not even take off."
139,139," Jester, we did not even take off."
140,140, Stop that.
141,141, Stop that !
142,142, Sorry.
143,143,"Sorry, return to your place to see the security measures."
144,144, Security measures?
145,145, It's okay ?
146,146, It's okay. But this is the first time that I take the plane.
147,147,"With all the noises, it's really scary."
148,148,"But otherwise, that's fine."
149,149,"It's great, yes."
150,150,Finally my girl left me.
151,151,She's going to marry another guy.
152,152,I will try to stop this marriage.
153,153,It's surely stupid.
154,154,But it is okay.
155,155,"It's great, even."
156,156,Okay okay.
157,157,It's okay ... it's not ok!
158,158,I'm not fine ! I'm not fine !
159,159,"It's not ok, it's not ok."
160,160, Think of something else.
161,161,Talk to me.
162,162,Tell me anything.
163,163, Ala ... Ah! It has moved.
164,164, It's nothing. Talk to me.
165,165,Go.
166,166, Aladin is facing Shah Zaman.
167,167,"He tells him : That's enough. You have 3 minutes to clear from my palace, Shakira."
168,168,"Wake wake, eh eh!"
169,169," If I believe the noise of the corridor, hearsay, whispers, the nonsense, Aladinde does not seem in a hurry to want to marry you."
170,170, What's in it?
171,171,"Now, you clear right away, shawarma."
172,172, Shawarma?
173,173,Me ? Shawarma?
174,174, Yeah.
175,175,"You, shawarma."
