,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull www.OpenSubtitles.org I'm gonna miss you so much.
1,1,"Well, you'll come and visit me and, uh, I'll call."
2,2, I love you so much.
3,3," Oh, me, too."
4,4,Still some packing to do.
5,5,Got a big day tomorrow.
6,6," Okay, Mom. I'm coming."
7,7, Early start and a long drive.
8,8,Goodbye.
9,9," Bye, Mrs. Sawyer."
10,10, Bye.
11,11, She hates me.
12,12, No she doesn't.
13,13, She doesn't.
14,14," No, she really, really does."
15,15,But I love you. Okay?
16,16,I... I gotta go.
17,17,I'll call you when I get there.
18,18,Call me from the road.
19,19,"Okay, it's a threehour drive to Michigan State."
20,20,We're gonna be okay.
21,21,I'll see you soon.
22,22, Okay. Mmmhmm.
23,23, Promise.
24,24,You bet your ass you will.
25,25,"Sittin' here eatin' my heart out, waitin' \an8Waitin' for some lover to call \an8Dialed about a thousand numbers lately \an8Almost rang the phone off the wall \an8Lookin' for a lover who needs another \an8Don't want another night on my own Wanna share my love with a warmblooded lover \an8Wanna bring a wild man back home \an8Oh, shit."
26,26,"\an8Gotta have some hot love baby, this evenin' \an8I need some hot stuff, baby, tonight \an8I want some hot stuff, baby, this evenin' \an8Gotta have some lovin' \an8Gotta have some love tonight Hot stuff Oh, no."
27,27,"Oh. Yeah, I'm bare back there. Okay."
28,28,Shit.
29,29,"\an8Oh, god damn it. God damn it."
30,30,\an8I need hot stuff \an8Hello?
31,31,\an8I want some hot stuff That's right \an8Hello?
32,32,\an8Yeah. Okay. Here we go.
33,33,\an8Oh...
34,34,"\an8Oh, yeah."
35,35,"\an8Hot, hot, hot, hot stuff \an8Hot, hot, hot \an8Oh, shit."
36,36,"\an8Hot, hot, hot, hot stuff \an8Hot, hot, hot \an8How's about some hot stuff baby, this evenin'?"
37,37,"\an8Ooh, I need your loving \an8Gotta have your hot stuff tonight \an8Hot stuff  Annie?"
38,38, Hi.
39,39,Oh!
40,40,"Hot stuff Oh, yes!"
41,41,Oh...
42,42,"Patricia! I'm dying for a piece of that pie, hon."
43,43, Surprise.
44,44, What are you doin'?
45,45,You leave for college tomorrow and I wanted to give you a night to remember.
46,46, Sex.
47,47, Oh.
48,48, I want to give you sex.
49,49, Sure. Yeah.
50,50," Sex with me, tonight, now."
51,51," Yeah. Yeah, okay."
52,52,Cool. I just...
53,53,I thought you didn't want to.
54,54,"Oh, of course I want to."
55,55, I just want it to be special.
56,56, Yeah.
57,57, And romantic. And perfect.
58,58, Right. Yeah.
59,59,I love you and I wanna lose my virginity to you.
60,60,"Oh, that's... That's so nice."
61,61, That is a Christmas card.
62,62, That's what I said.
63,63, I'm gonna take a picture.
64,64, My parents would love to see his face.
65,65,You wanna do the thing?
66,66,Guess what I'm wearing under my coat.
67,67,"Oh, I'm so ready. I'm so ready."
68,68,"Oh, my... Oh, what... Uh..."
69,69,That's not what I wanted.
70,70,"Wow, what a beautiful pie."
71,71, Hi.
72,72, Hello.
73,73,Who the hell is it?
74,74,"It's me, Daddy."
75,75, You're on a video chat. Yeah.
76,76, It's a video chat.
77,77,What're you doing on TV?
78,78," Maybe you need, like, a doctor?"
79,79, No. No.
80,80, Need some ointment or something... Oh.
81,81, Shut up.
82,82,"Let's go upstairs and see your grandson, huh?"
83,83, We made this pie for him.
84,84, Yeah. It's really hot.
85,85,She did such a good job.
86,86, Where are you?
87,87, I'm right here.
88,88,"No, not you."
89,89,I'm talking to them.
90,90,"We're going upstairs, Mom."
91,91,And Jason's gonna be surprised.
92,92, Just wait.
93,93, Just wait.
94,94, Who's Jason?
95,95," Jason's your grandson, honey."
96,96,What channel is this?
97,97,Hmm.
98,98,Oh! What is that?
99,99,\an8What?
100,100,Uhhuh. Sure. Okay. Yeah.
101,101,Honey.
102,102,We have a surprise for you.
103,103, Jason?
104,104, Jason.
105,105,Girl's got a prophylactic in her mouth.
106,106,"Hold on, Mom. I'm not dressed."
107,107,Are you choking on the...
108,108,"Jason Sawyer, open this door!"
109,109,"Sorry, Mom, I got a charley horse in my leg."
110,110,Can you bring me the banana for the potassium?
111,111,Okay.
112,112,I love you very much.
113,113,"But, uh, you gotta go."
114,114,Okay. Bye.
115,115, Jason Sawyer!
116,116," Sorry, Mom."
117,117,That damned charley horse.
118,118,Meemaw and Peepaw saw your penis.
119,119,No. Not yet. Ow!
120,120,You're so smart and gorgeous.
121,121, Now?
122,122, Not yet. I'll tell you when.
123,123,Just a little higher.
124,124, You're my princess.
125,125, Rub softer but faster.
126,126,Smash that pussy now! Now!
127,127,I cherish you. I cherish you.
128,128, Fuck yeah.
129,129, Yeah.
130,130,We are the greatest couple ever.
131,131,No one has sex like we do.
132,132,"I mean, I've never had sex like this, but you're my first, so I don't know."
133,133,Hey.
134,134,"I showed you that you're in my lobster poems I wrote about you, right?"
