,Unnamed: 0,dialog
0,0,water splashing splashing continues door opens footsteps approach curator Move!
1,1,"Thank you, gentlemen. Gently, if you please."
2,2,Hmm.
3,3,wind whistles window rattles breathes deeply Hmm.
4,4,woman in another room coughs woman Mary!
5,5,clanking footsteps approach sighs door closesShouldn't you be out?
6,6,We could do with more shells.
7,7,"Them little ammonites, tourist tut."
8,8,And driftwood.
9,9,Before I catch my death.
10,10,wind howls grunts exhales grunts sighs birds chirp chattering bell rings door closes woman What are you doing?gasps church bells chimingsighs bells continue chiming chattering exhales sighs door opensbell rings door closes Yes.
11,11,"man No, please, don't let me disturb you."
12,12, I am very content to watch you work.
13,13," The shop's closed, sir."
14,14,"It's wonderful, isn't it?"
15,15,Cornu ammonis?
16,16,Ammonite.
17,17,It's a broken one.
18,18,It's still a fine specimen.
19,19,"Is there something you wanted, sir?"
20,20,"Sorry. Please, let meintroduce myself, Miss Anning. Roderick Murchison."
21,21,I must confess I'm a little in awe.
22,22,Your reputation is something l've often heard discussed in the Geographical Societyin London.
23,23,"All boys together. Yes, well..."
24,24,Quite.
25,25,"But your insights, your skills, are legendary and I thoughtfor my archaeological tourof the Continent, how could I miss the opportunity to meet you?"
26,26,And here you are.
27,27,At your work.
28,28,I was under the impressionthat fine London gentlemen were no longer interestedin my sea creature relics.
29,29,"Fashion moved on, did it not?"
30,30,Quite. I'm afraid l'm a bit of a late starter.
31,31,"And how could I not want to meet ""The presiding deity of Lyme""?"
32,32,It'd be customary for a gentleman to write to me to make an appointmentbefore arriving unannounced.
33,33," Yes, unforgivable."
34,34, Could you not fiddle with that?
35,35,"Sorry. May I introduce my wife, Mrs. Charlotte Murchison?"
36,36,"Sir, as you can see, I don't excavate larger pieces any more."
37,37,I've seen that particular relic in the British Museum.
38,38,A complete ichthyosaurus.
39,39,Am I correct?
40,40,And that's one of yours?
41,41,It's fascinating.
42,42,"I would love to purchase this ammonite from you, but I must be honest."
43,43,"What I would dearly appreciateis the opportunity to spend some time working with you on the shore, seeing what you see."
44,44,I don't conduct guided tours any more.
45,45,"I'm not a tourist, Miss Anning, I'm a scientist, like you."
46,46,A man of the new world and I'm here to learn all I can from you.
47,47,"And, of course, I am more than happy torecompense you for your time."
48,48,"And, obviously, as it's an inconvenience to yourself, I would be able to pay a premium for a private audience."
49,49,"As well as the purchase of this fine ammonite, of course."
50,50,It's not easy work.
51,51, Good.
52,52, I can't promise we'll find anything.
53,53,Naturally.
54,54,Very well. Splendid!
55,55,You've no idea what this means to me.
56,56,My friends will be most envious.
57,57,door closes sighs humming continues humming humming door opens lively string musicchattering  Do you have a quieter dining room?
58,58," Yes, sir, but..."
59,59,This music's a little overwhelming for the situation.
60,60, Couldn't we...
61,61, Don't make a fuss.
62,62,Roderick What is the soup?waiter Hare.
63,63,I'll have the oysters.
64,64,Are they larded?
65,65,"A la mode, sir."
66,66,Perfect. And the beef. Rare.
67,67,"waiter Very good, sir. Braised celery, boiled potatoes."
68,68,Pouring cream for the potatoes. Would you bring your wine list?
69,69,"No, wait. Just bring me a bottle of the claret."
70,70,waiter We have the '26 or '35.
71,71,Roderick The '35.
72,72,And my wife will have some plain white fish. Baked. No sauce.
73,73,sighs mother coughing blows breathes deeply sighs animal squeals in the distance Roderick sighs It's not the right time to make another baby.
74,74,blows candle water splashes Miss Anning.
75,75,Sorry. Am I late?
76,76,The old woman in your shop... My mother.
77,77,Of course.
78,78,I do beg your pardon.
79,79,Your mother said I would find you here.
80,80,"It was a bright morning, and the tide was out. I couldn't wait."
81,81,"Yes, of course. I just didn't want to miss anything."
82,82,"Well, you're here now."
83,83,Yes.
84,84,clears throat Nothing.
85,85,Beef.
86,86,Limestone.
87,87,Calcite crystal. And this?
88,88,Look here.
89,89,"There is a little ammonite inside, but that dimple tells me it will be crushed."
90,90,"You could chip it out, but it won't be any good."
91,91,"Oh, that's nice."
92,92,Coprolite. Very nice.
93,93,I'm not familiar with this type.
94,94,"If you look very carefully, you can see tiny fish bones."
95,95,Those little black flecks...
96,96,they're scales.
97,97,That'll polish up very nice.
98,98,Thank you.
99,99, But what is it?
100,100, Fossilized feces.
101,101,"Pardon? Yes, Mr. Murchison."
102,102,Shit.
103,103,The tide will be coming in soon. We ought to be getting back.
104,104,"footsteps approach door opens Charlotte, look what I foundwith Miss Anning."
105,105,door closesCharlotte.
106,106, What are you doing?
107,107, Taking you out of this stinking room.
108,108, I don't want to.
109,109, I'm afraid that's no longer a choice.
110,110,"sighs We can't continue like this, Charlotte. You're like a shadow."
111,111,It simply won't do.
112,112,It's madness for me to expect you to be well enough to accompany me abroad.
113,113,It seems you need more time for your convalescence. Roddy...
114,114,Lyme appears to be the perfect place for you.
115,115,man shouts in the distance This expedition is extensive.
116,116,You were prescribed rest.
117,117,Sea bathing. I don't like the water.
118,118,Little stimulation.
