,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull I still think about the night your mother and I had to leave you.
1,1,"Hopefully, it's not for long, but I'll call you when we get settled."
2,2,When I have a better indication of what's going on.
3,3,Mommy?
4,4,Jellybean.
5,5,Daddy and I have a lastminute business trip...
6,6,so Rose is gonna stay with you for a few days.
7,7,No. I don't want you to go.
8,8,Ugh. It's gonna be so boring.
9,9,I won't be able to keep my...
10,10,eyes...
11,11,"Goodbye, sweetheart."
12,12,"All right, we'll see you soon."
13,13,Okay.
14,14,"Janet, we gotta go."
15,15,I wish we could have put down our bags...
16,16,tucked you back into your bed...
17,17,but too many lives were at stake.
18,18,"Oh, my God."
19,19,They've already launched.
20,20,We have to stop it.
21,21,Come on.
22,22,"To disarm the missile, we had to get inside it..."
23,23,but the plating was too thick.
24,24,The only way in was to shrink between the molecules.
25,25,I can't get through.
26,26,Hank.
27,27,We both knew that if you go that small...
28,28,there is no coming back.
29,29,"It should have been me, but my regulator was damaged."
30,30,Your mother's wasn't.
31,31,Tell Hope I love her.
32,32,She turned it off.
33,33,Janet. No!
34,34,She went subatomic to deactivate the bomb.
35,35,Your mother saved thousands of lives that day knowing she'd be lost in the quantum realm.
36,36,Alone.
37,37,Afraid.
38,38,Gone forever.
39,39,Telling you that she wasn't coming home...
40,40,was the hardest thing that I ever had to do.
41,41,But then Scott showed up.
42,42,"Or should I say, broke into our house."
43,43,And when he went to the quantum realm...
44,44,and came back.
45,45,Everything changed.
46,46,I started to wonder...
47,47,could your mother still be alive?
48,48,"So, I dusted off some old plans."
49,49,"Dad, what are you saying?"
50,50,I think it's possible to bring her back.
51,51,Okay. We're in.
52,52,"Oh, this place is a maze."
53,53,Where's that map?
54,54,We're definitely close.
55,55, You ready?
56,56," I'm ready, Daddy."
57,57,Are you sure?
58,58,"'Cause once we're inside, you show any hesitation or fear, we're done."
59,59,I eat fear for breakfast.
60,60,Wow. That is super cool.
61,61,Come on.
62,62,Look! It's Anton.
63,63,He'll show us the way.
64,64,"Anton, which way do we go?"
65,65,"Anton, which way do we go?"
66,66,"Thanks, Anton!"
67,67,"Look, the ants have burrowed into the tech facility."
68,68,"Oh no, lasers!"
69,69,Oh! I think I got lased!
70,70,The secret vault.
71,71,Tell me you brought the contact lens.
72,72,Yup.
73,73,Perfect! Right there.
74,74,There!
75,75,It's the microtreasure!
76,76,My trophy?
77,77,It looks like treasure.
78,78,"Oh, it is to me."
