,Unnamed: 0,dialog
0,0,May the All Mother...
1,1,...smile upon our first meeting.
2,2,Not bad. You sound a little formal.
3,3,I studied for five years...
4,4,...but there is much to learn.
5,5,"Calm people, calm."
6,6,"What are you doing, Tsu'tey?"
7,7,These demons are forbidden here.
8,8,There has been a sign.
9,9,This is a matter for the Tsahik.
10,10,Bring him.
11,11,Father...
12,12,...I see you.
13,13,This creature...
14,14,...why do you bring him here?
15,15,I was going to kill him...
16,16,...but there was a sign from Eywa.
17,17,I have said no dreamwalker will come here.
18,18,His alien smell fills my nose.
19,19,Step back!
20,20,I will look at this alien.
21,21,A warrior!
22,22,I could kill him easily!
23,23,No!
24,24,This is the first warrior dreamwalker we have seen.
25,25,We need to learn more about him.
26,26,My Daughter...
27,27,...you will teach him our way...
28,28,...to speak and walk as we do.
29,29, Why me? That's not fair...
30,30, Enough.
31,31,This alien will learn nothing...
32,32,...a rock sees more...
33,33,...look at him.
34,34,Look how big you are.
35,35,You are so pretty.
36,36,"I see you, Brother ...and thank you."
37,37,Your spirit goes with Eywa.
38,38,Your body stays behind...
39,39,...to become part of The People.
40,40,That moron's going to die.
41,41,"Don't be afraid, warrior."
42,42,You are now a son of the Omaticaya.
43,43,You are part of The People.
44,44,Tsu'tey will lead the war party.
45,45,Stop please!
46,46,This will only make it worse.
47,47,We will strike them in the heart.
48,48,I have something to say...
49,49,...to all of you.
50,50,You see?
51,51,It is a demon in a false body.
52,52,Father!
53,53,Mother!
54,54,"Eytukan, I have something to say."
55,55,Listen!
56,56,"Speak, Jakesully."
57,57,A great evil is upon us...
58,58,The Sky People are coming to destroy Hometree.
59,59,Bind them.
60,60,Leave now!
61,61,Have no fear.
62,62,"Take the ikran, attack from above."
63,63,Get everyone to the forest.
64,64,Father!
65,65,Daughter...
66,66,take... my... bow.
67,67,Protect The People.
68,68,"Tsu'tey, son of Ateyo..."
69,69,...I stand before you...
70,70,...ready to serve the Omaticaya people.
71,71,"Hear us please, All Mother."
72,72,"Eywa, help her."
73,73,Take this spirit into you...
74,74,...and breathe her back to us.
75,75,Let her walk among us...
76,76,...as one of The People.
