,Unnamed: 0,dialog
0,0,"Subtitles by explosiveskull www.OpenSubtitles.org MEEK MILL'S ""UPTOWN II"" PLAYING âª Yeah, they heard I bought A spinning spinning bust down âª âª They're all spinning From uptown, hit me up now âª âª Yeah, make that Lamborghini poppop âª SIRENS WAILING âª Seven days a week âª âª With Gucci socks âª ENGINE REVVING âª I just... âª âª The back with a lace front âª SIRENS WAILING âª Times 10, every milly When I make one... âª  ENGINE REVVING  TIRES SCREECHING  Mike!"
1,1, Whoohoohoo!
2,2, What the hell are you doing?
3,3," It's called driving, Marcus."
4,4,ENGINE REVVING THROUGH GEARS Slow down!
5,5,CELL PHONE RINGS What? Four minutes? Speed up.
6,6,"Oh, so you want me to speed up and slow down at the same time?"
7,7,SIRENS WAILING Moving southbound on Collins.
8,8,SIREN WAILING  Fast approaching 22 Street.
9,9, PILOT OVER RADIO: Copy that.
10,10,Air support has a visual.
11,11,Mike!
12,12,YELLING TIRES SCREECHING I'm about to throw up.
13,13,"Oh, you bett... The hell not."
14,14,That is handstitched leather.
15,15,You better drink it.
16,16,OFFICER OVER RADIO: Blocking off 6th Street.
17,17,"That was your turn, Mike!"
18,18,"Damn it! Look, you are the navigator, okay?"
19,19,That's why you're sitting in that seat.
20,20,Where are your glasses?
21,21,You need to put your glasses on.
22,22, I don't need glasses.
23,23," Marcus, you can't see shit."
24,24,"Oh, sh... Mike. Mike. Mike."
25,25,BUS HORN BLARING  Relax. Relax!
26,26," Mike. Bus, bus, bus."
27,27,"PASSENGERS SCREAMING YELLING ENGINE REVVING MAN SINGING IN SPANISH Sorry, rich white people."
28,28,"We're not just black, we're cops too."
29,29,We'll pull ourselves over later.
30,30,LAUGHS  WHOOPING  SCREAMS TIRES SCREECHING TRUCK HORN BLARES Hoohoo!
31,31,"Hey, even the Batmobile don't hold the road like this bitch."
32,32,TIRES SCREECHING  Whoo!
33,33, Get me the fuck out of this car.
34,34,"INNER CIRCLE'S ""BAD BOYS"" PLAYING âª Bad boys, bad boys âª  Hey!"
35,35," Oh, shit."
36,36," GROANS  METAL SCRAPES Come on, man."
37,37,You can get that buffed out.
38,38,No. You can get that buffed out.
39,39, Miami PD. Make a hole.
40,40, Coming through.
41,41, Make a hole. Miami PD.
42,42, Miami PD.
43,43,Go! Go!
44,44,Sorry.
45,45,âªâªâª Daddy!
46,46,GIGGLES Joker.
47,47,You a poppop.
48,48,CHUCKLES âªâªâª  THERESA: Hi.
49,49, MARCUS: Oh. Oh.
50,50," Oh, baby, look at him."
51,51, Yeah.
52,52, No doubt. It's in the eyes.
53,53, Mmhm.
54,54,And the ears.
55,55,And the name.
56,56,Marcus Miles Burnett.
57,57, But that's my name.
58,58, His name too.
59,59,We decided to name him after you.
60,60,It was Reggie's idea.
61,61,"Thought it would be a very respectful gesture, sir."
62,62, I hope you approve.
63,63, That's cool.
64,64,But you still need to make a honest woman out of my baby girl there.
65,65,"Uncle Mike, ready to hold the baby?"
66,66,"Oh, mmmm. No. Uncle Mike don't want to catch that."
67,67,"SOBBING Uhuh, okay?"
68,68,That's that shit.
69,69," No, Mike."
70,70, Stop.
71,71,Look at the baby.
72,72,Stop it right now.
73,73,Seriously.
74,74, Look at the baby.
75,75," Okay, you know what?"
76,76,I'll be outside when you get your shit together.
77,77,Mike.
78,78, The baby.
79,79," Oh, it's okay."
80,80,"MAN SPEAKING IN SPANISH OVER PA âªâªâª GUARD IN SPANISH: Let's go, ladies."
81,81,You're useless.
82,82,Move it!!
83,83,TAPPING ON TABLE Aretas.
84,84,Aretas.
85,85,REPEATING SPANISH PHRASE QUIETLY GASPS BATON CLATTERS ON FLOOR CONTINUES MUTTERING IN SPANISH YELLS GROANING PRISONERS YELLING YELLING IN SPANISH ALARM BLARING PRISONERS CLAMORING SIREN WHOOPING MAN SPEAKING IN SPANISH OVER PA SIREN WAILING âªâªâª BRAKES SQUEAK SIREN STOPS IN SPANISH What the fuck?
86,86,GUARD IN SPANISH: Stop the ambulance!
87,87,BOTH GASP  SILENCED GUNSHOTS  BOTH GROAN  KNIFE SLICES  GROANS  RAPID SILENCED GUNSHOTS  GROANS GUN RACKS GASPING âªâªâª BREATHING HEAVILY Mama.
88,88,IN SPANISH My son.
89,89,HORNS HONKING IN DISTANCE IN SPANISH Don't be sad for his death.
90,90,The spirit of your father is free from the bars that confined him.
91,91,This is the last gift from Papa before he died.
92,92,You're a man now. You're finally ready for what needs to be done.
93,93,You must bring honor and respect back to our family.
94,94,Your father hid millions of dollars before he was locked up.
95,95,Here are the coordinates where you can find them.
96,96,"WHIRRING, CHIMING We'll take back what's ours."
97,97,With this money we can finally get revenge.
98,98,The people who destroyed our family will know how it feels to be hunted.
99,99,âªâªâª He dies last.
100,100,"âªâªâª HOWARD: Come here, Marcus. Come here."
101,101,We're here to celebrate and to raise a glass to one of our own.
102,102, MAN WHOOPS  CROWD EXCLAIMS And I sincerely hope that someday your namesake follows in the footsteps of his oldass grandpa...
103,103,ALL LAUGHING ...to protect and serve our fair city.
104,104,To Marcus.
105,105,ALL: To Marcus!
106,106,May the name Marcus Burnett strike fear into the hearts and minds of assholes for years to come.
107,107,ALL CHEERING Thank y'all. Thank...
108,108,Thank you all.
109,109,"Mike and I, we're going on 25 years of working these streets."
110,110,And I like to think we made a difference.
111,111,You all are the best.
112,112,And I thank you.
113,113,It's been a real honor.
114,114,CROWD WHOOPING MAN: Marcus!
115,115,ALL CHANTING: Marcus! Marcus! Marcus!
116,116,"TAGLIN: Daddy buried that cash deep, huh?"
117,117,"If these are empty, you're still gonna owe."
118,118, MAN: Whoa!
119,119, Mamma mia!
120,120,Buried treasure in the ocean.
121,121,"I heard the stories, pero coÃ±o..."
122,122,Should cover the cost of the materials we discussed.
123,123,And then some.
124,124,This is what you get to keep.
125,125,What'd you say?
126,126,We had a deal.
127,127,I'm renegotiating.
128,128,Whoops.
129,129,GROANS GRUNTING SIGHS Whoops.
130,130,COUGHING Come here.
131,131,GASPING Look at me.
132,132,I don't renegotiate.
133,133,My family's taking back management of this town.
134,134,"We're gonna need some, uh, loyal employees."
135,135,Who wants a job?
136,136,So how's your dental?
137,137,Say that again.
138,138,IN SPANISH Stay calm.
139,139,WHISPERING You give yourselves a raise.
140,140,You start with that pile right there.
141,141, Okay?
142,142, Okay.
143,143,You work for me now.
144,144,"Get your people to fall in line, stay out of my fucking way, and I won't kill you."
145,145,"Vamos, muchacho, get this money Â¡Dale!"
146,146,Vamos.
147,147,âªâªâª Â¡Vamos!
148,148,ARMANDO: Mama.
149,149,ISABEL OVER PHONE: Armando.
150,150,IN SPANISH It's ours.
151,151,That was fast.
152,152,We got a new base of operations too.
153,153,You've spent so much time on the other side you sound like a gringo.
154,154,"PHONE BEEPS WOMAN SINGING IN SPANISH MARCUS: I'm done, Mike."
155,155,"Oh, here we go again."
156,156,"No, this time it's different."
157,157,"When I looked into that little baby's eyes, something changed."
158,158,I want to spend my days watching that little boy grow.
159,159,"Man, Theresa does not want your ass sitting at home, getting fat and breaking shit."
160,160,"You know, Mike, we got more time behind us than in front."
161,161,"It's time to make some changes, for real."
162,162,You can miss me with that.
163,163,I'm living my best life.
164,164,"You're dyeing your goatee, Mike."
165,165, What?
166,166, You're dyeing your goatee.
167,167,I am not dyeing my goatee.
168,168,That's Midnight Cocoa Bean.
169,169,I recognize that.
170,170, Go ahead with that shit.
171,171, That ain't Midnight Cocoa...?
172,172, Go ahead somewhere.
173,173, Let me ask you something.
174,174,You want your legacy to be muscle shirts and a body count?
175,175,Don't you know family is all that matters?
176,176,"Hey, granddaddy!"
177,177, Rita.
178,178," Oh, no. Poppop."
179,179,He's going with Poppop.
180,180, Poppop?
181,181, Yeah.
182,182,"Got pics, Poppop?"
183,183," Oh, you know I do, right?"
184,184, Let's see.
185,185,There you go.
186,186,"Oh, my God, the ears!"
187,187,"Yeah, my grandbaby."
188,188,That's my grandbaby.
189,189,SPEAKS IN SPANISH  I love him.
190,190, MIKE: Yeah.
191,191,"And congrats to you, lieutenant."
192,192,I hear Howard tapped you to head up AMMO.
193,193,"Wow, congrats."
194,194,What's AMMO?
195,195,Advanced Miami Metro Operations.
196,196,A small team trained in new tactics and investigative methods.
197,197,Gonna replace us old dogs.
198,198, Or teach them some new tricks.
199,199, Heh.
200,200,"For real, Marcus."
201,201,So happy for you.
202,202,Thank you.
203,203,"WOMAN SINGING IN SPANISH Hey, guys!"
204,204,Hey! Everyone's here.
205,205,How are you?
206,206,Dumbass.
207,207, What?
208,208, She is perfect for you.
209,209,Smart as hell.
210,210,Confident. Ambitious.
211,211,She just wasn't the one for me.
212,212, All right?
213,213, What is for you?
214,214,Dying all alone and sad as shit?
215,215,You just jealous.
216,216,How long you been married?
217,217,Twenty years?
218,218, Twentysix.
219,219, Tell the truth.
220,220,When's the last time you had sex?
221,221, None of your damn business.
222,222, Exactly.
223,223,How many great women are you gonna let go? Heh.
224,224,"I mean, you get a lot of loving, but have you ever really been in love?"
225,225,"Of course. I mean, yeah, I was... I was in love."
226,226,One time.
227,227,"A long, long time ago."
228,228,You never told me.
229,229,"Nigga, I don't tell you all my business."
230,230,"Look, all you need to know is that I'll be running down criminals till I'm 100."
231,231,You the last brother that needs to be talking about running down anyone after the hospital.
232,232,The hospital?
233,233,What you talking about?
234,234,What happened at the hospital?
235,235,Running to see baby Marcus.
236,236,I dusted your ass.
237,237,"You spent that run staring at my one good asscheek, Mike."
238,238,You're saying that you actually outran me?
239,239, You beat me in a footrace?
240,240, It's been said.
241,241,"Oh, hell, no."
242,242,HOWARD: Nothing sadder than old men revisiting the past.
243,243,"Whoa, hey, no stretching."
244,244,Stretching is cheating.
245,245," Hey, who you got, Cap?"
246,246, I got 50 on a torn ACL.
247,247,CHUCKLES I ain't running for free.
248,248, What's the bet?
249,249," I win, we lay it down."
250,250,We turn in our papers and we retire.
