,Unnamed: 0,dialog
0,0,"Good morning, winner."
1,1,Take a deep breath.
2,2,Good.
3,3,You're ready to dominate this day.
4,4,"You've worked harder than everyone, and that is why you're a champion."
5,5,You understand that greatness takes sacrifice.
6,6,Visualize what you still want to achieve.
7,7,Stand atop the mountain of your success and look down at everyone who's ever doubted you.
8,8,Fuck those losers.
9,9,Fuck them in their stupid fucking faces.
10,10,Hey!
11,11, Oh!
12,12, Oh!
13,13,"Oh, shit."
14,14,Hold the phone!
15,15,I'm comin'!
16,16,"Oh, shit."
17,17,Whoo!
18,18, What?
19,19, What? Excuse me.
20,20," Oh, oh."
21,21, What?
22,22, Oh.
23,23, What?
24,24, Hey.
25,25, What?
26,26, Missed ya!
27,27, I missed you.
28,28, I missed you so much.
29,29, It's been one night.
30,30," Are we gonna go to school, or..."
31,31, No.
32,32,I don't think we are.
33,33,"No, we're just gonna stay... here."
34,34, Move!
35,35, Jeez!
36,36,Are you...
37,37, Whoo!
38,38, I swear to God.
39,39, Whoo!
40,40, What are you doing?
41,41, Are you kidding me? Samantha!
42,42, You couldn't have just gone around?
43,43,"Where was this energy at my inauguration assembly, folks?"
44,44,True.
45,45,"I hope I never have to see any of you ever again, okay?"
46,46,That's it. Signin' off.
47,47,"Go, Crocketts!"
48,48,Boom.
49,49, Principal Brown?
50,50, Oh...
51,51,"Hi, Molly, Amy. What's shakin'?"
52,52,"I want to make the transition of next year's student government as seamless as possible,  so that when I'm up in New Haven..."
53,53," Yale. You can just say Yale, please."
54,54,"Well, our class's official policy is to not discuss where anyone is attending next year."
55,55,We don't want them to feel insecure.
56,56,Very thoughtful.
57,57,I need to go over the end of the year budget numbers we have.
58,58,Gosh.
59,59,Really?
60,60,"Like, now?"
61,61,"I mean, why don't you do it with Nick?"
62,62,"You know, please?"
63,63,"I mean, he's... you know, he's the vice president."
64,64,Nick?
65,65,Oh!
66,66,We both know that Nick only ran for VP because they plan the dances.
67,67,That position is...
68,68,It's basically a popularity contest.
69,69,He's useless.
70,70,"Ladies, it's the last day, you know?"
71,71,"We did it, huh?"
72,72,We got you through high school.
73,73,"Can't we just graduate, head off to college, you know, celebrate this wonderful achievement?"
74,74,Let's get through the day without anything horrible happening.
75,75,"Sorry, are you shutting the door on us?"
76,76,Not subtle. We will persist!
77,77,Nick's like the great equalizer.
78,78,Delegates from every group of girls are casting their ballots for his penis.
79,79,"Oh, Triple A takes the lead."
80,80,Don't call her that.
81,81,Everybody calls her that.
82,82,She gave roadside assistance to three senior guys last year.
83,83,You hear them getting degrading nicknames?
84,84,"They call Sam Ross ""Dick Splinter."" That's not derogatory, it's a factual description."
85,85, 7:20.
86,86, Under eight minutes?
87,87, You're joking!
88,88, Aah!
89,89,"Oh, my God. 9:43."
90,90,What am I gonna do without you girls next year?
91,91,Nobody around here even attempts the Thursday.
92,92,"Well, Amy and I are gonna Skype the puzzle every single week,  so we will send you our Sunday Times."
93,93, Yep.
94,94,You know what?
95,95,Why don't I just give you two my number?
96,96,"That way, you guys can call or text me if you need anything."
97,97, Yeah! That would make our lives.
98,98, Yeah. Cool.
99,99, We'd love that.
100,100, Definitely.
101,101, I'll give you mine after.
102,102, I'll share the contact.
103,103, I can give...
104,104, I'll share it.
105,105,"Wait. Miss Fine, I thought there were no cell phones allowed in class."
106,106, Or are there exceptions for asskissers?
107,107, Hey.
108,108,A dollar in the swear jar.
109,109,I'm so sorry.
110,110,"These shorts, they don't have pockets."
111,111," Okay, excuse me. Excuse me. Jesus Christ!"
112,112," Whoa, Triple A!"
113,113,"Oh, my God."
114,114, No spatial awareness at this school.
115,115, People just really don't.
116,116," Hey, Amy?"
117,117, It's her!
118,118,Yeah?
119,119,Did you just score your teacher's phone number?
120,120,Yeah.
121,121,Nice.
122,122,"Hey, Miss Fine?"
123,123,You should come party with us tonight.
124,124,Did you just ask Miss Fine if she wants to party with you?
125,125,You think she wants to watch you get drunk and break things?
126,126,Hold on. I was having a conversation with her. You're not part of this.
127,127, I'm...
128,128," Sit down, Theo."
129,129,"Yo, yo. What up, Miss Fine?"
130,130,Just a last day present for my favorite teach.
131,131," Jared, you are not my student."
132,132, I've heard great things.
133,133,"And, hey, everybody else got their graduation gifts, right?"
134,134,Come on.
135,135,"Jare Bear coming at you from all angles, right?"
136,136, Nobody asked for that.
137,137, Uhh...
138,138,"Big me, littler me, little baby Jared at the bottom."
139,139,"Baby Jared says, ""Happy graduation, everybody!"" Yeah, no one's gonna wear a shirt with your face on it, Jared."
140,140,"Like, not even ironically."
141,141,"Okay, well, agree to disagree, 'cause..."
142,142,"Jared, just go."
143,143,I'm out of here. Wasn't even here.
144,144,"See you, Molly."
145,145," Bye, Molly."
146,146, I'll see ya.
147,147,"Bye, Molly."
148,148, Why does he always do that?
149,149, Fair townspeople!
150,150,Fair townspeople?
151,151,"Fair townspeople, I swear to God!"
152,152, What?
153,153," Mark thy calendars and make thy plans to attend the drama department's summer program, Shakespeare in the Park... ing Lot."
154,154,We will be performing the Bard's comedies as modern tragedies outside Whole Foods across town.
155,155,"Well, it's actually funny. It's..."
156,156,It's what we did in my summer program  last year in...
157,157," Barcelona, when I lived in Barcelona."
158,158,"I will be directing, and Alan..."
159,159,"may be starring, pending auditions."
160,160,I don't audition.
161,161,I'm offer only.
162,162,"This looks fun, but I'm not gonna..."
163,163,I'm not gonna be here.
164,164,"Yeah, Amy's spending the summer in Botswana, helping women make their own tampons."
165,165,That's...
166,166,gross.
167,167,"Well, blood attracts lions."
168,168,I'm saving lives.
169,169,"Oh, okay. Well, that's actually noble."
170,170,"I, too, have a fear of big cats."
171,171,"And I can't because I'm working all summer, and also, I don't want to."
172,172,You are a philistine.
173,173,Why would you do theater when you could do debate?
174,174,Because some of us enjoy working with others.
175,175,And some of us know how to win.
176,176,Nobody's winning in that outfit.
177,177,"Sit down, y'all."
178,178,We got work to do.
179,179," So, Molly..."
180,180, Mmm?
181,181, Why don't you start us off?
182,182, Thank you.
183,183,Kill it.
184,184,"All right, well, as you might recall from my analysis yesterday,  we were talking about..."
185,185, It's our last day!
186,186, Let us live! God!
187,187, ...submitting to authority...
188,188,You've gotta open...
189,189,"You've gotta open your mouth a little bit more, all right?"
190,190," Yeah, okay, I gotcha, I gotcha."
191,191," Okay, chips!"
192,192," All right, this is it."
193,193, I gotcha. Ready?
194,194," Dude, how am I supposed to get there?"
195,195, That was my bad.
196,196, Nick?
197,197, You're wild.
198,198, Nick.
199,199," Wait, just one sec. Just... come on."
200,200,"Nick, there's some studentÂ government stuff to go over."
