,Unnamed: 0,dialog
0,0,Rosebud.
1,1,News on the March.
2,2,Legendary was the Xanadu...
3,3,...where Kubla Khan decreed his stately pleasure dome.
4,4,"Today, almost as legendary, is Florida's Xanadu..."
5,5,...the world's largest private pleasure ground.
6,6,"Here on the deserts of the Gulf Coast, a private mountain..."
7,7,...was commissioned and successfully built.
8,8,"One hundred thousand trees, twenty thousand tons of marble..."
9,9,...are the ingredients of Xanadu's mountain.
10,10,"Contents of Xanadu's palace: Paintings, pictures, statues, various stones of other palaces."
11,11,A collection of everything.
12,12,So big it can never be cataloged or appraised.
13,13,"Enough for 10 museums, the loot of the world."
14,14,Xanadu's livestock...
15,15,"...the fowl of the air, the fish of the sea, the beast of the field and jungle..."
16,16,"...two of each, the biggest private zoo since Noah."
17,17,Like the pharaohs...
18,18,...Xanadu's landlord leaves many stones to mark his grave.
19,19,Since the pyramids...
20,20,...Xanadu is the costliest monument...
21,21,...a man has built to himself.
22,22,Here in Xanadu last week...
23,23,...Xanadu's landlord was laid to rest.
24,24,A potent figure of our century...
25,25,...America's Kubla Khan: Charles Foster Kane.
26,26,"Its humble beginnings, in this ramshackle building, a dying daily."
27,27,"Kane's empire, in its glory..."
28,28,"...held dominion over 37 newspapers, two syndicates..."
29,29,"...a radio network, an empire upon an empire."
30,30,"The first of grocery stores, paper mills..."
31,31,"...apartment buildings, factories, forests, ocean liners."
32,32,An empire through which for 50 years...
33,33,...flowed in an unending stream...
34,34,...the wealth of the Earth's third richest gold mine.
35,35,Famed in American legend is the origin of the Kane fortune.
36,36,"How, to boarding housekeeper Mary Kane, by a defaulting boarder, in 1868..."
37,37,...was left the supposedly worthless deed to an abandoned mineshaft: The Colorado Lode.
38,38,"Fiftyseven years later, before a congressional investigation..."
39,39,"...Walter P. Thatcher, grand old man of Wall Street..."
40,40,...for years chief target of Kane papers' attacks on trusts...
41,41,...recalls a journey he made as a youth.
42,42,My firm had been appointed trustee by Mrs. Kane...
43,43,...for a large fortune she recently acquired.
44,44,"It was her wish that I take charge of this boy, Charles Foster Kane."
45,45,"Chief, is it not, that on this occasion, Charles Foster Kane..."
46,46,...personally attacked you after striking you in the stomach with a sled?
47,47,I shall read to the committee a prepared statement...
48,48,"...which I have brought with me, and then refuse to answer questions."
49,49,"Mr. Charles Foster Kane, in every essence of his social beliefs..."
50,50,...and by the dangerous manner he has persistently attacked...
51,51,...American traditions of private property...
52,52,...initiative and opportunity for advancement...
53,53,"...is, in fact, nothing more or less than a communist."
54,54,That same month in Union Square...
55,55,"The words ""Charles Foster Kane""..."
56,56,...are a menace to every workingman in this land.
57,57,He is today what he has always been A fascist.
58,58,And still another opinion...
59,59,Kane urged his country's entry into one war...
60,60,...opposed participation in another.
61,61,Swung the election to one American president at least.
62,62,Spoke for millions of Americans.
63,63,Was hated by as many more.
64,64,For 40 years appeared in Kane newsprint...
65,65,...no public issue on which Kane papers took no stand.
66,66,No public man whom Kane himself did not support or denounce.
67,67,"Often support, then denounce."
68,68,"Twice married, twice divorced."
69,69,First to a president's niece...
70,70,"...Emily Norton, who left him in 1916."
71,71,Died 1918 in a motor accident with their son.
72,72,Sixteen years after his first marriage...
73,73,...two weeks after his first divorce...
74,74,...Kane married Susan Alexander...
75,75,"...singer, at the Town Hall in Trenton, New Jersey."
76,76,"For wife two, onetime operasinging Susan Alexander..."
77,77,...Kane built Chicago's Municipal Opera House.
78,78,$3 million.
79,79,"Conceived for Susan Alexander Kane, halffinished before she divorced him..."
80,80,...the still unfinished...
81,81,...Xanadu.
82,82,No man can say.
83,83,"Kane, molder of mass opinion though he was..."
84,84,...in all his life was never granted elective office...
85,85,...by the voters of his country.
86,86,But Kane papers were once strong indeed...
87,87,...and once the prize seemed almost his.
88,88,"In 1916, as independent candidate for governor..."
89,89,...the best elements of the state behind him...
90,90,...the White House seemingly the next easy step in a lightning political career...
91,91,"...then suddenly, less than one week before election..."
92,92,...defeat.
93,93,"Shameful, ignominious."
94,94,Defeat that set back for 20 years the cause of reform in the U. S...
95,95,...forever canceled political chances for Charles Foster Kane.
96,96,"Then, in the first year of the Great Depression..."
97,97,...a Kane paper closes.
98,98,"For Kane, in four short years, collapse."
99,99,"Eleven Kane papers merged, more sold, scrapped."
100,100,Is that correct?
101,101,Don't believe everything you hear on the radio.
102,102, Read the Inquirer.
103,103, How were business conditions in Europe?
104,104,"How did I find business conditions in Europe, Mr. Bones?"
105,105,With great difficulty.
106,106,Are you glad to be back?
107,107,I'm always glad to be back.
108,108,I'm an American.
109,109,Always been an American.
110,110,Anything else?
111,111,"When I was a reporter, we asked them quicker than that."
112,112,What do you think of the chances for war in Europe?
113,113,"I talked with the responsible leaders of England, France, Germany and Italy."
114,114,They're too intelligent to embark on a project...
115,115,...which would mean the end of civilization.
116,116,"You can take my word for it, there will be no war."
117,117,Kane helped to change the world...
118,118,...but Kane's world now is history...
119,119,...and the great yellow journalist himself lived to be history...
120,120,...outlived his power to make it.
121,121,"Alone in his neverfinished, already decaying pleasure palace..."
122,122,"...aloof, seldom visited, never photographed..."
123,123,...an emperor of newsprint continued to direct his failing empire.
124,124,"Vainly attempted to sway, as he once did..."
125,125,...the destinies of a nation that had ceased to listen to him...
126,126,...ceased to trust him.
127,127,"Then last week, as it must to all men..."
128,128,...death came to Charles Foster Kane.
129,129,News on the March.
130,130, That's it.
131,131, Hello. Hello.
132,132, Stand by.
133,133, I'll tell you if we want to run it again.
134,134," How about it, Mr. Rawlston?"
135,135, How do you like it?
136,136,Seventy years in a man's life.
137,137,That's a lot to try to get into a newsreel.
138,138,"It's a good short, but what it needs is an angle."
139,139,All we saw on that screen was that Charles Foster Kane is dead.
140,140,I know that. I read the papers.
141,141,It isn't enough to tell us what a man did...
142,142,...you've got to tell us who he was.
143,143,Wait a minute.
144,144,What were Kane's last words?
145,145,"Do you remember, boys?"
146,146,What were the last words he said on Earth?
147,147,Maybe he told us about himself on his deathbed.
148,148, Maybe he didn't.
149,149, All we saw was a big American.
150,150,"How did he differ from Ford, Hearst or John Doe?"
151,151," Yeah, sure."
152,152," I tell you, a man's dying words..."
153,153, What were they?
154,154, You don't read the papers.
155,155,"When Charles Foster Kane died, he said one word: ""Rosebud."" That's all he said? Tough guy."
156,156,"Yes, ""Rosebud."" Just that one word."
157,157, But who is she?
158,158, What was it?
159,159,Here's a man who could've been president...
160,160,"...who was as loved, hated and talked about..."
161,161,"...as any man in our time, but when he dies..."
162,162,...something is on his mind called Rosebud.
163,163, What does that mean?
164,164, A racehorse he bet on once.
165,165, That didn't come in.
166,166, But what was the race?
167,167,Rosebud.
168,168, Thompson.
169,169, Yes.
170,170," Hold this up a week, two if you must."
171,171, Don't you think right after he's dead...
172,172,Find out about Rosebud. Get in touch with anybody who knew him or knew him well.
173,173,That manager of his... Uh...
174,174,Bernstein. His second wife.
175,175,She's still living.
176,176,Susan Alexander Kane.
177,177, She runs a nightclub in Atlantic City.
178,178, That's right.
179,179,See them all. Get in touch with everybody that ever worked for him...
180,180,"...whoever loved him, whoever hated his guts."
181,181,I don't mean go through the city directory of course.
182,182,I'll get on it right away.
183,183,"Good. Rosebud, dead or alive."
184,184,It will probably turn out to be a very simple thing.
185,185,Miss Alexander.
186,186,"This is Mr. Thompson, Miss Alexander."
187,187,"I want another drink, John."
188,188,Right away.
189,189,"Will you have something, Mr. Thompson?"
190,190," I'll have a highball, please."
191,191, Who told you you could sit down?
192,192,I thought maybe we could have a talk.
193,193,Think again.
194,194,Can't you people leave me alone?
195,195,"I'm minding my own business, you mind yours."
196,196,"If I could just have a talk with you, Miss Alexander. I'd..."
197,197,Get out of here.
198,198,Get out!
199,199, Sorry.
200,200, Get out.
201,201, Maybe some other time.
202,202, Get out.
203,203,Gino.
204,204,Get her another highball.
205,205,"She just won't talk to nobody, Mr. Thompson."
206,206,Okay.
207,207, Another double?
208,208, Yeah.
209,209,"Hello, I want New York City."
210,210,Courtland 79970.
211,211,This is Atlantic City 46827. All right.
212,212,Hey.
213,213," She's, uh..."
214,214, Yeah.
215,215,She'll snap out of it.
216,216,"Why, until he died, she'd just as soon talk about Mr. Kane as any..."
217,217, Hello.
218,218, Sooner.
219,219,This is Thompson.
220,220,Let me talk to the chief.
221,221,Mr. Rawlston? She won't talk.
222,222,The second Mrs. Kane.
223,223,About Rosebud or anything else.
224,224,I'm calling from Atlantic City.
225,225,"Tomorrow I'll go to Philadelphia, to Thatcher Library, to see his diary."
226,226,They're expecting me.
227,227,Then I've a meeting with his general manager in New York. Bernstein.
228,228,Then I'm coming back here.
229,229,"Yeah, I'll see everybody that's still alive. Goodbye."
230,230, Hey... Um...
231,231, John.
232,232,You just might be able to help me.
233,233,"When she used to talk about Mr. Kane, did she ever mention Rosebud?"
234,234,"""Rosebud""?"
235,235,"Thank you, Mr. Thompson, thanks."
236,236,"As a matter of fact, just the other day, when the papers were full of it..."
237,237,...I asked her.
238,238,She never heard of Rosebud.
