,Unnamed: 0,dialog
0,0,"Good morning, your Highness."
1,1,"Good morning, your Highness."
2,2,"Good morning, your Highness."
3,3," Happy birthday, your Highness."
4,4," Yes, it is my birthday."
5,5,"Oha, it is my 21st birthday."
6,6,"Do you think, just once, I might use the bathroom by myself?"
7,7,"Most amusing, sir."
8,8,Wipers!
9,9,"The royal penis is clean, your Highness."
10,10,His Highness must be very excited today.
11,11,Today is your 21st birthday.
12,12,It means you meet your wifetobe.
13,13,How can a man get excited about a woman he's never seen?
14,14,He certainly is quiet this morning.
15,15,He looks sad.
16,16," Is something troubling you, my son?"
17,17," No, Father."
18,18,I'm more than the exalted ruler of this land and master of all I survey.
19,19,I'm also a concerned dad.
20,20,"Well, Father... Just a moment."
21,21, What is he doing?
22,22, It looks as if he's coming here.
23,23,"Wait right there, Akeem."
24,24,Rose bearers!
25,25,Akeem. Come sit.
26,26,"Now, my son..."
27,27,Have you grown a moustache?
28,28,"Jaffe, it has been a year."
29,29," So, what is it, my son?"
30,30," First of all, things like this."
31,31, Like what?
32,32, The rose petals.
33,33,"You're the son of a king, why shouldn' you walk on the petals of roses?"
34,34,"But if there were no rose petals, I would still be the son of a king."
35,35,"Then it is settled. From this day forth, anyone who throws roses at my son's feet will answer to me."
36,36,"It is not just that, it is everything."
37,37,"The cooking, the pampering, the dressing, the bathing..."
38,38,"Actually, I rather enjoy the bathing, but I'd like to cook for myself, dress myself, wipe my own backside."
39,39, And why can't I find my own wife?
40,40, Aha! So that's it?
41,41,We've gone through a lot of trouble to select for you a very fine wife.
42,42,"Since she was born, she was taught to walk, speak and think as a queen."
43,43,But what if I don't love her?
44,44,It's normal to feel anxiety about meeting your queen.
45,45,"When I met your father, I was terrified."
46,46,"I must admit, I was frightened, too."
47,47,"I was so nervous, I became nauseous."
48,48,"But over the years, I have grown to love your father very much."
49,49,"You see, my son, there's a fine line between love and nausea."
50,50,"I understand, but when I marry, I want the woman to love me for who I am, not because of what I am."
51,51, And who are you?
52,52, A man who's never tied his shoes.
53,53,Wrong! You're a prince who's never tied his shoes.
54,54,I tied my own shoes once.
55,55,It is an overrated experience.
56,56,"Good morning, your Majesty."
57,57,It's another beautiful day in Zamunda.
58,58,"And, Semmi, what is it now?"
59,59,"You look especially radiant today, your Grace."
