,Unnamed: 0,dialog
0,0,"Be careful, your fingers."
1,1,May I help you?
2,2,This is the Calthorpe.
3,3,Private hotel.
4,4,I'm Mrs. Eleanor Young.
5,5,I have a reservation at the Lancaster Suite.
6,6,We spoke on the phone when I confirmed yesterday.
7,7,"Sorry, don't seem to have your reservation."
8,8,Good evening.
9,9,"I'm Reginald Ormsby, hotel manager."
10,10,Is there a problem?
11,11,I'm Mrs. Eleanor Young.
12,12,My family and I would like to be shown to our suite.
13,13,We've had a long flight.
14,14,"We're fully booked, madam."
15,15,You must have made a mistake.
16,16,I'm sure you and your lovely family can find other accommodation.
17,17,May I suggest you explore Chinatown?
18,18,"Please, may I use your phone to call my husband?"
19,19,It's the least you can do.
20,20,Mmm.
21,21,"Mrs. Young, I must ask you to leave or I'll have to call the police."
22,22,"Please, go right ahead."
23,23,"Lord Calthorpe, my apologies for the disturbance."
24,24,Eleanor! I just got off the phone with your husband.
25,25,Get the Lancaster Suite ready.
26,26,Now.
27,27,"Surely you're joking, sir."
28,28,"I assure you, I'm not."
29,29,"As of this evening, my family's long history as custodians of the Calthorpe is ended."
30,30,"I'm selling the hotel to my dear friends, the Young family of Singapore."
31,31,"Meet the new lady of the house, Eleanor Young."
32,32,Join me for a toast.
33,33,We'd be delighted.
34,34,Do get a mop. The floor's wet.
35,35,Get a mop.
36,36,I'm all in.
37,37,Fold.
38,38,Oh...
39,39,Nothing?
40,40,This whole time you had nothing?
41,41,"All right, so how did I beat T.A. Curtis so very, very badly?"
42,42,"Well, I know for a fact that Curtis is cheap."
43,43,"So he's not playing using logic or math, but using his psychology."
44,44,"Our brains so hate the idea of losing something that's valuable to us that we abandon all rational thought, and we make some really poor decisions."
45,45,"So, Curtis wasn't playing to win."
46,46,He was playing not to lose.
47,47,Here.
48,48,Put it towards a haircut.
49,49,"All right, that's it for today."
50,50,Don't forget your essays on conditional probability are due next week.
51,51,Yes! Mmmhmm.
52,52,You know what?
53,53,You can order your own.
54,54,Mmm. I'm okay with coffee.
55,55,Thanks.
56,56,"Yeah, well, you always say that, and then you end up eating all my dessert."
57,57,I don't know what you're talking about.
58,58,"'Cause I have, like, a tiny bit."
59,59,Uhhuh. Okay.
60,60,"Can we have one more of these, please? Thank you."
61,61,So what about us taking an adventure east?
62,62,You wanna get pork buns in the East Village.
63,63,"That's what it is, isn't it?"
64,64,I was actually thinking of further east.
65,65,Like Queens?
66,66,Like Singapore.
67,67,For spring break.
68,68,Colin's wedding.
69,69,"We've been dating for over a year now, and I think it's about time people met my beautiful girlfriend."
70,70,"Come on, I'm Colin's best man."
71,71,Don't you wanna see where I grew up?
72,72,"Meet my family, my Ah Ma?"
73,73,And meet up with that strange college roommate of yours.
74,74,Peik Lin.
75,75, Mmmhmm. Peik Lin.
76,76," She has been begging me to come visit her, you know."
77,77,The universe has spoken.
78,78,It wants you over there.
79,79,Come to Singapore.
80,80,I want the whole island to meet the brilliant Rachel Chu.
81,81,Aww.
82,82,"""If then you have been raised with Christ, ""seek the things that are above ""where Christ is seated ""at the right hand of God."
83,83,"""Set your minds on things that are above, ""not on things that are on Earth."" Eleanor, is Nicki bringing a girl to Colin's wedding?"
84,84,My Amanda heard it from her friend Francesca.
85,85,Eddie says her name is Rachel Chu.
86,86,"Oh, I thought that Nick was coming alone."
87,87,Did you know he had a girlfriend?
88,88,Nick dates many girls.
89,89,It's hard to keep track.
90,90,Amanda knows everyone and she has never heard of her.
91,91,Rachel Chu.
92,92,Maybe she's from the Taiwan plastics Chu family.
93,93,"If you want, I have a private investigator."
94,94,Very discreet.
95,95,I think we should return to the word of God.
96,96,Alix.
97,97,Ephesians.
98,98,"Chapter six, verse four."
99,99,"""Bring up your children in the discipline ""and instruction of the Lord."" Oh, I do hope she's a good Christian girl."
100,100,"Well, if he's bringing her home, it must be serious."
101,101,Exactly.
102,102,Oh.
103,103, It's my mum. Do you mind?
104,104, Mmm. Go ahead.
105,105,All right.
106,106, Save me some of that.
107,107, Okay.
108,108,"Hey, Mum, everything okay?"
109,109,Does something have to be wrong for me to call?
110,110,"Yeah, usually."
111,111,Very funny.
112,112,Are you bringing the girl you're seeing to Colin's wedding?
113,113,Mmm. We were literally just talking about that.
114,114,How could you know?
115,115,Everybody knows.
116,116,Radio One Asia.
117,117,Move on to Corinthians.
118,118,I'll catch up.
119,119,"Oh, yes."
120,120,We're looking forward to having you home.
121,121,And your room is all ready for you.
122,122,"Thanks, Mum."
123,123,But Rachel and I will be staying together.
124,124,I see.
125,125,"Well, I'm having the house redone."
126,126,And it's not ready for guests.
127,127,"If Rachel comes, I think she might be more comfortable staying somewhere else."
128,128,"All right, sorry about that."
129,129,I saved you a piece.
130,130,"You did, did you?"
131,131,A very small piece at that.
132,132,Thank you very much.
133,133,How's your mom?
134,134,Everything okay?
135,135,Couldn't be better.
136,136,"Hey, Mom, this one's kind of cute. What do you think?"
137,137,"No, no! You can't wear that to meet Nick's Ah Ma."
138,138,Blue and white is for Chinese funerals.
139,139,"Now this, this symbolizes good fortune and fertility."
140,140,"Great! I was really going for that ""lucky baby maker"" vibe."
141,141,Hey! You're the one who asked for my help picking out a dress to meet Nick's family.
142,142,It's only 'cause I hardly know anything about them.
143,143,"Every time I bring them up, Nick changes the subject."
144,144,Maybe he's embarrassed.
145,145,"Maybe his parents are poor, and he has to send them money."
146,146,That's what all good Chinese children do.
147,147,"Oh, you're going to have a wonderful time."
148,148,You've always wanted to go to Asia.
149,149,"And who knows, if all goes well in Singapore, you might just come back with a souvenir."
150,150,"Oh, Mom, stop!"
151,151,Nick and I haven't even talked about that.
152,152,"I mean, his parents can't not like me, right?"
153,153,What was that look?
154,154,I saw that.
155,155,"Nothing. It's just, Nick bringing a girl all the way there to meet them can mean a lot to these overseas families."
156,156,They're different from us.
157,157,How are they different?
158,158,"They're Chinese, I'm Chinese."
159,159,"I'm so Chinese, I'm an economics professor with lactose intolerance."
160,160,"Yeah, but you grew up here."
161,161,You're different.
162,162,But wearing a lucky color will make a good first impression.
163,163,"Okay, game plan."
164,164,"Check our bags, get through security, and then we could eat one of the three homemade Tupperware meals my mom packed for us."
165,165,"Good afternoon, Mr. Young, Miss Chu."
166,166,We'll take your bags and get you checked into first class.
167,167, Great.
168,168," Oh. No, there's a mistake."
169,169,We're not first class.
170,170,We're economy people.
171,171,"This way, please."
172,172,Just go with it. Come on.
173,173,But...
174,174,"Yeah, they'll be fine."
175,175,Just leave them there.
176,176,"Welcome aboard, Mr. Young, Miss Chu."
177,177,Here's the way to your private suite.
178,178,And some champagne.
179,179,Thank you.
180,180, Thank you very much.
181,181, You're welcome.
182,182,"After takeoff, would you like to enjoy the lounge chairs, or should we convert your suite into a bedroom?"
183,183,Uh... We're good. Thank you.
184,184,Enjoy.
185,185, Nick. We can't afford this.
186,186, Mmm.
187,187,These pajamas are fancier than any of my real clothes.
188,188,My family has business with the airline.
189,189,"The tickets, they're a perk."
190,190,What kind of business?
191,191,"Real estate, investment, other things."
192,192,Nothing interesting.
193,193,"""Dim sum."" So your family is, like, rich?"
194,194,We're comfortable.
195,195,That is exactly what a superrich person would say.
196,196,"It's not a big deal, obviously."
197,197,I just think it's kind of weird that I had no idea.
198,198,"I mean, you have a Jamba Juice card."
199,199,You use my Netflix password.
200,200,You play basketball at that Y that kind of smells.
201,201,"I really like that place, thank you very much."
202,202,"And yes, my family has money, but I've always thought of it as theirs."
203,203,Not mine.
204,204,I get that.
205,205,But I'm going all the way over there to meet them...
206,206,Kind of just wanna know what I'm getting into.
207,207,"And, you know, they're your family."
208,208,Well...
209,209,My family is much like anybody else's.
210,210,Mmmhmm.
211,211,"There's half of them that you love and respect, and then there's the other half."
212,212,Which half am I meeting?
213,213,"Well, there's my cousin Alistair, based in Taiwan, works in movies."
214,214,And cut!
215,215,"He's dating Kitty Pong, an actress."
216,216, Kitty.
217,217, Alistair.
218,218,You like it?
219,219,"I was feeling very, very the emotions."
220,220,Can you feel it?
221,221,"Oh, I can feel all of you."
222,222,And all of me.
223,223,"Okay, and what about your cousin Eddie?"
224,224,You don't ever talk about him.
225,225,"Well, Eddie's a big finance guy in Hong Kong."
226,226,A real family man.
227,227,"You know, if you move, it will look more natural."
228,228,"No, this way you get our optimal angles."
