,Unnamed: 0,dialog
0,0,LIGHTER CLICKS WINDING MUSIC BOX ALL OUT OF LOVEPLAYING SNIFFING BOTTLES CLATTERING DEADPOOL: Fuck Wolverine.
1,1,"First, he rides my coattails with the R rating."
2,2,Then the hairy motherfucker ups the ante by dying.
3,3,What a dick.
4,4,"Well, guess what, Wolvie?"
5,5,"I'm dying in this one, too."
6,6,"X GOIN' GIVE IT TO YAPLAYING DEADPOOL: To understand why I took a catnap on 1,200 gallons of hightest fuel..."
7,7,I need to take you back to the dewy slopes of six weeks ago.
8,8,"I'd gone international, taking out mass murderers, gangsters, unspeakable monsters."
9,9,People nobody would touch.
10,10,Except me.
11,11,I'm gonna touch them all over.
12,12,"CELL PHONE RINGING DEADPOOL: Hey, it's Gail calling."
13,13,Love the shiny suit.
14,14,"Really brings out the sex trafficker in your eyes. SPEAKING CANTONESE IN ENGLISH I don't speak Cantonese, Mister..."
15,15,"Well, I'm not even gonna attempt that."
16,16,"But I did take 8th grade Spanish, so..."
17,17,SPEAKING SPANISH Which literally translates to...
18,18,"I don't bargain, pumpkin fucker."
19,19,"CELL PHONE CLATTERS WOMAN SCREAMING GUNS COCKING Oh. Oh, this isn't Gilbert's."
20,20,I am so sorry.
21,21,I thought this was an analbleaching party.
22,22,GUNS FIRING GRUNTING BREATHING HEAVILY GASPS SHUSHING MEN LAUGHING Don't worry.
23,23,You're not going to die.
24,24,Although these will kill you.
25,25,"Hit it, Dolly."
26,26,9 TO 5PLAYING BOTH GRUNTING WOMAN SCREAMS I'm merely a vessel for the Lord.
27,27,MEN GROANING Taking the hands out of the guns of the criminals!
28,28,Whoo! Do not go in there!
29,29,Let's see Captain America do that.
30,30,MEN CHEERING CROWD CHEERING Too exotic?
31,31,"SPEAKING SPANISH SOFT MUSIC PLAYING ALL GRUNTING MUSIC CONTINUES Oh, God! Oh, God, time out! Time out!"
32,32,"Cut. I've got bad guy blood, right in my open eye."
33,33,"Oh, that's so gross."
34,34,GROANING Fuck.
35,35,Looks like you left a little landing strip there.
36,36,I like it.
37,37,"Oh, man!"
38,38,"DEADPOOL: My world tour brought me home to this guy, Sergei Valishnikov."
39,39,But we'll get to him in a moment.
40,40,'Cause I know what you're thinking.
41,41,"""I'm so glad I left the kiddos at home."" But that's where you'd be wrong."
42,42,That babysitter of yours is high as fuck right now...
43,43,"and, believe it or not, Deadpool 2 is a family film."
44,44,True story.
45,45,And every good family film starts with a vicious murder.
46,46,"Bambi, The Lion King, Saw 7."
47,47,CHUCKLING Holy shit pickles!
48,48,That guy's on fire.
49,49,"That's not CGI, folks."
50,50,He's actually on fire.
51,51,"Yeah. You know I get paid to take out bad guys, right?"
52,52,But this guy?
53,53,He was one of the worst of 'em.
54,54,"Hurry up and open this fucking door, and let's kill this motherfucker!"
55,55,ALARM RINGING GUNSHOT BODY THUDS Ugh. So gross.
56,56,A panic room? Really?
57,57,Can you come out? WATCH BEEPING I really have to go.
58,58,It's my anniversary.
59,59,"GUNS COCKING MAN: ON RADIO Over and over, I hear people say, ""I just don't have enough confidence."" Listen, confidence is not something you have."
60,60,It's something you create. LAUGHS And you can create it at any moment in time.
61,61,A sense of confidence is nothing but a sense of power within yourself...
62,62,a sense of certainty that you can pull something off.
