,Unnamed: 0,dialog
0,0,Just to pick some flowers.
1,1,Don't wander too far.
2,2,"âª My wild Irish rose âª âª The sweetest flower That grows âª âª You may search everywhere âª âª But none can compare âª âª With my wild Irish rose âª Well, hi there."
3,3,Do you want one?
4,4,You're wondering why I'm wearing such a funny hat.
5,5,I always wear this hat.
6,6,"So much, it's a part of my name now."
7,7,"My friends, my very, very best friends, they just call me Rose the Hat."
8,8,It looks like a magician's hat.
9,9,It is.
10,10,It's a magic hat.
11,11,Do you wanna see?
12,12,Nothing up my sleeves.
13,13,Nothing in my hat.
14,14,"Don't worry, that's my friend."
15,15,You're missing the trick.
16,16,Reach inside.
17,17,Wow!
18,18,It's so pretty.
19,19,Because it's special.
20,20,"And speaking of special, you're a little magic, too, aren't you?"
21,21,"The flower in my hand, what color is it?"
22,22,Purple.
23,23,"Violet, like you."
24,24,You don't eat flowers.
25,25,But you do.
26,26,But these are special.
27,27,"Honey, it's the special ones that taste best."
28,28,I should get back to my mom.
29,29,"No, stay. Stay awhile."
30,30,See more magic.
31,31, Ow.
32,32," You are a special little thing, aren't you?"
33,33,"No, no, no. Please."
34,34,"Hey. It's okay, Doc."
35,35,It's okay.
36,36,There.
37,37,All dry.
38,38,What happened?
39,39,"You have to talk to me, Danny."
40,40,You haven't talked since we left...
41,41,"Please, Doc."
42,42,Please.
43,43,"So, you ain't talking, huh, Doc?"
44,44,Weren't talking much first time I met you neither.
45,45,You remember the first time we really talked?
46,46,When I spoke up inside your head?
47,47,"Made you feel good, right?"
48,48,Knowing you weren't alone.
49,49,"Someone did that for me, too."
50,50,"And some day, Danny Torrance, you'll teach someone else."
51,51,I won't.
52,52,"Oh, you won't, huh?"
53,53,"I won't shine, I mean."
54,54,No more. It's dangerous.
55,55,Reckon it is sometimes.
56,56,She found me.
57,57,She'll come back and come back until she gets me.
58,58,You're right.
59,59,The Overlook's condemned.
60,60,Boarded up.
61,61,"They're starvin' old ghosts, and they're reachin' out for you."
62,62,"Won't stop with her, either."
63,63,Pictures in a book.
64,64,You said they were just pictures in a book and they couldn't hurt me.
65,65,"Some things, dark things, the shining's like food."
66,66,"The Overlook, it was always just pictures to me."
67,67,But I didn't shine like you.
68,68,Nobody shines like you.
69,69,"So, you in that damn hotel, you was like a millionwatt battery all plugged in."
70,70,And it ate it up.
71,71,World's a hungry place.
72,72,"And the darkest things are the hungriest, and they'll eat what shines."
73,73,Swarm it like mosquitoes or leeches.
74,74,Can't do nothing about that.
75,75,What you can do is turn what they come for against 'em.
76,76,"My grandfather, he was a mean son of a bitch."
77,77,Dark inside.
78,78,Same type of dark as your dad.
79,79,"Beat me senseless, and my grandma, too, and when he died, I danced."
80,80,But he kept on coming back.
81,81,Standing in my room.
82,82,Suit all gray and stinkin' from whatever mold was growin' on him in that box.
83,83,"So, Grandma, she taught me a trick."
84,84,Gave me a present.
85,85,I want you to know this box inside and out.
86,86,Don't just look at it.
87,87,Touch it.
88,88,Stick your nose inside and see if there's a smell.
89,89,Why?
90,90,Because you're gonna build one just like it in your mind.
91,91,One even more special.
92,92,"So next time that bitch comes around, you'll be ready."
93,93,Let's get you back to Mama.
94,94,Danny!
95,95,Danny!
96,96,Danny!
97,97,There you are.
98,98,"Where did you go, huh?"
99,99,You scared me half to death.
100,100,Don't you do that to me.
101,101,You hear?
102,102,Don't you ever do that to me.
103,103,Don't ever do that to me.
104,104,"Eh, what's up, Doc?"
105,105,What's the bit?
106,106,What's cookin'?
107,107,"What's cooking, little friend? Why, you are."
108,108,Me?
109,109,"Why, yes."
110,110,Ouch!
111,111,You're killing me!
112,112,Ouch!
113,113,Agony! Agony!
114,114,Let me see now.
115,115,It is obvious that this is no ordinary rabbit.
116,116,"Therefore, I must dream up a brilliant master strategy, ingenious..."
117,117,"You okay, Doc?"
118,118,"Now, what if I lured him..."
119,119," Yeah, Mom. I'm okay."
120,120, ...into a rock crusher?
121,121,"Nah, nah, nah, too complicated."
122,122,"Yeah, yeah, too complicated. But what if I..."
123,123,Too much detail.
124,124,Right.
125,125,Too much detail.
126,126,"And what's your name  again, cutie?"
127,127, Dan.
128,128,Dan.
129,129,You're gonna take your medicine.
130,130,Get off him.
131,131,Get up. Get out of here.
132,132,Shit.
133,133,I think you killed him.
134,134,What if you killed him?
135,135,I hope you killed him.
136,136,You hear me?
137,137,Let me kiss it better.
138,138,"No, no, no."
139,139,"No, no, no."
140,140,Whoa. What the... No.
141,141,Mommy?
142,142, Mommy?
143,143, Baby.
144,144,"Here, here."
145,145,"You can put her money back, Doc."
146,146,You can do that much.
147,147,She took mine.
148,148,She probably bought the coke with it.
149,149,Doc.
150,150,âª It's still the same Old story âª âª A fight for love And glory âª âª A case of do or die âª âª The world Will always welcome lovers âª âª As time goes by âª Henri wants us to finish this bottle  and then three more.
151,151, Andi?
152,152,Says he'll water his garden with champagne...
153,153,That's right.
154,154,...before he'll let the Germans drink it.
155,155,This sort of takes the sting out of being occupied.
156,156,You're prettier than your picture.
157,157," Doesn't it, Mr. Richard?"
158,158, You said it.
159,159,And you're older than yours.
160,160,Are we staying here or going somewhere?
161,161,Don't you wanna watch the movie?
162,162,I don't see what the fuss is about.
163,163,Chat room romance.
164,164,Little gross. Not interesting.
165,165,Just watch.
166,166,"It's interesting, I promise."
167,167,"Well, it better be, 'cause she's not all that steamy."
168,168,And there she goes.
169,169,Aren't you tired?
170,170,Sleep.
171,171,Okay.
172,172,Wait. This is the best part.
173,173,I watched her do it three times now and it never gets old.
174,174,"Sleep deeper, deep as you can."
175,175,The pain you feel is only a dream.
176,176,You can explain a lost wallet when your wife asks.
177,177,But you can't explain this.
178,178,This you'll see every day when you look in the mirror.
179,179,"And every time you see it, you'll say out loud..."
180,180,"""I like little girls."" And the next time you go looking for a little girl online, I want you to remember that time you got bitten by a rattlesnake."
181,181, That is interesting.
182,182, Mmmhmm.
183,183,"Excuse me, miss?"
184,184,"Miss. Miss, you left something in the theater."
185,185,You wanna leave me alone.
186,186,"Well, hi there."
187,187,You wanna let me go.
188,188,"Oh, no, sweetie."
189,189,"No, I don't."
190,190,"Mommy, I made this for you."
191,191,It's a secret card.
192,192,"Thank you, Abbadoo."
193,193,Does anyone know a magic word?
194,194,Hmm. You.
195,195,Abracadabra.
196,196,Abracadabra.
197,197,That's a great one.
198,198," One, two, three."
199,199," Two, three."
200,200,Abracadabra.
201,201,"I know magic, too."
202,202,"Sometimes, if I..."
203,203,Sorry.
204,204,Has anyone seen my spoons?
205,205,I can do that.
206,206,"That's nice, sweetie."
207,207, They're on you!
208,208," Oh, they're on me?"
209,209,What the hell?
210,210,Dave...
211,211,Abracadabra.
212,212,Oops.
213,213,"Well, hi there, sleepyhead."
214,214,Sorry.
215,215,I had to sleep you pretty hard.
216,216,You're a tough one.
217,217,Willful.
218,218,"You know, I checked."
219,219,Six men in three months with those little snakebite tattoos on their cheeks.
220,220,"Why, you've been busy."
221,221,"Snakebite Andi, that's who you are."
222,222,"So, who am I?"
223,223,You're some crazy bitch who kidnapped me.
224,224,Just the truth from now on.
225,225,You will only speak the truth.
226,226,You're the most beautiful woman I've ever seen.
227,227,My God.
228,228,"Works a little too well, don't it?"
229,229,"Here's the deal, Snakebite Andi."
230,230,You're a pusher. Hmm?
231,231,You can push people.
232,232,We haven't had a pusher around here for a little while so I'm gonna offer you a deal I haven't offered anyone in almost 40 years.
233,233,"How old are you, darlin'?"
234,234,Fifteen.
235,235,Fifteen?
236,236,"Oh, God, what an age."
237,237,"Springtime of your womanhood, isn't it?"
238,238,Mmm.
239,239,"You're not a girl anymore, but you don't have a single dent yet either."
240,240,Gravity hasn't even noticed you.
241,241,Not at 15.
242,242,"Men, though..."
243,243,"No, no, no. No shame."
244,244,"You paid that back, didn't you?"
245,245,That's what I'm offering you.
246,246,Springtime forever.
247,247,"Ten years from now, you're still 15."
248,248,"A hundred, maybe 17."
249,249,"Eat well, stay young, live long."
250,250,You like it?
251,251,Oh. Sorry. I was just...
252,252,That's okay.
253,253,People love to look at it.
254,254,We used to set this up in the library.
255,255,"Community project, just taking a life all its own."
256,256,"See, we started with the clock tower there."
257,257," Oh, yeah."
258,258, Just keeps growing.
259,259,Kids call it Teenytown.
260,260,The kids build this?
261,261,"With some help, oh, yeah."
262,262,"Keep it up, build the whole town square."
263,263,Are you off the bus or riding your thumb?
264,264,"Yeah, the bus."
265,265,Oh. Not many ride the bus this far north.
266,266,Unless they're looking for work.
267,267,Yeah.
268,268,"Change of scenery, or you running away from something?"
269,269,Don't mind me.
270,270,I hope I'm...
271,271,New face is all.
272,272,Yeah.
273,273,"Guess I'm running away from myself, I guess."
274,274,"Oh, yeah."
275,275,Running away from yourself.
276,276,That is a pickle.
277,277,You take yourself with you wherever you go.
278,278, Ain't that the bitch?
279,279, Mmmhmm.
280,280,"Rent's 85 a week, payable up front."
281,281,"Billy paid your first two, rest's on you."
282,282,"No pets, no parties, no noise."
283,283,I'm a quiet tenant.
284,284,Last guy said the same.
285,285,Math student.
286,286,"Even let him paint the wall all blackboard, so he could scribble his little puzzles up there."
287,287,"Wasn't quiet. No, sir."
288,288,"Didn't even paint over this when he left, but I'm glad he didn't 'cause I can make this easy for ya, so you see it every morning when you wake."
289,289,You sure you wanna vouch for this pup?
290,290,Pretty sure.
291,291,"It's your ass, Billy."
292,292,"Bleedin' heart, this one."
293,293,"I'm downstairs, ground floor, if you need anything."
294,294,"Find me tomorrow, talk about some work."
295,295,Why are you doing this?
296,296,You don't know me.
297,297,"No, I don't."
298,298,"But I know the look, like I said."
299,299,And sometimes I get this feeling about people.
300,300,"Hard to understand, I guess."
301,301,Easier than you think.
302,302, Thanks.
303,303, All right.
304,304,You ready?
305,305,She's ready.
306,306,Who are these people?
307,307,You'll find out after.
308,308,"That over there is Grampa Flick, and he'll lead us."
309,309,Lie down.
310,310,There.
311,311,No fear.
312,312,You understand?
313,313,We are the True Knot and we endure.
314,314,We are the chosen ones.
315,315,We are the fortunate ones.
316,316,What is tied cannot be untied.
317,317,Here is a woman.
318,318,Would she join us?
319,319,Would she tie her life to our life?
320,320,Yes.
321,321,Yes.
322,322,Say yes.
323,323,Yes.
324,324,This one's special.
325,325,Her name's Violet.
326,326,There's not much of her left.
327,327,And she tastes...
328,328,like flowers.
329,329,Breathe deep.
330,330,There. Embrace it.
331,331,Embrace it.
332,332,No!
333,333,No! No!
334,334,They haven't found us yet.
335,335,They were used to hearing him cry 'cause I left him alone so much.
336,336,So they didn't do anything.
337,337,And they haven't found us yet.
338,338,Mommy?
339,339,"Oh, hey."
340,340,"Uh, you said that you knew my look."
341,341,"Well, what did you mean?"
342,342,You're sick.
343,343,You're tired.
344,344,I can see that much.
345,345,I need help.
346,346,Come on in.
347,347,We'll talk about it.
348,348,"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can and the wisdom to know the difference."
349,349,"Well, Bobbie's got a big birthday today."
350,350,Three years.
351,351,Three years sober.
352,352,Yeah.
353,353,"Thanks, John."
354,354,"Well, now for the most important person in the room."
355,355,"Is, uh, anybody here a newbie?"
356,356,Somebody got 24 hours?
357,357,Yeah.
358,358,"New to town, huh?"
359,359,"Yeah, I, uh..."
360,360,Nothing personal.
361,361,I delivered half the people in the room.
362,362,"Just new faces pop, that's all."
363,363,This here is Dan Torrance.
364,364, He's fresh off the bus.
365,365," Oh, hey."
366,366,"Fresh off the ground, by the look."
367,367,Oh.
368,368,"There's no judgment here, brother."
