,Unnamed: 0,dialog
0,0,"Advertise your product or brand here contact www.OpenSubtitles.org today RADIO: Viking, North Utsire, South Utsire, wind south west, rain at times, good."
1,1,"CLARA"". ""Waste no more time arguing about what a good man should be."
2,2,"""Be one."" Marcus Aurelius."
3,3, Have you been running?
4,4, Are you okay?
5,5,There was a call for you at the office.
6,6,From your...doctor.
7,7,Did he leave an address?
8,8,Draught.
9,9,"Fancy a week in Ancient Mesopotamia, followed by future Mars?"
10,10, Will there be cocktails?
11,11, On the Moon.
12,12,The Moon'll do.
13,13,How's the new job? Teach anything good?
14,14,No. Learn anything?
15,15,Nota thing.
16,16, What's happening?
17,17," Whoa, whoa. We're taking off."
18,18,But the engines aren't going.
19,19,"PILOT OVER RADIO: Wait for it to level, Greyhound leader."
20,20,Blue Eagle is airborne and ready to receive.
21,21,We're on our way.
22,22,"OSGOOD"". Hello?"
23,23,"Kate Stewart's phone. Oh, hold on."
24,24,Excuse me! Sorry.
25,25, Ma'am! Ma'am!
26,26, The ravens are looking a bit sluggish.
27,27, Tell Malcolm we need new batteries.
28,28, It's him.
29,29,"Sorry. It's your personal phone, but I recognised the ringtone."
30,30,"(BREATHLESS) It's him, isn't it?"
31,31, Inhaler.
32,32,"Doctor, hello."
33,33,We found the Tardis in a field.
34,34, I'm having it brought in.
35,35, No kidding!
36,36,Where are you?
37,37,"Oh, my God."
38,38,"Oh, Doctor, I'm so sorry."
39,39,We had no idea you were still in there.
40,40,Come on.
41,41,"PILOT: Roger. New heading, 270."
42,42,Changing course.
43,43, Doctor?
44,44,Clara!
45,45," Doctor, can you hear me?"
46,46, Ow!
47,47,I don't think he can hear me.
48,48,"(YELLS) Next time, would it kill you to knock?"
49,49,I'm having you taken directly to the scene.
50,50,"Doctor, hello. Are you okay?"
51,51,I'm just going to pop you on hold.
52,52, Doctor?
53,53, (GASPS) Doctor!
54,54,GUARD: Attention!
55,55, Why am I saluting?
56,56, Doctor.
57,57,"As Chief Scientific Officer, may I extend the official apologies of UNIT..."
58,58,"Kate LethbridgeStewart, a word to the wise."
59,59,"As I'm sure your father would have told you, I don't like being picked up."
60,60,That probably sounded better in his head.
61,61,I'm acting on instructions direct from the throne.
62,62,Sealed orders from Her Majesty Queen Elizabeth the First.
63,63,The Queen? The First?
64,64," Sorry, Elizabeth the First?"
65,65, Her credentials are inside.
66,66,"No, inside."
67,67,Nice scarf.
68,68, What's our cover story for this?
69,69," Um, Derren Brown."
70,70, Again?
71,71," Oh, we sent him flowers."
