,Unnamed: 0,dialog
0,0,"âªIt all depends on you by desylva, brown and Henderson âª I can be happy, i can be sad âª âª I can be good or I can be bad âª âª it all depends on you âª âª I can be lonely, out in a crowd âª âª I can be humble, i can be proud âª âª it all depends âª âª on you âª âª I can save money, or spend it âª âª go right on living, or end it âª âª you're to blame, honey âª âª for what I do âª âª I know that i can be beggar âª âª or I can be king âª âª I can be almost any old thing âª âª it all depends âª âª on you âª âª let me tell ya âª âª I can save money, or I could spend it âª âª go right on living, or end it âª âª you're to blame, honey âª âª for what I do âª âª ohdodeeoh, i can be beggar âª âª or I can be king âª âª I can be almost any old thing âª âª it all depends âª âª on you âª âª I don't mean mostly âª âª it all depends âª âª on you âª âª don't mean your sister âª âª it all âª âª depends on âª Clunking âª You âª âª oh, god! âª Computer keyboard clacking Typing It is and that stinks."
1,1,Men yelling what happened to all the money?
2,2,you'd be lucky for looking like me.
3,3,i can't afford to look like...
4,4,Knocking at door Mr. Sheldon?
5,5,maybe he's not here.
6,6,Mr. Sheldon?
7,7,Aren't you home?
8,8,"Help me, lord."
9,9,How are you doing?
10,10,Alex gasping I was just looking for a sweater.
11,11,We'll teach you.
12,12,"When was the last time you take a bath, huh?"
13,13,Ah...
14,14,"What you think, Tony?"
15,15,Maybe we should open a window.
16,16,Si.
17,17,"No, no, wait! Wait!"
18,18,"As soon as I finish the book, you get the money!"
19,19,you say that last time.
20,20,And the time before.
21,21,Wait! wait! Wait!
22,22,Yelling There's nothing but pavement. There's not an awning in sight.
23,23,Wait! wait! I swear I'm almost finished! I swear!
24,24,How close?
25,25,Close. very close.
26,26,Insanely close.
27,27,Ok. ok. Ok.
28,28,"Screaming Yeah, you know, it was a little slow going at the start, but I'm really cooking along now."
29,29,Show us.
30,30,Show you?
31,31,Show us.
32,32,Panting Have you guys been working out together?
33,33,"I mean, how do I get that look?"
34,34,"You know, see, i think I've been doing too much cardio."
35,35,You write on this?
36,36,"Yeah, it's all right there. Just a couple of chapters to go."
37,37,"It's good, though."
38,38,It's good.
39,39,Show us.
40,40,"Well, you know, anan author doesn't really like to show what he's show us the book, Mr. Sheldon."
41,41,I can't. I'm blocked.
42,42,Ii haven't started.
43,43,You lie?
44,44,Yeah. yeah.
45,45,"Well, that's bad."
46,46,I know. I know.
47,47,"Very, very bad."
48,48,What do we do?
49,49,"Well, I'll tell you what we're going to do."
50,50,We're gonna do a little science experiment.
51,51,Whawhat are you doing?
52,52,Sit down.
53,53,"Curious what it's like to be ""cooking along"" on a computer."
54,54,"Oh, come on, please don't do that!"
55,55,How do you expect me to write if I don't have a computer?
56,56,"We don't expect you to write, Mr. Sheldon."
57,57,We expect you to fly.
58,58,"wait, wait!"
59,59,Please don't do this.
60,60,Let's rethink this.
61,61,"Come on, guys."
62,62,Let's rethink it.
63,63,Screaming I'll double what I owe you!
64,64,"$100,000! $100,000!"
65,65,In 30 days.
66,66,"Ok! ok! 30 days, that's good!"
67,67,I'll do it. 30 days.
68,68,You'll have your money in 30 days.
69,69,"I gave you $75,000."
70,70,Where did that go?
71,71,Florida gaming commission.
72,72,What?
73,73,Hialeah dog track.
74,74,"You gambled away $75,000 on dogs?"
75,75,"Well, a little more than that."
76,76,"See, I borrowed from some Cuban gentlemen down Miami way."
77,77,"You know, Alex, you have a major talent, but you're pissing it away."
78,78,"Now, you get $125,000 when I get the manuscript."
79,79,That's the deal we made.
80,80,I've given you a year.
81,81,What have you been doing?
82,82,I fell in love.
83,83,It didn't work out.
84,84,Perfect!
85,85,"A love affair gone bad, gambling, criminal types."
86,86,All the elements of a bestseller.
87,87,"You see, they're gonna kill me if I don't get the money in 30 days."
88,88,Then you'd better get to work.
89,89,Hi.
90,90,"Hi. sorry, um..."
91,91,Is there possibly another Cambridge street?
92,92,"I'm looking for the law offices of polk, Taylor, Fillmore, Pierce and Van buren."
93,93,That's us.
94,94,Miss...
95,95,Dinsmore.
96,96,Emma dinsmore.
97,97,Alex Sheldon.
98,98,Won't you come in?
99,99,"No, I don't believe i will. This doesn't look like a law office."
100,100,Doesn't even look like a nice place to live.
101,101,"Yeah, I know."
102,102,"Our offices in the prudential tower, which by the way, are very impressive, you know, law books, conference tables, leather, they're being redecorated, but there's been a holdup with the marble."
103,103,Something about the cutters in carrara wanting better health benefits.
104,104,Creaking Crashing Mr. Sheldon.
105,105,"Mr. Sheldon, I'm going to leave now."
106,106,How can I leave if I have a dead lawyer lying on my foot?
107,107,How can I do that?
108,108,"What kind of person would I be, huh, Mr. Sheldon?"
109,109,Not a good one.
110,110,Not a very good one.
111,111,"Ok, come on."
112,112,"I'll get you out of the door, put you in the reception area."
113,113,"Better yet, let's put you in your conference room."
114,114,"This way, if you're preparing for your big case, you can just do it here."
115,115,Mr. Sheldon.
116,116,Mr. Sheldon?
117,117,"Yeah, I'm fine."
118,118,"Exhaling Thisthis has only happened to me, uh, one time before."
119,119,"Little league, championship game."
120,120,I was up with the bases loaded in the bottom of the 9th.
121,121,I hadn't eaten lunch that I have to go.
122,122,"Please, wait a second."
123,123,I need your help.
124,124,Unhand me!
125,125,"Did you say, ""unhand me""?"
126,126,I won't be taken advantage of.
127,127,"Miss dinsmore, i had no intention oh, no, then why did you ask my company to send me up here?"
128,128,"Because you're not fooling anyone, Mr. Sheldon, if that's even your real name."
129,129,"This is clearly not the law office of polk, Taylor, Fillmore, Pierce, and Van buren, who just so happen to have been presidents of the United States."
130,130,Yyyou're right.
131,131,"This isn't a law office, and yes, indeed, they were presidents."
132,132,"Yes, so what other conclusion can we draw from this, Mr. Sheldon, except that you're trying to take advantage of me?"
133,133,"Well, wewe could also conclude that I'm a liar."
134,134,"Yes, we could, and in fact, we have."
135,135,IiI'm sorry.
136,136,"It's just that ii really need your help, miss dinsmore."
137,137,"You see, I'm a brilliant novelist yeah, and I invented nuclear energy."
138,138,"If you'll excuse me, i have to split some atoms."
139,139,Wait! wait! Wait!
140,140,Miss dinsmore!
141,141,Miss dinsmore!
142,142,Could we please try to put this behind us.
143,143,I just want your stenography services.
144,144,That's all.
145,145,"I assure you, I'm a desperate man."
146,146,"Well, I don't intend on spending my time in the personal apartment of a desperate man."
147,147,"You want sex, Mr. Sheldon."
148,148,You are barking up the wrong body.
149,149,"Miss dinsmore, i know my veracity has been called into question, but I swear to god that barking up your body is absolutely the furthest thing from my mind."
150,150,"Well, I don't believe you."
151,151,"Right now, ii can't think of any woman I'm less interested in going to bed with."
152,152,Nice meeting you.
153,153,What was that supposed to mean?
154,154,"Well, I only meant that, uh, while I'm sure there are many men who'd be thrilled to find themselves in bed with such a forthright woman as yourself, I just have different tastes, that's all."
155,155,I prefer women that are more...
156,156,Less forthright.
157,157,"Mr. Sheldon, didn't you expect that whoever showed up would immediately find out that you weren't a law office?"
158,158,"Miss dinsmore, I owe some guys $100,000 and I got to get it to them in 30 days."
159,159,"The only way I can do that is by finishing my next book, and the only way I can do that is by dictating it to a stenographer."
160,160,How much do you have left?
161,161,All of it.
162,162,You want to dictate an entire book to me?
163,163,That's right.
164,164,In 30 days?
165,165,Correct.
166,166,"I get $15 an hour, and I expect to be paid at the conclusion of each day."
167,167,"And I'd really like to do that, but unfortunately, I can't."
168,168,At the end of each week.
169,169,At the end of the job.
170,170,I get paid when I turn in the manuscript.
171,171,What happens if you don't finish in 30 days?
172,172,I'll finish in 30 days.
173,173,"But if you don't finish in 30 days, then what happens?"
174,174,I get killed.
175,175,Sighing Knocking at door i forgot my scarf.
176,176,I forgot my scarf.
177,177,"Mr. Sheldon, i forgot my scarf."
178,178,What's your book about?
179,179,"It's the story of a man who's frightened of commitment, yet so desperately in love with a woman, he's afraid it might kill him."
180,180,It's a comedy.
181,181,Does it kill him?
182,182,You'll have to read the book.
183,183,What are you doing?
184,184,I want to see if he dies.
185,185,You can't read the end first.
186,186,Then tell me how it ends.
187,187,You have to read the book.
188,188,This is how I read books.
189,189,If I like the ending then I'll know I'll like getting to it.
190,190,"If I don't like the ending, then I know not to waste my time."
191,191,Pages rustling See? now I want to read this.
192,192,Sighing What's your new book about?
193,193,"It's about the powerlessness of being in love, and how it devours the insides of a person like a deadly virus."
194,194,Another comedy?
195,195,Yeah.
196,196,Will you have another fit if I ask you how it ends?
197,197,I don't know how it ends.
198,198,How can you write a story if you don't know how it ends?
199,199,"Because I know the characters, and they tell me where the story goes."
200,200,Interesting.
201,201,You're going to do it?
202,202,Yes.
203,203,Great!
204,204,Ok.
205,205,ok.
206,206,Read me back what we've got so far.
207,207,The summer of Adam shipley's sabbatical from andover.
208,208,"Maybe if you add a year, you know."
209,209,The summer of Adam shipley's sabbatical from andover was in...
210,210,And then any 4digit number gets you a complete sentence.
211,211,"Yeah, but not a particularly good one."
212,212,How about the summer of Adam shipley's sabbatical from andover was really hot?
213,213,What's that noise?
214,214,What noise?
215,215,That highpitched ringing sound.
216,216,"Kind of like ""eee."" Ii think I may be getting a brain tumor because that's one of the early signs."
217,217,Ok. how about you shorten it?
218,218,Adam shipley took a sabbatical. Period.
219,219,"No, no, see, look."
220,220,"You want the first sentence to set the tone, to grab the reader and take him into the story."
221,221,"""Call me ishmael."" Right?"
222,222,"""It was the best of times, it was the worst of times."" ""In the beginning god created the heavens and the earth."" Do you see why I can't begin?"
223,223,The giants that have gone before me.
224,224,Does it seem foggy in here?
225,225,There's this haze that...
226,226,Iii think the tumor could be spreading in my occipital lobe.
227,227,I have to go.
228,228,It's only 7:00.
229,229,I know. These last 5 hours have just flown by.
230,230,Will you be back tomorrow morning?
231,231,I can't see why.
232,232,What do you mean?
233,233,Very well.
234,234,Here's what I've been figuring.
235,235,"You've got exactly Since a typed page is 350 words, that's roughly 6 weeks per page."
236,236,"With one week off for Christmas, approximately 37 years which, quite frankly, is a little more than I'm willing to allocate to this project."
237,237,"Uh, miss dinsmore, i think you're underestimating the process."
238,238,"I mean, this isn't a comic book, it's a novel."
239,239,There's character development.
240,240,Symbolism. Subtext.
241,241,"Which do you prefer, Mr. Sheldon, the pepper spray or the stun gun?"
242,242,Adam shipley had given up on love.
243,243,Art was to be his mistress.
244,244,And so it was that in the summer of 1924...
245,245,We're rolling.
246,246,We just got started.
247,247,Ok?
248,248,Adam shipley had given up on love.
249,249,Art was to be his mistress.
250,250,"And so it was that in the summer of 1924, he took a sabbatical from andover to write, if not the great American novel, then certainly one that would make the world sit up and take notice."
251,251,"To support himself while he worked, he accepted a position as an english tutor for a French family vacationing on the island of..."
252,252,Saint Charles.
253,253,Never heard of an island called Saint Charles.
254,254,"It's off the coast of Maine, northeast of nantucket."
255,255,Beautiful.
256,256,Still never heard of it.
257,257,I made it up.
258,258,You got a 2nd paragraph?
259,259,A what?
260,260,If it's going to be 300 pages you're going to need more than one paragraph.
261,261,"Oh, that ringing sound."
262,262,I have to go.
263,263,"Uh, Adam boarded a train in Boston, headed for the ferry at Saint Charles."
264,264,And then?
265,265,"Saint Charles was an exclusive island, known for palatial mansions, manicured lawns, and an exquisite gambling casino."
266,266,There was also an especially large French contingent who had claimed the island after it was discovered by Jacques cartier in the 16th century.
267,267,Wait a minute.
268,268,"What, I'm going too fast?"
269,269,I thought you said you made up the island.
270,270,Ii did.
271,271,But you just said it was discovered by Jacques cartier in the 16th century.
272,272,Yeah?
273,273,Jacques cartier was a real guy.
274,274,You can't have a real guy discover a fake place.
275,275,I can't?
276,276,No. it's a perversion of history.
277,277,"If you have a fake place, you have to have a fake explorer."
278,278,"Now, if you have a real place, then you miss dinsmore."
279,279,Miss dinsmore.
280,280,"Chuckling I mean, I'm laughing, but I'm not laughing."
281,281,"If you could type and I could write, that would be really terrific."
282,282,Sighing I thought that's what we were doing.
283,283,Adam found himself seated next to a man named John Shaw.
284,284,a man who had the uncanny ability to make a 2hour train ride seem like 10.
285,285,I've been summering in Saint Charles since I was a boy.
286,286,It would be my 2nd home if I didn't own 3 others.
287,287,"Shaw was a short, round man in his 50s."
288,288,"And the word ""second"" was said with a whistle as his breath escaped between the space which separated his 2 front teeth."
289,289,i hate it when they do that.
290,290,Who? what?
291,291,You. authors.
292,292,"You use a name like John Shaw, and I picture in my mind, thin, with a stylish mustache."
293,293,"And when you finally get around to describing him, he's this fat old fart with a hole in his teeth."
294,294,You remember the part about you type and I write?
295,295,"We really have to adhere to that, miss dinsmore."
296,296,You're the author.
297,297,You're god.
298,298,You can create whatever comes into your head.
299,299,Characters we like or characters who make us want to shut the book and never open it again.
300,300,Shaw was a slight man with a thick blond thin black.
301,301,"thin, black moustache."
302,302,"So, who's this family you're to tutor?"
303,303,Saint Charles is a small island.
304,304,I'm sure I know them.
305,305,They're from Paris.
306,306,"A divorcee and her 2 children, an 8yearold boy, Andre, and a 6yearold girl, Michele."
307,307,The mother's name is polina delacroix?
308,308,"Why, yes."
309,309,Would you care to join me for some tea in the dining car?
310,310,All right.
311,311,Train whistle blowing Madadelacroix seemed very charming in her correspondence.
312,312,"Oh, she is. And quite the little trooper, too, putting on such a brave face under the circumstances."
313,313,The circumstances?
314,314,The family is in desperate financial straits.
315,315,"If it weren't for a wealthy grandmother in Paris who's dying, they'd have no hope at all."
316,316,Are you absolutely certain?
317,317,Because from their correspondence they seemed like it's a facade.
318,318,It's all a facade.
319,319,"But don't worry, she has enough to pay you."
320,320,How can you be so sure?
321,321,Because I am returning just now with a bank draft from my personal account which will provide polina with enough to cover her expenses through the summer.
322,322,She asked you for a loan?
323,323,"Well, we're calling it a loan, but it really doesn't matter."
324,324,I intend to ask her to marry me by summer's end.
325,325,"now, why did you do that?"
326,326,What?
327,327,why did I do what?
328,328,Don't you think it's kind of coincidental that Adam just happens to plop down next to his employer's fiance?
329,329,"Well, if it makes you feel any better, I didn't know Shaw was the fiance when Adam plopped."
330,330,What do you mean you didn't know?
331,331,How could you not know?
332,332,Sighing Ok.
333,333,I wanted Adam to learn from Shaw that the delacroix family was almost broke and desperately waiting for the grandmother to die.
334,334,"Then I realized, as soon as Adam heard this, he'd be worried about his wages."
335,335,This was a problem i hadn't anticipated till I got there.
336,336,Then I had the idea...
337,337,What if Shaw agreed to loan polina the money to cover her expenses?
338,338,But why would he do that?
339,339,Perhaps he's in love with her.
340,340,Shall we continue?
341,341,"You started having absolutely no idea what was going to happen, and then, by pure luck, it just worked out?"
342,342,"Well, iii like to think it's more than luck, but every writer does depend on the muses smiling down on him occasionally."
343,343,And if the muses don't smile?
344,344,My head starts ringing and my eyes fog over.
