,Unnamed: 0,dialog
0,0,Isn't it on the bedside table?
1,1,"Now listen, we're running a little late."
2,2,I know.
3,3,How do I look?
4,4,Perfect.
5,5,Is my hair okay?
6,6,It's great.
7,7,You're not even looking at it.
8,8,It's beautiful.
9,9,You always look beautiful.
10,10,Did you give Roz the phone and pager numbers?
11,11,"Yeah, I put it on the fridge."
12,12,Let's go.
13,13,Coming.
14,14,All right.
15,15,I'm ready.
16,16,What's the babysitter's name?
17,17,Roz.
18,18,"Okay, Roz, we're going now."
19,19,"You look amazing, Mrs. Harford."
20,20,Thank you.
21,21,"Helena, are you ready for bed?"
22,22,"Yes, Mommy. Can I stay up and watch The Nutcracker?"
23,23,What time's it on?
24,24,9:00.
25,25,You can watch that.
26,26,Can I stay up until you get home?
27,27,"No, darling."
28,28,it'll be a little late for that.
29,29,The phone number is on the fridge...
30,30,"...and there's food in there, so help yourself."
31,31,We shouldn't be later than 1 :00.
32,32,I'll hold our cab to take you home.
33,33,"Thanks, Dr. Harford."
34,34,"You be good, baby."
35,35,"Good night, sweetheart."
36,36,See you in the morning.
37,37,"Victor, Illona."
38,38,"Bill, Alice."
39,39,Merry Christmas.
40,40,Thank you for coming.
41,41,Thanks so much for coming.
42,42,We wouldn't miss it for the world.
43,43,"Alice, look at you."
44,44,"God, you're absolutely stunning!"
45,45,I don't say that to all the women.
46,46,Do I?
47,47,"Yes, he does."
48,48,He does?
49,49,"That osteopath you sent me to, the guy that worked on my arm?"
50,50,You ought to see my serve now.
51,51,He's the top man in New York.
52,52,"I could have told you that, looking at his bill."
53,53,"Go inside, have a drink, enjoy the party."
54,54,I'll see you in a little bit.
55,55,Thanks for coming.
56,56,Do you know anyone here?
57,57,Not a soul.
58,58,Why do you think Ziegler invites us to these things every year?
59,59,This is what you get for making house calls.
60,60,You see that guy at the piano?
61,61,I went to medical school with him.
62,62,Really?
63,63,He plays pretty good for a doctor.
64,64,He's not a doctor. He dropped out.
65,65,"Ladies and gentlemen, I hope you're enjoying yourselves."
66,66,The band's going to take a break.
67,67,We'll be back in 1 0 minutes.
68,68,Thank you.
69,69,Let's go over and say hello.
70,70,I desperately need to go to the bathroom.
71,71,"You go and say hello, and meet you where? At the bar?"
