,Unnamed: 0,dialog
0,0,MAN ON TV: We now return to Sunday Golf on CBS.
1,1,"COMMENTATOR 1: And Nicholson here, trying to save par, and there's Nicholson's wife."
2,2,"God, is she hot."
3,3,COMMENTATOR 2: Look at that rack.
4,4,There's a downhill lie for you.
5,5,COMMENTATOR 1: They're just out there begging to be touched. Pleading.
6,6,How many golf balls do you think she can fit in her mouth?
7,7,"COMMENTATOR 2: I'd hit that one in the rough, if you know what I'm saying."
8,8,"COMMENTATOR 1: Who are you kidding, Greg?"
9,9,You'd pork her for a week and then get tired of her.
10,10,"COMMENTATOR 2: Yeah, you're right."
11,11,That's what I do.
12,12,That's my thing.
13,13,"But a hell of a week, though."
14,14,COMMENTATOR 1: Hell of a week.
15,15,"Oh, my God, the power's out."
16,16,What are we gonna do now?
17,17,"Well, we could light some candles and read."
18,18,"Yeah, right."
19,19,"Yeah, that'd be great."
20,20,"Yeah, read the inside of my butt."
21,21,We could tell stories.
22,22,"Hey, Dad, why don't you tell the story about when I was born?"
23,23,"Yeah, we got halfway home with the afterbirth, before we had to go back to the hospital and swap it out for Meg."
24,24,The end.
25,25,"Now, I got a better one."
26,26,"This is a story of love and loss, fathers and sons, and the foresight to retain international merchandising rights."
27,27,This is the story of Star Wars.
28,28,Let's begin with Part 4.
29,29,You hear that?
30,30,"Sounds like we're being boarded from the rear, and not the, ""Hey, take a deep breath, let's experiment,"" kind of boarded from the rear."
31,31,Could you hold on to this bag?
32,32,What if they come in a different door?
33,33,"Well, I guess we'd all just get up and go to that door then."
34,34,"Is it going to be like this all day, Jeff?"
35,35,"Hey, I'm just trying to contribute."
36,36,"Yeah, well contribute to pointing your gun at that door."
37,37,"Mark, why are you always way nicer to me when the other rebels aren't around?"
38,38,Damn! I was two days from retirement.
39,39,R2?
40,40,"Help me, ObiWan Kenobi."
41,41,You're my only hope.
42,42,"All right, now what do I click?"
43,43,"Click ""preferences."" Okay, I clicked ""preferences."" Now go to ""default media browser."" Okay, there's a little hourglass and it's not letting me do anything."
44,44,"It says ""buffering."" What is that?"
45,45,Just give it a minute.
46,46,All I'm trying to do is make an MPEG.
47,47,All I'm trying to do is tell you to wait a minute.
48,48,"Okay, relax."
49,49,"Now click ""import video file."" All right."
50,50,It's telling me I have to download RealPlayer 7.
51,51,You know what?
52,52,I'll just bring it to him myself.
53,53,There she is.
54,54,You still got that bag I gave you?
55,55,It's gonna be a long ride.
56,56,Hold your fire.
57,57,There's no life forms aboard.
58,58,Hold your fire?
59,59,"What, are we paying by the laser now?"
60,60,"You don't do the budget, Terry. I do."
61,61,"Hey, I'm gonna do some crosswords, but that doesn't mean I don't want to talk."
62,62,"Oh, yeah, yeah."
63,63,"My God, look at this mess."
64,64,"""Hey, Darth Vader's gonna be here, ""shall we maybe clean the place up?"
65,65,"""No, it's okay, he won't mind."" Well, well, Princess Leia."
66,66,Are you prepared to tell me what you've done with the stolen Death Star plans?
67,67,"All right, Lord Vader, you win."
68,68,I've hidden the plans in one of these Ooh! Ooh!
69,69,"Okay, okay, I'm feeling number 14, let's go with number 14."
70,70,Oh!
71,71,"It's okay, I'm just happy to be on TV."
72,72,"All right, take her away."
73,73,"Okay, here's another one."
74,74,Who would you rather do?
75,75,Jabba the Hutt right after a shower or a service droid?
76,76,My father was a service droid.
77,77,"Hey, where are you going?"
78,78,You can kiss the lower part of the back of the canister that is my body.
79,79,"Oh, man, this looks like the wrong neighborhood."
80,80,"Oh, boy, it's okay, R2, calm down, be cool."
81,81,I ain't done nothing to antagonize nobody.
82,82,"What, a droid can't walk down the desert no more?"
83,83,"I got rights, too."
84,84,Who's there?
85,85,"Any attack made by the rebels against this station would be a useless gesture, no matter what technical data they've obtained."
86,86,This station is now the ultimate power in the universe.
87,87,"That is fantastic, terrific work."
88,88,So no weaknesses at all?
89,89,No... No.
90,90,"You, uh..."
91,91,You hesitated there.
92,92,Is there something I should know?
93,93,"No, it's virtually indestructible, like 99.99%."
94,94,"Uh, okay, wouldn't be doing my job if I didn't ask, what's the 0.01?"
95,95,"Well, I mean, there's this little hole."
96,96,It was kind of an aesthetic choice by the architect.
97,97,"And if you shoot a laser into this hole, the station blows up."
98,98,"Whoa, whoa, whoa, whoa!"
99,99,"That sounds like a pretty big design flaw, then."
100,100,"No, no, the hole's only 2 meters across."
101,101,"Well, that's no bigger than a womp rat."
102,102,Exactly.
103,103,"And even to get within range of it, you have to skim along this whole trench."
104,104,It's not a big deal.
105,105,"Can't we board it up or, you know, put some plywood over it or something?"
106,106,"Well, that would look terrible."
107,107,"I mean, we gotta think about resale."
108,108,Resale? What are you talking about?
109,109,This property is right above Sunset.
110,110,The value is only gonna go up.
111,111,"Lord Vader, your inside references to the Los Angeles real estate market haven't given you the clairvoyance to turn a profit on that condo in Glendale."
112,112,Nor has it...
113,113,I find your lack of faith disturbing.
114,114,That property is in a prime location.
115,115,"Twenty minutes to the beach, There's nothing to do downtown."
116,116,Enough of this.
117,117,"Vader, release him."
118,118,As you wish.
119,119,"All right, so we're gonna plug up that hole?"
120,120,"Yeah, we can get it done tomorrow, if price is no object."
121,121,Uh...
122,122,We'll get estimates.
123,123,"Get estimates, yeah, yeah."
124,124,Someone was in the pod.
125,125,The tracks go off in this direction.
126,126,"Look, sir, droids."
127,127,"Look, a penny."
128,128,"Hey, thanks for the sex, early '90s printer."
129,129,"All right, bring him on out."
130,130,"Oh, God, it's 100 degrees out here."
131,131,"If I pass out, please note that I'm wearing a LifeCall bracelet, with all my insurance information."
132,132,BERU: Luke? Luke!
133,133,Luke!
134,134,What?
135,135,Tell Uncle Owen not to tell you that your father is Darth Vader.
136,136,"Aunt Beru, when are you guys going to let me join the Rebellion, like all my friends?"
137,137,"Oh, stop whining, Luke, and come have some blue milk."
138,138,"One of these days, I'm just gonna take off and join the Rebellion, whether you like it or not."
139,139,Over my burnt carcass.
140,140,"Hey, shut upa with the noisea."
141,141,"Hey, shut upa with the shut upa."
142,142,You shut upa with the shut upa.
143,143,Shut upa your face.
