,Unnamed: 0,dialog
0,0,"See the people walking down the street Fall in line just watching all their feet They don't know where they want to go They're walking in time They got the beat They got the beat, yeah They got the beat All the kids just getting out of school They can't wait to hang out and be cool Hang around till quarter after 12:00 That's when they fall in line They got the beat They got the beat Kids got the beat, yeah Kids got the beat Gogo music really makes us dance Doing the Pony puts us in a trance Do the Watusi just give us a chance That's when we fall in line 'Cause we got the beat We got the beat We got the beat, yeah We got it We got the beat Everybody, get on your feet We got the beat We know you can dance to the beat We got the beat Jump back, get down 'Round and 'round and 'round We got the beat Linda, there's that guy from the stereo store."
1,1,Don't you think he looks like Richard Gere?
2,2,See his cute little butt?
3,3,"You guys, let's talk about that fox that just walked in."
4,4,BOTH: We already were.
5,5,I'm gonna go over there and change the shakers.
6,6,Cool out.
7,7,That's Stacy's section.
8,8,He's too old.
9,9,She's not even in high school yet.
10,10,Smoking's upstairs to your left.
11,11,Smoking's upstairs.
12,12,"Rat, is Dolly Parton giving you a percentage of the profit?"
13,13,"What can I do for you, gentlemen?"
14,14,You the guy with the Van Halen tickets?
15,15,I could be.
16,16,How much for something in the first 10 rows?
17,17,$20 apiece.
18,18,Those tickets were only $12.50.
19,19,So don't buy them.
20,20,All the other scalpers are sold out.
21,21,Scalper? Did you call me a scalper?
22,22,"Listen, gentlemen, I perform a service here, and the service costs money."
23,23,Do you want the tickets or don't you?
24,24,"Okay, we'll take them."
25,25,All right.
26,26,"What'd I say, $25?"
27,27,BOTH: $20!
28,28,All right.
29,29,Thank you.
30,30,"Just made $16, Rats. What's the matter?"
31,31,You look depressed.
32,32,I hate working the theater.
33,33,All the action's on the other side of the mall.
34,34,How's it going?
35,35,You want to take his table?
36,36,Yes.
37,37,Go for it. He's cute.
38,38,"Just take his order, look him in the eye."
39,39,"If he says anything remotely funny, laugh like you never heard anything so funny."
40,40,And smile.
41,41,Go for it.
42,42,"So, you working hard or hardly working?"
43,43,You look like you could still be in high school.
44,44,I know. Everybody says that.
45,45,How old are you?
46,46,Nineteen.
47,47,How old are you?
48,48,Twenty six.
49,49,Do you think we could still be friends?
50,50,So what can I get you?
51,51,"How about a meatball sandwich, a medium Coke, and your phone number?"
52,52,Hi.
53,53,Hello.
54,54,"Get out of here, Bradley."
55,55,Dave.
56,56,"DAVE: How you doing, Brad?"
57,57,Cooking!
58,58,"Daddy's home, boys."
59,59,I shall serve no fries before their time.
60,60,"This one's on you, dude."
61,61,Who's got the beaucoup dolares today?
62,62,Uno dinero.
63,63,"What have you got, Mr. Buck Man?"
64,64,I got a cigarette.
65,65,"I got uno ""nickelette."" Hey! You guys had shirts on when you came in here."
66,66,"Something happened to them, man."
67,67,"Come on, Spicoli, just put the shirts back on."
68,68,You see that sign?
69,69,"""No shirts. No shoes. No dice."" Right."
70,70,Learn it. Know it.
71,71,Live it.
72,72,Whoa.
73,73,He's the full hot orator.
74,74,"STACY: Linda, did I show you this?"
75,75,He gave me his card.
76,76,"""Ron Johnson, Audio Consultant."" Maybe we should get a frame for this and put it up on the wall."
