,Unnamed: 0,dialog
0,0,"This is live coverage of the 1959 We've reached the halfway point and so far witnessed Aston Martin number 5, driven by Carroll Shelby, making great gains in the last hour."
1,1,"If he keeps this pace up, he could have a chance at the..."
2,2,He's coming in.
3,3,He's coming in.
4,4,"Let's go, let's go."
5,5, Tires!
6,6," Let's go, let's go."
7,7,"I know you're tired, but come on, let's make this fast."
8,8,"Move, move, move!"
9,9,"She's running a little hot, but we're good."
10,10,Tires are still gripping.
11,11,Fire! The fuel! Fire!
12,12," Shelby, it's you!"
13,13, Grab that blanket!
14,14,Get off me! Off!
15,15,You okay?
16,16,Fill the tank!
17,17," Shelby, you just..."
18,18, Am I on fire?
19,19,Am I on goddamn fire?
20,20," No, you're not on fire."
21,21, Fill the damn tank!
22,22, Fill the tank.
23,23, Fill the tank.
24,24,Get it ready!
25,25," Where am I, Eddie?"
26,26," Two laps up, my friend."
27,27,Car's yours.
28,28,Go get 'em.
29,29,"Aston Martin number 5, driven by Carroll Shelby, has maintained his lead as we're nearing the final minutes of the race."
30,30,Shelby.
31,31,The checkered flag is out.
32,32,The crowd are on their feet.
33,33,Shelby.
34,34,...takes the title!
35,35,An American wins Le Mans.
36,36,Shelby.
37,37,Carroll Shelby.
38,38,What?
39,39,This is something you can't ignore anymore.
40,40,"Oh, I take the pills."
41,41,The pills work.
42,42,"An elevated heart rate, say 130 BPM, sustained even for a short period, you run a critical risk of cardiac arrest."
43,43, I'll race shorter format then.
44,44, That's not gonna work.
45,45,"Well, I could race NASCAR."
46,46,Formula One.
47,47,"The valve is shot, Shelby."
48,48,This is as serious as it gets.
49,49,"In my opinion, you're lucky to be sitting here today."
50,50,"Well, I feel real lucky."
51,51,Luckiest guy on earth.
52,52,"There's a point at 7,000 RPM where everything fades."
53,53,The machine becomes weightless.
54,54,Just disappears.
55,55,Hey!
56,56,"Watch it, buddy!"
57,57,And all that's left is a body moving through space and time.
58,58,"7,000 RPM."
59,59,That's where you meet it.
60,60,It asks you a question.
61,61,The only question that matters.
62,62,"""Who are you?"" Now, it's von Trips in the Ferrari, coming into the corkscrew."
63,63,He's braking late.
64,64,"Hey, I called you three times, and you never answer the phone."
65,65,Oh! He sets a new lap record!
66,66,I answer the phone every time it rings.
67,67," No, sir, you do not."
68,68," Yes, I do."
69,69,"No, you don't."
70,70,"A month ago, this car was fun."
71,71,"Now, it won't even start."
72,72,"And when it does, it's, ""Boom, boom, boom!"" When I pull out of the driveway, the dog has a heart attack."
73,73,All I'm asking is for you to make it like it was.
74,74,"Yeah, you've coked up the inlet valves and the plugs."
75,75,"Nothing wrong with the car, just the way it's being driven."
76,76,The way it's being driven?
77,77,"Too much fuel, not enough spark."
78,78,That's what's making her misfire.
79,79,You wanna run that by me in English?
80,80,"All right, sir."
81,81,So...
82,82,"that there, that is a sport car."
83,83,You have to drive her like a sport car.
84,84,"If you drive her like a school teacher, she'll clog up. All right?"
85,85,"Try changing up at 5,000 RPM, not two."
86,86,Drive like you mean it.
87,87,Hard and tight.
88,88,She'll run clean.
89,89,Are you telling me I don't know how to drive my own car?
90,90,No.
91,91,"But if you ask me, this isn't your car."
92,92,Your car's more a Plymouth or a Studebaker.
93,93,"You and me have a problem, buddy?"
94,94,I don't have a problem.
95,95,I had an MG.
96,96,Mine ran just fine.
97,97,"Screw you, you limey prick."
98,98,I want my money back.
99,99,"Oh, behave. I'd give it to ya."
100,100,But you haven't paid for last month's service yet.
101,101,"This country, the customer's always right."
102,102,You ever hear that?
103,103,Yeah. Yeah.
104,104,Utter nonsense.
105,105,"Now remember, I advanced the timing, so a smidge twitchy in first."
106,106,Get the revs up.
107,107,Good lad. Revs up.
108,108,Tara.
109,109,Another satisfied customer?
110,110,"Can I help you, miss?"
111,111,Wasn't that an MGA 1500?
112,112,"Ah, you know your cars."
113,113,"Well, I like them."
114,114,I love the sound they make.
115,115,The way it goes right through you.
116,116,Right.
117,117,That vibration.
118,118,Mine's the woodpaneled Country Squire...
119,119,across the street.
120,120,A real hot rod.
121,121,"Oh, yeah?"
122,122, Is it fast?
123,123, Very.
124,124,Wait a second.
125,125,What type of girl are ya?
126,126,Type of girl who likes the smell of wet gasoline.
127,127, Oh.
128,128, Burnt rubber.
129,129,"Oh, what, are you some kind of a deviant, are ya?"
130,130,"Well, only since I married you."
131,131,"Hey, Gar, what's going on?"
132,132,Something's up.
133,133,"Hi, Lee."
134,134,"Listen, he isn't as sure as you are about the banks."
135,135,I'm not as sure about this...
136,136,How's this going out?
137,137," Don, what's going on?"
138,138, I don't know.
139,139,"Mr. Ford, welcome to the room."
140,140,"Good afternoon, Mr. Ford."
141,141,"Nice to see you, sir."
142,142,"Shut it down, Mr. Beebe."
143,143,John!
144,144,All stop.
145,145,Hear that?
146,146,That's the sound of the Ford Motor Company...
147,147,out of business.
148,148,"In 1899, my grandfather, Henry, by God, Ford..."
149,149,was walking home from Edison Illumination after working a double shift.
150,150,He was ruminating.
151,151,"That morning, he had himself an idea that changed the world."
152,152,"Sixtyfive years and 47 million automobiles later, what shall be his legacy?"
153,153,Getting it in the tail pipe from a Chevy Impala.
154,154,Here's what I want you to do.
155,155,Walk home.
156,156,"While you're walking, I want you to ruminate."
157,157,"Man comes to my office with an idea, that man keeps his job."
158,158,Rest of you secondbest losers...
159,159,stay home.
160,160,You don't belong at Ford.
161,161,Shelby!
162,162,I see you.
163,163,"Up and at 'em, buddy."
164,164, Hey!
165,165, Go away.
166,166,Come on. You can do it.
167,167,"Come on, baby."
168,168,Let's go.
169,169," Let's go. Let's go, go, go."
170,170, Go away.
171,171,"It's 8:30 a.m., baby."
172,172,Time to roll.
173,173,Come on.
174,174,"Hey, Phil."
