,Unnamed: 0,dialog
0,0,"Hon, the limo is here..."
1,1,finally.
2,2,What the hell is he doing?
3,3,He's just sitting there.
4,4,I don't know.
5,5,First he's late and now he's being a jerk.
6,6,You've gotta be kidding me.
7,7,Just grab the bags and let's get going.
8,8,This prick can forget about a tip.
9,9,Just hurry up.
10,10,Domestic terminal.
11,11,Step on it.
12,12,"By the way, thanks for the help with the bags."
13,13,Jerk.
14,14,Never again are we hiring this company.
15,15,This is ridiculous.
16,16,You know who recommended them?
17,17,Who?
18,18,Ron.
19,19,Don't ever listen to Ron!
20,20,"Oh my god, Ron."
21,21,This is classic Ron.
22,22,It's the same Ron who said he'd get me on the golf course for half price.
23,23,Ron.
24,24,You know what happened that day?
25,25,I paid for four people to go at full price.
26,26,"Well, if you close this business deal, we can buy our own golf course."
27,27,You know who won't be playing on our course?
28,28,Ron.
29,29,Shouldn't we have taken this turnoff?
30,30,Hey! What the hell are you doing?
31,31,You're going the wrong way.
32,32,Turn around.
33,33,What's your problem?
34,34,Turn around.
35,35,"If we miss this flight, I'm going to have you fired, jerk!"
36,36,This is unacceptable.
37,37,Unacceptable.
38,38,Who does he think he is?
39,39,Where are we?
40,40,What's up with this guy?
41,41,"I don't know, it looks like we're in some kind of industrial park."
42,42,"Will, do something."
43,43,You've pushed this too far!
44,44,I'm calling the cops.
45,45,"Jackie, something weird is going on."
46,46,"Oh, my God!"
47,47,They have guns!!!
48,48,"Will, they have guns!!!"
49,49,Are you crazy?!!!
50,50,"Please, take what you want, just don't hurt us!"
51,51,"If this is a kidnapping, I can get you money!"
52,52,We don't want your money.
53,53,What is it?
54,54,You're worth more dead than alive.
55,55,"So after hacking into the satellite, I was able to download loads of data and a clear pattern emerged."
56,56,"The eyes in the sky are fixated on coordinates with very distinctive radioactive signatures, and why is that?"
57,57,Aliens!
58,58,Mrs. Forrester...
59,59,Call me Lucy.
60,60,Did you hear what I just said?
61,61,Aliens could be watching right now.
62,62,All my theories are true.
63,63,I hacked into the satellites...
64,64,"Court order: no hacking, no computer access."
65,65,"We live in the 21st century, and you're my lawyer."
66,66,"That's why I hired you, to stop the government conspiracy against me."
67,67,"And as your lawyer, it's my job to keep you out of jail!"
68,68,No computers?
69,69,That's like Lord of the Rings with no Gandalf.
70,70,"Ok, relax."
71,71,Take a deep breath.
72,72,I am here for you.
73,73,That is why I'm seeing you on short notice at my house.
74,74,"I promise, I will get that order rescinded as soon as I get back."
75,75,"How do I know you're not just saying this to keep me calm, but in fact you're planning on moving to Europe and working with the world bank and..."
76,76,"There's no conspiracy here, and I am not moving to Europe."
77,77,I am here for you.
78,78,"That is why I took your case probono because I believe that you have a voice, so you've just got to trust me."
79,79,"Ok, I will see you next week."
80,80,Thank you.
81,81,Thank you.
82,82,Ok.
83,83,Ok.
84,84,"Hey, you ready to go?"
85,85,Just about.
86,86,You ok?
87,87,Mmmhmm.
88,88,"You know, we don't have to go if you don't want to go."
89,89,I know.
90,90,"I just think it'd be good for us to get away, you know, with some new friends."
91,91,Sure.
92,92,Great.
93,93,I'll be outside.
94,94,See ya.
95,95,"""Welcome to Second Chance Retreat, ""where couples go to grow love."" Wow, really?"
96,96,They need a new catch phrase.
97,97,"It's not about the catch phrase, Greg."
98,98,It's about the experience.
99,99,That doesn't sound any better.
100,100,"It's like any other vacation, only you get to work on your relationship."
101,101,"You do realize you said ""vacation"" and ""work"" in the same sentence?"
102,102,Trust us.
103,103,A couple's retreat can work wonders.
104,104,It's the secret to our happiness.
105,105,We go every year.
106,106,It's like a tuneup for our marriage.
107,107,Leave it to men to compare marriage to cars.
108,108,So exactly how backwoods is this place?
109,109,"Well, my friends, we get to arrive in style."
110,110,What does that even mean?
111,111,It's a surprise.
112,112,I'm not a fan of surprises.
113,113,"Come on, Lucy."
114,114,Any chance we'll be stopping soon?
115,115,We're getting close.
116,116,"We've been driving for, like, three hours."
117,117,How far is this place?
118,118,We're not so far away from the departure point.
119,119,Departure point?
120,120,What does that mean?
121,121,Relax.
122,122,You're about to find out.
123,123,"Uhoh, looks like we've got company."
124,124,What seems to be the problem?
125,125,You know you were speeding?
126,126,"No, I'm sorry, I did not."
127,127,I'll need to see your license and registration.
128,128,"The rest of you folks, can I see your ID as well?"
129,129,Is that really necessary?
130,130,"I'm afraid so, ma'am."
131,131,We've had a rash of drug runners come through the state.
132,132,I'm just checking.
133,133,We have nothing to hide.
134,134,"Alright, you folks hang tight."
135,135,I'm just gonna run these through the computer.
136,136,Nothing like small town hospitality.
137,137,Were you even speeding?
138,138,No.
139,139,They're probably just razzing outoftowners.
140,140,It all checks out.
141,141,Where y'all headed?
142,142,Second Chance Retreat.
143,143,Right.
144,144,Have a nice flight.
145,145,Thank you.
146,146,"Wait, flight?"
147,147,What is he talking about?
148,148,"Like I said earlier, we're arriving in style."
149,149,Something tells me this is not going to be an ordinary trip.
150,150,"Wow, you weren't kidding when you said traveling in style."
151,151,Thanks.
152,152,Thank you!
153,153,Thank you!
154,154,"Ha, ha, ha!!!!"
155,155,"Well, welcome to Second Chance Retreat."
156,156,"So, does this get the Forrester's seal of approval?"
157,157,It's so much nicer than I imagined.
158,158,Big time.
159,159,It's pretty impressive.
160,160,"Come on, Lucy."
161,161,Let's go check it out.
162,162,We'll wait for the second chopper with the bags.
163,163,"Wow, it's so serene."
164,164,It's so beautiful.
165,165,Very romantic.
166,166,I was gonna say relaxing.
167,167,Welcome to Second Chance Retreat.
168,168,Good afternoon.
169,169,"Place your hand on the outline, please."
170,170,"Oh, I'm sorry."
171,171,What's this for?
172,172,The security ID links to your unique prints and lets you into your room.
173,173,"Basically, it recognizes your biosignature."
174,174,I had the same reaction last time I was here.
175,175,"Relax, it's harmless."
176,176,Really?
177,177,Mmmhmm.
178,178,Bioscan successful.
179,179,And now I'll take a picture.
180,180,"Once you check in, the doctor will be around to do a medical."
181,181,"Wait, a medical?"
182,182,"I'm fine, thank you."
183,183,It's just for insurance purposes.
184,184,"They're gonna take a blood sample, check your heartbeat, basically just checking to see if you're alive and breathing."
185,185,I'll show you to your rooms.
186,186,"Well, perfect."
187,187,I just need to call the office and make sure there aren't any fires to put out.
188,188,You're out of luck.
189,189,"Sorry, no phone calls."
190,190,Retreat policy.
191,191,We have a cell blocker to prevent any calls.
192,192,"Wait, seriously?"
193,193,We are officially off the grid.
194,194,It's to help mend the relationship.
195,195,Great.
196,196,"Trust me, you'll be thanking me in a week."
197,197,If you say so.
198,198,"The security, is that really necessary?"
199,199,"Unfortunately, some of the wives attack their husbands during therapy."
200,200,It makes for a dangerous environment.
201,201,I'm kidding!
202,202,I had you!
203,203,"No, it's for the insurance company."
204,204,"They insisted on it, I don't know why."
205,205,I'll stick with the angry wife scenario.
206,206,"Speaking of angry wives, let's go find them before they spend all your money."
207,207,"Oh, man. This place is awesome."
208,208,The security?
209,209,The guards?
210,210,The blood tests?
211,211,The doctors?
212,212,Doesn't it seem a little weird?
213,213,Can we just get through the week?
214,214,"Look, if you want me to get another room, if you're uncomfortable..."
215,215,They're expecting us for dinner in an hour.
216,216,We should get ready.
217,217,I'm willing to make it work.
218,218,You just have to make an attempt.
219,219,âª âª Is it just me or is this place completely empty?
220,220,"You read my mind, son."
221,221,"Russell Green, and this is my wife, Ira."
222,222,Short for irate.
223,223,Lucy.
224,224,"Hi, Lucy."
225,225,Greg.
226,226,"Hi, Greg."
227,227,James.
228,228,"This is my wife, Serena."
229,229,"You're retreat virgins, aren't you?"
230,230,"You've got that whole ""kicked in the nads"" look."
231,231,"I'm sorry, I forgot his muzzle at home."
232,232,So how did you hear about this place?
233,233,"Oh, well our friends James and Serena, they've been here before, they swear by it."
234,234,How about you?
235,235,It's a strange thing.
236,236,"Out of nowhere a woman shows up, tells us we've been selected to participate in a weeklong retreat and, well, three words sealed the deal for us: ""all expenses paid""."
237,237,And why not?
238,238,Who would turn down an all expenses paid holiday?
239,239,"I mean, they're looking for the right candidates, and that's Ira and I."
240,240,"Sour, miserable, irritable, old, and ornery."
241,241,"Russ figures if this can change us, it can change anyone."
242,242,"Well, I doubt a week will do the trick."
243,243,I keep telling her there's no easy trick to saving a marriage.
244,244,Except for divorce.
245,245,"You, come with me."
246,246,"What? I'm sorry, ow!"
247,247,Hey!
248,248,What the hell are you doing?!
249,249,She needs to come with me.
250,250,"There, that feeling, defending a loved one."
251,251,Hold onto it.
252,252,It means she's someone important to you.
253,253,Who the hell are you?
254,254,My name is Alex Koslov.
255,255,This is my retreat.
256,256,I know who I am and why I am here.
257,257,Do you?
258,258,I'm beginning to wonder.
259,259,I'm going to give you the means to keep your relationship together.
260,260,Welcome to Second Chance Retreat.
261,261,I hope you all enjoy your week.
262,262,Now that's an entrance.
263,263,"Trust me, Greg."
264,264,He puts on a big show.
265,265,It's worth the price of admission.
266,266,Dinner is being served.
267,267,Please take a seat.
268,268,I'm starving.
269,269,You wanted to be here.
270,270,The meal was fantastic.
271,271,Thank you.
272,272,"Lucy, it was a stunt."
273,273,They wanted a reaction out of us and it worked.
274,274,"Granted, he may have taken it a little bit too far."
275,275,May have taken it too far?
276,276,He basically attacked me.
277,277,I stepped in front of you.
278,278,What else do you want from me?
279,279,Five seconds of chivalry.
280,280,"Yeah, it must have been a real stretch for you, Greg."
281,281,Some of you may be having second thoughts.
282,282,It is understandable.
283,283,You are afraid of change.
284,284,You are comfortable with the status quo.
285,285,You are looking for any excuse to keep things the way they are.
286,286,"If you feel this way, if you are too weak to block out that scared little voice inside your head, then there is the door."
287,287,Go on.
288,288,Use it.
289,289,Good.
290,290,"Again, welcome to Second Chance Retreat."
291,291,We were expecting a larger group but the weather took a turn for the worse.
292,292,It looks clear enough outside.
293,293,"True, but not from where we fly from the east."
294,294,So until the weather changes it will just be us.
295,295,Is there no other way in?
296,296,There is a remote road through Edgewater County but it's not exactly userfriendly.
297,297,But on the bright side it gives us a chance to get to know each other even better.
298,298,I will get to know you from the inside and out.
299,299,Abby.
300,300,"Now, if I could ask you to place your identification in the bowl."
301,301,"Uh, what for?"
302,302,"Well, it is vital that we shed symbols of our identity before we can possibly work on our relationships."
303,303,I'm sorry but I'm not comfortable giving my ID to someone I hardly know.
304,304,Someone you hardly know or someone you don't like?
305,305,"You're the guru, you tell me."
306,306,I'm in.
307,307,Me too.
308,308,Thanks.
