,Unnamed: 0,dialog
0,0," DOG BARKING IN THE DISTANCE   AIRPLANE FLYING OVERHEAD   MURMURING   BELL TOLLING  Mod fxsquare, dx."
1,1,So please finish Percival for next time.
2,2,"I know many of you had this as undergraduates, but it won´t hurt to brush up."
3,3,"Thank you, Steven."
4,4,I also put an advanced Fourier system on the main hallway chalkboard.
5,5,I´m hoping that one of you might prove it by the end of the semester.
6,6,Now the person to do so will not only be in my good graces...
7,7,but also go on to fame and fortune...
8,8,by having their accomplishment recorded and their name printed...
9,9,in the auspicious M.I.T. Tech.
10,10,"Former winners include Nobel laureates, Field´s medal winners..."
11,11,renowned astrophysicists and lowly M.I.T. professors.
12,12,"Well, that´s all."
13,13,If you have any questions...
14,14,I´m sure that Tom has the answers.
15,15," APPLAUSE   CHATTERING   DOOR CLOSES     COUNTRY   Hi, Will."
16,16," Kirsten, how you doing ?"
17,17, I´m all right. How are you ?
18,18, Good.
19,19, I didn´t get on Cathy last night.
20,20, No ?
21,21, No.
22,22, Why not ?
23,23, I don´t know.
24,24, Cathy !
25,25, What ?
26,26,Why didn´t you give me none of that nasty little hoochiewoochie...
27,27, you usually throw at me ?
28,28," Oh, fuck you..."
29,29,"and your lrish curse, Chuckie."
30,30,Like l´d waste my energy spreadin´ my legs for that Tootsie Roll dick ?
31,31, Go home and give it a tug yourself.
32,32,  BOY  Tootsie Roll !
33,33,TToots !
34,34," CHUCKLING  She´s missin´ a tooth, Will."
35,35,She´s got skin problems.
36,36,"I don´t Plus, it´s like 5to2 Morgan ends up marryin´ her, you know what I mean ?"
37,37,There´s only so many times you can bang your friend´s future wife.
38,38,It´s wrong.
39,39,Where you goin´ ?
40,40, I´m gonna take off.
41,41," Fuck you, you´re takin´ off."
42,42,"It´s, like, what, 10:00 ?"
43,43,"No, l´m tired."
44,44,Irish curse ?
45,45,She don´t know.
46,46,There ain´t no lrish curse.
47,47, BUFFER HUMMING   BUFFER CLICKS   CHALK CLICKING CHALKBOARD   CHATTERING  Out ! Stop pressuring me back.
48,48,Stop crowding the plate !
49,49,Which one will it be ?
50,50,"You´re gonna get charged, you know that ?"
51,51,"You think l´m afraid of you, you big fuck ? You´re crowdin´ the fuckin´ plate."
52,52,"Hey, uh, Casey´s bouncin´ up a bar at Harvard next week."
53,53,We should go up there.
54,54, What are we gonna do up there ?
55,55, I don´t know.
56,56,We´ll fuck up some smart kids.
57,57,Probably fit right in.
58,58,Ow ! Fuckin´ punk.
59,59," Oh, what´s up ? You still tough ?"
60,60, Come on !
61,61,Come on. Come on.
62,62,That´s it.
63,63, l´d hold you forever here   ln my arms   Professor Lambeau ?
64,64, Yes ?
65,65,I´m in your applied theories class. We´re all up at the math and science building.
66,66, Come here. It´s Saturday.
67,67,  CHUCKLES   Unless you wanna have a drink with me tonight.
68,68,  CHUCKLING Maybe.
69,69,We just couldn´t wait until Monday to find out.
70,70, Find out what ?
71,71, Who proved the theorem.
72,72,This is correct.
73,73,Who did this ?
74,74, Jack ?
75,75, It wasn´t me.
76,76, Nemesh ?
77,77,  Chuckling  NNo way.
78,78," Come on, Joey, now !"
79,79," Billy, McNamara´s up."
80,80," CHUCKIE  Come on, kid !"
81,81," Joey, dig it out ! Dig it out !"
82,82, Son of a bitch !
83,83,"Bring it down, Mac ! That´s how to do it ! Attaboy ! Take two, Mac."
84,84,"Hey, Morgan, who´s the girl with the striped pants ? She´s got a nice ass."
85,85,"  MORGAN  Yeah, that´s a real nice ass."
86,86, Who´s the guy she´s with ?
87,87,That fuckin´ guinea. I hate that little bitch. Will knows him.
88,88,"Yeah, I do."
89,89,"Yeah, fuckin´ Carmine Scarpaglia."
90,90, That guy used to beat the shit out of me in kindergarten.
91,91, That guy ?
92,92,Yeah.
93,93,Mmhmm.
94,94,Fuck this.
95,95,Let´s get some food.
96,96," Oh, what, Morgan, you´re not gonna go talk to her ?"
97,97, Fuck her.  BURPS   I could go for a Whopper.
98,98, Let´s go to Kelly´s.
99,99,"Morgan, l´m not goin´ to Kelly´s just ´cause you like the takeout girl."
100,100, It´s 15 minutes out of our way.
101,101, What the fuck are we gonna do ?
102,102,We can´t spare 15 minutes ?
103,103, MORGAN  DOUBLE BURGER.
104,104, MORGAN  DOUBLE BURGER.
105,105,Double burger.
106,106,"Chuck, I had a double burger."
107,107,Would you shut the fuck up !
108,108,I know what you ordered. I was there.
109,109, So give me my fuckin´ sandwich.
110,110," What do you mean, your sandwich ? I bought it."
111,111,"Morgan, how much money you got on you ?"
112,112,I said l´d get change when I get the snow cone.
113,113,I said that when we pulled up. Give me my sandwich and stop bein´ a prick.
114,114,"All right, well, give me your fuckin´ We´ll put your fuckin´ sandwich on layaway. Here we go."
115,115,Keep it right up here for ya.
116,116,We´ll put you on a program. Every day you come in here with your six cents.
117,117," At the end of the week, you get your sandwich."
118,118, Are you gonna be an asshole ?
119,119,"What am l, fuckin´ sandwich welfare ? I think you should establish a good line of credit."
120,120,Like how you bought your couch payment plans.
121,121,Remember how your mother brought in ten dollars every day for a year.
122,122,She finally got her couch RentACenter style.
123,123," Can I have my food, please ?"
124,124, Here´s your fuckin´ double burger.
125,125, Whoa !
126,126," Hey, hold up, Chuck."
127,127, Slow it down.
128,128, Who do we got ?
129,129, I don´t know yet.
130,130," Hey, douche bag !"
131,131,"  GLASS SHATTERING   Yeah, you, you skank face !"
132,132, Shut the fuck up.
133,133, Get outta here.
134,134, What are you worried about ?
135,135,Why don´t you lick my love stick ?
136,136,We seen the guy 15 minutes ago.
137,137,We should´ve fight him then.
138,138,We´re eatin´ our snacks now.
139,139," Shut up, Morgan, you´re goin´."
140,140, I´m not goin´.
141,141, So don´t go.
142,142, I´m not goin´.
143,143," Fuckin´ go, Morgan."
144,144,"Let me tell you somethin´. If you´re not out there in two fuckin´ seconds, when l´m done with them, you´re next."
145,145,"Carmine, it´s me, Will. Remember, we went to kindergarten together."
146,146," Way down the street there´s a light in his place    Birds Twittering    He opens the door, he´s got that look on his face   BELL TOLLS   Fuckin´, let´s go, man."
147,147, Step on his fuckin´ head.
148,148,Get his ass on the ground.
149,149,Stop that motherfucker.
150,150,"Motherfucker, die !"
151,151, Carter !
152,152, Come on !
153,153,"  GROANING   CHUCKIE  Will ! Will, come on !"
154,154,"Will, come on."
155,155,Let´s go. Let´s go.
156,156,"Easy, brother, easy."
157,157,"  CHUCKIE  Hey, fellas, thanks for comin´ out."
158,158, Come here !
159,159,Whoa ! Whoa !
160,160," Groans   DISPATCHER ON WALKIETALKIE, INDISTINCT  Ah. Fuck."
161,161," STUDENTS CHATTERING  Is it just my imagination, or has my class grown considerably ?"
162,162,"Well, by no stretch of my imagination..."
163,163,do I believe you´ve all come here to hear me lecture.
164,164,"Rather, to ascertain the identity of the mystery math magician."
165,165,"So without further adieu, come forward, silent rogue, and receive thy prize."
166,166,"Well, l´m sorry to disappoint my spectators, but..."
167,167,it seems there will be no unmasking here today.
168,168,"However, uh, my colleagues and I have conferred, and there is a problem on the board right now..."
169,169,that took us more than two years to prove.
170,170,"So let this be said: The gauntlet has been thrown down, but the faculty have answered and answered with vigor."
171,171," CAR ALARM SCREECHES  Hey, when´s the arraignment ?"
172,172,Next week.
173,173, CHALK CLICKING CHALKBOARD   CHATTERING  Sorry.
174,174, What are you doing ?
175,175, Sorry.
176,176,That´s people´s work.
177,177,You can´t graffiti here.
178,178, Don´t you walk away from me !
179,179," Hey, fuck you !"
180,180,"Oh, you´re a clever one."
181,181,What´s your name ?
182,182," DOOR CLOSES  Oh, my God."
183,183,Looks right.
184,184," CHEERING  Will, how retarded do you gotta be to get fired from that job ?"
185,185,"I mean, how hard is it to push a motherfuckin´ broom around ?"
186,186,"Mitch, you got fired from pushin´ a fuckin´ broom."
187,187,I got fired ´cause management was restructuring.
188,188,"Yeah, restructuring the amount of retards they had workin´ for ´em."
189,189,"Shut up. You get canned more than tuna, bitch."
190,190,"At least I got a motherfuckin´ job right now, don´t I ?"
191,191," Why´d you get fired, Will ? Come on."
192,192, Management was restructuring.
193,193, My uncle could probably get you on a demo team.
194,194, Can he do that ?
195,195,You kiddin´ me ! I asked you yesterday if I could get a job.
196,196,"And I told you ""no"" yesterday."
197,197," What´s up, Casey ?"
198,198," What´s up, Case ?"
199,199," What´s up, Big Case ?"
200,200,  ROCK  Let´s sit over here.
201,201,All right. Let´s go.
202,202,"Oh, this is this is a Harvard bar, huh ?"
203,203,"I thought there´d be, like, equations and shit on the wall."
204,204,I will take a pitcher of the finest lager in the house.
205,205,Timeout. I´m gonna have to bust a little move on them Harvard hotties down there at the bar.
206,206, Work some magic.
207,207, Get some potion for us.
208,208,"  GIGGLING   Oh, hello."
209,209," Oh, hello."
210,210, Hi. How are ya ?
211,211, Fine.
212,212," So, do you ladies, uh  Come here often ?"
213,213,Do I come here ?
214,214,I come here a bit.
215,215,"I´m here, you know, from time to time."
216,216, Do you go to school here ?
217,217, Yep.
218,218," Yeah, that´s it."
219,219,I think I had a class with you.
220,220," Oh, yeah. What class ?"
221,221, History.
222,222, Maybe.
223,223,"Yes, I think that´s what it was."
224,224,"You don´t necessarily may not remember me. You know, I like it here."
225,225," It doesn´t mean ´cause I go here, l´m a genius. I am very smart."
226,226, Hey.
227,227," Hey, how´s it goin´ ? How are ya ?"
228,228, Good. How ya doin´ ?
229,229,What class did you say that was ?
230,230,  TOGETHER  HISTORY.
231,231, YEAH.
232,232,Just history ? It must have been a survey course then.
233,233," Yeah, it was. It was surveys."
234,234, Right.
235,235,You should check it out. It´s a good course. It´d be a good class.
236,236, How´d you like that course ?
237,237," You know, frankly,  I found that class, you know, rather elementary."
238,238, Elementary.
239,239," You know, I don´t doubt that it was."
240,240, Yeah.
241,241,"I, uh, I remember that class."
242,242,"It was, um It was just between recess and lunch."
243,243,"Clark, why don´t you go away ?"
244,244, Why don´t you relax ?
245,245, Why don´t you go away ?
246,246,I´m just havin´ fun with my new friend.
247,247,Are we gonna have a problem ?
248,248,"No, no, no, no."
249,249,There´s no problem here.
250,250,I was just hoping you might give me some insight into the evolution...
251,251,of the market economy in the southern colonies.
252,252,"My contention is that prior to the Revolutionary War, the economic modalities especially in the southern colonies could most aptly be characterized as..."
253,253, agrarian precapitalist.
254,254, Let me tell you somethin´.
255,255,Of course that´s your contention.
256,256,You´re a firstyear grad student.
257,257,"You just got finished readin´ some Marxian historian Pete Garrison, probably You´re gonna be convinced of that till next month when you get to James Lemon."
258,258,Then you´re gonna be talkin´ about how the economies of Virginia and Pennsylvania...
259,259,were entrepreneurial and capitalist way back in 1740.
260,260,"That´s gonna last until next year. You´re gonna be in here regurgitatin´ Gordon Wood, talkin´ about, you know, the prerevolutionary utopia..."
261,261,and the capitalforming effects of military mobilization.
262,262," SCOFFS  Well, as a matter of fact, I won´t, because Wood drastically underestimates the impact of Wood drastically underestimates the impact of social distinctions..."
263,263,"predicated upon wealth, especially inherited wealth."
264,264,"You got that from Vickers´ Work in Essex County. Page 98, right ?"
265,265,I read that too. Were you gonna plagiarize the whole thing for us ?
266,266,Do you have any thoughts of your own on this matter ?
267,267,Or is that your thing ? You come into a bar. You read some obscure passage.
268,268,Then pretend pawn it off as your own.
269,269,As your own idea just to impress some girls ? Embarrass my friend ?
270,270,"See, the sad thing about a guy like you is, in 50 years, you´re gonna start doin´ some thinkin´ on your own."
271,271,You´re gonna come up with the fact that there are two certainties in life.
272,272,One: Don´t do that.
273,273,And two: You dropped 150 grand on a fuckin´ education...
274,274,you could´ve got for $1.50 in late charges at the public library.
275,275," CHUCKLING  Yeah, but I will have a degree, and you´ll be servin´ my kids fries at a drive through on our way to a skiing trip."
276,276,"Maybe, but at least I won´t be unoriginal."
277,277,"If you have a problem with that, we could step outside."
278,278,We could figure it out.
279,279,"No, man, there´s no problem."
280,280,It´s cool.
281,281, It´s cool ?
282,282, Yeah.
283,283, Cool.
284,284," Damn right, it´s cool."
285,285,How do you like me now ?
286,286,My boy´s wicked smart.
287,287,"I just spent three minutes in this fuckin´ place and run into a barney, huh ?"
288,288,There it is.
289,289, Nice to meet you.
290,290," They were fine, man."
291,291,"I was gonna close the deal, but then Chuck Billy insulted one of ´em The heavyset girl said I had a receding hairline, and I was a few pounds overweight."
292,292,"And I was, like, ""Go fuck yourself."" I swallowed a bug."
293,293, CHUCKLING  HI.
294,294, You´re an idiot.
295,295, What ?
296,296,You´re an idiot. I´ve been sitting over there for 45 minutes...
297,297,waiting for you to come and talk to me.
298,298,"But l´m tired now, and I have to go home."
299,299,I couldn´t sit there anymore waiting for you.
300,300, I´m Will.
301,301, Skylar.
302,302, Skylar.
303,303," Oh, and by the way, that guy over there Michael Bolton clone He wasn´t sitting with us, so to speak."
304,304, I know. I kinda got that impression.
305,305, Good. Okay.
306,306,"Well, l´ve got to go."
307,307,Gotta get up early and waste some more money on my overpriced education.
308,308," No, I didn´t mean you."
309,309, That´s all right.
310,310,There´s my number. Maybe we can go out for coffee sometime.
311,311,"All right, yeah. Maybe we can just get together and eat a bunch of caramels."
312,312, What do you mean ?
313,313," When you think about it,  it´s as arbitrary as drinkin´ coffee."
314,314, Oh. Yeah. Okay.
315,315,"Uh, right, then."
316,316," Oh, come on. You´re kidding."
317,317,  GIGGLING Yo !
318,318," Fuck you, bitch !"
319,319, Fuck you.
320,320, There goes them fuckin´ barneys right now with his skiin´ trip.
321,321, Hold on.
322,322,We should´ve beat that old bitch´s ass.
323,323,Do you like apples ?
324,324, Yeah.
325,325, Yeah ?
326,326,"Well, I got her number !"
327,327,How do you like them apples ?
328,328," CHUCKLING   We arrived tonight   The miles were over me   I turned off the light   So, come on, night   Everyone who´s gone   Home to oblivion   So come home   So come on by  Come."
329,329,Excuse me ? ls this the Buildings and Grounds office ?
330,330,Yeah. What can I do for you ?
331,331,I just need the name of a student who works here.
332,332, No students work for me.
333,333, Could you please check ?
334,334,I have this guy who works in my building.
335,335, He´s about this high.
336,336, Which one is your building ?
337,337, Two.
338,338, Two. Building two.
339,339," Look, if anything was stolen, I should know about it."
340,340," No, it´s nothing like that."
341,341,I just need his name.
342,342, I can´t give you his name unless you have a complaint.
343,343, This is Professor Lambeau.
344,344,And this is Professor Hayes.
345,345,"Tom, please."
346,346,This is important.
347,347,Please.
348,348,Will didn´t show for work today.
349,349, SIGHS  Got this job through his P.O. You can call him.
350,350, P.O. ?
351,351, Yeah. Parole officer.
352,352,Thank you.
353,353,Asshole.
354,354," CHUCKLING   Will  There is a lengthy legal precedent, Your Honor, going back to 1789, whereby a defendant can claim selfdefense against an agent of the government..."
355,355,"if that act is deemed a defense against tyranny, a defense of liberty."
356,356," CLEARS THROAT  Your Honor, Henry Ward Beecher,  in Proverbs from the Plymouth Pulpit, 1887, said, quote  1887 ?"
357,357, Excuse me.
358,358, This is the 20th century.
359,359, He´s gonna make a mockery.
360,360," I am afforded the right to speak in my own defense, sir, by the Constitution of the United States."
361,361, Don´t tell me about the Constitution.
362,362, This guarantees my liberty.
363,363,"""Liberty,"" in case you´ve forgotten, is a soul´s right to breathe."
364,364,"When it cannot take a long breath, laws are girded too tight."
365,365," Without liberty, man is a syncope."
366,366, Man is a what ?
367,367," Ibid., Your Honor."
368,368," Son, my turn."
369,369,I´ve been sitting here for ten minutes now lookin´ over this rap sheet of yours.
370,370,I just can´t believe it.
371,371,"June ´93, assault."
372,372,"September ´93, assault."
373,373,"Grand theft auto, February of ´94."
374,374,"Where, apparently, you defended yourself and had the case thrown out by citing..."
375,375,"""free property rights of horse and carriage"" from 1798."
376,376,"Joke. January ´95, impersonating an officer."
377,377,"Mayhem, theft, resisting."
378,378,All overturned.
379,379,I´m also aware that you´ve been through several foster homes.
380,380,The state removed you from three because of serious physical abuse.
381,381,"You know, another judge might care, but you hit a cop. You´re going in."
382,382,Motion to dismiss is denied.
383,383,"$50,000 bail."
384,384,  GAVEL POUNDS   THANK YOU.
385,385, WOMAN  Rise.
386,386, RINGING   Hello ?
387,387,"  WILL  Uh, Skylar ?"
388,388, Yep.
389,389," Hey, uh, it´s Will."
390,390, Who ?
391,391, It´s Will.
392,392,"You know, the really funny, goodlooking guy you met at the bar the other night."
393,393,I don´t recall meeting anyone who matches that description.
394,394,I think l´d remember.
395,395,"Oh, all right, you got me. It´s the ugly, obnoxious, toothless loser..."
396,396,who got hammered and wouldn´t leave you alone all night.
397,397," Oh, Will ! I remember."
398,398,  CHUCKLING  How are you ?
399,399,I was wondering if you´d call me.
400,400," Yeah, look, I was wondering  Yo, what´s up, baby ?"
401,401, Hold on one second.
402,402, What you doing ? Want some of my ass ?
403,403," Herve, I remember you from juvi. How you doing ?"
404,404, What you doing ?
405,405,"Oh, yeah, sorry about that."
406,406,I was wonderin´ maybe we could get together sometime this week.
407,407, Sit out at a cafe.
408,408,Maybe have some caramels.
409,409," Oh, that sounds wonderful."
410,410, Yeah ?
411,411," Yeah, sure. Where are you ?"
412,412,"Uh, well, actually, this is just a shot in the dark, but, uh, there´s no chance that you´re prelaw, is there ?"
413,413, Have a seat.
414,414, Thank you.
415,415,Nice talking to ya.
416,416,What the fuck do you want ?
417,417,I´m Gerald Lambeau.
418,418,Professor you told to fuck himself.
419,419,"Well, what the fuck do you want ?"
420,420,"I´ve spoken to the judge, and he´s agreed to release you under my supervision."
421,421, Really ?
422,422, Yeah.
423,423, Under two conditions.
424,424, What are those ?
425,425,First condition is that you meet with me every week.
426,426, What for ?
427,427," Go over the proof you´re working on, get into some more advanced..."
428,428,"combinatorial mathematics, finite math."
429,429,Sounds like a real hoot.
430,430,And the second condition is that that you see a therapist.
431,431,I´m responsible to submit reports on those meetings.
432,432,"If you fail to meet with any of those conditions, you will have to serve time."
433,433,"All right. I´ll do the math, but l´m not gonna meet with any fuckin´ therapist."
434,434,"It´s better than spending that time in jail, isn´t it ?"
435,435," LAUGHING   CLEARS THROAT   DOG BARKING  I read your book, and ""Mike"" was havin´ the same problems..."
436,436,"that ""Chad,"" the stockbroker, was havin´."
437,437,Absolutely right. Right on the button.
438,438,"Good for you, Will."
439,439, Very nice.
440,440, Thank you.
441,441,"Will, the pressures and l´m not judging them."
442,442,"I´m not labeling them, but they are destroying your potential."
443,443,No more shenanigans.
444,444,No more tomfoolery. No more ballyhoo.
445,445,You´re right.
446,446,"God, I know."
447,447,You´re not gonna get off that easily.
448,448,"Come on, Will. A bit more."
449,449," Well, I mean, I do do things, you know ?"
450,450, What What kind of things ?
451,451,"I do things that, you know, I mean, I hide from people."
452,452," You hide, do you ?"
453,453," No, no. I mean, I like I go places. I interact."
454,454, Really ? What sort of places ?
455,455, Just certain clubs.
456,456,More. That´s nice. Yes.
457,457,What sort of clubs ?
458,458,"Like, uh, like Fantasy."
459,459,Fantasy. That´s nice.
460,460,A bit more.
461,461,"It´s something like when you get in there, the music, like, owns you."
462,462,"It´s like that house music. It´s like  Bom, bom, bom   Bombombom Boom, boom, boom, boom   You know, you start dancin´."
463,463," Boom, boom, boom. Yeah."
464,464,It´s just Yes.
465,465," CHUCKLING, SIGHING  Do you find it hard to hide the fact that you´re gay ?"
466,466, STAMMERING  What are you talking about ? What ?
467,467,"Look, buddy, two seconds ago, you were ready to give me a jump."
468,468,A jump ? Are you  LAUGHING  I´m terribly sorry to disappoint you.
469,469,"Hey, I don´t have a problem with it."
470,470,I don´t care if you putt from the rough.
471,471,What are you P Putting from the rough ? What on earth are you talking about ?
472,472,A difficult theorem could be like a symphony.
473,473,It´s very erotic.
474,474, THERAPIST  You go somewhere else.
475,475,I can´t handle this.
476,476, Wow.
477,477,"  WILL  Thank you, Henry."
478,478,"  GRUNTING  Ah, Henry."
479,479," Hi, Gerry."
480,480,You know something ?
481,481,I can´t do this pro bono work anymore.
482,482, It´s just not It´s not worth it.
483,483, What happened ?
484,484,"Well, l´m going on national television next week."
485,485,"I mean, I haven´t got time to tell you, much less talk to that raving looney in there."
486,486,"An absolute lunatic, he is."
487,487, LAMBEAU  Henry.
488,488," MAN  Okay, you are in your bed, Will."
489,489,"Now, how old are you ?"
490,490,Seven.
491,491,What do you see ?
492,492,Something´s in my room.
493,493,What is it ?
494,494,It´s like a It´s a figure.
495,495,It´s hoverin´ over me.
496,496,"You are in a safe place, Will."
497,497,It´s t  SIGHS  lt´s touchin´ me.
498,498,Where is it touching you ?
499,499,"It´s touching me down there, and l´m nervous."
500,500,"You don´t have to be nervous, Will."
501,501,We start dancin´ and dancin´.
502,502,"It´s just beautiful, ´cause we can make..."
503,503,a lot of love before the sun goes down.
504,504," Skyrockets in flight   Afternoon delight    Hey, hey, hey, afternoon delight   Jesus."
505,505," Skyrockets in flight Dadadada   I´m sorry, Rich."
506,506, I have better things to do with my time.
507,507," Hey, hey, afternoon delight  Come on ! One dance !"
508,508,"You really hypnotized me, you know ?"
509,509," For God´s sake, Will."
510,510," What ? Oh, come on. He left."
511,511,You can´t pin that on me.
512,512, I told you to cooperate with these people.
513,513, Look...
514,514, into my eyes.
515,515," Get out, Will."
516,516,I don´t need therapy.
517,517, That´s enough. Get out !
518,518,"  IMITATING SPOOKY SOUND   I called Mel Weintraub this morning to see  Oh, what´s the use ?"
519,519,What do you want to do ?
520,520,"  SIGHS  Well, there´s someone."
521,521, Who is he ?
522,522,"He used to be my, uh my roommate in college."
523,523,Trust. Very important in a relationship.
524,524,It´s also very important in a clinical situation.
525,525,Why is trust the most important thing...
526,526,in making a breakthrough with a client ?
527,527,"Maureen, stop the oral fixation for a moment and join us."
528,528, Vinnie.
529,529," Um Because, uh Trust is, uh Trust is life."
530,530,Wow. That´s very deep.
