,Unnamed: 0,dialog
0,0,"<font color""ffff80"">Fixed & Synced by bozxphd. Enjoy The Flick.</font> (LOOKING GLASS' ""BRANDY There's a girl in this harbor town."
1,1,And she works layin' whiskey down.
2,2,"They say, ""Brandy, fetch another round""."
3,3,And she serves them whiskey and wine.
4,4,"The sailors say ""Brandy, you're a fine girl""."
5,5,"""What a good wife you would be"" EGO: Come on!"
6,6,MEREDITH: (YELPS) Slow down!
7,7,"This way, my river lily! Come on!"
8,8,Where are you taking me?
9,9,"Come on, come on."
10,10,Look. Look!
11,11,"(GASPS) Oh, it's beautiful!"
12,12,EGO: I was afraid it wouldn't take to the soil...
13,13,but it rooted quickly.
14,14,"And soon, it'll be everywhere."
15,15,All across the universe.
16,16,"Well, I don't know what you're talking about..."
17,17,but I like the way you say it.
18,18,(SIGHS) My heart is yours...
19,19,Meredith Quill.
20,20,I can't believe I fell in love with a spaceman.
21,21,"(MUSIC FADING UP, ""BRANDY (YOU'RE A FINE GIRL"")  Showtime, aholes!"
22,22, (DEVICE BEEPS) It will be here any minute.
23,23,Which will be its loss.
24,24,I thought your thing was a sword?
25,25,We've been hired to stop an interdimensional beast...
26,26,"from feeding on those batteries, and I'm gonna stop it with a sword?"
27,27,"It's just, swords were your thing and guns were mine."
28,28,But I guess we're both doing guns now.
29,29,I just didn't know that.
30,30,"Drax, why aren't you wearing one of Rocket's aerorigs?"
31,31,It hurts.
32,32,It hurts?
33,33,I have sensitive nipples.
34,34,"""My nipples hurt! Oh, goodness me!"" What about him? What's he doing?"
35,35,I'm finishing this so we can listen to tunes while we work.
36,36,How is that a priority?
37,37,Blame Quill. He's the one who loves music so much.
38,38,"No, I actually agree with Drax on this."
39,39,That's hardly important right now.
40,40,"Oh, okay. Sure, Quill."
41,41,"No, seriously, I side with Drax."
42,42,"No, I understand that."
43,43,You're being very serious right now.
44,44,I can clearly see you winking.
45,45,Damn it. I'm using my left eye?
46,46,I am Groot.
47,47, They were not looking at you funny.
48,48," (DEVICE BEEPING RAPIDLY) Well, that's intense."
49,49,"(ELECTRIC LIGHT ORCHESTRA'S ""MR. BLUE SKY"" PLAYING) Groot!"
50,50,"Groot, get out of the way!"
51,51,You're gonna get hurt!
52,52,Hi.
53,53,No! Spit it out!
54,54,Come on!
55,55,Disgusting!
56,56,The beast's hide is too thick to be pierced from the outside.
57,57,I must cut through it from the inside.
58,58,Huh?
59,59," (LAUGHING)  No, no! Drax, wait a minute!"
60,60,Drax!
61,61,What is he doing?
62,62,"He said the skin is too thick to be pierced from the outside, so he..."
