,Unnamed: 0,dialog
0,0,"How fastidious you've become, Wormtail."
1,1,"As I recall, you once called the nearest gutter pipe home."
2,2,Could it be that the task of nursing me has become wearisome for you?
3,3,"Oh, no. No, no, my Lord Voldemort."
4,4,I only meant...
5,5,...perhaps if we were to do it without the boy.
6,6,No! The boy is everything!
7,7,It cannot be done without him.
8,8,And it will be done.
9,9,Exactly as I said.
10,10," I will not disappoint you, my Lord."
11,11, Good.
12,12,"First, gather our old comrades."
13,13,Send them a sign.
14,14,Nagini tells me the old Muggle caretaker...
15,15,...is standing just outside the door.
16,16,"Step aside, Wormtail, so I can give our guest a proper greeting."
17,17,Avada Kedavra!
18,18,Harry.
19,19,Harry!
20,20,Are you all right?
21,21,Hermione. Bad dream.
22,22, When did you get here?
23,23, Just now. You?
24,24,Last night.
25,25,"Wake up! Wake up, Ronald!"
26,26,Bloody hell.
27,27,"Honestly, get dressed."
28,28,And don't go back to sleep.
29,29,"Come on, Ron!"
30,30,Your mother says breakfast's ready!
31,31," Ron, where are we actually going?"
32,32, Don't know.
33,33," Hey, Dad. Where are we going?"
34,34, Haven't the foggiest.
35,35,Keep up!
36,36,Arthur!
37,37,"It's about time, son."
38,38,"Sorry, Amos. Some of us had a bit of a sleepy start."
39,39,"This is Amos Diggory, everyone."
40,40,Works with me at the Ministry.
41,41,"And this strapping young lad must be Cedric, am I right?"
42,42,"Yes, sir."
43,43,This way.
44,44,Merlin's beard!
45,45,You must be Harry Potter.
46,46," Yes, sir."
47,47," Great, great pleasure."
48,48,"Pleasure to meet you too, sir."
49,49,"Yes, it's just over there."
50,50, Shall we?
51,51," Oh, yeah."
52,52,We don't want to be late.
53,53,Come on. Nearly there now.
54,54,Get yourself into a good position.
55,55,Why are they all standing around that manky old boot?
56,56, That isn't just any manky old boot.
57,57, It's a Portkey.
58,58,Time to go!
59,59,What's a Portkey?
60,60," Ready! After three. One, two..."
61,61, Harry!
62,62,...three!
63,63,"Let go, kids!"
64,64, What?!
65,65, Let go!
66,66,"I'll bet that cleared your sinuses, eh?"
67,67," Total shambles, as per usual."
68,68, Thanks.
69,69,"Go on, look at that!"
70,70,"Well, kids, welcome to the Quidditch World Cup!"
71,71,"Stay together! Keep up, girls!"
72,72,Look!
73,73,"Come on! Keep up, girls!"
74,74,Blimey!
75,75,"Parting of the ways, I think, old chap."
76,76, See you at the match.
77,77, See you.
78,78, Cedric.
79,79," Ced, come on."
80,80,"See you later, Cedric."
81,81,Home sweet home.
82,82,What?
83,83," Excellent, excellent."
84,84," Ginny, look!"
85,85, All to the bath.
86,86, Look.
87,87,"Girls, choose a bunk and unpack."
88,88,"Ron, get out of the kitchen."
89,89,We're all hungry.
90,90," Yeah, get out of the kitchen, Ron!"
91,91, Feet off the table!
92,92, Feet off the table!
93,93, Feet off the table!
94,94,I love magic.
95,95,Get your Quidditch World Cup programs here!
96,96,"Blimey, Dad. How far up are we?"
97,97,"Well, put it this way: If it rains..."
98,98,...you'll be the first to know.
99,99,Father and I are in the minister's box...
100,100,...by personal invitation of Cornelius Fudge himself.
101,101,"Don't boast, Draco."
102,102,There's no need with these people.
103,103,"Do enjoy yourself, won't you?"
104,104,While you can.
105,105,Come on up. Take your seats. I told you these seats would be worth waiting for.
106,106,Come on!
107,107,It's the Irish! There's Troy!
108,108, And Mullet!
109,109, And Moran!
110,110,Ireland! Ireland! Ireland!
111,111, Here come the Bulgarians!
112,112, Yes!
113,113,Who's that?
114,114,"That, sis, is the best Seeker in the world."
