,Unnamed: 0,dialog
0,0,Lumos Maxima.
1,1,Lumos Maxima.
2,2,Lumos Maxima.
3,3,Lumos Maxima.
4,4,Lumos Maxima!
5,5,Harry. Harry.
6,6,"Harry, open the door."
7,7,Marge. How lovely to see...
8,8,"Uncle Vernon, I need you to sign this form."
9,9,What is it?
10,10,Nothing. School stuff.
11,11,"Later perhaps, if you behave."
12,12,I will if she does.
13,13," Oh, you're still here, are you?"
14,14, Yes.
15,15,Don't say yes in that ungrateful way.
16,16,Damn good of my brother to keep you.
17,17,He'd have been straight to an orphanage if he'd been dumped on my doorstep.
18,18,Is that my Dudders?
19,19,Is that my little neffypooh?
20,20,"Give us a kiss. Come on. Up, up."
21,21,Take Marge's suitcase upstairs.
22,22,Okay.
23,23,Finish that off for Mommy.
24,24,"Good boy, Rippypooh."
25,25," Can I tempt you, Marge?"
26,26, Just a small one.
27,27,"Excellent nosh, Petunia."
28,28,A bit more.
29,29,"Usually just a fryup for me, what with 12 dogs."
30,30,Just a bit more. That's a boy.
31,31,You wanna try a little drop of brandy?
32,32,A little drop of brandybrandy windywandy for Rippypippypooh?
33,33,What are you smirking at?
34,34,"Where did you send the boy, Vernon?"
35,35,St. Brutus'. It's a fine institution for hopeless cases.
36,36,"Do they use a cane at St. Brutus', boy?"
37,37,"Oh, yeah."
38,38,Yeah. I've been beaten loads of times.
39,39,Excellent. I won't have this nambypamby...
40,40,...wishywashy nonsense about not beating people who deserve it.
41,41,You mustn't blame yourself about how this one turned out.
42,42,It's all to do with blood.
43,43,Bad blood will out.
44,44,"What is it the boy's father did, Petunia?"
45,45,Nothing. He didn't work.
46,46,He was unemployed.
47,47," And a drunk too, no doubt?"
48,48, That's a lie.
49,49, What did you say?
50,50, My dad wasn't a drunk.
51,51,"Don't worry. Don't fuss, Petunia."
52,52,I have a very firm grip.
53,53,I think it's time you went to bed.
54,54,"Quiet, Vernon. You, clean it up."
55,55,"Actually, it's nothing to do with the father."
56,56,It's all to do with the mother.
57,57,You see it all the time with dogs.
58,58,"If something's wrong with the bitch, then something's wrong with the pup."
59,59,Shut up! Shut up!
60,60,Right.
61,61,Let me tell you...
62,62,Vernon!
63,63,"Vernon! Vernon, do something!"
64,64,Stop!
65,65,"I've got you, Marge. I've got you."
66,66," Hold on, hold on."
67,67, Get off.
68,68, Don't you dare!
69,69, Sorry.
70,70,"Oh, Vernon."
71,71,"Oh, God."
72,72,Marge!
73,73,Please!
74,74,Marge!
75,75,Come back!
76,76,You bring her back!
77,77,You bring her back now.
78,78, You put her right!
79,79, No. She deserved what she got.
80,80, Keep away from me.
81,81, You can't do magic outside school.
82,82, Yeah? Try me.
83,83, They won't let you back now.
84,84,You've nowhere to go.
85,85,I don't care.
86,86,Anywhere is better than here.
87,87,"""Welcome to the Knight Bus..."
88,88,...emergency transport for the stranded witch or wizard.
89,89,"My name is Stan Shunpike, and I will be your conductor for this evening."" What you doing down there?"
90,90, I fell over.
91,91, What you fall over for?
92,92, I didn't do it on purpose.
93,93," Well, come on, then."
94,94,Let's not wait for the grass to grow.
95,95, What you looking at?
96,96, Nothing.
97,97,"Well, come on, then. In."
98,98,"No, no, no. I'll get this."
99,99,You get in.
100,100,Come on.
101,101,"Come on. Move on, move on."
102,102," Take her away, Ern."
103,103," Yeah, take it away, Ernie."
104,104,It's going to be a bumpy ride.
105,105, What did you say your name was?
106,106, I didn't.
107,107, Whereabouts are you headed?
108,108, The Leaky Cauldron. That's in London.
109,109,"You hear that? ""The Leaky Cauldron."
110,110,"That's in London."" The Leaky Cauldron."
111,111,If you have pea soup...
112,112,...make sure you eat it before it eats you.
113,113, But the Muggles. Can't they see us?
114,114, Muggles?
115,115,"They don't see nothing, do they?"
116,116,"No, but if you jab them with a fork, they feel."
117,117,"Ernie, little old lady at 12 o'clock!"
118,118,"Ten, nine, eight..."
119,119,"...seven, six, five..."
120,120,"...four, three, three and a half..."
121,121,"...two, one and three quarters."
122,122,Yes!
123,123,Who is that?
124,124,That man.
125,125,Who is that?
126,126,Who is...?
127,127,"That is Sirius Black, that is."
128,128,Don't tell me you've never been hearing of Sirius Black.
129,129,He's a murderer.
130,130,Got himself locked up in Azkaban for it.
131,131, How did he escape?
132,132," Well, that's the question, isn't it?"
133,133,He's the first one that done it.
134,134,He was a big supporter of...
135,135,...YouKnowWho.
136,136,I reckon you've heard of him.
137,137,Yeah.
138,138,Him I've heard of.
139,139,"Ernie, two doubledeckers at 12 o'clock."
140,140,"They're getting closer, Ernie."
141,141,"Ernie, they're right on top of us!"
142,142,Mind your head.
143,143,"Hey, guys? Guys?"
144,144,Why the long faces?
145,145,"Yeah, yeah. Nearly there. Nearly there."
146,146, The Leaky Cauldron.
147,147," Next stop, Knockturn Alley."
148,148,"Mr. Potter, at last."
149,149," Take it away, Ern."
150,150," Yeah, take it away, Ernie!"
151,151,Room 11.
152,152,Hedwig.
153,153,"Right smart bird you got there, Mr. Potter."
154,154,He arrived here just five minutes before yourself.
155,155,"As Minister for Magic, it is my duty to inform you, Mr. Potter..."
156,156,...earlier this evening your uncle's sister was located...
157,157,"...a little south of Sheffield, circling a chimney stack."
158,158,The Accidental Magic Reversal Department was dispatched immediately.
159,159,She has been properly punctured and her memory modified.
160,160,She will have no recollection of the incident whatsoever.
161,161,So that's that...
162,162,...and no harm done.
163,163,Pea soup?
164,164,"No, thank you."
165,165, Minister?
166,166, Yes?
167,167, I don't understand.
168,168, Understand?
169,169,I broke the law. Underage wizards can't use magic at home.
170,170,Come now. The Ministry doesn't send people to Azkaban...
171,171,...for blowing up their aunts.
172,172,"On the other hand, running away like that, given the state of things..."
173,173,"...was very, very irresponsible."
174,174," ""The state of things,"" sir?"
175,175, We have a killer on the loose.
176,176,"Sirius Black, you mean?"
177,177,But what's he got to do with me?
178,178,"Nothing, of course. You're safe."
179,179,And that's what matters.
180,180,And tomorrow you'll be on your way back to Hogwarts.
181,181,These are your new schoolbooks.
182,182,I took the liberty...
183,183,...of having them brought here.
184,184,Now Tom will show you to your room.
185,185,Hedwig.
186,186,"Oh, by the way, Harry. Whilst you're here, it would be best if you didn't..."
187,187,...wander.
188,188,Right! You gonna move that bus or what?
189,189,Housekeeping.
190,190,I'll come back later.
191,191,"I'm warning you, Hermione."
192,192,"Keep that beast away from Scabbers, or I'll turn it into a tea cozy."
193,193,"It's a cat, Ronald."
194,194,What do you expect?
195,195, It's in his nature.
196,196, A cat? Is that what they told you?
197,197, Looks like a pig with hair.
198,198, That's rich...
199,199,...coming from the owner of that smelly old shoe brush.
200,200,"Crookshanks, just ignore the mean little boy."
201,201,Harry.
202,202,Harry.
203,203, Egypt. What's it like?
204,204, Brilliant. Loads of old stuff...
205,205,"...like mummies, tombs, even Scabbers enjoyed himself."
206,206, Egyptians used to worship cats.
207,207, Along with the dung beetle.
208,208, Not flashing that clipping again?
209,209, I haven't shown anyone.
210,210,"No, not a soul."
211,211,Not unless you count Tom.
212,212, The day maid.
213,213, Night maid.
214,214, Cook.
215,215, The bloke who fixed the toilet.
216,216, Harry.
217,217, Mrs. Weasley.
218,218," Good to see you, dear."
219,219, Good to see you.
220,220, Got everything?
221,221, Yes.
222,222, Yes? All your books?
223,223, It's all upstairs.
224,224, Your clothes?
225,225, Everything.
226,226, Good boy.
227,227, Thank you.
228,228, Harry Potter.
229,229, Mr. Weasley.
230,230," Harry, wonder if I might have a word?"
231,231," Yeah, sure."
232,232, Hermione.
233,233," Good morning, Mr. Weasley."
234,234, Looking forward to a new term?
235,235, Yeah. It should be great.
236,236,"Harry, some within the Ministry would strongly discourage me..."
237,237,...from divulging what I'm about to reveal to you.
238,238,But I think that you need to know the facts.
239,239,You are in danger.
240,240,Grave danger.
241,241,"Has this anything to do with Sirius Black, sir?"
242,242,"What do you know about Sirius Black, Harry?"
243,243, Only that he's escaped from Azkaban.
244,244, Do you know why?
245,245,"Thirteen years ago, when you stopped..."
246,246, Voldemort.
247,247, Don't say his name.
248,248,Sorry.
249,249,When you stopped YouKnowWho...
250,250,...Black lost everything.
251,251,"But to this day, he still remains a faithful servant."
252,252,And in his mind...
253,253,...you are the only thing that stands in the way...
254,254,...of YouKnowWho returning to power.
255,255,And that is why...
256,256,...he has escaped from Azkaban.
257,257,To find you.
258,258,And kill me.
259,259,"Harry, swear to me that whatever you might hear..."
260,260,...you won't go looking for Black.
261,261,Mr. Weasley...
262,262,...why would I go looking for someone who wants to kill me?
263,263,Quick. Quick.
264,264,"Ron, Ron!"
265,265,"Oh, for goodness' sake!"
266,266,Don't lose him!
267,267,I didn't mean to blow her up. I just...
268,268, I lost control.
269,269, Brilliant.
270,270,"Honestly, Ron, it's not funny."
271,271,Harry was lucky not to be expelled.
272,272,I was lucky not to be arrested.
273,273,I still think it was brilliant.
274,274,Come on. Everywhere else is full.
275,275,Who do you think that is?
276,276, Professor R.J. Lupin.
277,277, Do you know everything?
278,278,How is it she knows everything?
279,279," It's on his suitcase, Ronald."
280,280, Oh.
281,281, Do you think he's really asleep?
282,282, Seems to be. Why?
283,283,I gotta tell you something.
284,284,Let me get this straight.
285,285,Sirius Black escaped from Azkaban...
286,286,...to come after you?
287,287, Yeah.
288,288,"But they'll catch Black, won't they?"
289,289," I mean, everyone's looking for him."
290,290, Sure.
291,291,Except no one's ever broken out of Azkaban before...
292,292,"...and he's a murderous, raving lunatic."
293,293," Thanks, Ron."
294,294,Why are we stopping?
295,295,We can't be there yet.
296,296,What's going on?
297,297,I don't know.
298,298,Maybe we've broken down.
299,299,"Ouch, Ron. That was my foot."
300,300,There's something moving out there.
301,301,I think someone's coming aboard.
302,302,Bloody hell! What's happening?
303,303,Harry.
304,304,"Harry, are you all right?"
305,305,Thank you.
306,306,"Here, eat this. It'll help."
307,307,It's all right. It's chocolate.
308,308,What was that thing that came?
309,309,It was a dementor. One of the guards of Azkaban. It's gone now.
310,310,It was searching the train for Sirius Black.
311,311,"If you'll excuse me, I need to have a little word with the driver."
312,312,Eat. You'll feel better.
313,313,What happened to me?
314,314,"Well, you sort of went rigid."
315,315,We thought maybe you were having a fit or something.
316,316,And did either of you two...
317,317,...you know...
318,318,...pass out?
319,319, No.
320,320,"I felt weird, though."
321,321,Like I'd never be cheerful again.
322,322,But someone was screaming.
323,323,A woman.
324,324,"No one was screaming, Harry."
325,325,Welcome! Welcome to another year at Hogwarts.
326,326,"Now, I'd like to say a few words..."
327,327,...before we all become too befuddled by our excellent feast.
328,328,"First, I'm pleased to welcome Professor R.J. Lupin..."
329,329,...who's kindly consented to fill the post...
330,330,...of Defense Against the Dark Arts teacher.
331,331,"Good luck, professor."
332,332,"Of course. That's why he knew to give you the chocolate, Harry."
333,333,Potter. Is it true you fainted?
334,334," I mean, you actually fainted?"
335,335," Shove off, Malfoy."
336,336, How did he find out?
337,337, Just forget it.
338,338,Our Care of Magical Creatures teacher...
