,Unnamed: 0,dialog
0,0,"Good evening, Professor Dumbledore."
1,1,"Are the rumors true, Albus?"
2,2,"I'm afraid so, professor. The good and the bad."
3,3, And the boy?
4,4, Hagrid is bringing him.
5,5,Do you think it wise to trust Hagrid with something as important as this?
6,6,"Ah, Professor, I would trust Hagrid with my life."
7,7,"Professor Dumbledore, sir. Professor McGonagall."
8,8," No problems, I trust, Hagrid?"
9,9," No, sir."
10,10,Little tyke fell asleep just as we were flying over Bristol.
11,11,Try not to wake him.
12,12,There you go.
13,13,"Albus, do you really think it's safe, leaving him with these people?"
14,14,"I've watched them all day. They're the worst sort of Muggles, imaginable."
15,15, They really are...
16,16, The only family he has.
17,17,This boy will be famous. There won't be a child in our world who doesn't know his name.
18,18,Exactly.
19,19,He's far better off growing up away from all of that.
20,20,Until he's ready.
21,21,"There, there, Hagrid. It's not really goodbye, after all."
22,22,Good luck...
23,23,...Harry Potter.
24,24,Up. Get up!
25,25,Now!
26,26,"Wake up, cousin! We're going to the zoo!"
27,27," Here he comes, the birthday boy."
28,28," Happy birthday, son."
29,29,"Why don't you just cook the breakfast, and try not to burn anything."
30,30," Yes, Aunt Petunia."
31,31, I want everything to be perfect...
32,32,...for my Dudley's special day!
33,33," Hurry up! Bring my coffee, boy."
34,34," Yes, Uncle Vernon."
35,35,"Aren't they wonderful, darling?"
36,36, How many are there?  36. Counted them myself.
37,37,But some of them are quite a bit bigger than last year's.
38,38,I don't care how big they are!
39,39,"Oh, now, now, now. This is what we're going to do..."
40,40,"...is that when we go out, we're going to buy you two new presents. How's that, pumpkin?"
41,41,It should be a lovely day at the zoo. I'm really looking forward to it.
42,42,"I'm warning you now, boy."
43,43,"Any funny business, any at all..."
44,44,...and you won't have any meals for a week.
45,45,Get in.
46,46,Make it move.
47,47,Move!
48,48, Move!
49,49, He's asleep!
50,50,He's boring.
51,51,Sorry about him.
52,52,"He doesn't understand what it's like, lying there day after day..."
53,53,...watching people press their ugly faces in on you.
54,54,Can you hear me?
55,55,"It's just, I've never talked to a snake before."
56,56,Do you...?
57,57,"I mean, do you talk to people often?"
58,58,"You're from Burma, aren't you? Was it nice there?"
59,59,Do you miss your family?
60,60,I see. That's me as well. I never knew my parents either.
61,61,"Mummy, Dad, come here! you won't believe what this snake is doing!"
62,62,Thanks.
63,63,Anytime.
64,64,Snake!
65,65,Mum! Mummy! Help me!
66,66,My darling boy! How did you get in there?
67,67,Who did this? How did you get in there? ls there a snake?
68,68,"It's all right, sweetheart. We'll get you out of these cold clothes."
69,69, What happened?
