,Unnamed: 0,dialog
0,0,"John Wick, Excommunicado."
1,1,"In effect, 6:00 p.m., Eastern Standard Time."
2,2,I do hope that Mr. Wick finds his way to safety.
3,3,"He knew the rules, he broke them."
4,4,"And killed a man on company grounds, Charon."
5,5,Do you expect him to make it out?
6,6,$14 million bounty on his head.
7,7,And every interested party in this city wants a piece of it.
8,8,I'd say the odds are about even.
9,9,"You think the hospital's there to help, man?"
10,10,No way!
11,11,They'll kill you just as soon as they'll make you better!
12,12,"But I know better, man."
13,13,I know better.
14,14,I know what I'm...
15,15,"Tick tock, Mr. Wick."
16,16,Tick tock.
17,17,Tick tock.
18,18,Tick tock. Tick...
19,19,"No time to dillydally, Mr. Wick!"
20,20,The New York Public Library.
21,21,You got it.
22,22,Change of plan.
23,23,To the Continental.
24,24,Can you see that he's received by the concierge?
25,25,"Yes, sir, Mr. Wick."
26,26,Good dog. Good dog.
27,27,"John Wick, Excommunicado."
28,28,"In effect, 20 minutes."
29,29,Can I help you?
30,30,Russian Folktale.
31,31,Alexander Afanasyev.
32,32,Level two.
33,33,Thank you.
34,34,"""Consider your origins."
35,35,"""You were not made to live as brutes, ""but to follow virtue and knowledge."" Dante."
36,36,"Looking a little run down there, John."
37,37,Ernest. I still have time.
38,38,It's almost up. Who's gonna know the difference?
39,39,You sure this is what you wanna do?
40,40,Fourteen million.
41,41,It's a lot of money.
42,42,Not if you can't spend it.
43,43,"Oh, shit."
44,44,Push it back.
45,45,"John Wick, Excommunicado."
46,46,"In effect, 10 minutes."
47,47,Let it be known the Bowery will honor the Excommunicado.
48,48,"No help, no services of any kind."
49,49,"Doc! Doc, it's Wick!"
50,50,Mr. Wick.
51,51,"No, no. You shouldn't be here."
52,52,Hour's almost up.
53,53,"I know, Doc, please."
54,54,There's still time.
55,55,No! I can't.
56,56,I still have five minutes!
57,57,Please.
58,58,Come on. Come on.
59,59,"All right, sit there."
60,60,"All right, let me see."
61,61,Let me see.
62,62,Uhhuh.
63,63,Puncture wound.
64,64,Went deep.
65,65,Nicked the artery.
66,66,Here you go.
67,67,All right.
68,68,"John Wick, Excommunicado."
69,69,"In effect, one minute."
70,70,Doc?
71,71,Doc?
72,72,Yeah. We're halfway there.
73,73,Five seconds.
74,74,Yeah.
75,75,"John Wick, Excommunicado."
76,76,"In effect, in five, four..."
77,77,"Three, two..."
78,78,One.
79,79,"Sorry, Mr. Wick."
80,80,I know. Rules.
81,81,"Ah, rules."
82,82,"John Wick, 14 million."
83,83,Open contract is now in effect.
84,84,All services are suspended.
85,85,And away we go.
86,86,Top shelf. On the right.
87,87,Yeah. Take four.
88,88,It will give you energy.
89,89,Help with the pain.
90,90,Mr. Wick?
91,91,They'll never believe I stopped on the hour.
92,92,But you did.
93,93,They'll know.
94,94,Know what?
95,95,I told you where the medicine was.
96,96,Where?
97,97,Here.
98,98,Just below my floating rib.
99,99,Be sure not to hit my large intestine.
100,100,"Oh, wait!"
101,101,One may not be enough.
102,102,Yeah. All right.
103,103,Be sure not to graze my...
104,104,Oh!
105,105,"Good luck, Mr. Wick."
106,106,"Thanks, Doc."
107,107,John Wick. Open contract.
108,108,"Increase, 15 million."
109,109,"Where are you going, Jonathan?"
110,110,We are closed.
111,111,Jardani.
112,112,Why have you come home?
113,113,You present this to me like an answer.
114,114,I still have my ticket.
115,115,"After all the chaos you've caused for the last few weeks, you think your ticket is valid?"
116,116,"You forget that the Ruska Roma is bound by the High Table, and the High Table stands above all?"
117,117,They could kill me just for talking to you.
118,118,You honor me by bringing death to my front door.
119,119,"Oh, Jardani, what has become of you?"
120,120,You are bound...
121,121,And I am owed.
122,122,"Rooney, enough!"
123,123,"""You are owed."" You are owed nothing, Jardani."
124,124,"You know, when my pupils first come here, they wish for one thing."
125,125,A life free of suffering.
126,126,"I try to dissuade them from these childish notions, but as you know, art is pain."
127,127,Life is suffering.
128,128,"Somehow, you managed to get out."
129,129,"But here you are, back where you began."
130,130,"All of this, for what?"
131,131,Pirouette.
132,132,"Pirouette, pirouette."
133,133,Sit.
134,134,"Even if I wanted to, I can't help you, Jardani."
135,135,The High Table wants your life.
136,136,How can you fight the wind?
137,137,How can you smash the mountains?
138,138,How can you bury the ocean?
139,139,How can you escape from the light?
140,140,"Of course, you can go to the dark."
141,141,"But they're in the dark, too."
142,142,"So tell me, Jardani."
143,143,What do you really want?
144,144,Passage.
145,145,Where did you want to go?
146,146,Casablanca.
147,147,The path to paradise begins in hell.
148,148,So be it.
149,149,"You hand me your ticket, I will tear it."
150,150,If that's what you really desire.
151,151,"With this, Jardani, your ticket is torn."
152,152,You can never come home again.
153,153,Take him to the lifeboat.
154,154,Do svidanya.
155,155,Do svidanya.
156,156,Welcome to the Continental.
157,157,How may I help you?
158,158,Sir. There is an Adjudicator here to see you.
159,159,"Very well, sir."
160,160,The manager is in the lounge.
161,161,I presume you're here to discuss John Wick.
162,162,"If that's so, we can make this short."
163,163,"I told him to walk away, he declined to do so."
164,164,And that's the all of it.
165,165,Mr. Wick broke the rules.
166,166,"Oh, yes."
167,167,And I haven't got the slightest idea where he is...
168,168,You're mistaken.
169,169,I'm not here for Mr. Wick.
170,170,I'm here because Mr. Wick broke the rules in this hotel.
