,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull www.OpenSubtitles.org M_I_SForEver I didn't really have your typical upbringing.
1,1,"I mean, I did at first, but then the world ended."
2,2,I don't think anyone was really shocked.
3,3,"We always thought it might, and then it just finally happened."
4,4,"But how it happened, now that's where it gets interesting."
5,5,Agatha 616.
6,6,"Yep, an asteroid heading straight for Earth."
7,7,I know. So obvious.
8,8,"So, humanity came together, and we did what we do best."
9,9,We shot a bunch of rockets at it!
10,10,And we blew it up!
11,11,And it was great!
12,12,"But it wasn't. You see, the thing that makes rockets rockets..."
13,13,"chemical compounds, a lot of 'em."
14,14,"Which rained back down on us, and everything changed."
15,15,"And by ""everything,"" I mean coldblooded creatures."
16,16,"And by ""changed,"" I mean mutated and started eating us to death."
17,17,"Ants, lizards, roaches, crocodiles."
18,18,You name it. There's a lot of 'em.
19,19,I knew this one kid who was eaten in his sleep by a goldfish he won at a carnival.
20,20,"Man, Todd loved that goldfish."
21,21,And that cat.
22,22,"So, for most of human history, if you wanted to kill a cockroach, all you needed was a shoe."
23,23,"Well, suddenly you needed a shotgun."
24,24,And sometimes even a tank.
25,25,And sometimes even that doesn't work.
26,26,"Especially if you don't stay in the tank, Bob."
27,27,"Eventually, the really big ones and our military took each other out."
28,28,We lost 95% of the human population in about a year.
29,29,That's a lot of Bobs.
30,30,And a lot of Todds.
31,31,"Those of us who survived, we hid anywhere we could..."
32,32,"bunkers, caves, panic rooms, all around the world."
33,33,So for the last seven years I've been living in an underground bunker.
34,34,It's not as bad as it sounds. Really.
35,35,"It's a great group of people, and we all love each other."
36,36,It's kinda what I imagined college would have been like.
37,37,Are you sure he's asleep?
38,38,Who?
39,39, Joel. Who else?
40,40, Yeah. He's asleep.
41,41, Hang on. Shh.
42,42, He's not awake.
43,43, Are you sure?
44,44, It's just you.
45,45,I just... I don't...
46,46,Joel. Joel.
47,47,See?
48,48,He's not awake.
49,49,It's just you.
50,50,"Dear Aimee, I am wide awake."
51,51,I've just gotten good at not really moving or breathing.
52,52,Being stuck in a survival bunker with a bunch of people who have all found their soul mate is less than ideal.
53,53,"Karen and Ray got together a few months ago, so they're still kinda in their honeymoon phase."
54,54,It is super physical.
55,55,Good for them. They're both very attractive and apparently quite flexible.
56,56,"Hey, life's short."
57,57,Especially down here.
58,58," Oh. Hey, Ava."
59,59," Hey, Joel."
60,60, Joel. How's it going?
61,61," It's going good, Tim."
62,62, How are you... How are you doing?
63,63," Yeah, good."
64,64,Cool.
65,65, I couldn't sleep.
66,66," Yeah, we know the feeling."
67,67,Yeah. Probably not for the same reasons.
68,68,"YYou guys's, uh, door's open."
69,69,Is that... Did you know that?
70,70, Yeah.
71,71," Yeah, we know."
72,72,Okay.
73,73,"After Tim's parents were eaten by a swarm of termites,  he and Ava became inseparable."
74,74, Okay. Good night.
75,75, In every way.
76,76, Good night.
77,77,That's the asteroid they named 616 Agatha.
78,78,And these are all the chemical bombs they sent up to try and...
79,79,"So, pretty much everyone's coupled up down here."
80,80,Our first baby was born last winter.
81,81,It was super emotional.
82,82,"Welcome to the apocalypse, kid."
83,83,The food sucks. At least you'll never know what you're missing.
84,84,Kala and Connor got together after Carol died.
85,85,Carol was a cow who ate a box of laundry detergent.
86,86,And now we only have one cow.
87,87,Her name's Gertie.
88,88,Gertie is great.
89,89,Gertie's not our only food source.
90,90,We actually have a hunting party that brings back whatever they can from the surface.
91,91,"It was easier in the beginning, you know, before we ran out of bullets."
92,92,Facing down one of those things with a janky handmade weapon is no walk in the park.
93,93,Or so they tell me.
94,94,II don't go on the hunting parties.
95,95,They need me in the kitchen.
96,96,"I'm kinda the, uh..."
97,97,...the chef of the bunker.
98,98,Everyone likes my minestrone.
99,99,Being the only single person in the bunker has its perks too.
100,100,I get to hang out with Mavis.
101,101,"Of course, she's not much for conversation anymore."
102,102,"Her core battery's shot, just like every other Mavis, I'd imagine."
103,103,Actually never seen a working one.
104,104,"Sure wish you were here, Aimee."
105,105,I'd love for you to meet everyone.
106,106,"Oh, yeah."
107,107,Maybe we could do a little target practice together.
108,108,It's kinda my thing.
109,109,Well...
110,110,"Sorry, Mavis."
111,111,"Hustle, hustle, people."
112,112,We gotta move.
113,113,Guys!
114,114,Guys! I got the weapons.
115,115, Stay.
116,116, What?
117,117," Get what you need, and let's go."
118,118, What's happening?
119,119,What's going on?
120,120, We're breached.
121,121, Breached?
122,122, Joel.
123,123, What do you mean?
124,124,"Like, inside the bunker breached?"
125,125,"That's what ""breached"" means, kiddo."
126,126,Breached.
127,127,Anna Lucia and I will engage.
128,128,"Anderson and Tim, flank us."
129,129,"Flank 'em, yeah, okay."
130,130,"Where do you guys need me? The rear, or..."
131,131,"I thought we were past this, Joel."
132,132,Past what?
133,133,You need help. I can help.
134,134, Let me help.
135,135, You gonna make me say it?
136,136, Say what?
137,137," You can't handle it, Joel."
138,138, You're shook.
139,139," Okay, yeah."
140,140," So, you guys don't get scared ever?"
141,141, We get scared.
142,142,"We all get scared, Joel, but you get really scared."
143,143, We're not trying to make you feel bad.
144,144," We love you, Joel."
145,145,But you're unsafe.
146,146, You're a liability.
147,147, Even on supply runs.
148,148,"Okay, why did that speech feel so rehearsed?"
149,149,Connor.
150,150,"Okay, 30 meters out. Let's move."
151,151," Be careful, ConnorBear."
152,152," I will, KalaBee."
153,153,Load out.
154,154,Go with them.
155,155,They're getting close.
156,156,Shit.
157,157,"Oh, my God."
158,158, It's got one of 'em.
159,159, What about the others?
160,160,They're coming back.
161,161,Joel!
162,162,They need help. I'm going.
163,163,Joel! Wait!
164,164,Connor?
165,165,Connor.
166,166,"Did I shoot it, or did you?"
167,167,What do you think?
168,168,You.
169,169,"Oh, and I have a pretty severe freezing problem."
170,170,But I am working on it.
171,171, How is it looking?
172,172, I think it looks really good.
173,173, Does it look like me?
174,174, Yeah.
175,175,Are you sure that this pose looks natural?
176,176, Yeah.
177,177, Yeah?
178,178,I think it's really good.
179,179,What are you doing?
180,180,Don't move.
181,181, Will you let me see it?
182,182, Don't... Don't move. Aimee.
183,183,I really wanna see it.
184,184,Can I see it?
185,185,Okay.
186,186,Okay.
187,187, Ready?
188,188, Mmhmm.
189,189,What do you think?
190,190,Why do I have a beard?
191,191,"No, that's shading."
192,192,I did the shading.
193,193,My head is... is so large.
194,194, You have a big head.
195,195, And my hand is so tiny.
196,196,You have tiny hands.
197,197,I love it. I frickin' love it.
198,198,"That's super sweet, 'cause it's terrible."
199,199, I got you something too.
200,200, What?
201,201,I don't know if these are the right ones.
202,202,No way. These are the ones that III wanted to get.
203,203, Really?
204,204, Yeah.
205,205,Ooh. Hello.
206,206, What's happening right now?
207,207, Uh...
208,208, Are you okay?
209,209," Yeah, I'm dancing with my shoulders."
210,210," Oh, yeah."
211,211," Oh, yeah."
212,212,This has been the best summer of my life.
213,213,Mine too.
214,214,Uhoh.
215,215,What are you doing?
216,216, Do you know what time it is?
217,217," Uh, I think it's, like, 6:30."
218,218,"Aimee, you're..."
219,219,you're scaring Crocodile Carl.
220,220,"Okay, look away, Crocodile Carl."
221,221,Oh. Look away.
222,222,"Hey, I get it."
223,223,I get it.
224,224,We need to go.
225,225,I'm scared.
226,226,"Dear Aimee, This week has been especially shitty."
227,227,We lost Connor to what looked like a really big ant.
228,228,Helps me to draw them.
229,229,"I try to capture their essence, scribble down some notes on how to kill them."
230,230,Sometimes I think it's the only way I know how to cope with these things.
231,231,"This is 7045. Come in, 3022."
232,232,"I repeat, come in, 3022. Over."
233,233,This is 3022.
234,234,"What is it now, Ray?"
235,235,"Hey, Janice. No, it's actually..."
236,236,"It's, uh, Joel."
237,237, Oh. Joel.
238,238, Yeah.
239,239,All right.
240,240,Hold on one second.
241,241,"Aimee, it's Ray!"
242,242,It's Joel.
243,243,"Thanks, Janice."
244,244, Joel! Hey!
245,245," Hey, Aimee! Hi!"
246,246, How are you?
247,247," Hi. Yeah, I, uh... I'm good."
248,248, It's so good to hear your voice.
249,249, I'm so sorry.
250,250,I heard on the open frequency that one of you guys got killed.
251,251,Yeah. Breached the bunker.
252,252,Wow. Actually got inside?
253,253,Yeah. It's the first time it's happened.
254,254,It was kinda scary.
255,255,Did you have to fight it too?
256,256,"Yeah. Yeah, a little."
257,257,I had to fight it a little bit.
258,258,"Actually got super ripped since the last time you saw me, so..."
259,259,Oh. Wow!
260,260,"Super ripped, huh?"
261,261,"Yeah, I was kidding. I'm not super ripped."
262,262,That was just a bad joke.
263,263,"Well, I'm glad you're okay."
264,264,Thanks. Yeah.
265,265,I am still kinda blown away that you were even able to find my colony on this thing.
266,266,I know.
267,267,It's pretty crazy.
268,268,'Cause I found it on the first one.
269,269,What are the odds?
270,270,Crazy.
271,271,"Yeah. No, I... I called..."
272,272,"I called, like, 90."
273,273," Hey, you know what I, uh... know what I wish sometimes?"
274,274, What?
275,275,"That I could, like, ssnap my fingers and be back in that car with you."
276,276,"Man, that'd be nice."
277,277,"Yeah. Too bad it's, uh..."
278,278,"you know, impossible."
279,279,Kinda feels like everything is impossible these days.
280,280,Taking care of this whole colony is exhausting.
281,281,"I, uh..."
282,282,II write you letters.
283,283,Really?
284,284,"Yeah. Yeah, II write you letters sometimes."
285,285, Aw!
286,286, All the time.
287,287,I'd love to read 'em.
288,288,Really? I would love to read them to...
289,289,No. Aimee?
290,290,Aimee?
291,291,We've lost a lot of people over the years.
292,292,You'd think you'd get numb to it after a certain point.
293,293,You don't.
294,294, I'm sorry.
295,295," Thank God! Where have you been, Joel?"
296,296,We have to go right now.
297,297,"Say your goodbyes, get in the car."
298,298, I should go.
299,299, Maybe you should come with us.
300,300,"No, my mom is waiting. I'm sorry."
301,301,Get in the car!
302,302,"Aimee, you need to hurry home now!"
303,303, I want you to have this.
304,304, What? This is Crocodile Carl.
305,305,It's your good luck charm.
306,306, Be careful.
307,307, You too.
308,308,Aimee.
309,309,I love you.
310,310,I love you too.
311,311,I'm gonna come find you.
312,312,You better.
313,313,You better.
314,314,I wanna know how it got in.
315,315,It appears to have ripped through one of our perimeter defenses.
316,316,"What, it ripped through steel?"
317,317,Anderson and I resealed the breach point and the vent.
318,318,Nothing's getting in that way again.
319,319,But why did it happen?
320,320,It was a freak occurrence.
321,321,There's no reason to think it'll happen again.
322,322,We should try to stay calm.
323,323,How far away is Aimee's colony?
324,324, What?
325,325, Aimee's colony.
326,326, How far away is it?
327,327, About 85 miles.
328,328,How long does that take to get there?
329,329,You're not actually thinking of going?
330,330,"Tim, just... humor me."
331,331, How long?
332,332, Seven days. Minimum.
333,333,An armed and trained hunting party would be lucky to last 50 miles on the surface.
334,334,"But you, Joel..."
335,335,"All right, now I need volunteers to help reinforce some of the outer perimeter."
336,336,"Yeah, I'm gonna go."
337,337, Ava's got this.
338,338, Exactly.
339,339,I'm gonna go.
340,340,"It's an impossible journey, Joel."
341,341,"No, I'm serious."
342,342,"I love you guys, but there's one person in this world who ever truly made me happy, and she's only 85 miles away."
343,343,And I'm gonna go see her.
344,344,Whew.
345,345,That felt awesome.
346,346,"Dear Aimee, I am done hiding."
347,347,I'm done waiting for things to get better.
348,348,It's time to take matters into my own hands.
349,349,Time to let someone else make the minestrone.
350,350,"I'm taking a radio, even though it doesn't have power."
351,351,But I'm gonna take it anyway.
352,352,"Wish me luck, Gertie."
353,353,"Mavis, take care of her."
354,354,"You're not joking, are you?"
355,355,"Nope. Nope, I'm not."
356,356,He's not joking.
357,357,"We're not letting you leave, Joel. You're needed here."
358,358,"Tim, no, I'm not. Come on."
359,359,I don't do anything.
360,360,"Joel, that's not true. You fix the radio."
361,361,You make the minestrone.
362,362,Okay.
363,363,Doesn't sound as important when I say it out loud.
364,364,I appreciate you trying.
365,365,"Really, I do."
366,366,I just don't feel like I belong anywhere.
367,367,"I don't really wanna die all alone at the end of the world, so..."
368,368,"Look, I know you guys all just think of me as, like, some little, pathetic, adorable hedgehog."
369,369,But I can take care of myself.
370,370,I'm actually probably a lot stronger than you might think.
371,371, We made you a map.
372,372," Thanks, Karen."
373,373,Just... take care.
374,374, Everything will try to kill you.
375,375, Oh.
376,376,Be observant.
377,377,Use the advantages that you have.
378,378," You're fast and small, so..."
379,379, Right.
380,380, Don't fight. Just run and hide.
381,381, Don't fight.
382,382,"Thanks, Ray."
383,383,You're an asshole if you get eaten.
384,384, Okay.
385,385, Nice.
386,386,I love you guys. Tell Aimee I'll see her in seven days.
387,387, We believe in you.
388,388," Love you, buddy."
389,389,Where am I?
390,390,"Well, it's not super useful."
391,391,"Okay, well, you know what?"
392,392,We know we gotta head west.
393,393,Right?
394,394,"Well, let's just... do that."
395,395,Start with something easy. West.
396,396,"Nope, it's this way."
397,397,West is this way.
398,398,Shit.
399,399,Split the difference.
400,400,Go this way.
401,401,Done. First decision made.
402,402,"Dear Aimee, I am doing it."
403,403,I'm really doing it!
404,404,"Honestly, I thought it'd be way worse."
405,405,"So far, it's not too bad."
406,406,"I've seen a lot of signs of death, but no actual death."
407,407,So cross your fingers.
408,408,Oh.
409,409,Monster eggs.
410,410,Trying to stay positive.
411,411,Weather's nice.
412,412,Getting some fresh air.
413,413,What else can I tell ya?
414,414,Cool.
415,415,WhamO...
416,416,No.
417,417,Run and hide.
418,418,Hide in the house.
419,419,Hide in the house.
420,420,No.
421,421,"No, no, no. No!"
422,422,No!
423,423,"No, no, no!"
424,424,Yes! Bite it! Bite it off!
425,425,"Wait. Wait, wait, wait, wait, wait!"
426,426,Where are you going?
427,427,Whoa!
428,428,"Whoa, that was so cool."
429,429,Nice place.
430,430,Can I sit?
431,431,Thanks.
432,432,You all alone?
433,433,Yeah.
434,434,Me too.
435,435,Boy?
436,436,Is that your name?
437,437,Boy? Your name is Boy.
438,438,I'm Joel.
439,439,Nice to meet ya.
440,440,"Thanks, uh..."
441,441,"Thanks for saving my life, Boy."
442,442,Is this a dress?
443,443,Oh. Oh. Oh. Oh. Sorry.
444,444,"Okay, I won't touch it again."
445,445,Was that your owner's?
446,446,It's okay.
447,447,You don't have to talk about it.
448,448,Sorry.
449,449,Wait. Did you think I was her?
450,450,Huh.
451,451,I'm gonna lie down too.
452,452,Is that o...
453,453,"No, it's okay."
454,454,Just my backpack.
455,455,"You know, I had a girl, too, once."
456,456,Think you would've really liked her.
457,457,"Yeah, you guys would totally get along."
458,458,"She loves dogs. I mean, all animals."
459,459,She's a big animal lover.
460,460,I haven't seen her in seven years.
461,461,Long time. That's why I'm trying to go find her.
462,462,"I haven't told anyone this, but I'm kinda nervous about it."
463,463,"Good night, Boy."
464,464,Weakness: dogs.
465,465,That's you.
466,466,"You wouldn't happen to have a power source to a ham radio in here, would you?"
467,467,'Cause I have a...
468,468,Never mind.
469,469,Huh. Lipstick.
470,470,Aimee.
471,471,"Hey, would you mind if I kept this?"
472,472,Thanks.
473,473,"All right, well... this is it."
474,474,Thanks for having me.
475,475,I should...
476,476,stop talking to a dog.
477,477,Okay. I'll see ya.
478,478,Okay.
479,479,Oh.
480,480,"Oh, hey, hey, hey."
481,481,"No, no, no. None of that."
482,482,Something might hear you.
483,483,You wanna come with me?
484,484,Okay. You can come.
485,485,Let's go. Come on.
486,486,Uh... What...
487,487,"Yeah, we can bring that."
488,488,You want me to put it in my bag?
489,489,Okay. It's okay.
490,490,I'm gonna keep it safe. I promise.
491,491,Going in the safe backpack.
492,492,See?
493,493,"Okay, you ready?"
494,494,Let's go. Come on.
495,495,"Okay, that's really gonna have to stop."
496,496,"Feels good, actually, having company."
497,497,"Dear Aimee, Guess what."
498,498,"I got a dog, and he's the coolest."
499,499,His name is Boy.
500,500,He saved my life from a giant frog in a pool who tried to eat me with his tongue.
501,501,And then we hung out on his bus.
502,502,"Man, do we make a great team."
503,503,We found out we have a ton in common too.
504,504,I feel like we can talk about anything.
505,505,You gotta see us out here.
506,506,We're like this iconic duo.
