,Unnamed: 0,dialog
0,0,"There's a man out there named 'Shit', calling for us to stop."
1,1,These are barren mountains.
2,2,We don't know what kind of person he is.
3,3,How can we stop?
4,4,"If we don't stop, he could die of thirst."
5,5,"Seven, tell them to stop the carriage."
6,6,"Master, I've been eating beans and suffering diarrhea every day."
7,7,"If I don't have rice soon, I'll starve to death quick."
8,8,Hey! Stop the carriage!
9,9,Hey!
10,10,"FaHung, they can't hear you shouting."
11,11,Hey!
12,12,What are you doing?
13,13,Climbing!
14,14,Stop.
15,15,Turn back to pick up that man.
16,16,Is there anything happier than saving a life?
17,17,Save your own life!
18,18,Yes. This is a good opportunity to practise more of your English.
19,19,Go on.
20,20,You know how?
21,21,I know everything!
22,22,Did you understand what he said?
23,23,No.
24,24,I only pretended I understood.
25,25,Still saying 'yeah'?
26,26,You eat this one.
27,27,"Master, it's beans again."
28,28,I think it's going to be hard for me to visit So.
29,29,The clinic that So opened here is also called Po Chi Lam.
30,30,Yes.
31,31,Po Chi Lam.
32,32,Such a joke of him to make us come this far to visit a Western Po Chi Lam.
33,33,"Master, we don't need to eat beans anymore!"
34,34,Hey!
35,35,Where are you going?
36,36,"Master, would you like to eat chicken ass?"
37,37,How do I drink you?
38,38,Here.
39,39,You...
40,40,You don't have any sense of humour!
41,41,"After that, don't say I have no sense of humour!"
42,42,Be careful! Stay away!
43,43,'Shadowless Kick'!
44,44," Master, there are many barbarians!"
45,45, Protect 13th Aunt!
46,46,I know how to take care of myself.
47,47,FeiHung!
48,48,Seven!
49,49,The carriage is out of control!
50,50,Give me a ride!
51,51, 13th Aunt! I'll save you!
52,52, Seven!
53,53,It's very dangerous!
54,54,Sit back inside!
55,55,Don't touch my carriage!
56,56, Where's your master? FeiHung!
57,57, I can't hear you! Watch out!
58,58,One foot. Two feet.
59,59,No need for you!
60,60,Get out!
61,61,Sit down.
62,62,Be careful!
63,63,Let's go.
64,64,Let's go.
65,65,PO CHI LAM Don't overreact.
66,66,The beer in this town isn't good to drink.
67,67,Sit down and let me see it.
68,68, Have a look at it first. Look at it.
69,69, It's okay.
70,70,Sit down.
71,71,There.
72,72,Hold on.
73,73,"Dr So, help!"
74,74,"Dr So, where are you?"
75,75,Dr 50!
76,76,Quick!
77,77, How are they?
78,78," Hey, what has happened?"
