,Unnamed: 0,dialog
0,0,"REQUIEM FOR THE AMERICAN DREAM REQUIEM FOR THE AMERICAN DREAM During the great depression, which I'm old enough to remember, there was..."
1,1,And most of my family were unemployed working class...
2,2,"There wasn't... it was bad, much worse subjectively than today."
3,3,But there was an expectation that things were going to get better.
4,4,There was a real sense of hopefulness.
5,5,There isn't today.
6,6,Inequality is really unprecedented.
7,7,"If you look at total inequality, it's like the worst periods of American history."
8,8,"But if you refine it more closely, the inequality comes from the extreme wealth in a tiny sector of the population, a fraction of one percent."
9,9,"There were periods like the gilded age in the '20s and the roaring '90s and so on, when a situation developed rather similar to this."
10,10,"Now, this period is extreme..."
11,11,"Because if you look at the wealth distribution, the inequality mostly comes from super wealth."
12,12,"Literally, the top 1/10th of a percent are just super wealthy."
13,13,Not only is it extremely unjust in itself...
14,14,Inequality has highly negative consequences on the society as a whole...
15,15,"Because the very fact of inequality has a corrosive, harmful effect on democracy."
16,16,You open by talking about the American dream.
17,17,Part of the American dream is class mobility.
18,18,"you're born poor, you work hard, you get rich."
19,19,"It was possible for a worker to get a decent job, buy a home..."
20,20,"Get a car, have his children go to school."
21,21,It's all collapsed.
22,22,"Imagine yourself in an outside position, looking from Mars."
23,23,What do you see?
24,24,"In the United States, there are professed values like democracy."
25,25,"In a democracy, public opinion is going to have some influence on policy."
26,26,"And then, the government carries out actions determined by the population."
27,27,That's what democracy means.
28,28,It's important to understand that privileged and powerful sectors have never liked democracy...
29,29,and for very good reasons.
30,30,Democracy puts power into the hands of the general population and takes it away from them.
31,31,It's kind of a principle of concentration of wealth and power.
32,32,Concentration of wealth yields concentration of power...
33,33,"Particularly so as the cost of elections skyrockets, which kind of forces the political parties into the pockets of major corporations."
34,34,And this political power quickly translates into legislation that increases the concentration of wealth.
35,35,"So fiscal policy, like tax policy..."
36,36,Deregulation...
37,37,Rules of corporate governance and a whole variety of measures...
38,38,"Political measures, designed to increase the concentration of wealth and power, which, in turn, yields more political power to do the same thing."
39,39,And that's what we've been seeing.
40,40,So we have this kind of vicious cycle in progress.
41,41,"You know, actually, it is so traditional that it was described by Adam Smith in 1776."
42,42,"You read the famous ""Wealth of Nations."" He says in England, the principal architects of policy are the people who own the society."
43,43,"In his day, merchants and manufacturers."
44,44,"And they make sure that their own interests are very well cared for, however grievous the impact on the people of England or others."
45,45,"Now, it's not merchants and manufacturers, it's financial institutions and multinational corporations."
46,46,"The people who Adam Smith called the ""masters of mankind,"" and they're following the vile maxim, ""all for ourselves and nothing for anyone else."" They're just going to pursue policies that benefit them and harm everyone else."
47,47,"And in the absence of a general popular reaction, that's pretty much what you'd expect."
48,48,"Right through American history, there's been an ongoing clash..."
49,49,"Between pressure for more freedom and democracy coming from below, and efforts at elite control and domination coming from above."
50,50,It goes back to the founding of the country.
51,51,"James Madison, the main framer, who was as much of a believer in democracy as anybody in the world in that day, nevertheless felt that the United States system should be designed, and indeed with his initiative was designed, so that power should be in the hands of the wealthy..."
52,52,Because the wealthy were the more responsible set of men.
53,53,"And, therefore, the structure of the formal constitutional system placed most power in the hands of the senate."
54,54,"Remember, the senate was not elected in those days."
55,55,It was selected from the wealthy.
56,56,"Men, as Madison put it, ""had sympathy for property owners and their rights."" If you read the debates at the constitutional convention..."
57,57,"Madison said, ""the major concern of the society has to be to protect the minority of the opulent against the majority."" And he had arguments."
58,58,Suppose everyone had a vote freely.
59,59,"He said, ""well, the majority of the poor would get together and they would organize to take away the property of the rich."" And, he said, ""that would obviously be unjust, so you can't have that."" So, therefore the constitutional system has to be set up to prevent democracy."
60,60,That's of some interest that this debate has a hoary tradition.
61,61,"Goes back to the first major book on political systems, Aristotle's ""politics."" He says, ""of all of them, the best is democracy,"" but then he points out exactly the flaw that Madison pointed out."
62,62,"If Athens were a democracy for free men, the poor would get together and take away the property of the rich."
63,63,"Well, same dilemma, they had opposite solutions."
64,64,Aristotle proposed what we would nowadays call a welfare state.
65,65,"He said, ""try to reduce inequality."" So, same problem, opposite solutions."
66,66,"One is reduce inequality, you won't have this problem."
67,67,The other is reduce democracy.
68,68,If you look at the history of the United States...
69,69,It's a constant struggle between these two tendencies.
70,70,"A democratizing tendency that's mostly coming from the population, pressure from below and you get this constant battle going on, periods of regression, periods of progress."
71,71,"The 1960s for example, were a period of significant democratization."
72,72,"Sectors of the population that were usually passive and apathetic became organized, active, started pressing their demands."
73,73,"And they became more and more involved in decisionmaking, activism and so on."
74,74,It just changed consciousness in a lot of ways.
75,75,"Minority rights If democracy means freedom, why aren't our people free?"
76,76,"If democracy means justice, why don't we have justice?"
77,77,"If democracy means equality, why don't we have equality?"
78,78,"Women's rights This inhuman system of exploitation will change, but only if we force it to change, and force it together."
79,79,Concern for the environment.
80,80,"A unique day in American history is ending, a day set aside for a nationwide outpouring of mankind seeking its own survival."
81,81,"Opposition to aggression I say to those who criticize us for the militancy of our dissent that if they are serious about law and order, they should first provide it for the Vietnamese people, for our own black people and for our own poor people."
82,82,Concern for other people.
