,Unnamed: 0,dialog
0,0,YTS.MX Official YIFY movies site: YTS.MX Space has beckoned to us from the dawn of time.
1,1,The is the story of our greatest adventure when humans first stepped off the Earth into the unknown.
2,2,Firing chain is armed.
3,3,No unexpected error.
4,4,Discovery's computer is now controlling.
5,5,Water system is being activated.
6,6,"T minus 10 seconds, go for main engine start, seven, six, five, three engines up and burning, three, two, one, and liftoff of Space Shuttle Discovery."
7,7,"Beginning America's new journey to the Moon, Mars, and beyond."
8,8,"<font color""ffcc00"">Rocket Men The Conquerors of Space</font> <font color""ffcc00"">In the beginning...</font> It's my pleasure to introduce these seven men who have been selected to begin training for orbital space flight."
9,9,John H. Glenn.
10,10,Virgil I. Grissom.
11,11,Alan B. Shepard.
12,12,"Once upon a time, almost 50 years ago, a group of men were called upon to risk their lives on a mission to the skies as rocketmen."
13,13,"Walter M. Schirra They call themselves star voyagers, astronauts."
14,14,"These, ladies and gentlemen, are the nation's Mercury astronauts."
15,15,Everything they do to get into space will be new.
16,16,Every step they take a first.
17,17,There are no mobile phones.
18,18,"Testing, testing. Testing, testing."
19,19,Computers are the size of station wagons.
20,20,And no one knows if a human can survive beyond the confines of Earth.
21,21,"It is the height of the Cold War, a huge arsenal of missiles points towards the Soviet Union."
22,22,"The fight is for the hearts of men, the frontier is not Earth, but space."
23,23,"To win it, men must ride a rocket to the skies."
24,24,"Four, three, two, one, liftoff."
25,25,"On the last day of January 1961, America's first rocketman is ready."
26,26,The spacecraft is to reach a maximum altitude of 120 statute miles.
27,27,"Four and a half minutes of weightlessness, a velocity of almost 5,000 miles per hour."
28,28,"The big question is, will the star voyager survive?"
29,29,The spacecraft traveled 40 miles higher and a 120 miles farther than scheduled.
30,30,It sustained 18 G instead of the normal 11.
31,31,"But Ham is fine, and made the trip into space and back safely."
32,32,"Ham, a fouryearold chimpanzee, is America's first astronaut, and an instant celebrity."
33,33,He is also proof that you can survive in space provided the rocket doesn't kill you first.
34,34,It's time for man to take his chance.
35,35,The first is Alan Shepard.
36,36,"Better you than me, pal."
37,37,"Nine, eight, seven, six, five, four, three, two, one, ignition."
38,38,"All right, now, liftoff and the clock has started."
39,39,"This is Freedom 7, the fuel is go, On the periscope, what a beautiful view."
40,40,Cabin holding at 5.5.
41,41,"Just a glimpse at the wonder of space, but it changes the world."
42,42,"My condition is still good, I'm getting ready for impact."
43,43,"It just hit the water a moment ago, a cheer went up from the ship's company watching here from all decks on the aircraft carrier."
44,44,We choose to go to the Moon.
45,45,We choose to go to the Moon.
46,46,"We choose to go to the Moon in this decade, and the other things."
47,47,"Not because they are easy, but because they are hard."
48,48,"Because that challenge is one that we're willing to accept, one we are unwilling to postpone, and one we intend to win."
49,49,To put a man on the moon and return him safely to Earth before the decade is out.
50,50,"It is a dream of ages, and its time has come."
51,51,"The clock is running, it will cost rocketmen their lives."
52,52,"Liberty Bell 7, Liberty Bell 7, this is Atlantic CapCom, do you read me, over?"
53,53,"Astronaut Gus Grissom has survived a trip to space, but will he survive the return?"
54,54,Astronaut is out of the capsule.
55,55,"After splashdown, the icy Atlantic has a grip on his space capsule."
56,56,"From a helicopter, they were talking about..."
57,57,And on him.
58,58,This helicopter to go right over the capsule.
59,59,The helicopter has hooked onto the capsule.
60,60,"Correction, the capsule is still floating in the water."
61,61,Gus Grissom cheats death.
62,62,"It is the rocketman's gift, sometimes."
63,63,It is time to send a voyager to circle the planet.
64,64,"This day stands here as a preparation of research and testing, of planning and training."
65,65,And the purpose of it all is knowledge.
66,66,Knowledge that will serve as the basis for space explorations of the future.
67,67,"Okay, John."
68,68,John Glenn's tiny capsule waits for him atop the most powerful missile so far launched.
69,69,"If it fails, this surely will be the last human hand he touches."
70,70,CNS and beacons are on.
71,71,"We just gotta go, are you ready?"
72,72,"Status check, pressurization."
73,73,LOX tanking.
74,74,I have a blinking highlevel light.
75,75,"You are go, water systems go, range operations, Mercury capsule, go."
76,76,"All prestart panel lights are correct, the ready light is on, Eject Mercury umbilical. All evacuate."
77,77,Mercury umbilical clear. Mercury is go.
78,78,"All recorders to fast, T minus 18 seconds and counting, engines start."
79,79,The good lord ride all the way up.
80,80,"Godspeed, John."
81,81,"Six, five, four, three, two, one, liftoff."
82,82,"Roger, the clock is operating, we're underway."
83,83,"We're spreading out some now, getting out of the vibration area."
84,84,Sky looking very dark outside.
85,85,"Roger, zero g and I feel fine."
86,86,Capsule is turning around.
87,87,"Oh, that view is tremendous."
88,88,Beautiful.
89,89,"Roger, 7, you have a go, at least seven orbits."
90,90,"Roger, understand go for at least seven orbits."
91,91,Ammeter is indicating 23.
92,92,ASCS is 112.
93,93,"Fans are 112, over."
94,94,"How does he look, Bermuda?"
95,95,"Looks real good, okay, but certain to report everything okay, all systems okay."
96,96,"Bermuda, Kano, Zanzibar."
97,97,Horizon is a brilliant blue.
98,98,"Very good, John, you sound good."
99,99,"Roger, that was sure a short day."
100,100,"Alone in space, Glenn encircles all human life in just 19 minutes."
101,101,Just to my right I can see a big pattern of light.
102,102,"Apparently right on the coast, I can see a, the light of a town and a very bright light just to the south of it."
103,103,"Roger that, it's Perth and Rockingham that you're seeing there."
104,104,"Roger, the lights show up very well and I wanna thank everybody for turning them on, will you?"
105,105,"Roger, sure will, John, very fine."
106,106,"Instantly, John Glenn is an American hero."
107,107,"â« Going east on 98 highway â« The top's down and the air is clear â« She smiles and goes my senses â« Best place in the world right here â« When I look into her eyes â« I see the truth that it will last forever â« These are the best years of our lives â« Earth orbit is one small step, giant leaps still lie ahead."
108,108,"Men must fly in larger rockets, and new rockets are a problem."
109,109,One in five Titan rockets fail.
110,110,Tough odds if you're a rocketman.
111,111,Engineers drive themselves to find a fix.
112,112,"six, five, four, three, two, one, go."
113,113,Men will ride next.
114,114,"The project is called Gemini, the twin sons of men and gods who lived both on Earth and in heaven."
