,Unnamed: 0,dialog
0,0,Clear the ramp! 30 seconds!
1,1,God be with you!
2,2,"Port side stick, starboard side stick, move fast and clear those murder holes."
3,3,I want to see plenty of beach between men.
4,4,Five men is a juicy opportunity.
5,5,One man is a waste of ammo.
6,6,Keep the sand out of your weapons.
7,7,Keep those actions clear.
8,8,And I'll see you on the beach.
9,9,Clear the murder holes!
10,10,Over the side!
11,11,"Port and starboard, over..."
12,12,Jesus.
13,13,Thank you...
14,14,"I said, what the hell do we do now, sir?"
15,15,Captain Miller! Captain Miller!
16,16,Captain Miller!
17,17,Sergeant Horvath!
18,18,Move your men off the beach! Go!
19,19,"Okay, you guys!"
20,20,Get on my ass! Follow me!
21,21,Sir!
22,22,What's the rallying point?
23,23,Anywhere but here!
24,24,The seawall! Move up to the seawall!
25,25,"Sir, I'm staying!"
26,26,Clear this beach!
27,27,Make way for the others!
28,28,This is all we got between us and the Almighty.
29,29,Every inch of this beach has been presighted!
30,30,"You stay here, you're dead men!"
31,31,Mama! Mama!
32,32,Stay down! Stay down!
33,33,What are you guys?
34,34,Here to set up field operations!
35,35,Get rid of that crap!
36,36,Grab yourselves some weapons.
37,37,Follow me.
38,38,I'm hit! I'm hit!
39,39,Briggs!
40,40,Get me out of here. I'm hit low. God!
41,41,Medic!
42,42,"Navy Beach Battalion, sir."
43,43,"I gotta clear these obstacles, make holes for the tanks."
44,44,All the armour is foundering in the Channel.
45,45,"Orders, sir. You go somewhere else."
46,46,I'm clearing this one!
47,47,"Come on, Briggs!"
48,48,Medic!
49,49,Move! Move!
50,50,Move! Come on! Move!
51,51,Shore party.
52,52,No armour has made it ashore.
53,53,We got no DD tanks on the beach.
54,54,Dog One is not open.
55,55,Who's in command here?
56,56,"You are, sir!"
57,57,Sergeant Horvath!
58,58,Sir!
59,59,You recognise where we are?
60,60,"Right where we're supposed to be, but no one else is!"
61,61,Nobody's where they're supposed to be.
62,62,Shore party.
63,63,"First wave, ineffective."
64,64,We do not hold the beach.
65,65,"Say again, we do not hold the beach."
66,66,"We're all mixed up, sir."
67,67,"We got the leftovers from Fox Company, Able Company and George Company!"
68,68,Plus we got some Navy demo guys and a beachmaster!
69,69,Shore party. Shore party.
70,70,"CATF , CATF ..."
71,71,"Reiben here, sir!"
72,72,Did you see anybody else?
73,73,"Jackson, but that's about it."
74,74,Mellish here.
75,75,Caparzo! We got DeForest back there with Wade.
76,76,He's hurt so bad he says he sprung 100 leaks.
77,77,Wade says he's all used up.
78,78,Move on to somebody you can help.
79,79,Let's go!
80,80,"He's battalion surgeon, sir!"
81,81,Get his attention.
82,82,Wade!
83,83,"Yo, Doc!"
84,84,Wade!
85,85,Wade! Wade! Wade!
86,86,Wade!
87,87,Wade! Wade! Wade!
88,88,"Too risky, Doc. Too risky."
89,89,Wade!
90,90,All right. Get him off the beach.
91,91,I got it! We stopped the bleeding!
92,92,We stopped the bleeding!
93,93,Fuck!
94,94,"Just give us a fucking chance, you son of a bitch!"
95,95,Son of a fucking cocksucker!
96,96,Wade! Come on. Come on.
97,97,Wade! It's Mellish! Wade!
98,98,Mellish!
99,99,Let's go!
100,100,We found Miller!
101,101,Fuck it!
102,102,Let's move! Let's move!
103,103,This is all? This is all that's made it?
104,104,"We got scattered pretty bad, sir."
105,105,There's bound to be more.
106,106,Not enough. It's not enough.
107,107,Dog One exit...
108,108,It's gotta be that cut on the right.
109,109,Or is that one on the left? Shit!
110,110,"No. No, no, no."
111,111,Vierville is to the west of us.
112,112,This is Dog One.
113,113,They're killing us!
114,114,"And we don't have a fucking chance, and that ain't fair!"
115,115,Gather weapons and ammo!
116,116,"Come on, let's drag them in off the sand!"
117,117,"Reiben. Hey, Reiben, Reiben, Reiben, where's your BAR?"
118,118,"Bottom of the channel, sir."
119,119,The bitch tried to drown me.
120,120,Find a replacement.
