,Unnamed: 0,dialog
0,0,Don't move!
1,1,FBI! Don't move!
2,2,Get down! Get down!
3,3,Where are the hostages?
4,4,Where are the hostages?
5,5," FBI, Police! Don't move!"
6,6, Down! Stay down!
7,7,Cross your legs!
8,8,Cross your legs and put your hands in the air!
9,9,Police! Don't move!
10,10,Police! Don't move!
11,11,Get down! Get down!
12,12, Clear!
13,13, Police! Search warrant. Don't move!
14,14, Steppin' out!
15,15," Police, don't move!"
16,16,"Police, don't move! Search warrant!"
17,17,FBI!
18,18,Are you hit?
19,19,I'm good.
20,20,Fuck!
21,21,"Front room, clear!"
22,22,Team leader! Status?
23,23, Front clear!
24,24," We're clear, ma'am!"
25,25,Two suspects in custody!
26,26," You okay, Macer?"
27,27, Yeah.
28,28,Why'd he shoot? There's no one here.
29,29,Whoa.
30,30,What the fuck?
31,31,Jesus!
32,32,Those weren't our hostages.
33,33,No. That was something else.
34,34, Macer?
35,35, Yeah?
36,36,U.S. Attorney wants a statement.
37,37,What do you want me to say to her?
38,38,The truth.
39,39,Looks like Sonora...
40,40,Yeah.
41,41,How many total?
42,42,"We've got 15 in this hall here, about 20 in the back bedroom."
43,43,We haven't even checked the attic or under the crawl space.
44,44,"Call DOJ, let 'em know what we have."
45,45,This one of the houses owned by Manuel Diaz?
46,46,"No way to connect him, but he owns it."
47,47,Jesus Christ.
48,48,"Reg, step out. It's okay."
49,49,Vickers! I need bolt cutters!
50,50,Vickers!
51,51,PD found something.
52,52,Relax.
53,53,Relax.
54,54,Such a heavy body count this close to Phoenix is without a doubt a major escalation for the cartels.
55,55,There will be pressure in Washington to explain how such a dramatic outrage could happen so deep inside the American heartland.
56,56,"We may be talking about the victims of a turf war or maybe some illegal immigrants who are tied to a ransom, but it will be some weeks before we have a clearer picture on who the victims..."
57,57,What's goin' on?
58,58,I have no idea.
59,59,She's been leading our kidnap response team for three years.
60,60,"Put her through the grinder since she got here, and she hasn't blinked."
61,61,She's in the front line.
62,62,Nobody's gonna be happier than Kate to see these guys go down.
63,63,So she's a thumper.
64,64,Today was her fifth O.I.S.
65,65,She never worked cases?
66,66,Been kicking doors since day one.
67,67,I like her already. What about the partner?
68,68,He seen any action?
69,69,He's only been with us 18 months.
70,70,What's his background?
71,71,He's a sharp kid.
72,72,"ROTC scholarship to Maryland, did a tour in Iraq, got his law degree from UNC."
73,73,"He's green, but he's good."
74,74,No lawyers on this train.
75,75,Just give me the girl.
76,76,"We did this by the book, right?"
77,77,"Come on, of course."
78,78, Jesus.
79,79, What?
80,80,"Oh, shit."
81,81,"Would you step in here, Kate?"
82,82,"Quite a find today, the loss of two officers notwithstanding."
83,83,"Yes, sir."
84,84,How familiar are you with Manuel Diaz's operation?
85,85,"His company, Sun Oasis, has 80 or so foreclosure properties."
86,86,He has other legitimate businesses. Um...
87,87,But he's rumored to be linked with one of the Mexican cartels.
88,88,Manuel Diaz works for the Sonora Cartel.
89,89,He's most likely their senior member in the United States.
90,90,What do you know about his brother?
91,91,I wasn't aware he had one.
92,92,Guillermo. His brother's name is Guillermo.
93,93,Do you know anything about his cousin?
94,94,I didn't know he had one of those either.
95,95,None of that is in his file.
96,96,His cousin is Fausto Alarcon.
97,97,I don't know who that is.
98,98,No one does. He's off the grid.
99,99,He's number three in the Sonora Cartel.
100,100,"This is not my department, sir."
101,101,"Like I said, Agent Macer doesn't work narcotics."
102,102,She runs a kidnap response team.
103,103,Are you married?
104,104,Am I married?
105,105,Do you have a husband?
106,106,Divorced.
107,107,Kids?
108,108,No.
109,109,Anything else?
110,110,"No. Thanks, Kate."
111,111,"If you could wait outside, please."
112,112, Well?
113,113, I have no clue.
114,114,Who are those people?
115,115,You know?
116,116,No idea.
