,Unnamed: 0,dialog
0,0,Chorus: DRAYTON!
1,1,DrayDrayDrayton!
2,2,"Boy: Come on, Danny, you can do it."
3,3,"Good job, Danny!"
4,4,Who owns this town?
5,5,Who owns this town?
6,6,The people say we own this town!
7,7,We own this town!
8,8,'Specially day!
9,9,See you later?
10,10,"Oh, okay."
11,11,"Chad, darling, this time try to get it just a little bit closer to the door."
12,12,"Just a nice easy, nice easy toss."
13,13,"That's much better, dear."
14,14,You're doing better all the time.
15,15,Morning.
16,16,Yeah.
17,17,Man: See that goddam newspaper yet?
18,18,"That kid You know, I'd like to read the morning newspaper in the morning."
19,19,What are you doing here?
20,20,What are you doing in here?
21,21,You're not supposed to be in here.
22,22,You know that.
23,23,Mom told you that.
24,24,Get out of here.
25,25,Get out of here!
26,26,I had a newspaper route when I was a kid.
27,27,"A lotta papers, too."
28,28,Nobody got their paper past 8:00 A.M.
29,29,"I'll bet you used to walk in the driven snow, too."
30,30,Woman: Uhhuh. Fifty.
31,31, The most beautiful woman in the world.
32,32, Good morning.
33,33,"Sean, whatever happened to your paper route?"
34,34,I farmed it out.
35,35,I get 50% for using my head while the other guy uses his feet.
36,36,Holy Moly!
37,37,"Sean, over there, it's an enormous candy bar."
38,38," Hey, give me that back."
39,39, There you go.
40,40,So how did you two boppers like that rock and roll concert last night?
41,41,Don't remind me.
42,42,It was enough to have experienced it.
43,43,Fabulous.
44,44,Danny and the Juniors.
45,45,âª Rock and roll is here to stay âª âª I dig it to the end âª Rock and roll Your mother loved it.
46,46,"Danny, there are four blue socks that don't match and two brown in your laundry."
47,47,I've never seen that woman before in my life.
48,48,"It's not my style to play possessive neurotic mommy but if you lived at home, wouldn't happen."
49,49,We all know that socks do not get lost in this house.
50,50,"You know, your Mother's right."
51,51,"I mean, it's not the money."
52,52,"It's kind of ridiculous to have this big house and that beautiful room All right, wait wait a minute time out, time out."
53,53,"Who was it that gave me the big speech about needing a little space away from home, something to grow up in?"
54,54,"You know, independence?"
55,55,"No, that was the speech that Kevin gave to Mom when he bought you the car."
56,56,"The speech about you living at college was when a person turns 17 Sean, my cherub, why don't you stop trying to be the family historian?"
57,57,What about your major?
58,58,Any decisions yet?
59,59,What what about my major?
60,60,I don't even know what I'm having for lunch.
61,61,"Okay, pal, relax."
62,62,No pressure.
63,63,Just a question.
64,64,"Oh, I'm late."
65,65,And I have to open the store.
66,66,"Danny, would you do me a favor, please, would you take Bounder to dog school for me?"
67,67,Poor old highstrung Bounder.
68,68,He needs an imported trainer.
69,69,"How did dogs know how to be dogs before dog school, dad?"
70,70,I don't see anything wrong with having an expert train your dog.
71,71,Except we're all going to have to learn to speak Japanese.
72,72,"Listen, Mr. Matsimoto is a genius and we are very fortunate that he let Bounder into his dog school."
73,73,I don't believe you said that.
74,74,"I don't believe I said it, either."
75,75,"No, actually Mom's right."
76,76,Mom's right.
77,77,Because I was just speaking to Mr. Matsimoto yesterday down at Doggie Dojo.
78,78,"He said to me, ""Mhaaaaaaa!"
79,79,"""Your dog, Mr. Stetson, is doing very poorry."
80,80, I get no support from home.
81,81,Rack of disiprine must be severry punished.
82,82,Prease Mr. Rookery in Doggie's face.
83,83,"Prease again, prease again."
84,84,"If no work, hit the doggie in the face!"
85,85,Hit Mommy in the face.
86,86,Hit whole entire famiry in the face.
87,87,"Only solution to probrem."" Man: Hey, Danny, you remember that blonde next door?"
88,88,Danny: Uhhuh.
89,89," Yeah, the one who was  Hey, Danny, what's going on, man?"
90,90,"Hi, buddy. Ow."
91,91, Can you lend me 20?
92,92, What?
93,93, 20. Can you lend me 20?
94,94," Here, I'll give you a 20."
95,95, You're great.
96,96, There you go.
97,97,Thank you.
98,98,Get you back next week.
99,99,Get a new shirt or something.
100,100,Hello.
101,101,Hi.
102,102,You having a good day?
103,103,Who knows?
104,104,I know.
105,105,You know.
106,106,That's fantastic.
107,107,Don't you want to know what kinda day it is?
108,108,"Sure, I'd love it."
109,109,It's a great day.
110,110,"God, you you're really beautiful."
111,111,I knew I was right about you.
112,112,Right about what?
113,113,I don't know.
114,114,Have you ever had the feeling of being connected to someone in a way that goes beyond understanding?
115,115,Okay.
116,116,Look My name is Danny.
117,117,Danny Stetson.
118,118,I think I'm in love with you.
119,119,Are you interested?
120,120,All depends on what you mean by love.
121,121,I'm willing to spend the rest of my life with you.
122,122,After we live together on a twoweek trial basis.
123,123,Don't say anything.
124,124,We'll rent a small furnished room.
125,125,I'll pay for the food.
126,126,"You supply the quarters for the Laundromat and we'll split the grass, the gas and the light bill."
127,127,Sounds romantic.
128,128,Do we have a deal?
129,129, No.
130,130, No?
131,131,But I'd like you to get to know me better.
132,132,I'm trying.
133,133,I know what you're trying.
134,134,It's not getting to know me.
135,135,I always thought sex was a nice way to begin a relationship.
136,136,Okay...
137,137,You go to school here?
138,138,"No, I work down the block."
139,139,I raise funds for a community service project.
140,140,I like that.
141,141,What's it called?
142,142,Community Rescue.
143,143,Here.
144,144,"Anytime you want to, call me and come by."
145,145,My name's Rebecca.
146,146,Call me.
147,147,"Can't handle it, he shouldn't drink."
148,148,There's a discussion after the film.
149,149,Man on film: There he goes.
150,150,Man on walkietalkie: Can you boys hear me?
151,151,"Yeah, yeah, we got you."
152,152,He's got him a biggie.
153,153,Maybe we oughta ask for a raise.
154,154,Little levity.
155,155,"It's no use, Jekyll."
156,156,I've done nothing.
157,157,I'm Dr. Jekyll.
158,158,"I'm Dr. Henry Jekyll, I tell you."
159,159,I've done nothing.
160,160,You're looking for a man named Hyde.
161,161,Hyde.
162,162,"I am Dr. Jekyll, Henry Jekyll."
163,163,I'm Dr. Jekyll I tell you!
164,164,"I tell you, I'm Dr. Jekyll."
165,165,Dr. Henry Jekyll.
166,166,"Oh, you should hear my ""Gone with the Wind."" I think that's such a fantastic picture."
167,167,I always love seeing it.
168,168,There's plenty of refreshments for everyone right this way.
169,169,This horseshit goes on for about ten minutes.
170,170,"Then a little sugar bombing, you know, a little brownies, KoolAid."
171,171,You know what I think is really interesting about the film?
172,172,It's the way that it deals with the duality of human nature.
173,173,"Hmm, well, Robert Louis Stevenson's just always been a little I don't know, little deep for me."
174,174,"Although I think I understood ""Treasure Island"" when I read that in the third grade."
175,175,"See, what I liked about the movie is the way that it deals with the duality of our nature..."
176,176,And the tragedy of giving in to our evil side.
177,177, Exactly!
178,178, What's the big deal?
179,179,"I mean, it's just horror flick."
180,180,"Not just, also."
181,181, I think I agree with  Danny? Danny?
182,182,How'd you like the movie?
183,183,"Well, I think obviously it's about the duality of our nature."
184,184,That's great.
185,185,That's as clear as you're going to get.
186,186,I agree.
187,187,Now when you see your son what are you going to do?
188,188,Leave it to me.
189,189,I really want to see you again.
190,190,When can I see you?
191,191,Any time you want.
192,192,"Okay, boys, they're coming down the steps."
193,193,Hit it.
194,194,All you have to do is be there at 6:00.
195,195,And I'll pick you up. We're going to have a wonderful time.
196,196,"You just bring your sleeping bag, your toothbrush..."
197,197,What are you doing?
198,198,Get back!
199,199, Brian.
200,200, Asshole.
201,201, Please. Brian!
202,202," Grab him, grab him!"
203,203,Let me talk to you.
204,204,Inside. Come on.
205,205,"Oh, my God."
206,206,They're trying to kidnap Aaron.
207,207,"Man: Hey, Danny!"
208,208,Son of a bitch kicked me in the balls.
209,209,What the fuck did I tell you?
210,210,"Now, the next time we do it my way, okay, Senator?"
211,211,You jackoff.
212,212,"Oh, thank you!"
213,213, That was great.
214,214," You got it, right?"
215,215,"It's okay, it's okay."
216,216,"Oh, Danny, you were great."
217,217, Thanks.
218,218," Good thing I came over, huh?"
219,219,"Hey. Hey, Aaron."
220,220,You owe those guys money or what?
221,221,Aaron's father thinks he should be a big rich corporation lawyer and nothing else.
222,222,"Wait a minute, wait a minute."
223,223,That was his father?
224,224,And his hired kidnappers.
225,225,I'm over 18.
226,226,Nobody can tell me how to live my life.
227,227,Or what to think.
228,228,Or who my friends should be.
229,229,It's all right.
230,230,You're safe now.
231,231,"Aaron, why'd your father call you Brian?"
232,232, Bananas are ready.
233,233,Danny: Yeah.
234,234,I asked Sean to tell you.
235,235,"No, I'm just not going to come home for the weekend."
236,236,"No, Dad, it wasn't anything you or Mom said."
237,237,I'm positive.
238,238,"Yeah, it's just it's a commune."
239,239,"No, I don't know if it's a religious thing or can you hold on for a second, Dad?"
240,240,"Terry, Terry..."
241,241,I can't hear you.
242,242,"Well, turn it off!"
243,243,"Hello, Dad."
244,244,What did you say your name...
245,245,"Well, yes, Dad, a bit of religion never did hurt anybody."
246,246,You're absolutely right.
247,247,"Well, look, I'd love to chat, Dad, but my hands are falling apart, okay?"
248,248,I'm outta here.
249,249,Bye.
250,250,Woman: I hate that. Hate it.
251,251,"Jane, when we get to Homeland there's something that'll get you higher than you've ever been before."
252,252,"If you say fresh air, I'll kill you."
253,253,Whoa!
254,254,"Hey, we're almost there, everybody."
255,255, Come on in!
256,256, Pull right up!
257,257,They're coming through the gate now.
