,Unnamed: 0,dialog
0,0, Bah bahbahbah   Bah bahbah   Bah bahbahbah  I want you so bad!
1,1,"Oh, man!"
2,2, Yeah.
3,3," Oh, yeah."
4,4,"Pretty awesome, huh?"
5,5,"Oh, my God!"
6,6, Wait! What's the matter?
7,7," Oh, my God!"
8,8,Is it my split ends?
9,9,I can cornrow it!
10,10,Cornrow it! Cornrow it!
11,11,"Get up   'Cause I been up for hours   I bet   Today I'm gonna know her  Then again   I am thinking with a boner   Morning wood   Good morning You look so good   Morning wood   Good morning You look so good   Morning wood   Good morning   Good morning, wood   It's hard   In dreams I have direction   I awake   With this erection   My life   Completes the day I meet her  P.S. I hope   She likes action figures    Morning wood   Page."
12,12,"Listen, these bitches specifically asked us to get them alcohoI."
13,13,"I mean, it's a nobrainer."
14,14,We bring booze to the party and we're getting laid by the hottest chicks in schooI.
15,15,They're D.T.F. down to fuck!
16,16,"Mmm! Andy, nice touch with that sour cream, man."
17,17,I didn't use sour cream.
18,18,"Trust me, you will have your D. I.H.E."
19,19,dick in her ear T. I.H.A. toe in her ass and my B.O.Y.C.
20,20,balls on your chin.
21,21,"That just sounds horrible, Jonah."
22,22,What? Are you saying you would just rather have my balls on your chin?
23,23," What are you doing, man?"
24,24," Nothing. Hair in your eye. Look, it doesn't matter."
25,25,What's important here is that we find someone who can get us alcohoI...
26,26,"so we can get some ""P"" in the motherfuckin' va""G"" before our 18th birthday."
27,27,Hey.
28,28,Chickachickayeah!
29,29,Look what I picked up last night! Huh?
30,30," ""McAnalovin""?"
31,31, Yeah.
32,32, One frickin' name? For realsies?
33,33, What the hell is that?
34,34, It's a great I.D.
35,35," It's fuckin' awesome, man!"
36,36, Could you get me one?
37,37," Yeah, I can hook you up."
38,38, Nice.
39,39, 'Cause I am McAnalovin.
40,40,Yeshiva class of 2010!
41,41,Chickachickayeah!
42,42,Fake I.D.! Fake I.D.!
43,43,"Keep it down, bitches!"
44,44,"Look, normally I wouldn't give a shit..."
45,45,but my cousin said that there's some serious side effects with this herb.
46,46,I mean serious.
47,47,What's wrong with you?
48,48,You're such a pussy.
49,49,It'll be the best shit you've ever smoked.
50,50,They're just telling you it's got side effects so they can keep it all for themselves.
51,51,"All right, then you smoke some."
52,52,Not interested.
53,53,I'm on a diet.
54,54,I'll tell you what.
55,55,"You smoke this shit for one week straight, and I'll pay your rent for six months."
56,56, Serious?
57,57," Uh, yeah."
58,58," You're on, beeyatch!"
59,59, You know how I know you're gay?
60,60, How?
61,61," Uh, you just called me ""beeyatch. ""  You know how I know you're gay?"
62,62, How?
63,63, You have a dildo stuck in your ass.
64,64, What?
65,65,Yeah. Check it out.
66,66,"Oh, there you are, Fernando."
67,67,"Hey, this smells like curry."
68,68,Check one. Check two.
69,69,"Ohh! Oh, my God, this microphone smells like Jimmy's balls!"
70,70," Hey, ManueI."
71,71," No, that's mean."
72,72,Excuse me. I so badly want to do standup comedy.
73,73,I'd do anything for somebody to teach me how.
74,74,"You know, I'm actually probably not the person to ask..."
75,75,'cause I'm not very seasoned.
76,76,But there are several comics here that you could ask.
77,77,"Oh, no, you don't."
78,78,There are a number of people here who could actually help you.
79,79,"Excuse me for a minute, young lady."
80,80,"Then she got pregnant. Um  Biscuit, what the hell's the matter with you?"
81,81, What?
82,82,"She wants your ass, and you're standing there with your dick in your hand!"
83,83,Give me a break. She doesn't want me.
84,84,That's just stupid.
85,85,"Come on, Biscuit."
86,86,Trust me!
87,87,Take it from a man who's been around.
88,88,I may have the Benjamin Button disease...
89,89,but I've had experience with women since childbirth.
90,90,Three days ago bam!
91,91,"Okay, thank you very much for sharing, but believe me, she doesn't want me."
92,92,Okay?
93,93,"You are a lost cause, my brother."
94,94,"Well, Blaqguy, I'm not like you. Okay?"
95,95,I'm not some wizard at reading women.
96,96,I don't know how to do this.
