,Unnamed: 0,dialog
0,0,vivia o sujeito de quem quero falar.
1,1,Um cara chamado Jeff Lebowski.
2,2,Pelo menos esse foi o nome que ele recebeu dos pais.
3,3,Mas ele nunca gostou muito desse nome.
4,4,"Lebowski gostava de ser chamado de ""Cara""."
5,5,"""Cara"" é um nome que ninguém escolheria de onde eu venho."
6,6,"Mas muita coisa sobre o ""Cara"" não fazia sentido para mim."
7,7,Inclusive muita coisa sobre onde ele vivia.
8,8,"Talvez, por isso, eu tenha achado o lugar tão interessante."
9,9,"Chamam Los Angeles de ""cidade dos anjos""."
10,10,Não achei exatamente isso...
11,11,mas admito que há muita gente boa por lá.
12,12,"Eu não conheço Londres, e nunca estive na França."
13,13,"E nunca vi nenhuma rainha de calcinha, como diz o ditado."
14,14,Mas vou dizer uma coisa.
15,15,"Depois de ver Los Angeles e a história que vou contar, acho que vi algo tão sensacional quanto veria em qualquer um desses lugares. E em inglês."
16,16,"Agora, posso morrer com um sorriso no rosto, sem achar que Nosso Senhor me enganou."
17,17,"A história que vou contar aconteceu no começo dos anos 90, na época do nosso conflito com Saddam e os iraquianos."
18,18,"Só menciono isso porque as vezes, um homem..."
19,19,Não vou dizer herói porque...
20,20,O que é um herói?
21,21,"Mas, as vezes, um homem..."
22,22,"Estou falando do ""Cara""."
23,23,"Às vezes, um homem é o homem certo para determinado tempo e lugar."
24,24,Ele se encaixa perfeitamente.
25,25,E foi assim com o Cara em Los Angeles.
26,26,"Mesmo que ele fosse preguiçoso, e o Cara era com certeza o sujeito mais preguiçoso de Los Angeles, e por isso, um dos mais preguiçosos do mundo..."
27,27,"Mas as vezes, um sujeito..."
28,28,"Às vezes, um sujeito..."
29,29,Perdi o fio da meada.
30,30,Mas acho que já o apresentei bastante.
31,31,Será uma ação coletiva.
32,32,"Isto não vai ficar assim, esta agressão contra o Kuwait."
33,33,"Onde está a grana, Lebowski?"
34,34,"Quero a grana, Lebowski."
35,35,Bunny disse que está com você.
36,36,"Onde está a grana, Lebowski?"
37,37,Onde está a grana?
38,38,"Onde está o dinheiro, cabeça de merda?"
39,39,Deve estar em algum lugar.
40,40,Vou dar uma olhada.
41,41,Não tente nos enrolar.
42,42,"Sua mulher deve dinheiro a Jackie Treehorn. Então, você também deve."
43,43,"Isto é em homenagem aos caloteiros, Lebowski."
44,44,Não faça isso.
45,45,"Não no tapete, cara."
46,46,"Viu o que acontece, Lebowski?"
47,47,Ninguém me chama Lebowski.
48,48,Você se enganou. Sou o Cara.
49,49,Seu nome é Lebowski.
50,50,Sua mulher é Bunny.
51,51,Minha mulher? Bunny?
52,52,Viu alguma aliança no meu dedo?
53,53,Esta casa parece de alguém casado?
54,54,A tampa da privada fica para cima.
55,55, Que droga é essa?
56,56, É óbvio que você não joga golfe.
57,57, Woo?
58,58, Sim.
59,59,Esse cara não devia ser milionário?
60,60,Droga.
61,61,O que você acha?
62,62, Ele parece um Zé Ninguém.
63,63, Pelo menos tenho uma casa.
64,64, Não tenho tempo para isso.
65,65," Muito obrigado, cretino."
66,66,O GRANDE LEBOWSKI Estou arrasando hoje.
67,67,"Pode marcar, Cara."
68,68,Era um tapete de valor.
69,69,Ele compunha o ambiente da sala.
70,70, Era um tapete...
71,71," O que compunha a sala, Cara?"
72,72,"Estava escutando a história do Cara, Donny?"
73,73, Estava jogando.
74,74," Então, não tem ponto de referência."
75,75,É como uma criança que chega no meio do filme...
76,76,"Walter, aonde quer chegar?"
77,77,Quero dizer que não há motivo...
78,78,"Sim, Walter, aonde quer chegar?"
79,79,Sabemos de quem é a culpa.
80,80,Do que você está falando?
81,81,De que diabos está... Não estou...
82,82,Estamos falando de uma agressão sem motivo.
83,83, Do que ele está falando?
84,84, Do meu tapete.
85,85,"Donny, você está por fora do assunto."
86,86,O china mijou no tapete.
87,87,Não posso cobrar dele!
88,88, Do que está falando?
89,89, O china não é importante!
90,90,Estou falando de limites.
91,91,"Se passarem do limite, não..."
92,92,"""China"" não é o termo indicado."
93,93,"""Asiático"", por favor."
94,94,"Walter, esse cara não construiu ferrovias."
95,95, O que diabo...
96,96, Ele mijou no meu tapete!
97,97, Ele mijou no tapete do Cara.
98,98," Donny, você não entendeu!"
99,99, O china não é importante!
100,100," Então, quem é?"
101,101,"Jeff Lebowski. O outro Jeffrey Lebowski, o milionário."
102,102,Isso é interessante.
103,103,Ele tem dinheiro e recursos...
104,104,e não vejo motivo para a mulher dele fazer dívidas pela cidade...
105,105,e eles mijarem no seu tapete.
106,106,Acha que estou errado?
107,107," Sim, mas..."
108,108," OK, então."
109,109, O tapete compunha a sala.
110,110, Era demais.
111,111, E o cara mijou nele.
112,112," Donny, por favor."
113,113,Posso achar esse Lebowski.
114,114,O nome dele é Lebowski?
115,115,"É o seu nome, Cara."
116,116,Ele devia me indenizar pelo tapete.
117,117,A mulher dele deve dinheiro e eles mijam no meu tapete?
118,118, Mijam no seu tapete?
119,119, Mijaram no meu tapete.
120,120,"Isso mesmo, Cara."
121,121,Mijaram no seu tapete.
122,122,Este é o gabinete.
123,123,"Podem ver as comendas:  Prêmios, títulos honorários..."
124,124," ""Jeffrey Lebowski""."
125,125, Impressionante.
126,126, Fique à vontade para observar.
127,127,"Não, eu não..."
128,128,Esta é a chave da cidade de Pasadena que o Sr. Lebowski recebeu há dois anos em reconhecimento...
129,129,Aquele é o Prêmio de Melhor Empresário de Los Angeles.
130,130,"Não é entregue todos os anos,  apenas se alguém merecedor..."
131,131, É ele com a Nancy?
132,132,Sim. Este é o Sr. Lebowski e a primeira dama.
133,133,"Este é o Lebowski, à esquerda?"
134,134,É claro.
135,135,"Então, ele é aleijado..."
136,136,Ele tem problemas físicos?
137,137,O Sr. Lebowski é deficiente físico.
138,138,Esta foto foi tirada quando a Sra.
139,139,Reagan era primeira dama do país.
140,140,Boa foto.
141,141,"Ele se encontrou com o presidente, mas não tirou fotografias."
142,142, Com a Nancy já está ótimo.
143,143, Uma mulher maravilhosa.
144,144, Esses são...
145,145, São as crianças do Sr. Lebowski.
146,146,De mães diferentes?
147,147,Ele não tem preconceito racial.
148,148,"Não são filhos dele. São os Pequenos Talentos Lebowski, crianças da cidade sem meios para pagar pelo ensino superior."
149,149,O Sr. Lebowski prometeu pagar pelo custo da universidade.
150,150,Com licença. Obrigado.
151,151,Acha que ele tem lugar para mais um?
152,152,Entendo.
153,153, Você não estudou na universidade.
154,154, Estudei.
155,155,"Mas passei meu tempo ocupando prédios da administração, fumando baseado, atacando o guichê de alistamento e jogando boliche."
156,156,Não lembro de muita coisa.
