,Unnamed: 0,dialog
0,0,I don't wanna be a product of my environment.
1,1,I want my environment to be a product of me.
2,2,"Years ago, we had the Church."
3,3,That was only a way of saying we had each other.
4,4,"But now, I don't know."
5,5,It's a funny thing.
6,6,It put hate in your heart.
7,7,The Knights of Columbus were real headbreakers.
8,8,True guineas.
9,9,They took over their piece of the city.
10,10,Twenty years after an Irishman couldn't get a fucking job...
11,11,...we had the presidency.
12,12,May he rest in peace.
13,13,That's what the niggers don't realize.
14,14,"If I got one thing against the black chappies, it's this: No one gives it to you."
15,15,You have to take it.
16,16,"Vin, don't make me have to come down here again for this."
17,17,"Won't happen again, Mr. C."
18,18,Carmen's developing into a fine young lady.
19,19,You should be proud.
20,20,"You get your period yet, Carmen?"
21,21,You Johnny Sullivan's kid?
22,22, You live with your grandmother?
23,23, Yeah.
24,24,"Vin, get him a couple loaves of bread, couple halfgallons of milk."
25,25,Do you like bologna and cheese?
26,26,Give him some cold cuts.
27,27,Throw some mayo in.
28,28,You like comic books?
29,29,You do good in school?
30,30, Yeah.
31,31, That's good. I did too.
32,32,They call that a paradox.
33,33,Just keep it. Buy yourself some makeup.
34,34,"You ever wanna earn a little extra money, you come by L Street."
35,35,You know where I am on L Street?
36,36,Good.
37,37, Good boy.
38,38, Thanks.
39,39,"To you, O Lord, we commend the soul of Alphonsus, your servant."
40,40,"In the sight of this world, he is now dead."
41,41,Forgive whatever sins he committed through human weakness.
42,42, Amen.
43,43, The Church wants you in your place.
44,44,"Kneel, stand, kneel, stand."
45,45,"If you go for that sort of thing, I don't know what to do for you."
46,46,A man makes his own way.
47,47,No one gives it to you.
48,48,You have to take it.
49,49, James Joyce.
50,50," Smart, Colin."
51,51,"Guineas from the North End, down Providence..."
52,52,...tried to tell me what to do.
53,53,And something maybe happened to them.
54,54,Maybe like that: Jeez. She fell funny.
55,55,"Francis, you really should see somebody."
56,56,"When you decide to be something, you can be it."
57,57,That's what they don't tell you in the Church.
58,58,"When I was your age, they would say we could become cops or criminals."
59,59,Today what I'm saying to you is this: When you're facing a loaded gun...
60,60,...what's the difference?
61,61,That's my boy.
62,62,Terminal ballistics is the study of a projectile...
63,63,...as it hits a target and the destruction that it causes.
64,64,"Take, for instance, what you carry, When the hollowpoint hits the skull, what happens is it mushrooms."
65,65,When it mushrooms it peels back.
66,66,"So you may have six, eight..."
67,67,...ten little particles of the bullet that are like razor blades...
68,68,"Sir, yes, sir!"
69,69,"...tearing their internal organs, their liver, their lungs, their heart..."
70,70,"...bringing tissue, bone, blood, brain matter, and that's called a blowback."
71,71,Fuck you. Fucking queers.
72,72,Firemen getting pussy for the first time in the history of fire or pussy.
73,73,"Hey, go save a kitten in a tree, you fucking homos."
74,74,Pencils.
75,75,Begin.
76,76,What are you looking at?
77,77,Forget it.
78,78,"Your father was a janitor, his son's only a cop."
79,79,Those fucking firefighters are a bunch of homos.
80,80,They are.
81,81,"So she tells me, ""You never finish anything. You finish the police course..."
82,82,"...you get taken care of again, baby."" So after graduation, I get a blowjob again."
83,83,That's great.
84,84,Your mother must be a wonderful woman.
85,85,Fuck yourself.
86,86,Put it this way.
87,87,You're a black guy in Boston.
88,88,You don't need any help from me to be completely fucked.
89,89,The Massachusetts State Police has a long tradition of excellence.
90,90,Your graduation today solidifies your acceptance...
91,91,...into one of the finest law enforcement agencies in our nation.
92,92,"As the governor of the Commonwealth of Massachusetts, I am confident..."
93,93,"...each and every one of you will serve with distinction, honor and integrity."
94,94,Congratulations to all our new troopers.
95,95,Thank you. You are dismissed.
96,96,"Sullivan, assigned to plainclothes right out of the gate, congratulations."
97,97, We're going for a beer. You wanna come?
98,98," No, I'll catch up with you guys."
99,99,School's out.
100,100,"Thank you, Frank."
101,101,You earned it.
102,102,"No more pencils, no more books."
103,103,All right.
104,104,This is not the regular police...
105,105, ... this is the state police.
106,106, And fire!
107,107,Your training will illustrate the difference.
108,108,"State police, search warrant!"
109,109,"State police, open the door!"
110,110,What's the difference?
111,111," Go, go, go!"
112,112," Sir, yes, sir!"
113,113, Is that understood?
114,114," Sir, yes, sir!"
