,Unnamed: 0,dialog
0,0,"The longer you animals bark, the colder your lunch gets."
1,1,"Come on, move it out."
2,2,"You too, down there!"
3,3,"Hey, turkey!"
4,4,"""You schmuck. Do you think I'd be stupid enough to kill myself?"" Kill myself?"
5,5,Come on!
6,6,Here he comes.
7,7,"Francis, the lock."
8,8,Let go of the handle.
9,9,I don't have the handle! Open it!
10,10,"Jake, up!"
11,11,"Come on, move! Get on!"
12,12,"Thanks, Mama."
13,13,"Okay, you guys."
14,14,Let's try the victory pyramid.
15,15,"Okay, let's go."
16,16,Come on. Put your arms up.
17,17,"Smile. Good, we got it!"
18,18,Turn that TV off.
19,19,I can't hear myself think.
20,20,"Yeah, right, Dad."
21,21,"Is the water going down, son?"
22,22, Nope.
23,23, Is it going down now?
24,24,"Wow, a police chase!"
25,25,"Oh, shit!"
26,26,What are we doing here?
27,27,"Trust in your mother, boys."
28,28,Throw her into fourwheel drive and hold on to your hats.
29,29,Bummer!
30,30,Nothing exciting ever happens around here anyway.
31,31,Who needs the Goon Docks?
32,32,Who needs this house?
33,33,I can't wait to get out of here.
34,34,Really?
35,35,"No, I was just trying to delate myself. No, no..."
36,36,Dictate myself.
37,37,"That's delude yourself, dummy."
38,38,That's what I said.
39,39,"Thanks, Brand."
40,40,"I know how you feel, wimp."
41,41,I'm sure gonna miss this place too.
42,42,Adopted wuss.
43,43,I'm no adopted wuss!
44,44,"I'll kill you, Brand!"
45,45,It's Mouth.
46,46,"Hey, Mikey."
47,47,"Yo, Mikey."
48,48,"Hey, Mikey, seen Adrienne?"
49,49, What's going down?
50,50, Get your foot off the table.
51,51,"You got it. What's going down, guys?"
52,52,What's the matter with you guys?
53,53,What's the matter? What is this?
54,54,A nuclear Saturday?
55,55,"Come on, guys."
56,56,This is our last weekend together.
57,57,Last Goonie weekend.
58,58,We gotta be going out in style.
59,59,"Cruising the coast, sniffing some lace..."
60,60,"...downing the brews, but no!"
61,61,The one older brother had to go and screw it up.
62,62,Flunking your driver's test?
63,63,I don't know what to do with you.
64,64,"You guys, let me in!"
65,65,Jerk alert.
66,66,It's Chunk.
67,67,I just saw the most amazing thing in my entire life!
68,68,"First, do the Truffle Shuffle."
69,69,Come on!
70,70,Do it.
71,71,Come on!
72,72,Do it!
73,73,"Cut it out, Mouth."
74,74,Get out.
75,75,You guys won't believe me.
76,76,I'm telling the truth.
77,77,You turd!
78,78, Flunked your driver's test.
79,79, Shut up.
80,80,"Listen, you'll never believe me."
81,81,"There was two cop cars, okay?"
82,82,"They were chasing this fourwheel deal, a real neat ORV."
