,Unnamed: 0,dialog
0,0,"http://subscene.com/u/659433 Improved by: @Ivandrofly It is an extremely common mistake, people think the writer's imagination is always at work, that he's constantly inventing an endless supply of incidents and episodes, that he simply dreams up his stories out of thin air."
1,1,"In point of fact, the opposite is true."
2,2,"Once the public knows you're a writer, they bring the characters and events to you and as long as you maintain your ability to look and to carefully listen, these stories will continue to..."
3,3,Stop it. Stop it! Don't!
4,4,Don't do it!
5,5,"Uh, will continue to seek you out over your lifetime."
6,6,"To him who has often told the tales of others, many tales will be told."
7,7,Sorry. It's all right.
8,8,The incidents that follow were described to me exactly as I present them here and in a wholly unexpected way.
9,9,"A number of years ago, while suffering from a mild case of ""Scribe's Fever,"" a form of neurasthenia common among the intelligentsia of that time, I decided to spend the month of August in the spa town of Nebelsbad below the Alpine Sudetenwaltz, and had taken up rooms in the Grand Budapest, a picturesque, elaborate, and once widely celebrated establishment."
10,10,I expect some of you will know it.
11,11,"It was off season and, by that time, decidedly out of fashion, and it had already begun its descent into shabbiness and eventual demolition."
12,12,"What few guests we were had quickly come to recognize one another by sight as the only living souls residing in the vast establishment, although I do not believe any acquaintance among our number had proceeded beyond the polite nods we exchanged as we passed in the Palm Court, in the Arabian baths, and on board the Colonnade Funicular."
13,13,"We were a very reserved group, it seemed, and, without exception, solitary."
14,14,"Perhaps as a result of this general silence, I had established a casual and bantering familiarity with the hotel's concierge, a Westcontinental known only as Monsieur Jean, who struck one as being, at once, both lazy and, really, quite accommodating."
15,15,I expect he was not well paid.
16,16,"In any case, one evening, as I stood conferring elbowtoelbow with Monsieur Jean, as had become my habit, I noticed a new presence in our company."
17,17,"A small, elderly man, smartly dressed, with an exceptionally lively, intelligent face and an immediately perceptible air of sadness."
18,18,"He was, like the rest of us, alone, but also, I must say, he was the first that struck one as being deeply and truly lonely."
19,19,A symptom of my own medical condition as well.
20,20,Who's this interesting old fellow?
21,21,I inquired of Monsieur Jean.
22,22,"To my surprise, he was distinctly taken aback."
23,23,Don't you know? He asked.
24,24,Don't you recognize him?
25,25,He did look familiar.
26,26,That's Mr. Moustafa himself.
27,27,He arrived earlier this morning.
28,28,This name will no doubt be familiar to the more seasoned persons among you.
29,29,"Mr. Zero Moustafa was at one time the richest man in Zubrowka, and was still indeed the owner of the Grand Budapest."
30,30,"He often comes and stays a week or more, three times a year at least, but never in the season."
31,31,Monsieur Jean signaled to me and I leaned closer.
32,32,I'll tell you a secret.
33,33,He takes only a singlebed sleeping room without a bath in the rear corner of the top floor and it's smaller than the service elevator!
34,34,"It was well known, Zero Moustafa had purchased and famously inhabited some of the most lavish castles and palazzos on the continent."
35,35,"Yet here, in his own nearly empty hotel, he occupied a servant's quarters?"
36,36,"At that moment, the curtain rose on a parenthetical, domestic drama..."
37,37,Shit.
38,38,"Which required the immediate and complete attention of Monsieur Jean, but, frankly, did not hold mine for long."
39,39,"However, this premature intermission in the story of the curious, old man had left me, as the expression goes, ""gespannt wie ein Flitzebogen,"" that is, on the edge of my seat, where I remained throughout the next morning, until, in what I have found to be its mysterious and utterly reliable fashion, fate, once again, intervened on my behalf."
40,40,I admire your work.
41,41,I beg your pardon?
42,42,"I said, I know and admire your wonderful work."
43,43,"Thank you most kindly, sir."
44,44,Did Monsieur Jean have a word or two to share with you about the aged proprietor of this establishment?
45,45,"I must confess, I did myself inquire about you."
46,46,"He's perfectly capable, of course, Monsieur Jean but we can't claim he's a first, or, in earnest, even secondrate concierge."
47,47,But there it is.
48,48,Times have changed.
49,49,The thermal baths are very beautiful.
50,50,They were in their first condition.
51,51,"It couldn't be maintained, of course."
52,52,Too decadent for current tastes.
53,53,"But I love it all just the same, this enchanting old ruin."
54,54,"How did you come to buy it, if I may ask?"
55,55,The Grand Budapest.
56,56,I didn't.
57,57,"If you're not merely being polite, and you must tell me if that's the case, but if it genuinely does interest you, may I invite you to dine with me tonight, and it will be my pleasure and, indeed, my privilege to tell you ""my story."" Such as it is."
58,58,Two ducks roasted with olives.
59,59,"Rabbit, salad? Mmm."
60,60,"PouillyJouvet '52, plus a split of the brut."
61,61,That should provide us ample time if I commence promptly.
62,62,By all means.
63,63,"Well, it begins, as it must, with our mutual friend's predecessor."
64,64,"The beloved, original concierge of The Grand Budapest."
65,65,"It begins, of course, with..."
66,66,Bring the table to the window.
67,67,"Yes, Monsieur Gustave."
68,68,Bring the tray to the table.
69,69,"Right away, Monsieur Gustave."
70,70,Right there. Have those been brushed and blocked?
71,71,"Of course, Monsieur Gustave."
72,72,Pack them in the hat boxes.
73,73,Is that from Oberstdorf & Company?
74,74,"I believe so, Monsieur Gustave."
75,75,Second trunk. Who has the tickets?
76,76,"I do, Monsieur Gustave."
77,77,Give them to me.
78,78,These are in order.
79,79,Wait in the corner.
80,80,I'm not leaving.
81,81,I beg your pardon?
82,82,I'm not leaving. Why not?
83,83,I'm frightened. Of what?
84,84,I fear this may be the last time we ever see each other.
85,85,Why on earth would that be the case?
86,86,"Well, I can't put it into words, but I feel it."
87,87,"For goodness sake, there's no reason for you to leave us if you'd..."
88,88,Come with me.
89,89,To fucking Lutz?
90,90,Please. Give me your hand.
91,91,You've nothing to fear. You're always anxious before you travel.
92,92,"I admit, you appear to be suffering a more acute attack on this occasion."
93,93,"But, truly and honestly..."
94,94,"Oh, dear God."
95,95,What have you done to your fingernails?
96,96,I beg your pardon? This diabolical varnish.
97,97,The color is completely wrong.
98,98,Don't you like it?
99,99,It's not that I don't like it.
100,100,I am physically repulsed.
101,101,Perhaps this will soothe you.
102,102,What? Don't recite.
103,103,Just listen to the words. Hush.
104,104,Please. Not now.
105,105,"""While questing once in noble wood of gray, medieval pine,."" ""I came upon a tomb, rainslick'd, rubbedcool, ethereal,"" ""'its inscription longvanished,"" ""yet still within its melancholy fissures..."" Will you light a candle for me, please?"
106,106,In the sacristy of Santa Maria?
107,107,I'll see to it myself immediately.
108,108,"Remember, I'm always with you."
109,109,I love you.
110,110,I love you.
111,111,It's quite a thing winning the loyalty of a woman like that for 19 consecutive seasons.
112,112,"Um... Yes, sir."
113,113,"She's very fond of me, you know."
114,114,"Yes, sir."
115,115,But I've never seen her like that before.
116,116,"No, sir."
117,117,She was shaking like a shitting dog.
118,118,Truly.
119,119,Run to the cathedral of Santa Maria in Brucknerplatz.
120,120,"Buy one of the plain, halflength candles and take back four Klubecks in change."
121,121,"Light it in the sacristy, say a brief rosary then go to Mendl's and get me a courtesan au chocolat."
122,122,"If there's any money left, give it to the crippled shoeshine boy."
123,123,"Right away, sir."
124,124,Hold it.
125,125,Who are you?
126,126,"I'm Zero, sir. The new Lobby Boy."
127,127,"Zero, you say? Yes, sir."
128,128,"I've never heard of you, never laid eyes on you."
129,129,Who hired you?
130,130,"Mr. Mosher, sir."
131,131,Mr. Mosher!
132,132,"Yes, Monsieur Gustave?"
133,133,Am I to understand you've surreptitiously hired this young man in the position of a Lobby Boy?
134,134,"He's been engaged for a trial period, pending your approval, of course."
135,135,Uh...
136,136,"Perhaps, yes. Thank you, Mr."
137,137,Mosher.
138,138,"You're most welcome, Monsieur Gustave."
