,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull www.OpenSubtitles.org Going somewhere warm?
1,1,Yeah.
2,2,Any laptops or iPads in your bag today?
3,3, No.
4,4, Thank you.
5,5,"Feet on the points and hands in the air, sir."
6,6,"Step out, sir."
7,7,Gonna give you a quick patdown.
8,8,Just do this for me.
9,9,Thank you very much.
10,10,"Pakistan International Airline, Flight PK891, baggage is at Carousel 5."
11,11,Pakistan International Airline...
12,12,Stop here. Here's good.
13,13,"Hey, you can stop here."
14,14,"License, please?"
15,15,Thank you.
16,16,"Mr. Arwan, for how long do you want the car?"
17,17,Two weeks.
18,18, Drop off?
19,19, Here.
20,20,Okay.
21,21,"Would you like the full insurance, Mr. Arwan?"
22,22,Yeah.
23,23, Can I go inside?
24,24," Yes, sir."
25,25, You speak English?
26,26, Yes.
27,27,Can I try a gun?
28,28,Want to...
29,29, May I see?
30,30, Yes.
31,31,It's heavy.
32,32,That's nice.
33,33,You have another one?
34,34, You have two?
35,35, Yeah.
36,36,"Sorry, I don't understand."
37,37,Papers?
38,38,Yeah. I've got papers.
39,39,Do you have duct tape? Tape?
40,40,Strong duct tape.
41,41, How much is this bag?
42,42, Three thousand.
43,43,You want car with driver?
44,44,Selfdrive.
45,45, How many days?
46,46, Ten.
47,47,"License, please."
48,48,"Thank you, Mr. Malik."
49,49,"Come, come, come."
50,50, Excuse me.
51,51," Yes, sir."
52,52," Hello, do you speak English?"
53,53," Yeah. A little. Sorry, sorry."
54,54, Here for wedding?
55,55," Yes, yes."
56,56,"Come, come, come."
57,57,"Wait, wait, wait."
58,58,"Come, come, come."
59,59,Osman.
60,60,"He is Yusuf, Abu's cousin."
61,61,"I'm Asif, I'm a friend of Samira."
62,62,"Well, a friend of Hasan."
63,63,"Her brother, from university."
64,64,Thank you.
65,65,"Samira and her family aren't here yet, or they would be here to welcome you themselves."
66,66,No problem.
67,67,How old are you?
68,68,I'm 12.
69,69,So this is it.
70,70,Which one's Samira's house?
71,71,That one.
72,72,That one is her uncle's house.
73,73, You live in Leicester?
74,74, Sorry?
75,75,You live in Leicester?
76,76,I used to.
77,77,I want to live there.
78,78,Why?
79,79,Leicester City.
80,80,Riyad Mahrez.
81,81,Heh. Have you ever been to England?
82,82,"No, but all my cousins live there."
83,83, In Leicester?
84,84, Yeah.
85,85,Is it beautiful?
86,86,Yeah. Very beautiful.
87,87,What did he say?
88,88,"He's saying, ""Why didn't your parents teach you Punjabi?"" I'm a very bad learner."
89,89,How...? Like it?
90,90,It's good. It's very good.
91,91,"Yeah, yeah. The food."
92,92,Too much food.
93,93,Very good.
94,94,Hello. Hey.
