,Unnamed: 0,dialog
0,0,"Oh, whoa."
1,1,Easy.
2,2,Saw some turkeys on the way here.
3,3,Crossed right in front of me like I wasn't even there.
4,4, How rude of them.
5,5, That's what happens.
6,6,You spend six days a week working in the mines and stupid birds start to think they own these woods.
7,7,When's the tour leave?
8,8,Couple hours.
9,9,"Well, let's go."
10,10,"Hey, whoa, whoa, whoa!"
11,11," Hey, whoa. You're okay."
12,12,You're okay. You're safe. You're safe.
13,13,It's okay. You're here with me.
14,14,You're with me.
15,15,"Okay, okay."
16,16,I'm sorry.
17,17,"Oh, we... We should..."
18,18,We should go.
19,19,Are you coming to the train station?
20,20,I think you have enough people saying goodbye without me there.
21,21,Only a few I actually care about.
22,22,It might be easier if I didn't.
23,23,It's only a few weeks.
24,24,I'll be back before the snow melts.
25,25,"Yeah, a lot can happen in a few weeks."
26,26,Are we gonna do this again?
27,27,"Gale, it was an act."
28,28,"Yeah, it was a good one."
29,29,I did what I had to do to survive.
30,30,"If I didn't, I'd be dead."
31,31,I had to do that.
32,32,At least once.
33,33,Haymitch!
34,34,Haymitch!
35,35,"Haymitch, wake up. lt's Tour Day."
36,36,Haymitch.
37,37,What are you doing?
38,38,Cameras are gonna be here in an hour.
39,39,"If you wanted to be babied, you should've asked Peeta."
40,40,Asked me what?
41,41,Asked you to wake me without giving me pneumonia.
42,42,You are a strangely dislikeable person.
43,43,But you do have your virtues.
44,44,"Would you like some bread, Katniss?"
45,45,"No, I ate at the Hob, but thank you."
46,46,You're welcome.
47,47,Brr.
48,48,You two have a lot of warming up to do before show time.
49,49,"Which is in an hour, so take a bath, Haymitch."
50,50,I just did.
51,51,"Did you have a good walk, dear?"
52,52, Walk? I was just out...
53,53, We have visitors.
54,54,"Miss Everdeen. This way, please."
55,55,Such bravery.
56,56,Such spirit.
57,57,Such...
58,58,Contempt.
59,59,President Snow.
60,60,What an honor.
61,61,"My dear, I think we can make this so much simpler if we agree not to lie to each other."
62,62,What do you think?
63,63,"Yes, I think that would save time."
64,64,"Sit down, please."
65,65,"I have a problem, Miss Everdeen."
66,66,A problem that began the moment you revealed those poison berries in the arena.
67,67,"If that Head Gamemaker, Seneca Crane, had had any brains at all, he would have blown you to bits then and there."
68,68,But here you are.
69,69,I expect you can guess where he is.
70,70,"Yes, I think so."
71,71,"After that fiasco, there was nothing left to do but to let you play out your little scenario."
72,72,And you were very good.
73,73,"That whole lovecrazed, besotted schoolgirl routine."
74,74,Impressive. Truly.
75,75,You convinced the people in The Capitol.
76,76,"Unfortunately, not everyone in the districts fell for it."
77,77,"I mean, you can't know this, but in several of them, people viewed your little trick with the berries as an act of defiance."
78,78,Not as an act of love.
79,79,"And if a girl from District 1 2 of all places can defy The Capitol and walk away unharmed, what is to prevent them from doing the same?"
80,80,"What is to prevent, say, an uprising?"
81,81,That can lead to revolution.
82,82,"And then, in a fraction of time, the whole system collapses."
83,83,"It must be a fragile system, if it can be brought down by just a few berries."
84,84,"Yes, it is, indeed."
85,85,But not in the way you imagine it.
86,86,How should I imagine?
87,87,You should imagine thousands upon thousands of your people dead.
88,88,This town of yours reduced to ashes.
89,89,Imagine it gone.
90,90,"Made radioactive. Buried under dirt as if it had never existed, like District 1 3."
91,91,"You fought very hard in The Games, Miss Everdeen."
92,92,But they were games.
93,93,Would you like to be in a real war?
94,94,No.
95,95,Good. Neither would I.
96,96,Did your mother make these?
97,97,Peeta.
98,98,Oh. He's a lovely boy.
99,99,Tell me.
100,100,At what point did he realize the depth of your indifference towards him?
101,101, Iâm not indifferent.
102,102, Don't lie!
103,103,You promised.
104,104,Why don't you just kill me now?
105,105,I don't want to kill you.
106,106,I want us to be friends.
107,107,"But if not friends, then allies."
108,108,What do I need to do?
109,109,"When you and Peeta are on tour, you need to smile. You need to be grateful."
110,110,"But, above all, you need to be madly, preparedtoenditall in love."
111,111,You think you can manage that?
112,112,Yes.
113,113,"Yes, what?"
114,114,I'll convince them.
115,115,No.
116,116,Convince me.
117,117,"For you, Miss Everdeen."
118,118,Do convince me.
119,119,For the sake of your loved ones.
120,120,Stop.
121,121,Take it all in.
122,122,This is sacred ground.
123,123,History was made here.
124,124,Oh.
125,125,You'll get used to the smell.
126,126, Hmm.
127,127,Hello!
128,128,Oh!
129,129,There she is. My greatest triumph!
130,130,Our little superstar.
131,131,"Sweetie, we've missed you."
132,132,What a cute little house.
133,133,"So quaint, isn't it?"
134,134,"Of course, you've heard about Cinna?"
135,135,What happened to Cinna?
136,136,"Oh, dear, he's a fashion star."
137,137,You're his muse.
138,138,Everyone in The Capitol's wearing him.
139,139,Everyone.
140,140, Everyone.
141,141," Well, not everyone."
142,142,Oh!
143,143,Cinna!
144,144,Katniss?
145,145,"Katniss, is this your sister?"
146,146,"Oh, sweetie!"
147,147,Are you okay?
148,148,"Oh, just adorable!"
149,149, Yeah.
150,150, Ready to work?
151,151, Yeah.
152,152, All right. Good.
153,153,Welcome!
154,154,"Last year, the 74th Hunger Games brought us the greatest love story of our time."
155,155,"Two brave young people, against all odds chose to die rather than to lose each other."
156,156,"As a nation, we shared their agony."
157,157,But we had so little time to revel in their joy.
158,158,It's time!
159,159,"She's done, she's lovely."
160,160,We must feed the monster.
161,161,All right now.
162,162,Let's go to District 12 and find our starcrossed lovers!
163,163,You're excited. You're in love.
164,164,"Big smiles for the camera in three, two, one."
165,165,There she is! Katniss Everdeen!
166,166,The Girl on Fire.
167,167,And there he is! Peeta Mellark!
168,168,The Baker's Boy.
169,169, Ooh.
170,170,"Uhoh. Whoa, oh."
171,171,Trouble in paradise.
172,172,I hope they're all right.
173,173, Um...
174,174, Ahem.
175,175,Anyone at home?
176,176,Should we come back later?
177,177,"Sorry, Caesar."
178,178,"Oh, please. lt's all right. lt's your day."
179,179,It's your day. So how's it going?
180,180,We're good.
181,181,"That's it? That's all we get? ""We're good""?"
182,182,So taciturn all of a sudden.
183,183,"Peeta, give me some details!"
184,184,"Yeah, things are, uh..."
185,185,Things are great here in 1 2.
186,186,"Thanks to the generosity of The Capitol, we've never been closer."
187,187," 25 yards, to be exact."
188,188,Fantastic!
189,189,We'll be checking in with both of you throughout the Victory Tour.
190,190,"Thank you so much, Katniss Everdeen and Peeta Mellark!"
191,191, Wonderful!
192,192,Everybody in motion. We are out of here in 1 0.
193,193,That was nice acting.
194,194,"You, too."
195,195,Almost thought that kiss was real.
196,196,"Come along, children, we are on a schedule."
197,197,The train awaits!
198,198,"Fabulous food, fabulous wine, the massages, spa treatments. I told them nothing but the best for my two Victors."
199,199,"It all needs to be, uh..."
200,200,Fabulous?
201,201,Exactly.
202,202,"Now, the schedule is a bit of a bear."
203,203,"But it's mostly parties, celebrations, adoring fans to greet you at every stop along the way, and then we wrap it up in The Capitol."
204,204,"All you need to do is give a few speeches, wave to the crowds, and enjoy your time in the spotlight."
205,205,You've earned it.
206,206,What did you say?
207,207,Katniss.
208,208,"I said, ""Enjoy it, Katniss, you've earned it."" By killing people."
209,209,Young lady...
210,210,Iâm really not in the mood for a lecture.
211,211,I'll apologize to Effie later.
212,212,I thought you were Haymitch.
213,213,You don't have to apologize to anybody.
214,214,Including me.
215,215,I know it's not fair of me to hold you to things you said in The Games.
216,216,You saved us. I know that.
217,217,"But I can't go on acting for the cameras, and then just ignoring each other in real life."
218,218,"So if you can stop looking at me like Iâm wounded, then I can quit acting like it."
