,Unnamed: 0,dialog
0,0,"<font face""Comic Sans MS"">Adrian?</font> <font face""Comic Sans MS"">Come on.</font> <font face""Comic Sans MS"">Zeus, I'm sorry."
1,1,"I can't take you with me.</font> <font face""Comic Sans MS"">I'm sorry.</font> <font face""Comic Sans MS"">Shit. I'm not gonna leave you with that thing on. Okay.</font> <font face""Comic Sans MS"">Come here. It's okay."
2,2,"Good boy.</font> <font face""Comic Sans MS"">Come here. There you go.</font> <font face""Comic Sans MS"">Come here.</font> <font face""Comic Sans MS"">Fuck!</font> <font face""Comic Sans MS"">Emily, where are you?</font> <font face""Comic Sans MS"">Shit.</font> <font face""Comic Sans MS"">Cecilia, what is going on?</font> <font face""Comic Sans MS"">Are you okay?</font> <font face""Comic Sans MS"">I'll explain later.</font> <font face""Comic Sans MS"">Just go, Emily.</font> <font face""Comic Sans MS"">Go!</font> <font face""Comic Sans MS"">Open the fucking door, Cecilia!"
3,3,"What is happening?</font> <font face""Comic Sans MS""> Open the door!"
4,4," No!</font> <font face""Comic Sans MS"">Open the fucking door!</font> <font face""Comic Sans MS"">Open the door!</font> <font face""Comic Sans MS""> Open the fucking door!"
5,5," I'm going! I'm going!</font> <font face""Comic Sans MS"">Cecilia! Get back herel.</font> <font face""Comic Sans MS"">Jesus!</font> <font face""Comic Sans MS"">Get back here now! You can't do this!"
6,6,"Get back here!</font> <font face""Comic Sans MS"">Cee.</font> <font face""Comic Sans MS"">How long have you been up?</font> <font face""Comic Sans MS"">Few hours."
7,7,"Can't sleep.</font> <font face""Comic Sans MS"">Cee, you know, if you close your eyes and you lie down, that usually helps.</font> <font face""Comic Sans MS"">Um, don't think being tired gets you out of our little deal, now.</font> <font face""Comic Sans MS"">I swore to your sister I'd get you to step outside my house.</font> <font face""Comic Sans MS"">Hey, Cee.</font> <font face""Comic Sans MS"">He's not out there.</font> <font face""Comic Sans MS"">I promise.</font> <font face""Comic Sans MS"">I'm sorry, I'm just...</font> <font face""Comic Sans MS"">I'm not ready yet.</font> <font face""Comic Sans MS"">Hey, it's okay, Cee.</font> <font face""Comic Sans MS"">That's the furthest you've gone since you've been here. Okay?</font> <font face""Comic Sans MS"">So as far as I'm concerned, you just walked on the moon.</font> <font face""Comic Sans MS"">I can't work with this damn thing.</font> <font face""Comic Sans MS"">It's all right."
8,8,"I got it.</font> <font face""Comic Sans MS"">I got it.</font> <font face""Comic Sans MS"">Do I know you?"
9,9,"Do I owe you money?</font> <font face""Comic Sans MS"">A Lot."
10,10,"A Lot?</font> <font face""Comic Sans MS"">I told y'all about running up on me in my house.</font> <font face""Comic Sans MS"">Hey. Cee, tell her she can't take you back.</font> <font face""Comic Sans MS"">We're keeping you.</font> <font face""Comic Sans MS"">What are you doing here, Emily?</font> <font face""Comic Sans MS"">Well, it's nice to see you too, sis.</font> <font face""Comic Sans MS"">I'm gonna go see what Sydney's up to.</font> <font face""Comic Sans MS"">Just... yeah."
11,11,"Mmm.</font> <font face""Comic Sans MS"">This is not fair.</font> <font face""Comic Sans MS"">I asked you not to come over.</font> <font face""Comic Sans MS"">He knows where you live."
12,12,"He will follow you.</font> <font face""Comic Sans MS"">Yes.</font> <font face""Comic Sans MS"">Well, I have some news...</font> <font face""Comic Sans MS"">There is no news that justifies this.</font> <font face""Comic Sans MS"">Okay. I have a plan, and I just...</font> <font face""Comic Sans MS"">I need you to go along with it.</font> <font face""Comic Sans MS"">And just not be in control for one second.</font> <font face""Comic Sans MS"">I'm not trying to control you, boo.</font> <font face""Comic Sans MS"">I'm desperately trying to tell you that you don't need to cut me off anymore.</font> <font face""Comic Sans MS"">Because he's dead.</font> <font face""Comic Sans MS"">What?</font> <font face""Comic Sans MS"">What?</font> <font face""Comic Sans MS"">Hey.</font> <font face""Comic Sans MS"">What did he do to you?</font> <font face""Comic Sans MS"">Can you talk to me?</font> <font face""Comic Sans MS"">It just doesn't make any sense.</font> <font face""Comic Sans MS"">He was... he was in complete control of everything, you know?</font> <font face""Comic Sans MS"">Including me.</font> <font face""Comic Sans MS"">He controlled how I looked and what I wore</font> <font face""Comic Sans MS"">and what I ate.</font> <font face""Comic Sans MS"">And then it was controlling when I left the house</font> <font face""Comic Sans MS"">and what I said.</font> <font face""Comic Sans MS"">And eventually,</font> <font face""Comic Sans MS"">what I thought.</font> <font face""Comic Sans MS"">And if...</font> <font face""Comic Sans MS"">If he didn't like what he assumed I was thinking...</font> <font face""Comic Sans MS"">He...</font> <font face""Comic Sans MS""> He would..."
13,13," He'd what?</font> <font face""Comic Sans MS"">He would... he would hit you?</font> <font face""Comic Sans MS"">Amongst other things.</font> <font face""Comic Sans MS"">He wanted to have a baby.</font> <font face""Comic Sans MS"">And I knew that if we did that, that</font> <font face""Comic Sans MS"">I would never be able to get away from him, so</font> <font face""Comic Sans MS"">I took birth control without him knowing it.</font> <font face""Comic Sans MS"">But, um, that can only go on for so long, so</font> <font face""Comic Sans MS"">I called you.</font> <font face""Comic Sans MS"">Hey.</font> <font face""Comic Sans MS"">You're here with us now.</font> <font face""Comic Sans MS"">And you're safe.</font> <font face""Comic Sans MS"">He's gone.</font> <font face""Comic Sans MS"">I'm not telling you to aim low.</font> <font face""Comic Sans MS"">I'm just saying, explore more than one option, okay?</font> <font face""Comic Sans MS"">Don't limit your choices to just one school in the whole country.</font> <font face""Comic Sans MS"">But that one school is my goal."
14,14,"Parsons is my goal.</font> <font face""Comic Sans MS"">Yeah, I told you to have goals. Plural.</font> <font face""Comic Sans MS"">I think it's important to have goals, James.</font> <font face""Comic Sans MS"">Hey.</font> <font face""Comic Sans MS"">Look at you, getting out into the world.</font> <font face""Comic Sans MS"">Yo, by next year, you'll make it across the street.</font> <font face""Comic Sans MS"">Mmm. Mmmmmm.</font> <font face""Comic Sans MS"">Uh, hey, Cee."
15,15,"Something came for you.</font> <font face""Comic Sans MS"">No one knows I'm here.</font> <font face""Comic Sans MS"">So, who is it from?</font> <font face""Comic Sans MS"">Thank you both for coming in.</font> <font face""Comic Sans MS"">As the appointed attorney representing my late brother's discretionary trust,</font> <font face""Comic Sans MS"">I'm required to enact his final wishes.</font> <font face""Comic Sans MS"">And he stipulated that I do this in person.</font> <font face""Comic Sans MS"">He wanted me to read a prepared statement.</font> <font face""Comic Sans MS"">""Cecilia,""</font> <font face""Comic Sans MS"">""although our relationship was far from perfect,""</font> <font face""Comic Sans MS"">""I at least thought we had built up enough trust""</font> <font face""Comic Sans MS"">""that you would talk to me rather than running away from...""</font> <font face""Comic Sans MS"">No. No!</font> <font face""Comic Sans MS"">Sorry, you're not allowed to do that.</font> <font face""Comic Sans MS"">I'm required to read this.</font> <font face""Comic Sans MS"">She's not required to listen.</font> <font face""Comic Sans MS"">Email me a copy, and we will read it.</font> <font face""Comic Sans MS"">You bet.</font> <font face""Comic Sans MS"">I'm just trying to do my job.</font> <font face""Comic Sans MS"">Your job is to explain the money you mentioned on the phone.</font> <font face""Comic Sans MS"">I mentioned Cecilia, specifically, is named in Adrian's trust.</font> <font face""Comic Sans MS"">That is why we're sitting here."
16,16,"Yes.</font> <font face""Comic Sans MS"">For the same reason so many women in Adrian's life got close to him, his money.</font> <font face""Comic Sans MS"">If there was a chance of physically being close to him,</font> <font face""Comic Sans MS"">we would not be here for any amount of money.</font> <font face""Comic Sans MS"">You are physically close to him.</font> <font face""Comic Sans MS"">He's in that urn over there.</font> <font face""Comic Sans MS"">And as per his final wishes,</font> <font face""Comic Sans MS"">you're getting $5 million,</font> <font face""Comic Sans MS"">estate and income tax free.</font> <font face""Comic Sans MS"">Now, the money will be staggered in installments of $100,000</font> <font face""Comic Sans MS"">each month for the next <font face""Comic Sans MS"">Contingent, of course, on the fine print.</font> <font face""Comic Sans MS"">You can't commit a crime, etcetera.</font> <font face""Comic Sans MS"">Normally, I would have a <font face""Comic Sans MS"">but I'm gonna waive my rights in that regard.</font> <font face""Comic Sans MS"">So,</font> <font face""Comic Sans MS"">as soon as I have your signature and your banking information,</font> <font face""Comic Sans MS"">I can start releasing the funds.</font> <font face""Comic Sans MS"">Okay, you can come in now.</font> <font face""Comic Sans MS"">Oh. Oh.</font> <font face""Comic Sans MS"">Hey. Wait. Where you at?</font> <font face""Comic Sans MS"">Can we look now?</font> <font face""Comic Sans MS"">Yes, you can look.</font> <font face""Comic Sans MS"">Tada! oh.</font> <font face""Comic Sans MS"">Wow. Thanks, Cee.</font> <font face""Comic Sans MS"">Wow, that's nice. Look at that.</font> <font face""Comic Sans MS"">A ladder?</font> <font face""Comic Sans MS"">Excuse you?</font> <font face""Comic Sans MS"">I know I didn't hear you just say that.</font> <font face""Comic Sans MS"">I meant to say, ""thank you."" Uhhuh.</font> <font face""Comic Sans MS"">You're welcome.</font> <font face""Comic Sans MS"">Well, I knew you needed a new one, and that one just... that has to go.</font> <font face""Comic Sans MS"">That's so nice of you, Cee."
17,17,"Thank you so much.</font> <font face""Comic Sans MS"">That's very sweet of you."
18,18,"Thank you.</font> <font face""Comic Sans MS"">I just... I wanted to thank you for, you know, letting me stay here</font> <font face""Comic Sans MS"">and for taking such good care of me, so...</font> <font face""Comic Sans MS"">And Sydney can also use ladders.</font> <font face""Comic Sans MS"">Don't think I'm helping you paint.</font> <font face""Comic Sans MS"">I wouldn't even bother to ask you.</font> <font face""Comic Sans MS"">No, not for, like, painting, obviously, but just for a lot of things.</font> <font face""Comic Sans MS"">You climb them to get things. Like..."
19,19,"Like, stuff like that.</font> <font face""Comic Sans MS"">That's so strange.</font> <font face""Comic Sans MS"">God, I wish you had, like... oh, wait!</font> <font face""Comic Sans MS"">You could totally use the ladder..."
20,20,"Yeah. A ladder to climb up.</font> <font face""Comic Sans MS"">The ladder's cool.</font> <font face""Comic Sans MS"">This happened to just pop up here by itself...</font> <font face""Comic Sans MS"">Convenient. Wow.</font> <font face""Comic Sans MS"">What is it?</font> <font face""Comic Sans MS"">It has my name on it."
21,21,"That's weird.</font> <font face""Comic Sans MS"">And it looks like your handwriting."
