,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull www.OpenSubtitles.org âª From the day we arrive âª On the planet âª And blinking Step into the sun âª There's more to see than can ever be seen âª More to do than can ever be done âª There's far too much to take in here âª More to find than can ever be found âª But the sun rolling high âª Through the sapphire sky âª Keeps great and small on the endless round âª It's the circle of life âª And it moves us all âª Through despair and hope âª Through faith and love âª Till we find our place âª On the path unwinding âª In the circle âª The circle of life âª It's the circle of life âª And it moves us all âª Through despair and hope âª Through faith and love âª Till we find our place âª On the path unwinding âª In the circle âª The circle of life âª Life's not fair...
1,1,"is it, my little friend?"
2,2,While some are born to feast...
3,3,"others spend their lives in the dark, begging for scraps."
4,4,The way I see it...
5,5,you and I are exactly the same.
6,6,We both want to find a way out.
7,7,The king approaches!
8,8,This is not a drill.
9,9,His Majesty has requested an audience.
10,10,"Upon his entrance, you will rise and genuflect."
11,11,Zazu...
12,12,you've made me lose my lunch.
13,13,You will answer to Mufasa for missing the ceremony this morning.
14,14,I answer to no one.
15,15,Scar? Scar. Scar.
16,16,"No, no."
17,17,Don't look at me like that.
18,18,"Are you hungry, Zazu?"
19,19,Perhaps we could have a bite together!
20,20,You can't eat me!
21,21,It is forbidden to eat a member of the king's court!
22,22,"Ow! No, please! Stop it!"
23,23,Scar!
24,24,"Well, look who's come down to mingle with the commoners."
25,25,Sarabi and I didn't see you at the presentation of Simba.
26,26,Was that today?
27,27,Must've slipped my mind.
28,28,Of course I meant no disrespect towards His Majesty or Sarabi.
29,29,"As you know, I have tremendous respect for the queen."
30,30,"As the king's brother, you should've been first in line."
31,31,I was first in line.
32,32,Or don't you remember?
33,33,"That is, until the precious prince arrived."
34,34,"Don't turn your back on me, Scar."
35,35,"Oh, no, Mufasa, perhaps you shouldn't turn your back on me."
36,36,Is that a challenge?
37,37,I wouldn't dream of challenging you again.
38,38,A wise decision.
39,39,You are no match for His Royalness.
40,40,"Well, as far as brains go, I got the lion's share."
41,41,"But when it comes to brute strength, I'm afraid my big brother..."
42,42,will always rule.
43,43,"Not always, Scar."
44,44,"One day, it'll be my son who rules."
45,45,Simba will be your king.
46,46,Then long live the king.
47,47, What am I gonna do with him?
48,48," Oh, come on."
49,49,We both know he should've been expelled from the Pride Lands long ago.
50,50,"He's my brother, Zazu."
51,51,This is his home.
52,52,"As long as I am king, that will never change."
53,53,"Well, there's one in every family, sire."
54,54,I had a cousin who thought he was a woodpecker.
55,55,"He slammed his head into trees, and our beaks aren't built for it."
56,56,He was concussed regularly.
57,57,"Oh, you've gone."
58,58,"Uh, sire, coming back!"
59,59,Simba.
60,60,"Dad, you awake?"
61,61,"Dad, wake up!"
62,62,Dad!
63,63,"Dad, Dad, Dad!"
64,64,Your son's awake.
65,65,"Before sunrise, he's your son."
66,66,"Come on, Dad, let's go."
67,67,You said I could patrol with you today.
68,68,And today has started.
69,69,You promised!
70,70,You up?
71,71,Let's do this!
72,72,Let's do this.
73,73,"So, what's first?"
74,74,Give orders for the hunt?
75,75,Chase away evil intruders?
76,76,Dad! You're going the wrong way!
77,77,Dad?
78,78,I'm not supposed to go up here.
79,79,"Look, Simba."
80,80,Everything the light touches is our kingdom.
81,81,You rule all of that?
82,82,Yes.
83,83,But a king's time as ruler...
84,84,rises and falls like the sun.
85,85,"One day, Simba..."
86,86,the sun will set on my time here...
87,87,and will rise with you as the new king.
88,88,All of this will belong to me?
89,89,"It belongs to no one, but will be yours to protect."
90,90,A great responsibility.
91,91,Everything the light touches?
92,92,Those trees?
93,93,And the watering hole?
94,94,And that mountain?
95,95,And beyond those shadows?
96,96,"You must not go there, Simba."
97,97,But I thought a king could do whatever he wants.
98,98,Take any territory.
99,99,While others search for what they can take...
100,100,a true king searches for what he can give.
101,101,Everything you see exists together in a delicate balance.
102,102,"As king, you need to understand that balance..."
103,103,and respect all the creatures...
104,104,from the crawling ant to the leaping antelope.
105,105,"But, Dad, don't we eat the antelope?"
106,106,"Yes, Simba."
107,107,But let me explain.
108,108,"When we die, our bodies become the grass..."
109,109,and the antelope eat the grass...
110,110,and so we are all connected in the great circle of life.
111,111, Sire!
112,112," Morning, Zazu."
113,113,Do you have the morning report?
114,114,"Yes, sire."
115,115,Ten flamingos are taking a stand.
116,116,Two giraffe were caught necking.
117,117,The buzz from the bees...
118,118,is that the leopards are in a bit of a spot.
119,119,Ready for some fun?
120,120,The birds are tweeting at 4:00 in the morning.
121,121,"I'm like, ""Birds, we get it."" Stay low to the ground."
122,122,I got this.
123,123,"Check the wind, the shadows..."
124,124,and wait for the perfect moment to pounce.
125,125,"The cheetahs stole the baboons' dinner, and now the baboons are going ape."
126,126,"Of course, as I say, cheetahs never prosper."
127,127,That's what I say.
128,128,Do you get...
129,129,I'll say it again.
130,130,Cheetahs never...
131,131,Come on! It's the news!
132,132,That's very good!
133,133,Sire!
134,134,Sire! Hyenas in the Pride Lands.
135,135,They're on the hunt!
136,136,Where's Sarabi?
137,137,She's leading the charge.
138,138,"Zazu, take Simba home."
139,139,"Dad, let me come! I can help."
140,140,"No, son. You stay with the other cubs."
141,141,I am not a cub.
142,142,Come on.
143,143,Let's go home.
144,144,Here we are.
145,145,Now you go along and play with the other cubs.
146,146,Great.
147,147,If you wish to kill something...
148,148,you might want to stay downwind.
149,149,"I know how to hunt, Uncle Scar."
150,150,"Well, let's hope we're never attacked by a beetle."
151,151,"Go back to your den, Simba."
152,152,I don't babysit.
153,153,Babysit? I'm gonna be the king of Pride Rock.
154,154,My dad showed me the whole kingdom.
155,155,Said I'm going to rule it all.
156,156,Is that so?
157,157,Think about it.
158,158,"When I'm king, I'll have to give you orders."
159,159,Tell you what to do.
160,160,How weird is that?
161,161,You've no idea.
162,162,"So, your dad showed you the whole kingdom?"
163,163,Did he show you the shadows beyond the northern borders?
164,164,No. He said I can't go there. Ever.
165,165,And he's absolutely right.
166,166,An elephant graveyard is no place for a young prince.
167,167,An elephant graveyard?
168,168,Whoa.
169,169,"Oh, dear."
170,170,I've said too much.
171,171,Though I suppose you'd have found out sooner or later...
172,172,you being king and all.
173,173,You've been there?
174,174,We've all been there.
175,175,And it's no place for a cub.
176,176,All those rotting bones...
177,177,and burning pools of oozing mud.
178,178,Rotting bones?
179,179,Oozing mud?
180,180,"Promise me you'll stay away, Simba."
181,181,"Now, you run along."
182,182,And remember...
183,183,it's our little secret...
184,184,Your Majesty.
185,185,Nala! Come on.
186,186,We have to go.
187,187, Where?
188,188, Watering hole.
189,189,"Simba, she's having her bath."
190,190,And it's time for yours.
191,191,"But, Mom..."
192,192,I can do it myself.
193,193,Hold still.
194,194,You're messing up my mane!
195,195,Come on.
196,196,Behind the ears.
197,197,"Come on, Mom!"
198,198,See? All clean. Can we go?
199,199,There's no hyenas.
200,200,You just chased them all off.
201,201,Just to the watering hole and no further.
202,202,And stay downwind.
203,203,And one more little thing.
204,204,Zazu will be going with you.
205,205,Zazu?
206,206,Zazu goes...
207,207,or you don't.
208,208,Come along. Keep up.
209,209,Let's move in a unit.
210,210,"Okay, buddy system."
211,211,"So, where are we really going?"
212,212,How did you know?
213,213,You hate the water.
214,214,"I heard about this place, Nala."
215,215,"The most incredible, amazing..."
216,216,Just tell me where.
217,217,An elephant graveyard.
218,218,Whoa. How far is it?
219,219,Not far.
220,220,Just to the shadows.
221,221,"But don't worry, everyone's been there."
222,222,We've never been that far before.
223,223,What if we get lost?
224,224,"Relax, Nala."
225,225,I patrolled the entire kingdom this morning with my dad.
226,226,There's nothing to worry about.
227,227,"Well, there is one thing."
228,228,We have an imminent threat.
229,229,Something is approaching.
230,230,"Oh, wait, scratch that."
231,231,That's my own shadow.
232,232,How we getting rid of the dodo?
233,233,"Trust me, I got this."
234,234,Follow me to freedom.
235,235,"Oh, how lovely it is..."
236,236,to see the future king with his future queen.
237,237,I could just molt.
238,238,"What do you mean, ""future queen""?"
239,239,"Well, one day the two of you will be betrothed."
240,240,Intended. Affianced.
241,241,"Simba, you speak bird?"
242,242,Married!
243,243,Come on. One day you will be married.
244,244,To each other.
245,245, Ugh!
246,246, Ew!
247,247,"Mmmmmm. That's not gonna happen, Zazu."
248,248,Never ever.
249,249,Nala and I are friends.
250,250,"And besides, she's afraid of rhinos!"
251,251,And he's never eaten an impala.
252,252,I've tried it once.
253,253,"We are never getting married, Zazu."
254,254,A monarch who ignores tradition?
255,255,"With an attitude like that, I'm afraid you'll be a pretty pathetic king."
256,256,"Well, I'm not letting anyone tell me where to go, what to do..."
257,257,and even who to marry.
258,258,There will never be a king like me.
259,259,"Simba, you can't escape your destiny."
260,260,Just watch.
261,261,"âª I'm gonna be a mighty king âª So enemies beware âª Well, I've never seen a king of beasts âª With quite so little hair âª I'm gonna be the main event Like no king was before âª I'm brushing up on looking down âª Working on my roar âª Thus far a rather uninspiring thing âª Oh, I just can't wait to be king You have rather a long way to go, young master."
262,262,If you think...
263,263,"âª No one saying ""do this"" Now, when I said that..."
264,264,"âª No one saying ""be there"" What I meant was..."
265,265,"âª No one saying ""stop that"" âª No one saying ""see here"" Now see here!"
266,266,"âª Free to run around all day Well, that's definitely out."
267,267,"âª Free to do it all my way âª I think it's time that you and I âª Arranged a hearttoheart âª Kings don't need advice âª From little hornbills for a start âª If this is where the monarchy is headed, count me out âª Out of service Out of Africa âª I wouldn't hang about âª This child is getting wildly out of wing Simba!"
268,268,"âª Oh, I just can't wait to be king âª Simba!"
269,269,"I can't see you, Simba."
270,270,You must be in my sight at all times.
271,271,I've lost him!
272,272,I know what you're doing!
273,273,"Where are you going, Simba?"
274,274,Come on!
275,275,"You can't hide from me, Simba."
276,276,It is my sworn duty to keep you safe.
277,277,You listen to me right now.
278,278,"I'm sorry to flutter about in your face, have you seen..."
279,279,He's a little lion.
280,280,"He's small, but he's cute."
281,281,âª Everybody look left âª Everybody look right âª Everywhere you look I'm âª Standing in the spotlight Not yet.
282,282,âª Let every creature go for broke and sing âª Let's hear it in the herd and on the wing I see you down there!
283,283,I see you down there!
284,284,"âª It's gonna be King Simba's finest fling âª Oh, I just can't wait to be king Simba!"
285,285,"âª He just can't wait to be king âª Oh, I just can't wait âª Just can't wait âª To be king âª I've lost him!"
286,286,Mufasa's gonna have my feathers.
287,287,This is not good!
288,288,"Simba, we really lost him."
289,289,I know what you're thinking.
290,290,"""The future king is a genius."" You can't be serious."
291,291,You would've never gotten away without your queen.
292,292,Aren't you forgetting something?
293,293,There is no queen.
294,294,You could say that again.
295,295,I'd rather marry an aardvark.
296,296,Good luck finding one that will say yes.
297,297,Good luck getting out of here without a bruising.
298,298,Give it your best shot.
299,299,Pinned ya!
300,300,You owe me an apology.
301,301,Never!
302,302,Pinned ya. Again.
303,303,"Nala, stop!"
304,304,What is that?
305,305,"You're not gonna trick me, Simba."
306,306,I know that there's nothing...
307,307,This must be it.
308,308,Come on!
309,309,"Simba, we're way beyond the Pride Lands."
310,310,"We found it, Nala."
311,311,You know what this means?
312,312,It means we can go home.
313,313,It means they won't treat us like cubs anymore.
314,314,"Simba, get down!"
315,315,It could be dangerous.
316,316,Danger?
317,317,I laugh in the face of danger.
318,318,Cool!
319,319,"You hear that, Nala?"
320,320,"Simba, come on!"
321,321,You've proved how brave you are.
322,322,"Now the sun is going down, I'm not just gonna sit here and..."
323,323,"Well, look at this."
324,324,We weren't expecting guests today.
325,325,Would you two cubs...
326,326,like to stay for dinner?
327,327,"Yeah, stay for dinner."
328,328,'Cause you look like a midnight snack!
329,329,Can you just give me a little bit of space?
330,330,I'm helping.
331,331,We have talked about this before.
332,332,I come in alone.
333,333,I'm the lead distraction so everyone can circle.
334,334,"Okay, okay. Sorry."
335,335,Don't be sorry.
336,336,Just do it.
337,337,"Now, this is a meal I've waited my whole life for."
338,338,"What an unexpected treat, to eat the son of a king."
339,339,"Wait a second, the king?"
340,340,As in youknowwho?
341,341,Who rules youknowwhere?
342,342,Mufasa does not rule me!
343,343,You can't do anything to me!
344,344,'Cause I'm the future king!
345,345,He's telling me what to do.
346,346,His father's strength flickering inside.
347,347,I wonder...
348,348,how all that bravery will taste.
349,349,"Let them go, Shenzi!"
350,350,"They made a mistake, a horrible mistake!"
351,351,"But if you do this, you will start a war with Mufasa!"
352,352,Hyenas and lions have been at war since the beginning of time.
353,353,But Mufasa's bloodline will end here!
354,354,Run!
355,355,Don't let them get away!
356,356,Come on!
357,357,Did you hear that?
358,358,The future king!
359,359,"Oh, don't hurt me!"
360,360,Do it again!
361,361,If you ever come near my son again...
362,362,"No, Mufasa. Never."
363,363,Never again.
364,364,"You've been warned, Shenzi."
365,365,I thought you were very brave.
366,366,Zazu?
367,367,Take Nala back to Pride Rock.
368,368,"Yes, sire."
369,369,"Don't be too hard on him, sire."
370,370,"I remember a cub, a certain headstrong cub..."
371,371,who was always getting into scrapes.
372,372,"And he achieved some prominence, did he not, sire?"
373,373,I have to teach my son a lesson.
374,374,"Nala, come along."
375,375,Simba?
376,376,You deliberately disobeyed me.
377,377,I know.
378,378,You could have been killed.
379,379,"And what's worse, you put Nala in danger."
380,380,Do you understand what's at stake?
381,381,You jeopardized the future of our pride.
382,382,I just wanted to show you I could do it.
383,383,That I could be brave like you.
384,384,"I'm only brave when I have to be, when there's no other choice."
385,385,But you're not scared of anything.
386,386,I was today.
387,387,You were?
388,388,Yes. I thought I might lose you.
389,389,"I guess even kings get scared, huh?"
390,390,More than you could ever know.
391,391, But guess what?
392,392, What?
393,393,I think those hyenas were even scareder.
394,394,That's 'cause nobody messes with your dad.
395,395,Come here.
396,396, Dad?
397,397, Uhhuh?
398,398,"We're pals, right?"
399,399,Right.
400,400,And we'll always be together...
401,401,right?
402,402,"Simba, let me tell you something my father told me."
403,403,Look at the stars.
404,404,The great kings of the past...
405,405,look down on us from those stars.
406,406, Really?
407,407, Yes.
408,408,So whenever you feel alone...
409,409,just remember that those kings...
410,410,will always be up there to guide you.
411,411,And so will I.
412,412,"But I can't see them, Dad."
413,413,"Keep looking, son."
414,414,Keep looking.
415,415,Mufasa is strong.
416,416,"Like, way stronger than us."
417,417, Please give me some space.
418,418, What?
419,419,You could lay anywhere in this cave.
420,420, Where do you want me to...
421,421, I need some personal space.
422,422, Okay?
423,423, Okay.
424,424,Not to take anything away from you. You were great.
425,425,But he is...
426,426,"See, now I know you're doing this on purpose."
427,427,"Very brave, too."
428,428,"Tough, good energy."
429,429,Now you're just being spiteful.
430,430,Good posture.
431,431,Next time I see Mufasa...
432,432,I'm gonna teach him a lesson he will never forget.
433,433,"Well, you're in luck!"
434,434,He's right behind ya.
435,435,Mufasa?
436,436,That's not the king.
437,437,You fools have stripped your land of every living thing.
438,438,And yet I send two little cubs your way...
439,439,and they come back alive.
440,440,I guess we'll have to eat you instead.
441,441,Why eat one meal...
442,442,when you can be feasting the rest of your lives?
443,443,What could you possibly offer us?
444,444,A place where you can fill your bellies.
445,445,Where everything the light touches is yours for the kill.
446,446,The Pride Lands are not yours to give.
447,447,The king controls those hunting grounds.
448,448,That's why we're going to kill him.
449,449,Mufasa has always shown too much restraint...
450,450,when it comes to hunting.
451,451,When I am king...
452,452,the mighty will be free to take whatever they want.
453,453,Because a hyena's belly is never full.
454,454,Mufasa's far too powerful to challenge.
455,455,"âª Mufasa is yesterday's message âª A clappedout, distracted regime âª Whose failings undoubtedly presage âª The need for a dif'rent dream âª Yes, leonine times are achanging âª Which means that hyenas must too âª My vision is clear and wideranging âª And even encompasses you âª So prepare for the coup of the century âª Prepare for the murkiest scam âª Meticulous planning âª Tenacity spanning âª Decades of denial Is simply why I'll âª Be king Undisputed âª Respected Saluted âª And seen for the wonder I am âª Yes, my teeth and ambitions are bared âª Be prepared  âª Be prepared  âª Be prepared âª Be prepared Be prepared  âª Be prepared  âª Be prepared âª Be prepared Be prepared âª Be prepared âª Be prepared âª Yes, our teeth and ambitions are bared âª Be prepared âª My dad was pretty upset with me."
456,456,"That's why we're here, Simba."
457,457,I think I know a way for you to make it up to him.
458,458,A gift that will make him forget it ever happened.
459,459,But he's the king.
460,460,What could I give him?
461,461,Your roar.
462,462,My roar?
463,463,Yes!
464,464,Did you hear that?
465,465,This gorge is where all lions come to find their roar.
466,466,All lions?
467,467,Even my dad?
