,Unnamed: 0,dialog
0,0,"Subtitles by <font color""ff0000"">explosiveskull</font> Resync by <font color""00ffff"">Ahmed74</font> They're late."
1,1,"Brenda, we're coming up behind."
2,2,Keep 'em busy.
3,3,Hang on!
4,4,Call it in!
5,5,"Transport zerooneniner, we got trouble on the rail line."
6,6,"Mile 23, send backup!"
7,7,Send backup!
8,8,PILOT: Roger that. On our way.
9,9,"This is crazy, Thomas!"
10,10,JORGE: Whoa!
11,11,Hang on.
12,12,THOMAS: Get me closer!
13,13,"Come on, Vince!"
14,14,Vince!
15,15,Jump!
16,16,Shit!
17,17,Let's go!
18,18,Hey! Berg!
19,19,"PILOT: Zerooneniner, be advised."
20,20,You've taken on boarders at the rear.
21,21,We're engaging the truck now.
22,22,"Hey, Brenda, you got company!"
23,23,"Go, go, go!"
24,24,Open fire.
25,25,JORGE: Watch out!
26,26,Holy shit!
27,27,"Thomas, you're on your own."
28,28,Don't die.
29,29,Good luck!
30,30,We gotta move. Come on!
31,31,"GUARD: Go, go! You heard him!"
32,32,Give me the bag!
33,33,GUARD: Shoot!
34,34,Get down! Get down!
35,35,Vince?
36,36,We're set! Cover your ass!
37,37,"GUARD: Go, go, go!"
38,38,VINCE: Take cover!
39,39,GUARD: Come on!
40,40,Let's go! Let's go!
41,41,GUARD: We lost the rear five.
42,42,Stop the train!
43,43,Newt!
44,44,"All right, come on, let's go. Come on!"
45,45,Minho!
46,46,"THOMAS: (MUFFLED) Minho, can you hear me?"
47,47,This one. This one!
48,48,"Oh, shit!"
49,49,It's gonna be close.
50,50,Hello!
51,51,Squirrelly bastard.
52,52,We got 'em! We got 'em!
53,53,PILOT: Step out of the vehicle with your hands up.
54,54,"GUARD: Let's go, boys."
55,55,Stop right there. Don't move.
56,56,"I said freeze, asshole!"
57,57,"Whatever you say, hermano."
58,58,GUARD: Hold him back!
59,59,Y'all don't wanna do that now.
60,60,"Hey, Fry."
61,61,Good to see you guys.
62,62,"Go on, back up."
63,63,BRENDA: Uhuhuh!
64,64,Hi.
65,65,"Newt, how you doing?"
66,66,Don't rush me.
67,67,Shit!
