,Unnamed: 0,dialog
0,0,"(TAKE ME OUT TO THE BALL GAME PLAYlNG ON VlDEO GAME) Hi, honey."
1,1,"Hi, Mom."
2,2,You feeling any better?
3,3,A little bit.
4,4,Guess what?
5,5,What?
6,6,Your grandfather's here.
7,7,"Mom, can't you tell him l'm sick?"
8,8,You're sick?
9,9,That's why he's here.
10,10,He'll pinch my cheek.
11,11,l hate that.
12,12,Maybe he won't.
13,13,"Hey, how is the sickie? Huh?"
14,14,l think l'll leave you two pals alone.
15,15,l brought you a special present.
16,16,What is it?
17,17,Open it up.
18,18,A book?
19,19,That's right.
20,20,"When l was your age, television was called books."
21,21,And this is a special book.
22,22,"lt was the book my father used to read to me when l was sick, and l used to read it to your father."
23,23,"And today, l'm gonna read it to you."
24,24,Has it got any sports in it?
25,25,Are you kidding?
26,26,"Fencing, fighting, torture, revenge, giants, monsters, chases, escapes, true love, miracles."
27,27,Doesn't sound too bad.
28,28,l'll try and stay awake.
29,29,"Well, thank you very much."
30,30,Very nice of you.
31,31,Your vote of confidence is overwhelming.
32,32,All right.
33,33,"""The Princess Bride, ""by S. Morgenstern."
34,34,"""Chapter one."
35,35,"""Buttercup was raised on a small farm in the country of Florin."
36,36,"""Her favorite pastimes were riding her horse ""and tormenting the farm boy that worked there."
37,37,"""His name was Westley, but she never called him that."" Isn't that a wonderful beginning?"
38,38,"GRANDSON: Yeah, it's really good."
39,39,"""Nothing gave Buttercup as much pleasure as ordering Westley around."" Farm Boy, polish my horse's saddle."
40,40,l want to see my face shining in it by morning.
41,41,As you wish.
42,42,"GRANDFATHER: ""'As you wish' was all he ever said to her."" Farm Boy, fill these with water."
43,43,Please?
44,44,As you wish.
45,45,"""That day, she was amazed to discover ""that when he was saying, 'As you wish,' ""what he meant was, 'I love you.' ""And even more amazing was the day she realized she truly loved him back."" Farm Boy, fetch me that pitcher."
46,46,As you wish.
47,47,GRANDSON: Hold it. Hold it.
48,48,What is this?
49,49,Are you trying to trick me?
50,50,Where's the sports?
51,51,ls this a kissing book?
52,52,Wait. Just wait.
53,53,When does it get good?
54,54,Keep your shirt on.
55,55,Let me read.
56,56,"""Westley had no money for marriage, ""so he packed his few belongings and left the farm ""to seek his fortune across the sea."
57,57,"""It was a very emotional time for Buttercup."" GRANDSON: I don't believe this."
58,58,l fear l'll never see you again.
59,59,Of course you will.
60,60,But what if something happens to you?
61,61,Hear this now.
62,62,l will always come for you.
63,63,But how can you be sure?
64,64,This is true love.
65,65,Do you think this happens every day?
66,66,"GRANDFATHER: ""Westley didn't reach his destination."
67,67,"""His ship was attacked by the Dread Pirate Roberts, ""who never left captives alive."
68,68,"""When Buttercup got the news that Westley was murdered..."" GRANDSON: Murdered by pirates is good."
69,69,"""...she went into her room and shut the door."
70,70,"""And for days, she neither slept nor ate."" l will never love again."
71,71,"""Five years later, the main square of Florin City was filled as never before ""to hear the announcement of the great Prince Humperdinck's bridetobe."" My people, a month from now, our country will have its 500th anniversary."
72,72,"On that sundown, l shall marry a lady who was once a commoner like yourselves."
73,73,But perhaps you will not find her common now.
74,74,Would you like to meet her?
75,75,ALL: Yes!
76,76,"My people, the Princess Buttercup!"
77,77,"GRANDFATHER: ""Buttercup's emptiness consumed her."
78,78,"""Although the law of the land gave Humperdinck the right ""to choose his bride, ""she did not love him."
79,79,"""Despite Humperdinck's reassurance that she would grow to love him, ""the only joy she found was in her daily ride."" MAN: A word, my lady?"
80,80,"We are but poor, lost circus performers."
81,81,ls there a village nearby?
82,82,"There is nothing nearby, not for miles."
83,83,Then there will be no one to hear you scream.
84,84,What is that you're ripping?
85,85,lt is fabric from the uniform of an army officer of Guilder.
86,86,Who is Guilder?
87,87,The country across the sea.
88,88,The sworn enemy of Florin.
89,89,"Go! Once the horse reaches the castle, the fabric will make the prince suspect the Guilderians have abducted his love."
90,90,"When he finds her body dead on the Guilder frontier, his suspicions will be totally confirmed."
91,91,You never said anything about killing anyone.
92,92,l've hired you to help me start a war.
