,Unnamed: 0,dialog
0,0,If I didn't care More than words can say If I didn't care Would I feel this way?
1,1,If this isn't love Then why do I thrill?
2,2,And what makes my head go round and round While my heart stands still?
3,3,If I didn't care Would it be the same?
4,4,Would my every prayer begin and end With just your name?
5,5,And would I be sure That this is love beyond compare?
6,6,Would all this be true If I didn't care for you?
7,7,"Mr. Dufresne, describe the confrontation you had with your wife the night she was murdered."
8,8,It was very bitter.
9,9,"She said she was glad I knew, that she hated all the sneaking around..."
10,10,And she said she wanted a divorce in Reno.
11,11,What was your response?
12,12,I told her I would not grant one.
13,13,"""I'll see you in hell before I see you in Reno."" Those were the words you used, Mr. Dufresne, according to your neighbors."
14,14,If they say so.
15,15,I really don't remember. I was upset.
16,16,What happened after you argued with your wife?
17,17,She packed a bag.
18,18,She packed a bag to go and stay with...
19,19,Mr. Quentin.
20,20,Glenn Quentin.
21,21,Golf pro at the Snowdon Hills Country Club.
22,22,The man you discovered was your wife's lover.
23,23,Did you follow her?
24,24,I went to a few bars first.
25,25,"Later, I drove to his house to confront them."
26,26,"They weren't home, so I...parked in the turnout, and waited."
27,27,With what intention?
28,28,I'm not sure.
29,29,I was confused.
30,30,Drunk.
31,31,"I think...mostly, I wanted to scare them."
32,32,"When they arrived, you went up to the house and murdered them."
33,33,No. I was sobering up.
34,34,"I got back in the car, and I drove home to sleep it off."
35,35,"Along the way, I stopped, and I threw my gun into the Royal River."
36,36,I feel I've been very clear on this point.
37,37,"Well, where I get hazy is where the cleaning woman shows up the following morning and finds your wife in bed with her lover, riddled with.38 caliber bullets."
38,38,"Now, does that strike you as a fantastic coincidence, Mr. Dufresne, or is it just me?"
39,39,"Yes, it does."
40,40,Yet you still maintain that you threw your gun into the river before the murders took place?
41,41, That's very convenient.
42,42, It's the truth.
43,43,"The police dragged that river for three days, and nary a gun was found."
44,44,"So, there could be no comparison made between your gun and the bullets taken from the bloodstained corpses of the victims."
45,45,And that also...
46,46,is very convenient.
47,47,"Isn't it, Mr. Dufresne?"
48,48,"Since I am innocent of this crime, sir, I find it decidedly inconvenient that the gun was never found."
49,49,If I Didn't Care And would I be sure that this Is love beyond compare...
50,50,"Ladies and gentlemen, you've heard all the evidence."
51,51,We have the accused at the scene of the crime.
52,52,"We have footprints, tire tracks, bullets strewn on the ground which bear his fingerprints, a broken bourbon bottle, likewise with fingerprints."
53,53,"And most of all, we have a beautiful young woman and her lover lying dead in each other's arms."
54,54,They had sinned.
55,55,But was their crime so great as to merit a death sentence?
56,56,"Now, while you think about that..."
57,57,..think about this.
58,58,A revolver holds six bullets.
59,59,Not eight.
60,60,I submit that this was not a hotblooded crime of passion.
61,61,"That could be understood, if not condoned."
62,62,No. This was revenge...
63,63,of a much more brutal and coldblooded nature. Consider this.
64,64,Four bullets per victim.
65,65,"Not six shots fired, but eight."
66,66,"That means that he fired the gun empty, and then stopped to reload..."
67,67,..so that he could shoot each of them again.
68,68,An extra bullet per lover.
69,69,Right in the head.
70,70,"You strike me as a particularly icy and remorseless man, Mr. Dufresne."
71,71,It chills my blood just to look at you.
72,72,"By the power vested in me by the state of Maine, I hereby order you to serve two life sentences, back to back."
73,73,One for each of your victims. So be it.
74,74,Sit.
75,75,We see by your file you've served 20 years of a life sentence.
76,76,"Yes, sir."
77,77,You feel you've been rehabilitated?
78,78,"Oh, yes, sir. Absolutely, sir."
79,79,"I mean, I learned my lesson."
80,80,I can honestly say...I'm a changed man.
81,81,I'm no longer a danger to society.
82,82,That's God's honest truth.
83,83,"Hey, Red. How'd it go?"
84,84,Same old shit. Different day.
85,85,Yeah. I know how you feel.
86,86,I'm up for rejection next week.
87,87,"Yeah, I got rejected last week."
88,88,It happens.
89,89,"Hey, Red. Bump me a deck."
90,90,"Get the fuck out of my face, will you, man?"
91,91,You've had five packs already.
92,92, Four.
93,93, Five.
94,94,There must be a con like me in every prison in America.
95,95,I'm the guy who can get it for you.
96,96,"Cigarettes, a bag of reefer  if that's your thing  a bottle of brandy to celebrate your kid's highschool graduation."
97,97,"Damn near anything, within reason."
98,98,"Yes, sir. I'm a regular Sears and Roebuck."
99,99,"So, when Andy Dufresne came to me in 1949 and asked me to smuggle Rita Hayworth into the prison for him, I told him, ""No problem."" Andy came to Shawshank Prison in early 1947, for murdering his wife and the fella she was banging."
100,100,On the outside he had been vicepresident of a large Portland bank.
101,101,Good work for a man as young as he was.
102,102,"Hey, Red."
103,103,"Do you speak English, butt steak?"
104,104,You follow this officer.
105,105,I haven't seen such a sorrylooking heap of mmmaggot shit in all my life.
106,106,"Hey, fish! Come over here."
107,107,"Come on, fish."
108,108,"Taking bets today, Red?"
109,109,Smokes or coins? Better's choice.
