,Unnamed: 0,dialog
0,0,with genius IQs living in China than there are people of any kind living in the United States?
1,1, That can't possibly be true.
2,2, It is.
3,3,What would account for that?
4,4,"Well, first, an awful lot of people live in China, but here's my question."
5,5,How do you distinguish yourself in a population of people who all got 1600 on their SATs?
6,6, I didn't know they take SATs in China.
7,7, They don't.
8,8,"I wasn't talking about China anymore, I was talking about me."
9,9,You got a 1600?
10,10,"Yes. I could sing in an a Capella group, but I can't sing."
11,11,Does that mean you actually got nothing wrong?
12,12,I could row crew or invent a $25 PC.
13,13,Or you could get into a final club.
14,14,Or I get into a final club.
15,15,"You know, from a woman's perspective, sometimes not singing in an a Capella group is a good thing."
16,16,This is serious.
17,17,"On the other hand, I do like guys who row crew."
18,18,"Well, I can't do that."
19,19,I was kidding.
20,20,"And, yes, I got nothing wrong on the test."
21,21, Have you ever tried?
22,22, I'm trying right now.
23,23, To row crew?
24,24, To get into a final club.
25,25,To row crew? No.
26,26,"Are you, like, whatever, delusional?"
27,27,Maybe it's just sometimes you say two things at once.
28,28,I'm not sure which one I'm supposed to be aiming at.
29,29,"But you've seen guys who row crew, right?"
30,30,No.
31,31,"Okay, well, they're bigger than me."
32,32,They're worldclass athletes.
33,33,"And a second ago, you said you like guys who row crew so I assumed you had met one."
34,34,I guess I just meant I like the idea of it.
35,35,"You know, the way a girl likes cowboys."
36,36,Okay.
37,37,Should we get something to eat?
38,38,Would you like to talk about something else?
39,39,"No. It's just since the beginning of the conversation about finals club, I think I may have missed a birthday."
40,40,There are really more people in China with genius IQs than the entire population...
41,41,The Phoenix is the most diverse.
42,42,The Fly Club... Roosevelt punched the Porc.
43,43,Which one?
44,44,"The Porcellian, the Porc."
45,45,It's the best of the best.
46,46, Which Roosevelt?
47,47, Theodore.
48,48,Is it true that they send a bus around to pick up girls who want to party with the next Fed chairman?
49,49,So you can see why it's so important to get in.
50,50,"Okay, well, which is the easiest to get into?"
51,51, Why would you ask me that?
52,52, I was just asking.
53,53,None of them. That's the point.
54,54,"My friend Eduardo made $300,000 betting oil futures one summer and Eduardo won't come close to getting in."
55,55,The ability to make money doesn't impress anybody around here.
56,56,Must be nice.
57,57,"He made $300,000 in a summer?"
58,58, He likes meteorology.
59,59, You said it was oil futures.
60,60,"You can read the weather, you can predict the price of heating oil."
61,61,I think you asked me that because you think the final club that's easiest to get into is the one where I'll have the best chance.
62,62,I... What?
63,63,You asked me which one was the easiest to get into because you think that that's the one where I'll have the best chance.
64,64,The one that's the easiest to get into would be the one where anybody has the best chance.
65,65,"You didn't ask me which one was the best one, you asked me which one was the easiest one."
66,66,"I was honestly just asking, okay?"
67,67,I was just asking to ask.
68,68," Mark, I'm not speaking in code."
69,69, Erica.
70,70,You're obsessed with finals clubs.
71,71,You have finals clubs OCD and you need to see someone about it who will prescribe you some sort of medication.
72,72,You don't care if the side effects may include blindness.
73,73,"Final clubs. Not ""finals clubs."" And there's a difference between being obsessed and being motivated."
74,74,Yes. There is.
75,75,"Well, you do."
76,76,"That was cryptic, so you do speak in code."
77,77,I didn't mean to be cryptic.
78,78,I'm just saying I need to do something substantial in order to get the attention of the clubs.
79,79, Why?
80,80, Because they're exclusive.
81,81,"And fun, and they lead to a better life."
82,82,Teddy Roosevelt didn't get elected president because he was a member of the Phoenix Club.
83,83,"He was a member of the Porcellian, and yes, he did."
84,84,"Well, why don't you just concentrate on being the best you you can be?"
85,85,Did you really just say that?
86,86,I was kidding.
87,87,Just because something's trite doesn't make it less true.
88,88,I wanna try to be straightforward with you and tell you I think you might want to be a little more supportive.
89,89,"If I get in, I will be taking you to the events and the gatherings, and you'll be meeting a lot of people you wouldn't normally get to meet."
90,90,You would do that for me?
91,91,We're dating.
92,92,Okay.
93,93,"Well, I wanna try and be straightforward with you and let you know that we're not anymore."
94,94, What do you mean?
95,95, We're not dating anymore. I'm sorry.
96,96, Is this a joke?
97,97," No, it's not."
98,98,You're breaking up with me?
99,99,You're gonna introduce me to people I wouldn't normally have the chance to meet?
100,100,What the... What is that supposed to mean?
101,101," Wait, settle down."
102,102, What is it supposed to mean?
103,103,"Erica, the reason we're able to sit here and drink right now is 'cause you used to sleep with the door guy."
104,104,"""The door guy""? His name is Bobby."
105,105,I have not slept with the door guy.
106,106,"The door guy is a friend of mine, and he's a perfectly good class of people."
107,107,"And what part of Long Island are you from, Wimbledon?"
108,108," Wait. Wait, wait."
109,109, I'm going back to my dorm.
110,110, Is this real?
111,111, Yes.
112,112," Then wait, I apologize, okay?"
113,113, I have to go study.
114,114, Erica?
115,115, Yes?
116,116," I'm sorry, I mean it."
117,117," I appreciate that, but I have to go study."
118,118,"Come on, you don't have to study."
119,119,Let's just talk.
120,120, I can't.
121,121, Why?
122,122,Because it is exhausting.
123,123,Dating you is like dating a StairMaster.
124,124,All I meant is that you're not likely to...
125,125,Currently...
126,126,I wasn't making a comment on your appearance.
127,127,I was saying that you go to BU.
128,128,"I was stating a fact, that's all, and if it seemed rude, then I apologize."
129,129, I have to go study.
130,130, You don't have to study.
131,131,Why do you keep saying I don't have to study?
132,132,'Cause you go to BU.
133,133,Do you want to get some food?
134,134,I am sorry you are not sufficiently impressed with my education.
135,135,"And I'm sorry I don't have a rowboat, so we're even."
136,136, I think we should just be friends.
137,137, I don't want friends.
138,138,I was just being polite.
139,139,I have no intention of being friends with you.
140,140,"I'm under some pressure right now from my OS class and if we could just order some food, I think we should..."
141,141,"Okay, you are probably going to be a very successful computer person."
142,142,But you're gonna go through life thinking that girls don't like you because you're a nerd.
143,143,And I want you to know from the bottom of my heart that that won't be true.
144,144,It'll be because you're an asshole.
145,145,Erica Albright's a bitch.
146,146,"Do you think that's because her family changed their name from Albrecht, or do you think it's because all BU girls are bitches?"
147,147,"For the record, she may look like a 34C, but she's getting all kinds of help from our friends at Victoria's Secret."
148,148,"She's a 34B, as in barely anything there."
149,149,False advertising.
150,150,"The truth is, she has a nice face."
151,151,I need to do something to take my mind off her.
152,152,"Easy enough, except I need an idea."
153,153,"I'm a little intoxicated, I'm not gonna lie."
154,154,So what if it's not even 10:00 p.m.
155,155,And it's a Tuesday night?
156,156,Billy.
157,157,"The Kirkland facebook is open on my desktop, and some of these people have pretty horrendous facebook pics."
158,158,Billy Olson's sitting here and had the idea of putting some of the pictures next to pictures of farm animals and have people vote on who's hotter.
159,159,"Good call, Mr. Olson."
160,160,"Yeah, it's on."
161,161,"I'm not gonna do the farm animals, but I like the idea of comparing two people together."
162,162,"It gives the whole thing a very ""Turing"" feel since people's ratings of the pictures will be more implicit than, say, choosing a number to represent each person's hotness, like they do on hotornot. Com."
163,163,The first thing we're going to need is a lot of pictures.
164,164,"Unfortunately, Harvard doesn't keep a public centralized facebook, so I'm going to have to get all the images from the individual houses that people are in."
165,165,Let the hacking begin.
166,166,First up is Kirkland.
167,167,They keep everything open and allow indexes in their Apache configuration.
168,168,So a little Wget magic is all that's necessary to download the entire Kirkland facebook.
169,169,Kids' stuff.
170,170,Next is Eliot.
171,171,"They're also open, but with no indexes on Apache."
172,172,I can run an empty search and it returns all of the images in the database in a single page.
173,173,And I can save the page and Mozilla will save all the images for me.
174,174,Excellent. Moving right along.
175,175,Excuse me! Everybody!
176,176,"You are at one of the oldest, one of the most exclusive clubs, not just at Harvard, but in the world."
177,177,And I want to welcome you all to Phoenix Club's first party of the fall semester!
178,178,Lowell has some security.
179,179,"They require a user name/password combo, and I'm gonna go ahead and say they don't have access to the main FAS user database, so they have no way of detecting an intrusion."
180,180,"Adams has no security, but limits the number of results to 20 a page."
181,181,All I need to do is break out the same script I used on Lowell and we're set.
182,182,Quincy has no online facebook.
183,183,What a sham.
184,184,Nothing I can do about that.
185,185,Dunster is intense.
186,186,"Not only is there no public directory, but there's no directory at all."
187,187,"You have to do searches, and if your search returns more than 20 matches, nothing gets returned."
188,188,"And once you do get results, they don't link directly to the images."
189,189,They link to a PHP that redirects or something. Weird.
190,190,This may be difficult. I'll come back later.
191,191," Hey, Shark Week's on."
192,192, What?
193,193," Great white, beautiful fish."
194,194, Nice.
195,195,Leverett is a little better.
196,196,"They still make you search, but you can do an empty search and get links to pages with every student's picture."
197,197,"It's slightly obnoxious that they only let you view one picture at a time, and there's no way I'm going to go to 500 pages to download pics one at a time."
198,198,So it's definitely necessary to break out Emacs and modify that Perl script.
199,199,Here you go.
200,200,Done.
201,201,"Hey, what's going on?"
202,202,Perfect timing. Eduardo's here and he's going to have the key ingredient.
203,203," Hey, Mark."
204,204, Wardo.
205,205,You and Erica split up.
206,206,How did you know that?
207,207,It's on your blog.
208,208, Yeah.
209,209, Are you all right?
210,210, I need you.
211,211, I'm here for you.
212,212,"No, I need the algorithm you use to rank chess players."
213,213, Are you okay?
214,214, We're ranking girls.
215,215, You mean other students.
216,216, Yeah.
217,217,You think this is such a good idea?
218,218, I need the algorithm.
219,219, Mark...
220,220,I need the algorithm.
221,221,Give each girl a base rating of 1400.
222,222,At any given time Girl A has a rating Ra and Girl B has a rating Rb.
223,223,"When any two girls are matched up, there's an expectation of which will win based on their current rating, right?"
224,224,Yeah. And those expectations are expressed this way.
225,225,Let's write it.
226,226,One on the left.
227,227,The right.
228,228,"Yeah, still the right."
229,229, It works.
230,230, Who should we send it to first?
231,231, Dwyer.
232,232, Neal.
233,233, Who are you gonna send it to?
234,234, Just a couple of people.
235,235,"The question is, who are they gonna send it to?"
236,236,"Hey, guys, check this out."
237,237,"Someone go to the left. Dude, do left."
238,238,Look at these girls. Right or left?
239,239, Left is hot.
240,240," Left? Yeah, yeah, yeah, yeah."
241,241,Right or left?
242,242,That's my roommate.
243,243," Oh, my God."
244,244, The girl on the left.
245,245,This is pathetic.
246,246,Right.
247,247,Left.
248,248, Left.
249,249, Left?
250,250,"Oh, shit."
251,251,Albright.
252,252,He blogged about you.
253,253,You don't wanna read it.
254,254,Left.
255,255,Latina.
256,256,Erica.
257,257,Is this yours?
258,258,I stole it from a tranny.
259,259,Get the hell out of here!
260,260, Left.
261,261, One on the right.
262,262,Left.
263,263,"Man, that's an awful lot of traffic."
264,264,You think maybe we shouldn't shut it down before we get into trouble?
265,265,Hello?
266,266,"Wait, wait, wait, wait. What?"
267,267,At 4:00 in the morning?
268,268,"Well, there's a very unusual amount of traffic to the switch at Kirkland."
269,269,You're saying it's unusual for 4:00 in the morning?
270,270,"No, this'd be unusual for halftime at the Super Bowl."
271,271,All right.
272,272,I gotta go in.
273,273,What's going on?
