,Unnamed: 0,dialog
0,0,"It says: ""Welcome to Hell""."
1,1,WELCOME 6CLASS (IN HELL) This year is going to be poop.
2,2,How do you know?
3,3,Oops.  But something like that too.
4,4,I just know it.
5,5,Last year we were the kings.
6,6,Fifth graders.
7,7,We had this school under control.
8,8,Nobody likes us this year.
9,9,Yes that's true.
10,10,I stay out of it. I'm good.
11,11,I grow a mustache.
12,12,I see nothing.
13,13,Nope.
14,14,But it hit me worst of all.
15,15,Do you see that girl over there?
16,16,She will torment me at every possible opportunity.
17,17,"Wait a minute, isn't that your sister?"
18,18,Yes.
19,19,At least you have your own room.
20,20,My grandpa stole mine from me.
21,21,What? Your grandfather moved in with you?
22,22,When is that?
23,23,After his raid on the supermarket.
24,24,"Can i help you sir Yes, I want to see Maria."
25,25,"Oh, Maria is gone."
26,26,We have switched to selfcheckouts.
27,27,Much faster and more efficient.
28,28,You will like it.
29,29,Will it be cheaper if I do all the work myself?
30,30,"We have specials every day, sir."
31,31,"Seriously? Yes, sir."
32,32,Let me through. I want to go on.
33,33,"Please, no problem."
34,34,CASHBOX  Please scan an article.
35,35,I'm talking to a robot.
36,36,Please scan an article.
37,37,I will do.
38,38,Let's see if that works.
39,39,Please scan an article.
40,40,You get into my Nerv.
41,41,Please scan an article.
42,42,Yes / Yes.
43,43,"Sir  Sir Sir, you should stop."
44,44,"Wait, I'll help you up."
45,45,My leg! Go away!
46,46,"Now please, sir."
47,47,Go away! I am retired.
48,48,Get out of here.
49,49,I can judo! Go away!
50,50,Leave the poor man alone!
51,51,Your shop sucks.
52,52,Are you insane?  Stop!
53,53,"Oh, all right."
54,54,You want to mess with me.
55,55,You don't have more? That hurt.
56,56,There is my little one.
57,57,You didn't have to come here. I'm fine What happened to the mailbox?
58,58,An idiot riveted him.
59,59,Oh shit.
60,60,"Dad, are you driving again?"
61,61,"Your driver's license is gone, remember?"
62,62,"It's not gone, I forgot to have it extended."
63,63,"Now I'm supposed to take the driving test, which is idiotic because I've been driving for over 50 years. What am I supposed to do, starve?"
64,64,I'm coming in now.
65,65,It just can't go on like this.
66,66,Do not worry.
67,67,This damn shop will never see me again.
68,68,"No, I meant that I have to leave everything behind Drive two hours each way just to check on you I didn't ask you to come!"
69,69,"No, not you, but the police. Dad, I want to come, I want to be there for you."
70,70,But maybe now is the time to think about it...
71,71,"No, I will not move!"
72,72,I built and am doing this house in here the last breath.
73,73,You don't put me in a home!
74,74,What if you moved in with us?
75,75,Are you crazy? Relatives are like fish that stink after three days. Horrible ones Idea. We'd kill ourselves.
76,76,"Out of the question, sorry."
77,77,Dad!
78,78,I miss her too.
79,79,And nothing changes if you let me torn out of my house and transplanted into yours.
80,80,Oh man.
81,81,Maybe we could miss her together.
82,82,"Yes, perhaps. But there is no room in your house. Where would you put me Under the roof?  Under no circumstance!"
83,83,Now don't make it any harder than it already is. It's the only choice.
