,Unnamed: 0,dialog
0,0,"Over 100 years ago, Titans suddenly appeared and devoured most of humanity, decimating civilisation."
1,1,"The survivors built three massive concentric walls to prevent another Titan invasion, and managed a peaceful life inside."
2,2,Eren!
3,3,Chill out.
4,4,It's a dud bomb.
5,5,This blue thing must be the ocean.
6,6,So it was real.
7,7,I wonder if that bird has seen the ocean.
8,8,"Born inside the Wall, and dying inside it..."
9,9,You're fine with that?
10,10,We're starting a scout.
11,11,"Once we find new land, we're free to live anywhere."
12,12,Everyone knew that this peaceful life was only a prologue to that sound of despair.
13,13,So they're real.
14,14,I once saw the end of the world.
15,15,"It was a bloody, ugly and loud kind of hell."
16,16,"Where did they come from, and where are they headed?"
17,17,Mikasa!
18,18,"At the edge of hell, Eren lost Mikasa."
19,19,Promises trampled upon.
20,20,Futures snatched away.
21,21,Dreams chewed to shreds.
22,22,Yet we never abandoned our last strand of hope.
23,23,"In order to reclaim our farmlands, we must restore the broken Outer Wall."
24,24,"This, we vowed!"
25,25,We detonate this portion to plug that hole.
26,26,That's the mission.
27,27,Even the Scout Regiment was wiped out.
28,28,"If we fail, it'll be the end of humanity."
29,29,Now we have omnidirectional mobility gear!
30,30,Humanity decided to confront its doomed future.
31,31,Give your hearts!
32,32,Will there be light at the end of darkness?
33,33,No one wished for conflict.
34,34,Titans are not invincible.
35,35,"If the nape is severely damaged, it will perish without regenerating."
36,36,"We were saved by Captain Shikishima, the Titanslaying hero."
37,37,Wouldn't mind a hot Titan chick for once.
38,38,And at his side was Mikasa.
39,39,The world is cruel.
40,40,I'm just going to kill Titans.
41,41,"Seeing a completely changed Mikasa, Eren was confused and heartbroken."
42,42,Will you be father to my daughter?
43,43,Hiana!
44,44,I want to defeat the Titans.
45,45,Then go fly.
46,46,"The true enemy isn't the Titans, it's safety."
47,47,Overwhelmed by the waves of attacking Titans...
48,48, The explosives. That was it!
49,49, Don't!
50,50,...the troops helplessly ran.
51,51,I won't let you die here!
52,52,Eren was eaten.
53,53,Our task is still to kill Titans.
54,54,You can't! You're almost out of gas!
55,55,Our extinction was only a matter of time.
56,56,Or so it seemed.
57,57,I'm driving you all out.
58,58,A Titan attacking a Titan?
59,59,His fighting clearly demonstrates intelligence.
60,60,Revenge will never fill the gaping hole in one's heart.
61,61,I've never seen this!
62,62,We only lose ourselves.
63,63,Is he on our side?
64,64,Like hell he's on our side!
65,65,Hearts are stirred.
66,66,Eren?
67,67,Cut open his nape.
68,68,The cells will assimilate!
69,69,Where did they come from?
70,70,Where are we headed?
71,71,"Without fighting, we can't win."
72,72,Which of us will survive?
73,73,This will sting a bit.
74,74,Good boy.
75,75,You did that to your own son?
76,76,"Dear, we already tested on our first child."
77,77,I want to identify what triggers explosive cell divisions.
78,78,You call yourself a father!
79,79,Open the door.
80,80,Open it!
81,81,"Open up, professor."
82,82,Open up!
83,83, Take care of Eren.
84,84, I will.
85,85,Quite a library.
86,86,"Professor, how did you manage to collect so many books?"
87,87,We've been purging them for 100 years.
88,88,Don't!
89,89, Please!
90,90, You violated the law.
91,91,Let go!
92,92, Stop!
93,93, Be quiet!
94,94,Foolish!
95,95,Don't you think?
96,96,"People, I mean."
97,97,"For ages, the world saw no end to wars."
98,98,"There was a desire to become stronger, richer."
99,99,"To that end, people built weapons, made scientific advancements and expanded their knowledge."
100,100,Do you think that ever led to the end of conflicts?
101,101,"There were some who said then, ""Humanity will unite when a common enemy appears."" Over 100 years ago, that common enemy actually appeared."
102,102,The Titans!
103,103,"Faced with extinction, our forefathers built the Walls and trapped themselves inside."
104,104,But that turned out to be a blessing.
105,105,"People preciously shared the limited land, food and resources."
106,106,Conflicts disappeared as everyone became equal.
107,107,"By binding themselves, people found that their hearts became richer."
108,108,"And by restricting the knowledge and technology at the root of conflict, we managed to secure eternal peace, at last."
109,109,But what happens if there's a human who can become a Titan?
110,110,"I ask you, are you a human? Or a Titan?"
111,111,Are you a human or a Titan?
112,112,I asked you a question.
113,113,I'm human.
114,114,Humans don't regenerate limbs that have been ripped off.
115,115,Everyone witnessed him become a Titan and then emerge out of the Titan.
116,116,I said I'm human!
117,117,"Tell him, guys!"
118,118,"I'm human, right?"
119,119,Where's Captain Shikishima?
