,Unnamed: 0,dialog
0,0,"""The story, names, characters and incidents portrayed in this film are ficticious."" ""Any resemblance to actual events is purely coincidental.â Look!"
1,1,Know what's inside that plant?
2,2,What?
3,3,A robot!
4,4,A humongous robot!
5,5,You're so stupid!
6,6,"It's not a robot, but a rice cooker!"
7,7,Says who?
8,8,My brother!
9,9,A huge rice cooker boils water and makes electricity.
10,10,There's no rice cooker that big!
11,11, No way!
12,12, Yeah!
13,13,My brother told me.
14,14,"Because of that, we live in comfort."
15,15,And that will make our country rich.
16,16,We should be thankful!
17,17,No way!
18,18,My teacher said...
19,19,What was it?
20,20,She called it some box.
21,21,"If we open it, it'll be trouble!"
22,22,What trouble? No way!
23,23,That thing's great!
24,24,You'll see.
25,25,Pandora.
26,26,"Uncle Jaehyuk, wake up!"
27,27,"Granny says if you don't, you're dead!"
28,28,Tell her to shoot me.
29,29,Granny! He won't wake up!
30,30," Quiet, Minjae."
31,31, Let me go!
32,32,Come out now!
33,33, Why you!
34,34, I'm up.
35,35,Get up and look!
36,36,"They're all here early, getting ready for work."
37,37,Who says you deserve to sleep in?
38,38," More rice, please!"
39,39, Yes!
40,40,Throw it out!
41,41,Come out and eat!
42,42,So lazy!
43,43,Move!
44,44, Finally up?
45,45, Let's eat.
46,46,Not calling in sick?
47,47,Nope!
48,48,No hangover.
49,49,I woke up no problem.
50,50, We should make money.
51,51, Right!
52,52,Fools...
53,53,It's just petty cash.
54,54,You drunk!
55,55,This will help with hangover.
56,56,Just for the brotherinlaw?
57,57,What about us?
58,58,Sorry.
59,59,I only had enough for one.
60,60,What?
61,61,"Minjae, wash up!"
62,62,President Kang returned from a fiveday visit to the middle east.
63,63,President returns from middle east.
64,64,That man is always on the go.
65,65,He's trying to revive our economy.
66,66,The young man works hard.
67,67,He landed plant project orders worth $5 billion...
68,68,What?
69,69,What's that for!
70,70,"You had drinks with girls last night, didn't you?"
71,71,How far did you go with them?
72,72,We just drank.
73,73,Nothing happened.
74,74,I swear!
75,75,You're getting it today.
76,76,"Mrs. Seok, I'll be going."
77,77,Why not take him and break his legs.
78,78,"I will, later."
79,79," Take care, ma'am."
80,80, Bye.
81,81,"Hey, Jaehyuk."
82,82,She's got you on a leash!
83,83,I got hangover and all.
84,84,Can't I skip work today?
85,85,Then you and I can...
86,86,Fight to death!
87,87,Wanna die?
88,88,Fine! I'll go!
89,89,"Minjae, hurry!"
90,90,Don't be like your uncle.
91,91,Hey!
92,92,We want a nuclear free world!
93,93,Shut down nuclear reactors!
94,94,Away with nuclear plants!
95,95,No more nuclear plants!
96,96,Shut down nuclear reactors!
97,97,They're so annoying!
98,98,When will they ever stop?
99,99,I'm sick of it!
100,100,When can we go in?
101,101,Move!
102,102,You use electricity too!
103,103,You live in comfort thanks to that!
104,104,So move!
105,105,Wake up!
106,106,Like making money there?
107,107,"If you don't shut down unit 1, we're all dead!"
108,108,You've said that for years!
109,109,Cut it out and move!
