,Unnamed: 0,dialog
0,0,"contact www.SubtitleDB.org today At the midpoint on the journey of life, I found myself in a dark forest, for the clear path was lost."
1,1,"I cannot well recount how I entered the wood, so long had it been since I abandoned the true way."
2,2,How shall I say what a dreary and horrid wood it was?
3,3,So bitter to endure that death itself would be but little worse.
4,4,"Several times upon my journey home, I had sensed an unseen rider trailing my steed."
5,5,"Yet, when I approached, the rider vanished, leaving no trace."
6,6,I feared this figure as an evil omen.
7,7,All my life I've known such signs and portents.
8,8,"And lo, at the rise of the hill, I saw a spotted leopard, all teeth and fury."
9,9,"At the sight of these beasts, my heart sank."
10,10,"I sensed danger not for myself, but for my beloved Beatrice."
11,11,"Away, demon!"
12,12,"I drove my steed on, racing for my father's villa."
13,13,And Beatrice... nothing in this world meant more to me than she.
14,14,"You were right, Dante."
15,15,Truly this is a divine place.
16,16,Paradise on Earth.
17,17,"Beatrice, will you take my hand in marriage, under God and all that is holy?"
18,18,"Dante, I will not marry you only to see you dead in this crusade."
19,19,Jerusalem must be made Christian once more.
20,20,God is with us. We cannot fail.
21,21,"Through three years of war and horror, my love for Beatrice had only grown stronger."
22,22,"As I came upon the family estate, I found all unnaturally dark and still."
23,23,"Fearing the dreaded omens, I entered."
24,24,The servants. All butchered.
25,25,"Father. Oh, Father."
26,26,"Beatrice! Lord, let her be alive!"
27,27,In the name of God.
28,28,Where is...
29,29,"Oh, no. No."
30,30,"Beloved, are you all right?"
31,31,Beatrice.
32,32,Is it you or a dream?
33,33,Who did this to you?
34,34,I know not.
35,35,A stranger. A foreigner.
36,36,Do you remember that night before you left?
37,37,What we said?
38,38,I remember.
39,39,Did you betray me?
40,40,Never.
41,41,I never should have left your side.
42,42,Forgive me.
43,43,What?
44,44,Do my eyes deceive me?
45,45,"Fear not for me, my love."
46,46,I told him you would be true to me.
47,47,I knew you would.
48,48,No! Wait! Come back to me!
49,49,What is this?
50,50,God in Heaven!
51,51,What? Dante?
52,52,She is mine.
53,53,No!
54,54,I have come to take what was promised me...
55,55,a soul meant for Heaven.
56,56,It can't be true.
57,57,Dante would never betray me.
58,58,Beatrice!
59,59,"Release her, devil!"
60,60,"Dante, help me!"
61,61,No!
62,62,This will not stop me!
63,63,Nothing will stop me!
64,64,No!
65,65,What?
66,66,No!
67,67,"God, give me strength!"
68,68,"Come with me, mortal, if you have the courage."
69,69,"Dante, don't let him take me!"
70,70,Beatrice!
71,71,You will not keep me from my beloved!
72,72,"Dante, you lied to me! I trusted you!"
73,73,You've got to save me! Dante!
74,74,I'm coming for you!
75,75,I won't let him hurt you!
76,76,Beatrice! No!
77,77, Martyr.
78,78, You lost her.
79,79, Martyr.
80,80, You lied to her.
81,81,You lost her.
82,82,Never will you know her flesh again.
83,83,Never will you know her love.
84,84,Her sin.
85,85, Martyr. Martyr.
86,86, You lost her!
87,87, Her desire.
88,88, You lied to her.
89,89, Your sins.
90,90, Never will you know her flesh again.
91,91,Your sins.
92,92,Never will you know her flesh.
93,93,You are bound.
94,94, Martyr.
95,95, You lied to her.
96,96, Martyr.
97,97, Martyr.
98,98,"Why, God?"
99,99,Why are you doing this?
100,100,"It is not the Lord that brought you to this fate, Dante."
101,101,What are you? Shade or living man?
102,102,"Not man, though once I was."
103,103,I lived under Augustus in the time of the false and lying gods.
104,104,"Are you not Virgil, glory of the poets?"
105,105,"He who wrote the Aeneid, the treasure of Rome?"
106,106,"Why do you seek such woe, Dante?"
107,107,I seek only my beloved Beatrice and nothing more.
108,108,But I cannot open these accursed gates!
109,109,"Have you lost all faith in God, O man?"
110,110,Has the way been so obscured?
111,111,"Heavenly Father, if only one soul should be saved, please let it be Beatrice."
112,112,Help! Help!
113,113,"Dante, if you broke your promise to me, I'll be forever damned."
114,114,Are you prepared to be judged in this place?
115,115,Do you think you are without sin?
116,116,"Please, don't let him take me!"
117,117,Beatrice. Beatrice!
118,118,What did Beatrice do to deserve such a monstrous fate?
119,119,She made a wager with Lucifer to see your safe return.
120,120,She lost.
121,121,Wager. What wager?
122,122,Lucifer bet that you would betray her love.
123,123,I never betrayed her.
124,124,"You only deceive yourself, mortal."
125,125,"By all that is holy, I vow to forsake all pleasures of the flesh until I return from this noble crusade."
126,126,I gave myself to you because I know you will be faithful to our love.
127,127,"And when I return, we shall be married."
128,128,And live to grow old and see our grandchildren have children.
129,129,I love you more than Heaven itself.
130,130, Take this.
131,131," But, Beatrice, this has been in your family for generations."
132,132,It is a true relic said to contain a thorn from the crown of Christ.
133,133,Bring it back to me.
134,134,"Great Virgil, lead me into the Inferno."
135,135,"I beg of you, please!"
136,136,I must save Beatrice even if it means my death.
137,137,"I will guide you, but you must put aside all division of spirit and gather your soul against all fear."
138,138,I fear nothing.
139,139,Then proceed.
140,140,"Charon will carry us to the first circle of Hell, Limbo."
141,141,"Nine circles comprise the Inferno, with Lucifer residing in the lowest."
142,142,"Horrifying, yes."
143,143,There are more damned in Hell...
144,144,than liberated in Paradise.
145,145,I can see their sins in life.
146,146,Charon's boat has grown wide and mighty over the millennia.
147,147,He has had to compensate for the everincreasing damned.
148,148,Through me the way to the city of woe.
149,149,Through me the way to everlasting pain.
150,150,I don't like the look of this.
151,151,"Now shall I ferry you into the fire, the cold and the everlasting darkness."
152,152,"Abandon hope, all ye who enter here."
153,153,How could God allow this?
154,154,"God allowed free will, even for his angels."
155,155,It was Lucifer that devised such torment.
156,156,"Mercenaries of Florentina, in payment for reclaiming the Holy Land, your Immaculate Father hereby absolves you of all your sins."
157,157,Go with grace.
158,158,Praise God.
159,159,Do you think a priest has such divine power?
160,160,Can he truly absolve us of sins so easily?
161,161,"Of course, Francesco."
162,162,Why would you doubt the Church?
163,163,"That is the path to Hell, my friend."
164,164,How soon until you leave?
165,165,"Tomorrow, before dawn."
166,166,"Dante, promise to watch over my brother."
167,167,"Beatrice, I'm no child."
168,168,"No harm will come to him, my love."
169,169,I'll protect him as if he were my own.
170,170,"You who are living, be gone from those who are dead."
171,171,"I will not part, Charon!"
172,172,I must cross!
173,173,I give you my soul to find Beatrice!
174,174,"It belongs to us already, mortal."
175,175,"Your will is nothing, mortal."
176,176,You will never traverse the circles of Hell.
177,177,"Take me to Beatrice, demon!"
178,178,"Virgil, where did you disappear to?"
179,179,"I am pure spirit, Dante."
180,180,I cannot help you fight your enemies.
181,181,I am naught but a guide.
182,182,Dante! Can you hear me?
183,183,Can anyone hear me?
184,184,Dante?
185,185,Thank God.
186,186,I knew you would find me.
187,187,Dante?
188,188,"Beatrice, my love."
189,189,Is... Is that you?
190,190,No! Dante!
191,191,"No, stop! Stop, Dante!"
192,192,What's happening?
193,193,How many ways can a man die?
194,194,No!
195,195,"Come to me, Beatrice."
196,196, I want to admire you.
197,197, No. Let me go.
198,198,"There is not only suffering in Hell, my love."
199,199,"There are untold pleasures here, pleasures your human senses could not fathom."
200,200,Never!
201,201,"There is nothing you can do to hurt me, child."
202,202,"What you perceive of me is a literal shadow of my former self, but you..."
203,203,you can die a thousand deaths by my will.
204,204,What?
205,205,"Think of the tortures I can create for such a pure, delicate, angelic soul."
206,206,"Tell me more about your life on Earth, great poet."
207,207,"I know your deeds, but not the man you were."
208,208,Publius Vergilius Maro was my name.
209,209,"I was the son of a commoner, and though I died a dozen years before the birth of Christ, I foretold his coming in my works."
210,210,"What is this place, Virgil?"
211,211,"The first circle of the Inferno, Limbo."
212,212,"Here suffer those that did not sin, yet did not have the required faith."
