,Unnamed: 0,dialog
0,0,Welcome to The Toni Post Show.
1,1,"I am your host, Toni Post. I love life."
2,2,I love life. I love life.
3,3,I love my job.
4,4,You know why I love my job?
5,5,I get to wake up each morning and spend it with you.
6,6,That's right. That's right.
7,7,And I mean that.
8,8,"We're talking about real things, about real people."
9,9,We're gonna get down and get dirty.
10,10,That makes a difference.
11,11,All right. Let's start with our first guest.
12,12,"Connie Phillips from Chicago, Illinois."
13,13,Hi.
14,14,We want to ask you first...
15,15,how do you feel about this friend we've heard so much about?
16,16,"Well, I'd walk through fire for her."
17,17,"She's not just a friend, she's my best friend, you know?"
18,18,Your best friend. Right.
19,19,"And tell me, how long have you been having sex with her husband?"
20,20,A little over a year now.
21,21,He doesn't love her. He loves me.
22,22,Does she know why she's gonna appear on our show today?
23,23,She thinks she's here for a makeover.
24,24, Ouch.
25,25," Ha, ha, ha!"
26,26,Ouch. That's gotta hurt.
27,27,"You know, I'm sure we're all wondering here..."
28,28,"why you chose to reveal this to her, your friend, on national television."
29,29,Because I want her to hear my point of view.
30,30,"I really want her to hear me, you know?"
31,31,Fair enough. Let's bring her out.
32,32,"Let's bring out your friend, Birdee."
33,33,Come on. Give Birdee a big hand.
34,34,"There you are, Birdee."
35,35,"So tell us, how do you feel?"
36,36," I'm perfectly delightful, thank you."
37,37, Okay.
38,38,"Birdee, do you recognize the voice of the person sitting next to you?"
39,39,"Hi, Birdee."
40,40," Connie? My best friend, Connie?"
41,41, Absolutely correct.
42,42, Go ahead and take off your blindfold.
43,43, Don't do it!
44,44,"Oh, my God."
45,45,Hi.
46,46,Hi.
47,47,"Birdee, Connie is your best friend?"
48,48,She's my best friend.
49,49,And she told us that she loves you very much.
50,50,Yeah. I love you too.
51,51,The last thing that she wants to do is to hurt you in any way.
52,52,Connie.
53,53,Birdee...
54,54,Billy and I are having an affair.
55,55,He doesn't love you anymore.
56,56,He wants to marry me.
57,57,What?
58,58,Connie wants you to know that your friendship is very important to her...
59,59,"and she loves you very much, Birdee."
60,60,Have you been sleeping with him?
61,61,"Well, yeah."
62,62,"Actually, Connie told us that she had sex with your husband, Bill..."
63,63,in your home on your living room floor.
64,64,I want to hear what Bill has to say.
65,65,How about you?
66,66,You want to hear from Bill? All right.
67,67,Let's bring Bill in.
68,68,"Come on in, Bill. Join us, won't you?"
69,69,That's right.
70,70,"Come on, come on, come on."
71,71,"Bill, thank you for appearing on The Toni Post Show."
72,72,"Thank you, ma'am."
73,73,"Go ahead and take off your blindfold, Bill."
74,74,Bill...
75,75,are you having an affair with your wife's best friend?
76,76,"Yes, ma'am."
77,77,All right. That's it.
78,78,We've gotta take a break.
79,79,We're gonna be back with more sizzle on The Toni Post Show.
80,80,"You join us, now."
81,81,"Bernice, did you get my suitcase in the car?"
82,82,Yes.
83,83,"Yeah, Mama, we should be there a few days."
84,84,"Well, if it's not an inconvenience."
85,85,Oh.
86,86,All right.
87,87,Me too. Byebye.
88,88,"Don't look back, sweetheart."
89,89,It's bad luck.
90,90,Turn around.
91,91,Put on your seat belt.
92,92,Take the wheel.
93,93,"Bernice, don't be a baby."
94,94,Just take the wheel.
95,95,Come on.
96,96,Come here.
97,97,Okay. Thank you.
98,98,Here we go.
99,99,"""Dear Princess, I know you're confused now and I don't blame you."" I want you to know none of this is your fault."
100,100,This is between your mom and me.
101,101,Not a day will go by when I won't think about you and wish you were with me.
102,102,"""I love you, honey. Be nice to your mom."
103,103,"All my heart, Daddy."" Baby, baby I'm aware of where you go Each time you leave my door I watch you walk down the street Knowing your other love You're gonna meet This time before you run to her Leaving me alone and hurt Think it over Haven't I been good to you?"
104,104,Think it over What's that funny smell?
105,105,Cows.
106,106,Is this where you were cream of corn?
107,107,"Queen of Corn, honey, three years running."
108,108,A feat unsurpassed in the history of Smithville.
109,109,Oh.
110,110,"Okay, so maybe that was a long time ago..."
111,111,"but believe me, honey, once upon a time, your mama knew what it meant to shine."
112,112,"Before you break my heart Think it over Oh, you're here."
113,113,You're actually here.
114,114,"Oh, my baby. My babies."
115,115,Bernice.
116,116,Take this with you.
117,117,"Oh, look at you."
118,118,You are so pretty.
119,119,"You look just like my mama, you know that?"
120,120, And Bird...
121,121," Hey, Mama."
122,122,"Birdee, you take up drinking?"
123,123,"No, I have not."
124,124,"You mean, this is you stone sober?"
125,125,You look just awful.
126,126,"Well, I feel awful, Mama."
127,127,"Well, you look it."
128,128,"Well, I feel it."
129,129,"Well, you look it."
130,130,"Here, let me take one of those."
131,131,"Come on, honey, I got a present for you."
132,132," Here, Mom."
133,133, I just can't believe you're here.
134,134,"Okay, now."
135,135,Okay.
136,136,That's a present from your grandpa and me.
137,137, How is Daddy?
138,138," Oh, he's fine."
139,139,"He has a cold this week, so we can't see him till Saturday."
140,140, But he's fine.
141,141, Good.
142,142,It's a bunny purse.
143,143,You don't like stuffed animals?
144,144,That's all right.
145,145,We'll get you settled first.
146,146,"But be very quiet, because we don't want to wake up Travis."
147,147,"You remember your cousin, don't you?"
148,148,"He got so excited waiting for you all to arrive, he just pooped out."
149,149,You see those?
150,150,They're scaredycats.
151,151,Get it?
152,152,Your grandpa made a fortune off of them.
153,153,"Birdee, lock the door."
