,Unnamed: 0,dialog
0,0, Hey!
1,1," Now, that, there it is, uh, $40, it's a whole, what, fair deal."
2,2,"Forty dollars. Come on, now, give me a 45, 45, anybody?"
3,3,"Hey, right there, bidding is 45."
4,4,"Thank you, son, I appreciate it."
5,5,Nice hairdo.
6,6,"All right, come on!"
7,7,Anybody got 50 Fifty goin' once.
8,8,Fifty goin' twice.
9,9,Sold that hog for a $50 bid!
10,10,"Yes, sir, that's a good hunk of pork ya got there, mister."
11,11,Fill that up with some onions and shrooms...
12,12,"Well, folks, uh, planting time is upon us."
13,13,"I'm sure y'all gonna be harnessin' up your donkeys, your oxen, your mules."
14,14,and bustin' sod this spring.
15,15,But I wanna show you somethin' real special tonight.
16,16,It's a new item here at Bemus' Travelin' Auction.
17,17,"Now, hey, it's a pricey item, make no mistake."
18,18,"But somethin' like this could change your Yes, sir! Make it a whole lot easier."
19,19,"Now, the problem with a mule or a horse is that, even though they're strong, they're just so dang stupid!"
20,20," I don't wanna be the butt, Shank."
21,21," Shut up, Ollie!"
22,22,You see what I mean?
23,23,"Strength, yeah."
24,24,"Brains, eh, not so much."
25,25, But what if you could have both?
26,26, Yeah.
27,27,"Bring 'em in, boys!"
28,28,Would ya look at that.
29,29,"Gentlemen, these are thoriphants."
30,30,"Just you look at that strong back, those legs..."
31,31,much stronger than any mule or ox.
32,32,But this right here's the best part.
33,33,"What's your name, little feller?"
34,34,"I said, what's your name, son?"
35,35,M Mosley.
36,36,It can talk!
37,37,Look! Look!
38,38,You see what I mean?
39,39,Very articulate.
40,40,Now just imagine the possibilities.
41,41,An animal stronger than what's pullin' your plow now...
42,42,"Mama, what's going on?"
43,43,...but able to think.
44,44, Maybe even do chores around the farm.
45,45, Mama?
46,46,"You see, a..."
47,47,a thoriphant is a...
48,48,"creature you can treat like an animal, but depend on like a man."
49,49,These animals are all the rage south of Enoch.
50,50,And old Bemus has brought 'em to you special today!
51,51,With a little help...
52,52,from a friend of mine.
53,53,We'll start the biddin' for this young feller here at $300.
54,54, Who'll give me three?
55,55," Oh, yeah!"
56,56," There, $300 biddin' now, 325."
57,57, Oi!
58,58, Who'll give me 325?
59,59, Over here!
60,60,"Right there, 325."
61,61,Who'll give me All muscle and brain!
62,62,"Why, you're lookin' at Mama, what's happening?"
63,63,Come on! This thing can talk.
64,64,"Come on, 375 there Mama?"
65,65,Somebody give me $800.
66,66,You!
67,67,"Right there it is, goin' twice..."
68,68,Sold to the gentleman for an $800 bid.
69,69,"Hey, right there you get 45, thank you, son, I appreciate Mama!"
70,70,Papa.
71,71,"Have a nice day, Mosley."
72,72,I'll see ya later.
73,73,"Chickie, come here."
74,74,"Good morning, sir."
75,75,Haya!
76,76,Follow my tracks in the dust.
77,77,Are you good chickie?
78,78,You're a good chickie.
79,79,Ugh.
80,80,Get back with your sons.
81,81, I don't want my sons to see  Then why is your lanes too good Shank! Ollie!
82,82,"Don't you make me pull this wagon over, now."
83,83,You're not a nice person.
84,84,Would you look at that old hermit.
85,85,"How long has he been out here, Bemus?"
86,86,Since he lost Edna.
87,87,"Gentlemen and ladies, brats of all ages, it's Bemus' Travelin' Medicine Show, bringin' ya the finest linaments, ointments, elixers, and other healthrelated products."
88,88,Bemus.
89,89,Did you bring the seed I ordered?
90,90,"Yeah, but seeds don't pay the rent, slick, when times are hard."
91,91,"So if you give me half a minute here, I got to move some product."
92,92,"My gracious, son, look at you."
93,93,You're covered in chigger bites.
94,94,"I mean to tell ya, it's somethin' awful."
95,95,You scratch and you scratch until it start bleedin'.
96,96,Whatever can be done?
97,97,Is there no hope for the working man?
98,98,Now that's why you need Bemus' Salve Ointment!
99,99,"Hey, Turpin."
100,100,I haven't seen you in a while.
101,101, How's your leg?
102,102," Hello, Mosley."
103,103,"Oh, it's a little stiff."
104,104,"I manage, though."
105,105,"Papa, Papa, are you ready to go now?"
106,106,Are you ready to go now?
107,107," Come on, the ti Oh."
108,108, Shh.
109,109,Sorry.
110,110,"I won't do it anymore, I promise."
111,111," Hello, Rue."
112,112," Mr. Turpin, guess what I found today."
113,113, Huh?
114,114, It's in the gullies. It's a cave.
115,115, A what?
116,116," It's in the gullies, in a cave!"
117,117,"There's a slide in there, and I was like, whoa!"
118,118,"And they all went down, and I was like, whoo!"
119,119," Rue, now is not a good time."
120,120," Come on, Rue. Papa's working."
121,121,Slashin' prices left and right!
122,122,Somebody lock me up!
123,123,"All right, Bemus."
124,124,You ain't just tryin' to sell me salve.
125,125,Now why are you really here?
126,126,"Okay, okay, okay."
127,127,He's why I'm here.
128,128,"This young'un's ready to go to auction, and it's big enough now, oh, is he  Oh, he's sort of big enough."
129,129, No!
130,130," NotNot now, anyhow."
131,131," Aw, come on."
132,132, I'll make us a good prosperingin'.
133,133, No!
134,134, That's the thanks I get...
135,135," Inside, Rue."
136,136,Unbelievable!
137,137,"You've gotta start thinkin' like a businessman, Simon."
138,138,You know what?
139,139,"If I were you, I'd add Beggars Field over there to your property."
140,140,"Plant somethin' real quick, and and claim it as your own..."
141,141,"before too many folks move out here from town, Simon."
142,142,No.
143,143,I don't know when I'd find the time.
144,144,Time?
145,145,What you ain't  That field's no good.
146,146," Mosley, no."
147,147," Uh, son, that's what you're gonna get  Sir?"
148,148, if you don't  Huh?
149,149,"Uh, ssorry, I didn't I don't mean to interrupt..."
150,150,"You see, there's a reason no one's ever planted in that field."
151,151,"It's full of roots and stones, uh..."
152,152,What's this?
153,153,Have you started taking advice from your animals now?
154,154,Nobody asked you...
155,155,Mosley.
156,156," Where you going, Papa?"
157,157," Come on, Rue."
158,158,Mosley?
159,159,"Come here, quick."
160,160,The calf is moving.
161,161,Wow!
162,162," He's active, isn't he?"
163,163, He?
164,164, Could be a she.
165,165," Oh, yeah, it could be, but, I don't know, I've got a feeling  about this one."
166,166," Oh, a feeling, huh?"
167,167,All right. But that didn't work too well for you last time.
168,168,It didn't? I thought I s I thought I said a boy last time.
169,169,Nope.
170,170,You said a girl.
171,171, I did?
172,172, Ah!
173,173,The tower is falling down!
174,174,"Well, we got a boy all right."
175,175,I've been lookin' forward to this all day.
176,176,"Papa, are you ready, are you now?"
177,177,"Come on, let's go, big guy!"
178,178,Go where?
179,179,My new hiding place in the gullies. Come on!
180,180,"Maybe another day, Rue, all right?"
181,181, It's late. I'm tired.
182,182, Mosley.
183,183,You oughta see this.
184,184, See what?
185,185, His hiding place.
186,186," What, now?"
187,187, Yes.
188,188,Why?
189,189,This one sounds...
190,190,different.
191,191,Sounds different?
192,192,"All right, guys, look, I'm sore."
193,193,I wanna go to bed.
194,194,"If I'm gonna plow that field tomorrow, at least I want a good night's sleep."
195,195,"Papa, do you know what I would do if I had hands?"
196,196,What did you say?
197,197,"If I had hands, do you know what I would do?"
198,198,Hands?
199,199,Like Simon has 'em?
200,200,"Rue, what are you talking about?"
201,201,Mosley...
202,202,you should see this.
203,203,"Over here, Papa, it's just over here!"
204,204,"All right, I'm comin'."
205,205,Lightning bugs?
206,206,Great luck!
207,207,Now we won't get lost in the darkness.
208,208, Woohoo!
209,209," Hey! Hold on, just slow down a little bit."
210,210,"Over here, Papa, it's just over here!"
211,211,"âª Happy bugs, I love you You're so happy, I love you âª Hey, uh, does your mom know how far away you're going?"
212,212,And he's gone.
213,213,"Down here, Papa!"
214,214,It's down here!
215,215, Come on!
216,216," All right, I'm comin'."
217,217,Gimme a minute.
218,218,"Hey, Papa!"
219,219,Oop.
220,220,"Hey, Papa."
221,221,"All right, Rue, where is this place?"
222,222,This is further out than I was planning to go.
223,223,Come on!
224,224,It's just over here!
225,225, Yahoo!
226,226," Rue! Oh, no. No, no, no, no."
227,227,Rue!
228,228,Rue!
229,229," Down here, Papa! It's fun!"
230,230," Well, don't move!"
231,231,"I'll b I'll be, uh..."
232,232,Huh?
233,233,"Oh, no!"
234,234,Whoa.
235,235,"Oh, my gosh, wh What is this?"
236,236,"It's our new hiding place, Papa."
237,237,And someone even drew on the walls.
238,238,"They're thoriphants, just like us, but they have hands."
239,239,They walk upright.
240,240," Their backs, they're not bent."
241,241, And they have hands.
242,242,They're so tall.
243,243,And they have hands.
244,244,And they have hands.
245,245,Look at 'em.
246,246,That one over there's playing a flute.
247,247,And that one over there's smoking a pipe!
248,248,Rue...
249,249, How far does this go?
250,250, Come on.
251,251,I'll show you.
252,252,Have you gone that far in?
253,253,No. I waited to go 'til you'd go with me.
254,254,It's too scary in the dark.
255,255,"Papa, are they real, or did someone just make them up?"
256,256,"Hello, Mosley."
257,257,You've been looking at my drawings again.
258,258,I used to be better at it.
259,259,"The fewer teeth I have, the harder it is to hold the chalk."
260,260,"What are they, Mr. Turpin?"
261,261,They are what we used to be.
262,262,Once there were two great families of thoriphants.
263,263,One fled to the north to escape the evil of men.
264,264,The other was left behind.
265,265,We are the descendants of those who remained.
266,266,"And over time, under the oppression of men, we changed."
267,267,Hands were of no use.
268,268,We had strong backs...
269,269,bent for labor.
270,270,"Well, why haven't they come for us?"
271,271,They don't know we're here.
272,272,"They thought they were the last thoriphants in the world, But some believe one day they will come back, marching through the fields to rescue us ten feet tall with massive arms."
273,273,"Time to work, you miserable animals."
274,274,No.
275,275,They're not real.
276,276,It's just a cruel thing to hope for.
277,277,"Come on, Rue."
278,278,Let's go home.
279,279, But Papa...
280,280," It's already late, son, and we need to get back."
281,281,"Yes, sir."
282,282,"Goodnight, Rue."
283,283,"Papa, do you know what I would do..."
284,284,if I had hands?
285,285,No.
286,286,What would you do?
287,287,Well?
288,288,Did you see it?
289,289,"It's a cave, Bera."
290,290,"It's not just a cave, Mosley."
291,291,It's proof...
292,292,"proof that the Uprights really exist, that they could be out there somewhere."
293,293,That cave could lead us to them.
294,294,The Uprights are just a fairy tale.
295,295,"Well, don't you at least want to find out how far that cave goes?"
296,296,"No, I don't. I..."
297,297,I have to work tomorrow.
298,298,"Hey, besides, didn't we agree not to tell Rue  any stories about Uprights?"
299,299, I didn't tell him.
300,300,He found them in the cave.
301,301, No!
302,302, I know at least four other farmers lookin' to buy a young calf like Rue.
303,303, No.
304,304, He's a full year older than Mosley was when I sold him to ya.
305,305,"You're just not thinkin' like a businessman, Simon."
306,306,"Okay, Bemus."
307,307,"Once the new calf is born, you can take Rue."
308,308,"Whoo! Yes, siree!"
309,309,I'll drink to that.
310,310, Hoo!
311,311, Mosley.
312,312,"Please, do something."
313,313,I will.
314,314,I'll talk to Simon tomorrow.
315,315, I think that  Talk?!
316,316,You heard what they said.
