,Unnamed: 0,dialog
0,0,"Subtitles by explosiveskull ""You are about to meet a strange people ""in a strange enemy country."
1,1,"""You must keep clear of the Germans."
2,2,"""You must not..."
3,3,"""...fraternize."" What does that mean?"
4,4,It means we shouldn't be friendly to them.
5,5,"This house is requisitioned for British use by order of the Control Commission, Germany."
6,6,"You'll forgive us, Fraulein."
7,7,It belongs to a family Lubert.
8,8,"He's an architect, sir."
9,9,All change.
10,10,"He's meeting you here, is he?"
11,11,Susan.
12,12, How was your trip?
13,13, Long.
14,14,"Quick, let's get home."
15,15,Rachael.
16,16,"Hello, Lewis."
17,17,My God. Look at you.
18,18,It's freezing.
19,19,It is.
20,20,Here.
21,21,Let me take this.
22,22,Welcome. Please come inside.
23,23,Let me show you the house.
24,24,"Please, come inside."
25,25,Let me show you the house.
26,26,They're still finding bodies.
27,27,"There's over 25,000 dead still unaccounted for."
28,28,How are you?
29,29,Good. Fine. You?
30,30,It's...
31,31,It's been difficult.
32,32,"For you, too, I expect."
33,33,For all of us.
34,34,We dropped more bombs on Hamburg in one weekend than fell on London in the whole of the war.
35,35,That's different.
36,36,Yeah.
37,37,"Thank you, Barker."
38,38,Colonel Morgan.
39,39, Welcome.
40,40, Herr Lubert.
41,41,Please come inside.
42,42,Let me show you the house.
43,43,"This is my wife, Mrs. Morgan."
44,44,How do you do?
45,45," After you, Mrs. Morgan."
46,46, Thank you.
47,47,The finest room of the house.
48,48,"It's lovely, isn't it, darling?"
49,49,It's very modern.
50,50,"Yes, it is."
51,51,That's a Steinway.
52,52, An excellent instrument.
53,53, Yes.
54,54,Do you play?
55,55,"Actually, I've rather let it slip."
56,56,"Well, it will be good to have it played again."
57,57,What was up there before?
58,58,A painting.
59,59,It was damaged.
60,60,I haven't replaced it yet.
61,61,So the main staircase is this way.
62,62,Our library.
63,63,Herr Lubert's an architect.
64,64,Was.
65,65,Now I'm a metal press operator.
66,66,Shall we?
67,67,Die Elbe.
68,68,"It flows all the way to the, uh..."
69,69,"I'm sorry, I don't have the English."
70,70,The Deutsche See?
71,71, North Sea.
72,72," The North Sea, yes."
73,73,It's all the same sea in the end.
74,74,Indeed.
75,75,It's cold.
76,76,Can we go in?
77,77,I hope you can be as happy here as we were.
78,78,My daughter and I will stay out of your way until we move to the camp.
79,79,Thank you.
80,80,"You should have told me, that's all."
81,81,What?
82,82,Thinking of our honeymoon.
83,83,My God.
84,84,You look beautiful.
85,85,You've still got this.
86,86,Of course.
87,87,You're smoking?
88,88,Dr. Mayfield said that it would help with my nerves.
89,89,And has it?
90,90,"The cabin, you remember?"
91,91,With its leaky roof.
92,92, It rained for two weeks.
93,93, It did.
94,94,"And, my God, that cold."
95,95,You burnt my books.
96,96,"Well, I had to."
97,97,I had no choice.
98,98,It was Agatha Christie.
99,99,You might have waited until I found out who did it.
100,100, The butler.
101,101, The butler always did it.
102,102,Mmhmm.
103,103,Happy times.
104,104,Good.
105,105,The governor's here.
106,106,Wilkins.
107,107,Sir.
108,108,"They were hit delivering food to the camp, sir."
109,109,"A grenade, I believe."
110,110,Two of ours dead.
111,111,Bloody looters are making it worse.
112,112,Back!
113,113,Get them back!
114,114, Push them back!
115,115," Come on, move."
116,116,Get them off!
117,117,Christ.
118,118,The breath on these people.
119,119,"Yes, well, that's what does to you."
120,120,"Well, at least they're less trouble when they're hungry."
121,121,"Keith Burnham, Divisional Intelligence."
122,122,So what have we got?
123,123, Is that him?
124,124, That's the fella.
125,125,Looks like Werwolves. 88s.
126,126,Nazi bastards who won't accept we've won.
127,127,"Captain, can we have these two boys taken care of?"
128,128,Absolutely.
129,129,A medic!
130,130,"Wilkins, get a medic."
131,131,"Yes, sir!"
132,132,Thought so. 88.
133,133,Heil Hitler.
134,134,Private.
135,135,Get our men on the truck.
136,136,And somebody bag this one up.
137,137,Oh. Hello.
138,138,You must be Freda.
139,139,What were you reading?
140,140,Freda.
141,141,She never listens.
142,142,I'm only her father.
143,143,"I'm sorry, I... I don't..."
144,144,"Sorry, emergency."
145,145,"Ooh, I see you have coffee."
146,146,"Yeah, I'd... I'd prefer tea."
147,147,They don't really do tea.
148,148,I'll rustle some up from the NAAFI.
149,149," Coffee it is, then."
150,150, No.
151,151,Sleep well?
152,152,"Actually, I did."
153,153,Good.
154,154,That's really good.
155,155,I'm looking forward to it being just us.
156,156,What?
157,157,Uh...
158,158,What if we let them stay on?
159,159,The staff? Do we need them?
160,160,The Luberts.
161,161,So you mean...
162,162,Live with them?
163,163,"I mean, they'd be on the top floor."
164,164,"Rach, we'd hardly notice they're here."
165,165, Is everyone doing it?
166,166, Here.
