,dialog,label_word_embedding_fox_news
0,"And my family came to the island for the summer, There weren't nearly as many houses or people As there are now.",not hate speech
1,The geography of the island And the singularity of the sea Were far more noticeable then.,hate speech
2,"If a guy wasn't to die of loneliness, His family made certain That other families from his neighborhood Contributed other kids to the island.",not hate speech
3,"Look out, hermie!",hate speech
4,Is he playing?,hate speech
5,Look out.,hate speech
6,"Present with me in the summer of '42 were Oscy, my best friend, And benjie, My nextToBest friend.",not hate speech
7,We called ourselves The terrible trio.,hate speech
8,And that house up there...,hate speech
9,That was her house.,not hate speech
10,Nothing from that first day i saw her And no one that has happened to me since Has ever been as frightening And as confusing.,hate speech
11,"For no person i've ever known Has ever done more To make me feel more sure, More insecure...",not hate speech
12,More important...,hate speech
13,And less significant.,not hate speech
14,He's going to take her Right into that bedroom.,not hate speech
15,Better put the wood down first.,not hate speech
16,Ahh...,not hate speech
17,funny.,not hate speech
18,"Hey, come on!",not hate speech
19,"Oscy, for christ's sakes!",not hate speech
20,"Hey, come on, hermie!",not hate speech
21,Will you move your ass?,not hate speech
22,"Give it back, oscy!",not hate speech
23,Ha ha ha!,not hate speech
24,"Oh, no!",not hate speech
25,Ha ha ha!,not hate speech
26,"Boy, i'd like to feel Every one of those girls.",not hate speech
27,You know...,not hate speech
28,I should have tripped on them.,not hate speech
29,They'd never know i was getting a feel.,not hate speech
30,That's not how to do it.,not hate speech
31,"So, what's the way to do it?",not hate speech
32,You have to say things.,not hate speech
33,"Alright. I'll say, ""excuse me."" You know what i mean.",not hate speech
34,You can't just fall on a girl.,not hate speech
35,It isn't done.,hate speech
36,Why not?,not hate speech
37,I did it with gladys potter.,not hate speech
38,She was only 12.,not hate speech
39,What did she know?,not hate speech
40,I don't know.,not hate speech
41,"Didn't seem to mind, though.",not hate speech
42,"Well, she was surprised.",not hate speech
43,So was i.,hate speech
44,Nothing to feel.,hate speech
45,"Hey, come on, benjie.",not hate speech
46,Stop dragging.,hate speech
47,I don't know what's going to become of him.,not hate speech
48,He has no emotions.,hate speech
49,"Aw, he's just confused.",not hate speech
50,Yeah.,not hate speech
51,"Yeah, so am i.",not hate speech
52,I've been waking up lately In the middle of the night.,hate speech
53,A lot.,hate speech
54,"Yeah, that's ok.",not hate speech
55,"I do, too.",hate speech
56,You do?,not hate speech
57,Yeah.,not hate speech
58,"Yeah, but...",not hate speech
59,I wake up feeling crazy And thinking about vera miller.,hate speech
60,So what?,not hate speech
61,So i hate vera miller.,not hate speech
62,Jesus!,not hate speech
63,You think i'm in love with her?,not hate speech
64,"Gee, i don't know.",hate speech
65,"God, i hope i'm not in love with her.",not hate speech
66,I hate her.,not hate speech
67,"Well, what kind of thoughts Do you have about her?",not hate speech
68,I forget.,not hate speech
69,Then how can i help you?,not hate speech
70,Who the hell's asking for help?,not hate speech
71,What are you talking about?,not hate speech
72,Nothing you'd understand.,hate speech
73,"Ah, screw you!",not hate speech
74,"That's your whole problem, benjie.",not hate speech
75,You're only interested in screwing me.,not hate speech
76,Try screwing a girl.,not hate speech
77,Ok!,not hate speech
78,"""Ok,"" he says.",not hate speech
79,You wouldn't know the first thing to do.,not hate speech
80,Would so!,hate speech
81,"Ok, what's the first thing you do?",not hate speech
82,You feel them!,not hate speech
83,Wrong!,not hate speech
84,You kiss them.,not hate speech
85,We didn't kiss gladys potter!,hate speech
86,We weren't in love with gladys potter.,not hate speech
87,"You're in love, with a girl You should kiss a girl first.",not hate speech
88,Ain't that right hermie?,not hate speech
89,It's polite.,not hate speech
90,It's not required.,hate speech
91,"It's required, you ninny.",not hate speech
92,It is not.,not hate speech
93,How do you know?,not hate speech
94,Because i found a book.,hate speech
95,If my mother knew i took that book It doesn't belong to me.,not hate speech
96,It doesn't belong to my mother.,not hate speech
97,It belongs to the house.,not hate speech
98,"If you get fingerprints on those pages, It's your funeral.",not hate speech
99,My mother's gonna miss that book.,not hate speech
100,It's the biggest on the shelf.,not hate speech
101,Books fell as i pulled it out.,not hate speech
102,Hold it.,not hate speech
103,Hurry up!,not hate speech
104,"Kill me, i don't read as fast as you.",not hate speech
105,"Ok, turn.",not hate speech
106,Jesus! Do you believe this stuff?,not hate speech
107,Yeah. It's a medical journal.,hate speech
108,Why should they lie?,not hate speech
109,How do they take pictures like that?,not hate speech
110,They must have special cameras.,not hate speech
111,What drugstores would develop them?,not hate speech
112,"If we took them in, we'd be in reform school.",not hate speech
113,I guess they developed them themselves.,hate speech
114,Yeah.,not hate speech
115,I guess that's it.,not hate speech
116,Let me look.,hate speech
117,You'll foam at the mouth.,not hate speech
118,It's my book!,not hate speech
119,Let him look.,not hate speech
120,There!,not hate speech
121,They're doing it!,not hate speech
122,I don't believe it!,not hate speech
123,You'd better.,not hate speech
124,One day your turn's gonna come.,not hate speech
125,And you better know what to do.,not hate speech
126,My parents never did that!,not hate speech
127,Never!,not hate speech
128,Why not?,not hate speech
129,Because it's stupid.,hate speech
130,"Hate to break the news, But that's how it's done.",hate speech
131,Stop pushing me around.,not hate speech
132,It could be dangerous.,not hate speech
133,"It looks dumb in the pictures, But when you're in love, It should be very pleasant.",not hate speech
134,How do you know?,not hate speech
135,You've never done it.,not hate speech
136,It's here in the book!,hate speech
137,In black and white!,not hate speech
138,That's why people kiss first They get to know each other.,not hate speech
139,Then they're in love.,hate speech
140,Then they make Foreplay!,hate speech
141,It's called foreplay.,not hate speech
142,"Everyone gets undressed, and they play foreplay.",hate speech
143,"He does this, She does this, and he does this, And before you know it, they're screwing!",not hate speech
144,What could be simpler than that?,not hate speech
145,"Listen. Before i saw these pictures, I didn't think it was possible, But these are pictures, benjie, pictures!",hate speech
146,These aren't drawings.,hate speech
